Date	MIN	MAX	AVG	LOWSTD	HIGHSTD
2023-09-01	25.02	25.02	25.02	25.02	25.02
2023-08-01	11.37	26.49	19.77	11.80	27.74
2023-07-01	23.08	23.08	23.08	23.08	23.08
2023-06-01	nan	nan	nan	nan	nan
2023-05-01	nan	nan	nan	nan	nan
2023-04-01	30.58	30.58	30.58	30.58	30.58
2023-03-01	25.67	35.43	31.16	28.06	34.26
2023-02-01	25.98	31.67	29.45	27.56	31.34
2023-01-01	23.84	28.78	26.80	25.24	28.36
2022-12-01	22.99	28.61	24.94	23.09	26.80
2022-11-01	24.19	27.28	26.02	24.64	27.40
2022-10-01	19.74	22.70	21.39	20.10	22.68
2022-09-01	25.02	25.02	25.02	25.02	25.02
2022-08-01	11.37	26.49	19.77	11.80	27.74
2022-07-01	23.08	23.08	23.08	23.08	23.08
2022-06-01	nan	nan	nan	nan	nan
2022-05-01	nan	nan	nan	nan	nan
2022-04-01	30.58	30.58	30.58	30.58	30.58
2022-03-01	25.67	35.43	31.16	28.06	34.26
2022-02-01	25.98	31.67	29.45	27.56	31.34
2022-01-01	23.84	28.78	26.80	25.24	28.36
2021-12-01	22.99	28.61	24.94	23.09	26.80
2021-11-01	24.19	27.28	26.02	24.64	27.40
2021-10-01	19.74	22.70	21.39	20.10	22.68
2021-09-01	25.02	25.02	25.02	25.02	25.02
2021-08-01	11.37	26.49	19.77	11.80	27.74
2021-07-01	23.08	23.08	23.08	23.08	23.08
2021-06-01	nan	nan	nan	nan	nan
2021-05-01	nan	nan	nan	nan	nan
2021-04-01	30.58	30.58	30.58	30.58	30.58
2021-03-01	25.67	35.43	31.16	28.06	34.26
2021-02-01	25.98	31.67	29.45	27.56	31.34
2021-01-01	23.84	28.78	26.80	25.24	28.36
2020-12-01	22.99	28.61	24.94	23.09	26.80
2020-11-01	24.19	27.28	26.02	24.64	27.40
2020-10-01	19.74	22.70	21.39	20.10	22.68
2020-09-01	25.02	25.02	25.02	25.02	25.02
2020-08-01	11.37	26.49	19.77	11.80	27.74
2020-07-01	23.08	23.08	23.08	23.08	23.08
2020-06-01	nan	nan	nan	nan	nan
2020-05-01	nan	nan	nan	nan	nan
2020-04-01	30.58	30.58	30.58	30.58	30.58
2020-03-01	25.67	35.43	31.16	28.06	34.26
2020-02-01	25.98	31.67	29.45	27.56	31.34
2020-01-01	23.84	28.78	26.80	25.24	28.36
2019-12-01	22.99	28.61	24.94	23.09	26.80
2019-11-01	24.19	27.28	26.02	24.64	27.40
2019-10-01	19.74	22.70	21.39	20.10	22.68
2019-09-01	25.02	25.02	25.02	25.02	25.02
2019-08-01	11.37	26.49	19.77	11.80	27.74
2019-07-01	23.08	23.08	23.08	23.08	23.08
2019-06-01	nan	nan	nan	nan	nan
2019-05-01	nan	nan	nan	nan	nan
2019-04-01	30.58	30.58	30.58	30.58	30.58
2019-03-01	25.67	35.43	31.16	28.06	34.26
2019-02-01	25.98	31.67	29.45	27.56	31.34
2019-01-01	23.84	28.78	26.80	25.24	28.36
2018-12-01	22.99	28.61	24.94	23.09	26.80
2018-11-01	24.19	27.28	26.02	24.64	27.40
2018-10-01	19.74	22.70	21.39	20.10	22.68
2018-09-01	25.02	25.02	25.02	25.02	25.02
2018-08-01	11.37	26.49	19.77	11.80	27.74
2018-07-01	23.08	23.08	23.08	23.08	23.08
2018-06-01	nan	nan	nan	nan	nan
2018-05-01	nan	nan	nan	nan	nan
2018-04-01	30.58	30.58	30.58	30.58	30.58
2018-03-01	25.67	35.43	31.16	28.06	34.26
2018-02-01	25.98	31.67	29.45	27.56	31.34
2018-01-01	23.84	28.78	26.80	25.24	28.36
2017-12-01	22.99	28.61	24.94	23.09	26.80
2017-11-01	24.19	27.28	26.02	24.64	27.40
2017-10-01	19.74	22.70	21.39	20.10	22.68
2017-09-01	25.02	25.02	25.02	25.02	25.02
2017-08-01	11.37	26.49	19.77	11.80	27.74
2017-07-01	23.08	23.08	23.08	23.08	23.08
2017-06-01	nan	nan	nan	nan	nan
2017-05-01	nan	nan	nan	nan	nan
2017-04-01	30.58	30.58	30.58	30.58	30.58
2017-03-01	25.67	35.43	31.16	28.06	34.26
2017-02-01	25.98	31.67	29.45	27.56	31.34
2017-01-01	23.84	28.78	26.80	25.24	28.36
2016-12-01	22.99	28.61	24.94	23.09	26.80
2016-11-01	24.19	27.28	26.02	24.64	27.40
2016-10-01	19.74	22.70	21.39	20.10	22.68
2016-09-01	25.02	25.02	25.02	25.02	25.02
2016-08-01	11.37	26.49	19.77	11.80	27.74
2016-07-01	23.08	23.08	23.08	23.08	23.08
2016-06-01	nan	nan	nan	nan	nan
2016-05-01	nan	nan	nan	nan	nan
2016-04-01	30.58	30.58	30.58	30.58	30.58
2016-03-01	25.67	35.43	31.16	28.06	34.26
2016-02-01	25.98	31.67	29.45	27.56	31.34
2016-01-01	23.84	28.78	26.80	25.24	28.36
