Date	Temperature
2000-01-28	24.95
2000-04-01	14.55
2000-04-17	31.53
2000-05-03	19.94
2000-09-08	28.48
2000-10-10	28.56
2000-10-26	29.06
2000-11-27	26.42
2001-01-07	30.87
2001-01-14	26.07
2001-03-03	31.83
2001-05-15	29.58
2001-07-25	14.56
2001-08-10	28.96
2001-09-04	25.31
2001-09-11	8.32
2001-10-29	21.57
2001-11-30	22.83
2001-12-09	33.26
2002-01-10	31.09
2002-02-18	29.41
2002-02-27	33.43
2002-04-16	30.50
2002-05-25	32.48
2002-09-14	28.49
2002-09-30	25.72
2002-11-26	31.96
2002-12-03	27.14
2003-01-20	26.37
2003-02-21	30.48
2003-11-04	19.28
2003-11-20	18.09
2003-12-06	25.03
2003-12-22	26.60
2004-01-16	31.98
2004-03-04	35.30
2004-03-11	31.65
2004-04-12	27.29
2004-04-28	22.04
2004-08-18	23.52
2004-09-19	7.73
2004-11-22	19.83
2004-12-08	25.75
2004-12-24	26.28
2005-01-25	28.68
2005-02-03	30.25
2005-02-10	25.63
2005-02-26	36.76
2005-03-14	31.56
2005-04-15	29.08
2005-09-22	24.94
2005-10-01	31.22
2005-12-27	25.60
2006-01-21	31.03
2006-01-28	25.01
2006-03-01	29.66
2006-08-08	12.80
2006-10-11	10.58
2006-11-21	0.30
2006-11-28	11.05
2006-12-30	24.10
2007-01-15	25.40
2007-01-24	31.03
2007-01-31	29.43
2007-02-16	27.25
2007-03-04	32.88
2007-03-20	36.08
2007-03-29	36.48
2007-04-30	31.55
2007-08-27	20.74
2007-09-12	21.08
2007-10-14	18.51
2007-10-30	15.60
2007-11-15	27.17
2007-12-01	29.57
2007-12-17	23.51
2007-12-26	29.89
2008-01-02	23.87
2008-01-18	24.38
2008-02-03	27.57
2008-02-19	28.23
2008-03-06	29.91
2008-05-25	23.20
2008-08-29	20.19
2008-09-23	25.69
2008-09-30	27.14
2008-11-01	24.01
2008-11-17	27.72
2008-12-03	28.44
2009-01-13	29.24
2009-01-20	25.39
2009-02-05	27.11
2009-02-14	35.47
2009-03-02	42.09
2009-03-18	37.17
2009-03-25	31.37
2009-05-12	26.16
2009-10-19	17.67
2009-11-20	24.78
2009-12-31	23.50
2010-01-07	26.07
2010-01-23	26.33
2010-02-08	26.06
2010-02-24	29.40
2010-04-06	31.33
2010-04-22	32.26
2011-02-20	31.38
2011-03-31	29.73
2011-05-18	9.83
2011-08-22	15.99
2011-09-23	18.12
2011-10-02	30.56
2011-10-09	27.28
2011-11-10	26.48
2011-12-12	25.20
2012-01-13	27.09
2012-01-29	23.41
2012-02-14	32.01
2012-03-01	33.60
2012-03-17	33.62
2012-04-02	26.79
2012-04-18	22.61
2012-05-04	27.50
2012-09-25	15.21
2012-10-04	29.86
2012-10-27	24.42
2012-11-12	26.64
2012-11-28	28.40
2012-12-14	30.70
2013-01-15	26.84
2013-01-31	27.92
2013-02-25	32.73
2013-08-11	24.92
2013-09-28	22.34
2013-10-07	27.20
2013-10-14	28.73
2013-10-30	23.62
2013-12-17	25.01
2014-01-02	25.87
2014-01-11	31.56
2014-02-03	26.73
2014-02-12	33.10
2014-02-19	28.20
2014-02-28	34.14
2014-03-07	28.62
2014-09-08	30.68
2014-09-15	19.93
2014-10-01	23.85
2014-10-10	12.24
2014-11-02	6.14
2014-11-18	21.68
2014-12-04	25.39
2015-01-05	27.97
2015-01-21	26.05
2015-01-30	26.22
2015-02-06	26.38
2015-02-22	27.80
2015-03-10	32.93
2015-03-19	42.22
2015-04-11	28.89
2015-04-27	29.85
2015-05-29	23.03
2015-08-17	22.78
2015-09-18	9.10
2015-09-27	27.15
2015-10-20	13.09
2015-11-21	26.40
2015-12-23	27.25
2016-01-08	25.09
2016-01-24	26.59
2016-02-09	27.46
2016-02-25	34.76
2016-03-05	35.39
2016-03-21	38.71
2016-03-28	29.59
2016-04-29	26.50
2016-05-31	18.73
2016-08-03	2.07
2016-10-06	25.89
2016-11-07	27.63
2016-11-23	20.05
2016-12-09	20.32
2017-01-10	26.27
2017-02-11	29.44
