Date	MIN	MAX	AVG	LOWSTD	HIGHSTD
2021-08-01	2.07	28.96	17.67	9.97	25.38
2021-07-01	0.28	14.56	5.37	-2.60	13.34
2021-06-01	6.43	23.55	22.94	19.93	25.95
2021-05-01	0.00	33.99	4.69	-5.53	14.91
2021-04-01	1.13	39.98	18.56	7.04	30.08
2021-03-01	28.62	42.22	33.81	30.56	37.06
2021-02-01	25.63	36.76	30.30	27.23	33.37
2021-01-01	21.13	32.69	27.41	24.71	30.11
2020-12-01	20.32	33.26	26.81	23.93	29.68
2020-11-01	0.30	31.96	20.52	12.11	28.93
2020-10-01	10.58	31.48	23.63	17.53	29.73
2020-09-01	3.51	30.68	20.95	12.17	29.73
2020-08-01	2.07	28.96	17.67	9.97	25.38
2020-07-01	0.28	14.56	5.37	-2.60	13.34
2020-06-01	6.43	23.55	22.94	19.93	25.95
2020-05-01	0.00	33.99	4.69	-5.53	14.91
2020-04-01	1.13	39.98	18.56	7.04	30.08
2020-03-01	28.62	42.22	33.81	30.56	37.06
2020-02-01	25.63	36.76	30.30	27.23	33.37
2020-01-01	21.13	32.69	27.41	24.71	30.11
2019-12-01	20.32	33.26	26.81	23.93	29.68
2019-11-01	0.30	31.96	20.52	12.11	28.93
2019-10-01	10.58	31.48	23.63	17.53	29.73
2019-09-01	3.51	30.68	20.95	12.17	29.73
2019-08-01	2.07	28.96	17.67	9.97	25.38
2019-07-01	0.28	14.56	5.37	-2.60	13.34
2019-06-01	6.43	23.55	22.94	19.93	25.95
2019-05-01	0.00	33.99	4.69	-5.53	14.91
2019-04-01	1.13	39.98	18.56	7.04	30.08
2019-03-01	28.62	42.22	33.81	30.56	37.06
2019-02-01	25.63	36.76	30.30	27.23	33.37
2019-01-01	21.13	32.69	27.41	24.71	30.11
2018-12-01	20.32	33.26	26.81	23.93	29.68
2018-11-01	0.30	31.96	20.52	12.11	28.93
2018-10-01	10.58	31.48	23.63	17.53	29.73
2018-09-01	3.51	30.68	20.95	12.17	29.73
2018-08-01	2.07	28.96	17.67	9.97	25.38
2018-07-01	0.28	14.56	5.37	-2.60	13.34
2018-06-01	6.43	23.55	22.94	19.93	25.95
2018-05-01	0.00	33.99	4.69	-5.53	14.91
2018-04-01	1.13	39.98	18.56	7.04	30.08
2018-03-01	28.62	42.22	33.81	30.56	37.06
2018-02-01	25.63	36.76	30.30	27.23	33.37
2018-01-01	21.13	32.69	27.41	24.71	30.11
2017-12-01	20.32	33.26	26.81	23.93	29.68
2017-11-01	0.30	31.96	20.52	12.11	28.93
2017-10-01	10.58	31.48	23.63	17.53	29.73
2017-09-01	3.51	30.68	20.95	12.17	29.73
2017-08-01	2.07	28.96	17.67	9.97	25.38
2017-07-01	0.28	14.56	5.37	-2.60	13.34
2017-06-01	6.43	23.55	22.94	19.93	25.95
2017-05-01	0.00	33.99	4.69	-5.53	14.91
2017-04-01	1.13	39.98	18.56	7.04	30.08
2017-03-01	28.62	42.22	33.81	30.56	37.06
2017-02-01	25.63	36.76	30.30	27.23	33.37
2017-01-01	21.13	32.69	27.41	24.71	30.11
2016-12-01	20.32	33.26	26.81	23.93	29.68
2016-11-01	0.30	31.96	20.52	12.11	28.93
2016-10-01	10.58	31.48	23.63	17.53	29.73
2016-09-01	3.51	30.68	20.95	12.17	29.73
2016-08-01	2.07	28.96	17.67	9.97	25.38
2016-07-01	0.28	14.56	5.37	-2.60	13.34
2016-06-01	6.43	23.55	22.94	19.93	25.95
2016-05-01	0.00	33.99	4.69	-5.53	14.91
2016-04-01	1.13	39.98	18.56	7.04	30.08
2016-03-01	28.62	42.22	33.81	30.56	37.06
2016-02-01	25.63	36.76	30.30	27.23	33.37
2016-01-01	21.13	32.69	27.41	24.71	30.11
2015-12-01	20.32	33.26	26.81	23.93	29.68
2015-11-01	0.30	31.96	20.52	12.11	28.93
2015-10-01	10.58	31.48	23.63	17.53	29.73
2015-09-01	3.51	30.68	20.95	12.17	29.73
2015-08-01	2.07	28.96	17.67	9.97	25.38
2015-07-01	0.28	14.56	5.37	-2.60	13.34
2015-06-01	6.43	23.55	22.94	19.93	25.95
2015-05-01	0.00	33.99	4.69	-5.53	14.91
2015-04-01	1.13	39.98	18.56	7.04	30.08
2015-03-01	28.62	42.22	33.81	30.56	37.06
2015-02-01	25.63	36.76	30.30	27.23	33.37
2015-01-01	21.13	32.69	27.41	24.71	30.11
2014-12-01	20.32	33.26	26.81	23.93	29.68
2014-11-01	0.30	31.96	20.52	12.11	28.93
2014-10-01	10.58	31.48	23.63	17.53	29.73
2014-09-01	3.51	30.68	20.95	12.17	29.73
2014-08-01	2.07	28.96	17.67	9.97	25.38
2014-07-01	0.28	14.56	5.37	-2.60	13.34
2014-06-01	6.43	23.55	22.94	19.93	25.95
2014-05-01	0.00	33.99	4.69	-5.53	14.91
2014-04-01	1.13	39.98	18.56	7.04	30.08
2014-03-01	28.62	42.22	33.81	30.56	37.06
2014-02-01	25.63	36.76	30.30	27.23	33.37
2014-01-01	21.13	32.69	27.41	24.71	30.11
2013-12-01	20.32	33.26	26.81	23.93	29.68
2013-11-01	0.30	31.96	20.52	12.11	28.93
2013-10-01	10.58	31.48	23.63	17.53	29.73
2013-09-01	3.51	30.68	20.95	12.17	29.73
2013-08-01	2.07	28.96	17.67	9.97	25.38
2013-07-01	0.28	14.56	5.37	-2.60	13.34
2013-06-01	6.43	23.55	22.94	19.93	25.95
2013-05-01	0.00	33.99	4.69	-5.53	14.91
2013-04-01	1.13	39.98	18.56	7.04	30.08
2013-03-01	28.62	42.22	33.81	30.56	37.06
2013-02-01	25.63	36.76	30.30	27.23	33.37
2013-01-01	21.13	32.69	27.41	24.71	30.11
2012-12-01	20.32	33.26	26.81	23.93	29.68
2012-11-01	0.30	31.96	20.52	12.11	28.93
2012-10-01	10.58	31.48	23.63	17.53	29.73
2012-09-01	3.51	30.68	20.95	12.17	29.73
2012-08-01	2.07	28.96	17.67	9.97	25.38
2012-07-01	0.28	14.56	5.37	-2.60	13.34
2012-06-01	6.43	23.55	22.94	19.93	25.95
2012-05-01	0.00	33.99	4.69	-5.53	14.91
2012-04-01	1.13	39.98	18.56	7.04	30.08
2012-03-01	28.62	42.22	33.81	30.56	37.06
2012-02-01	25.63	36.76	30.30	27.23	33.37
2012-01-01	21.13	32.69	27.41	24.71	30.11
2011-12-01	20.32	33.26	26.81	23.93	29.68
2011-11-01	0.30	31.96	20.52	12.11	28.93
2011-10-01	10.58	31.48	23.63	17.53	29.73
2011-09-01	3.51	30.68	20.95	12.17	29.73
2011-08-01	2.07	28.96	17.67	9.97	25.38
2011-07-01	0.28	14.56	5.37	-2.60	13.34
2011-06-01	6.43	23.55	22.94	19.93	25.95
2011-05-01	0.00	33.99	4.69	-5.53	14.91
2011-04-01	1.13	39.98	18.56	7.04	30.08
2011-03-01	28.62	42.22	33.81	30.56	37.06
2011-02-01	25.63	36.76	30.30	27.23	33.37
2011-01-01	21.13	32.69	27.41	24.71	30.11
2010-12-01	20.32	33.26	26.81	23.93	29.68
2010-11-01	0.30	31.96	20.52	12.11	28.93
2010-10-01	10.58	31.48	23.63	17.53	29.73
2010-09-01	3.51	30.68	20.95	12.17	29.73
2010-08-01	2.07	28.96	17.67	9.97	25.38
2010-07-01	0.28	14.56	5.37	-2.60	13.34
2010-06-01	6.43	23.55	22.94	19.93	25.95
2010-05-01	0.00	33.99	4.69	-5.53	14.91
2010-04-01	1.13	39.98	18.56	7.04	30.08
2010-03-01	28.62	42.22	33.81	30.56	37.06
2010-02-01	25.63	36.76	30.30	27.23	33.37
2010-01-01	21.13	32.69	27.41	24.71	30.11
2009-12-01	20.32	33.26	26.81	23.93	29.68
2009-11-01	0.30	31.96	20.52	12.11	28.93
2009-10-01	10.58	31.48	23.63	17.53	29.73
2009-09-01	3.51	30.68	20.95	12.17	29.73
2009-08-01	2.07	28.96	17.67	9.97	25.38
2009-07-01	0.28	14.56	5.37	-2.60	13.34
2009-06-01	6.43	23.55	22.94	19.93	25.95
2009-05-01	0.00	33.99	4.69	-5.53	14.91
2009-04-01	1.13	39.98	18.56	7.04	30.08
2009-03-01	28.62	42.22	33.81	30.56	37.06
2009-02-01	25.63	36.76	30.30	27.23	33.37
2009-01-01	21.13	32.69	27.41	24.71	30.11
2008-12-01	20.32	33.26	26.81	23.93	29.68
2008-11-01	0.30	31.96	20.52	12.11	28.93
2008-10-01	10.58	31.48	23.63	17.53	29.73
2008-09-01	3.51	30.68	20.95	12.17	29.73
2008-08-01	2.07	28.96	17.67	9.97	25.38
2008-07-01	0.28	14.56	5.37	-2.60	13.34
2008-06-01	6.43	23.55	22.94	19.93	25.95
