Date	MIN	MAX	AVG	LOWSTD	HIGHSTD
2023-09-01	4.35	30.24	20.67	14.37	26.97
2023-08-01	0.21	28.54	16.99	8.44	25.54
2023-07-01	0.19	23.10	12.57	5.92	19.23
2023-06-01	1.36	28.95	16.86	7.34	26.38
2023-05-01	5.87	33.17	24.79	17.84	31.74
2023-04-01	0.00	34.27	25.44	18.19	32.69
2023-03-01	13.43	40.62	25.58	18.02	33.15
2023-02-01	3.71	35.03	26.95	22.94	30.95
2023-01-01	19.70	31.22	25.46	22.43	28.50
2022-12-01	19.61	32.71	24.86	20.94	28.78
2022-11-01	6.56	36.35	23.67	17.19	30.15
2022-10-01	1.36	31.84	19.97	13.77	26.16
2022-09-01	4.35	30.24	20.67	14.37	26.97
2022-08-01	0.21	28.54	16.99	8.44	25.54
2022-07-01	0.19	23.10	12.57	5.92	19.23
2022-06-01	1.36	28.95	16.86	7.34	26.38
2022-05-01	5.87	33.17	24.79	17.84	31.74
2022-04-01	0.00	34.27	25.44	18.19	32.69
2022-03-01	13.43	40.62	25.58	18.02	33.15
2022-02-01	3.71	35.03	26.95	22.94	30.95
2022-01-01	19.70	31.22	25.46	22.43	28.50
2021-12-01	19.61	32.71	24.86	20.94	28.78
2021-11-01	6.56	36.35	23.67	17.19	30.15
2021-10-01	1.36	31.84	19.97	13.77	26.16
2021-09-01	4.35	30.24	20.67	14.37	26.97
2021-08-01	0.21	28.54	16.99	8.44	25.54
2021-07-01	0.19	23.10	12.57	5.92	19.23
2021-06-01	1.36	28.95	16.86	7.34	26.38
2021-05-01	5.87	33.17	24.79	17.84	31.74
2021-04-01	0.00	34.27	25.44	18.19	32.69
2021-03-01	13.43	40.62	25.58	18.02	33.15
2021-02-01	3.71	35.03	26.95	22.94	30.95
2021-01-01	19.70	31.22	25.46	22.43	28.50
2020-12-01	19.61	32.71	24.86	20.94	28.78
2020-11-01	6.56	36.35	23.67	17.19	30.15
2020-10-01	1.36	31.84	19.97	13.77	26.16
2020-09-01	4.35	30.24	20.67	14.37	26.97
2020-08-01	0.21	28.54	16.99	8.44	25.54
2020-07-01	0.19	23.10	12.57	5.92	19.23
2020-06-01	1.36	28.95	16.86	7.34	26.38
2020-05-01	5.87	33.17	24.79	17.84	31.74
2020-04-01	0.00	34.27	25.44	18.19	32.69
2020-03-01	13.43	40.62	25.58	18.02	33.15
2020-02-01	3.71	35.03	26.95	22.94	30.95
2020-01-01	19.70	31.22	25.46	22.43	28.50
2019-12-01	19.61	32.71	24.86	20.94	28.78
2019-11-01	6.56	36.35	23.67	17.19	30.15
2019-10-01	1.36	31.84	19.97	13.77	26.16
2019-09-01	4.35	30.24	20.67	14.37	26.97
2019-08-01	0.21	28.54	16.99	8.44	25.54
