Date	MIN	MAX	AVG	LOWSTD	HIGHSTD
2021-09-01	1.37	33.96	21.25	12.07	30.42
2021-08-01	9.95	26.93	18.85	13.53	24.18
2021-07-01	0.00	20.95	3.71	-2.20	9.62
2021-06-01	0.54	31.26	21.36	14.91	27.81
2021-05-01	5.37	31.78	24.95	17.81	32.10
2021-04-01	18.25	39.10	27.73	22.29	33.18
2021-03-01	24.59	43.55	31.22	27.10	35.34
2021-02-01	20.90	33.71	27.73	24.44	31.02
2021-01-01	19.65	28.32	25.34	23.33	27.34
2020-12-01	12.83	29.75	24.57	20.82	28.32
2020-11-01	7.12	31.32	23.02	17.22	28.83
2020-10-01	5.50	30.23	21.32	14.57	28.07
2020-09-01	1.37	33.96	21.25	12.07	30.42
2020-08-01	9.95	26.93	18.85	13.53	24.18
2020-07-01	0.00	20.95	3.71	-2.20	9.62
2020-06-01	0.54	31.26	21.36	14.91	27.81
2020-05-01	5.37	31.78	24.95	17.81	32.10
2020-04-01	18.25	39.10	27.73	22.29	33.18
2020-03-01	24.59	43.55	31.22	27.10	35.34
2020-02-01	20.90	33.71	27.73	24.44	31.02
2020-01-01	19.65	28.32	25.34	23.33	27.34
2019-12-01	12.83	29.75	24.57	20.82	28.32
2019-11-01	7.12	31.32	23.02	17.22	28.83
2019-10-01	5.50	30.23	21.32	14.57	28.07
2019-09-01	1.37	33.96	21.25	12.07	30.42
2019-08-01	9.95	26.93	18.85	13.53	24.18
2019-07-01	0.00	20.95	3.71	-2.20	9.62
2019-06-01	0.54	31.26	21.36	14.91	27.81
2019-05-01	5.37	31.78	24.95	17.81	32.10
2019-04-01	18.25	39.10	27.73	22.29	33.18
2019-03-01	24.59	43.55	31.22	27.10	35.34
2019-02-01	20.90	33.71	27.73	24.44	31.02
2019-01-01	19.65	28.32	25.34	23.33	27.34
2018-12-01	12.83	29.75	24.57	20.82	28.32
2018-11-01	7.12	31.32	23.02	17.22	28.83
2018-10-01	5.50	30.23	21.32	14.57	28.07
2018-09-01	1.37	33.96	21.25	12.07	30.42
2018-08-01	9.95	26.93	18.85	13.53	24.18
2018-07-01	0.00	20.95	3.71	-2.20	9.62
2018-06-01	0.54	31.26	21.36	14.91	27.81
2018-05-01	5.37	31.78	24.95	17.81	32.10
2018-04-01	18.25	39.10	27.73	22.29	33.18
2018-03-01	24.59	43.55	31.22	27.10	35.34
2018-02-01	20.90	33.71	27.73	24.44	31.02
2018-01-01	19.65	28.32	25.34	23.33	27.34
2017-12-01	12.83	29.75	24.57	20.82	28.32
2017-11-01	7.12	31.32	23.02	17.22	28.83
2017-10-01	5.50	30.23	21.32	14.57	28.07
2017-09-01	1.37	33.96	21.25	12.07	30.42
2017-08-01	9.95	26.93	18.85	13.53	24.18
2017-07-01	0.00	20.95	3.71	-2.20	9.62
2017-06-01	0.54	31.26	21.36	14.91	27.81
2017-05-01	5.37	31.78	24.95	17.81	32.10
2017-04-01	18.25	39.10	27.73	22.29	33.18
2017-03-01	24.59	43.55	31.22	27.10	35.34
2017-02-01	20.90	33.71	27.73	24.44	31.02
2017-01-01	19.65	28.32	25.34	23.33	27.34
2016-12-01	12.83	29.75	24.57	20.82	28.32
2016-11-01	7.12	31.32	23.02	17.22	28.83
2016-10-01	5.50	30.23	21.32	14.57	28.07
2016-09-01	1.37	33.96	21.25	12.07	30.42
2016-08-01	9.95	26.93	18.85	13.53	24.18
2016-07-01	0.00	20.95	3.71	-2.20	9.62
2016-06-01	0.54	31.26	21.36	14.91	27.81
2016-05-01	5.37	31.78	24.95	17.81	32.10
2016-04-01	18.25	39.10	27.73	22.29	33.18
2016-03-01	24.59	43.55	31.22	27.10	35.34
2016-02-01	20.90	33.71	27.73	24.44	31.02
2016-01-01	19.65	28.32	25.34	23.33	27.34
2015-12-01	12.83	29.75	24.57	20.82	28.32
2015-11-01	7.12	31.32	23.02	17.22	28.83
2015-10-01	5.50	30.23	21.32	14.57	28.07
2015-09-01	1.37	33.96	21.25	12.07	30.42
2015-08-01	9.95	26.93	18.85	13.53	24.18
2015-07-01	0.00	20.95	3.71	-2.20	9.62
2015-06-01	0.54	31.26	21.36	14.91	27.81
2015-05-01	5.37	31.78	24.95	17.81	32.10
2015-04-01	18.25	39.10	27.73	22.29	33.18
2015-03-01	24.59	43.55	31.22	27.10	35.34
2015-02-01	20.90	33.71	27.73	24.44	31.02
2015-01-01	19.65	28.32	25.34	23.33	27.34
2014-12-01	12.83	29.75	24.57	20.82	28.32
2014-11-01	7.12	31.32	23.02	17.22	28.83
2014-10-01	5.50	30.23	21.32	14.57	28.07
2014-09-01	1.37	33.96	21.25	12.07	30.42
2014-08-01	9.95	26.93	18.85	13.53	24.18
2014-07-01	0.00	20.95	3.71	-2.20	9.62
2014-06-01	0.54	31.26	21.36	14.91	27.81
2014-05-01	5.37	31.78	24.95	17.81	32.10
2014-04-01	18.25	39.10	27.73	22.29	33.18
2014-03-01	24.59	43.55	31.22	27.10	35.34
2014-02-01	20.90	33.71	27.73	24.44	31.02
2014-01-01	19.65	28.32	25.34	23.33	27.34
2013-12-01	12.83	29.75	24.57	20.82	28.32
2013-11-01	7.12	31.32	23.02	17.22	28.83
2013-10-01	5.50	30.23	21.32	14.57	28.07
2013-09-01	1.37	33.96	21.25	12.07	30.42
2013-08-01	9.95	26.93	18.85	13.53	24.18
2013-07-01	0.00	20.95	3.71	-2.20	9.62
2013-06-01	0.54	31.26	21.36	14.91	27.81
2013-05-01	5.37	31.78	24.95	17.81	32.10
2013-04-01	18.25	39.10	27.73	22.29	33.18
2013-03-01	24.59	43.55	31.22	27.10	35.34
2013-02-01	20.90	33.71	27.73	24.44	31.02
2013-01-01	19.65	28.32	25.34	23.33	27.34
2012-12-01	12.83	29.75	24.57	20.82	28.32
2012-11-01	7.12	31.32	23.02	17.22	28.83
2012-10-01	5.50	30.23	21.32	14.57	28.07
2012-09-01	1.37	33.96	21.25	12.07	30.42
2012-08-01	9.95	26.93	18.85	13.53	24.18
2012-07-01	0.00	20.95	3.71	-2.20	9.62
2012-06-01	0.54	31.26	21.36	14.91	27.81
2012-05-01	5.37	31.78	24.95	17.81	32.10
2012-04-01	18.25	39.10	27.73	22.29	33.18
2012-03-01	24.59	43.55	31.22	27.10	35.34
2012-02-01	20.90	33.71	27.73	24.44	31.02
2012-01-01	19.65	28.32	25.34	23.33	27.34
2011-12-01	12.83	29.75	24.57	20.82	28.32
2011-11-01	7.12	31.32	23.02	17.22	28.83
2011-10-01	5.50	30.23	21.32	14.57	28.07
2011-09-01	1.37	33.96	21.25	12.07	30.42
2011-08-01	9.95	26.93	18.85	13.53	24.18
2011-07-01	0.00	20.95	3.71	-2.20	9.62
2011-06-01	0.54	31.26	21.36	14.91	27.81
2011-05-01	5.37	31.78	24.95	17.81	32.10
2011-04-01	18.25	39.10	27.73	22.29	33.18
2011-03-01	24.59	43.55	31.22	27.10	35.34
2011-02-01	20.90	33.71	27.73	24.44	31.02
2011-01-01	19.65	28.32	25.34	23.33	27.34
2010-12-01	12.83	29.75	24.57	20.82	28.32
2010-11-01	7.12	31.32	23.02	17.22	28.83
2010-10-01	5.50	30.23	21.32	14.57	28.07
2010-09-01	1.37	33.96	21.25	12.07	30.42
2010-08-01	9.95	26.93	18.85	13.53	24.18
2010-07-01	0.00	20.95	3.71	-2.20	9.62
2010-06-01	0.54	31.26	21.36	14.91	27.81
2010-05-01	5.37	31.78	24.95	17.81	32.10
2010-04-01	18.25	39.10	27.73	22.29	33.18
2010-03-01	24.59	43.55	31.22	27.10	35.34
2010-02-01	20.90	33.71	27.73	24.44	31.02
2010-01-01	19.65	28.32	25.34	23.33	27.34
2009-12-01	12.83	29.75	24.57	20.82	28.32
2009-11-01	7.12	31.32	23.02	17.22	28.83
2009-10-01	5.50	30.23	21.32	14.57	28.07
2009-09-01	1.37	33.96	21.25	12.07	30.42
2009-08-01	9.95	26.93	18.85	13.53	24.18
2009-07-01	0.00	20.95	3.71	-2.20	9.62
2009-06-01	0.54	31.26	21.36	14.91	27.81
2009-05-01	5.37	31.78	24.95	17.81	32.10
2009-04-01	18.25	39.10	27.73	22.29	33.18
2009-03-01	24.59	43.55	31.22	27.10	35.34
2009-02-01	20.90	33.71	27.73	24.44	31.02
2009-01-01	19.65	28.32	25.34	23.33	27.34
2008-12-01	12.83	29.75	24.57	20.82	28.32
2008-11-01	7.12	31.32	23.02	17.22	28.83
2008-10-01	5.50	30.23	21.32	14.57	28.07
2008-09-01	1.37	33.96	21.25	12.07	30.42
2008-08-01	9.95	26.93	18.85	13.53	24.18
2008-07-01	0.00	20.95	3.71	-2.20	9.62
2008-06-01	0.54	31.26	21.36	14.91	27.81
2008-05-01	5.37	31.78	24.95	17.81	32.10
2008-04-01	18.25	39.10	27.73	22.29	33.18
2008-03-01	24.59	43.55	31.22	27.10	35.34
2008-02-01	20.90	33.71	27.73	24.44	31.02
2008-01-01	19.65	28.32	25.34	23.33	27.34
2007-12-01	12.83	29.75	24.57	20.82	28.32
2007-11-01	7.12	31.32	23.02	17.22	28.83
2007-10-01	5.50	30.23	21.32	14.57	28.07
2007-09-01	1.37	33.96	21.25	12.07	30.42
2007-08-01	9.95	26.93	18.85	13.53	24.18
2007-07-01	0.00	20.95	3.71	-2.20	9.62
2007-06-01	0.54	31.26	21.36	14.91	27.81
2007-05-01	5.37	31.78	24.95	17.81	32.10
2007-04-01	18.25	39.10	27.73	22.29	33.18
2007-03-01	24.59	43.55	31.22	27.10	35.34
2007-02-01	20.90	33.71	27.73	24.44	31.02
2007-01-01	19.65	28.32	25.34	23.33	27.34
2006-12-01	12.83	29.75	24.57	20.82	28.32
2006-11-01	7.12	31.32	23.02	17.22	28.83
2006-10-01	5.50	30.23	21.32	14.57	28.07
2006-09-01	1.37	33.96	21.25	12.07	30.42
2006-08-01	9.95	26.93	18.85	13.53	24.18
2006-07-01	0.00	20.95	3.71	-2.20	9.62
2006-06-01	0.54	31.26	21.36	14.91	27.81
2006-05-01	5.37	31.78	24.95	17.81	32.10
2006-04-01	18.25	39.10	27.73	22.29	33.18
2006-03-01	24.59	43.55	31.22	27.10	35.34
2006-02-01	20.90	33.71	27.73	24.44	31.02
2006-01-01	19.65	28.32	25.34	23.33	27.34
2005-12-01	12.83	29.75	24.57	20.82	28.32
2005-11-01	7.12	31.32	23.02	17.22	28.83
2005-10-01	5.50	30.23	21.32	14.57	28.07
2005-09-01	1.37	33.96	21.25	12.07	30.42
2005-08-01	9.95	26.93	18.85	13.53	24.18
2005-07-01	0.00	20.95	3.71	-2.20	9.62
2005-06-01	0.54	31.26	21.36	14.91	27.81
2005-05-01	5.37	31.78	24.95	17.81	32.10
2005-04-01	18.25	39.10	27.73	22.29	33.18
2005-03-01	24.59	43.55	31.22	27.10	35.34
2005-02-01	20.90	33.71	27.73	24.44	31.02
2005-01-01	19.65	28.32	25.34	23.33	27.34
2004-12-01	12.83	29.75	24.57	20.82	28.32
2004-11-01	7.12	31.32	23.02	17.22	28.83
2004-10-01	5.50	30.23	21.32	14.57	28.07
2004-09-01	1.37	33.96	21.25	12.07	30.42
2004-08-01	9.95	26.93	18.85	13.53	24.18
2004-07-01	0.00	20.95	3.71	-2.20	9.62
2004-06-01	0.54	31.26	21.36	14.91	27.81
2004-05-01	5.37	31.78	24.95	17.81	32.10
2004-04-01	18.25	39.10	27.73	22.29	33.18
2004-03-01	24.59	43.55	31.22	27.10	35.34
2004-02-01	20.90	33.71	27.73	24.44	31.02
2004-01-01	19.65	28.32	25.34	23.33	27.34
2003-12-01	12.83	29.75	24.57	20.82	28.32
2003-11-01	7.12	31.32	23.02	17.22	28.83
2003-10-01	5.50	30.23	21.32	14.57	28.07
2003-09-01	1.37	33.96	21.25	12.07	30.42
2003-08-01	9.95	26.93	18.85	13.53	24.18
2003-07-01	0.00	20.95	3.71	-2.20	9.62
2003-06-01	0.54	31.26	21.36	14.91	27.81
2003-05-01	5.37	31.78	24.95	17.81	32.10
2003-04-01	18.25	39.10	27.73	22.29	33.18
2003-03-01	24.59	43.55	31.22	27.10	35.34
2003-02-01	20.90	33.71	27.73	24.44	31.02
