Date	MIN	MAX	AVG	LOWSTD	HIGHSTD
2023-09-01	21.93	21.93	21.93	21.93	21.93
2023-08-01	26.51	26.51	26.51	26.51	26.51
2023-07-01	17.73	17.73	17.73	17.73	17.73
2023-06-01	nan	nan	nan	nan	nan
2023-05-01	24.86	27.89	26.37	24.75	27.99
2023-04-01	22.81	31.82	28.12	24.67	31.56
2023-03-01	20.66	32.41	26.93	23.41	30.45
2023-02-01	21.23	28.93	24.06	21.72	26.39
2023-01-01	18.09	25.84	23.65	21.61	25.68
2022-12-01	18.12	22.35	20.15	18.50	21.79
2022-11-01	19.60	23.99	21.79	19.45	24.14
2022-10-01	8.73	21.87	15.90	9.97	21.82
2022-09-01	21.93	21.93	21.93	21.93	21.93
2022-08-01	26.51	26.51	26.51	26.51	26.51
2022-07-01	17.73	17.73	17.73	17.73	17.73
2022-06-01	nan	nan	nan	nan	nan
2022-05-01	24.86	27.89	26.37	24.75	27.99
2022-04-01	22.81	31.82	28.12	24.67	31.56
2022-03-01	20.66	32.41	26.93	23.41	30.45
2022-02-01	21.23	28.93	24.06	21.72	26.39
2022-01-01	18.09	25.84	23.65	21.61	25.68
2021-12-01	18.12	22.35	20.15	18.50	21.79
2021-11-01	19.60	23.99	21.79	19.45	24.14
2021-10-01	8.73	21.87	15.90	9.97	21.82
2021-09-01	21.93	21.93	21.93	21.93	21.93
2021-08-01	26.51	26.51	26.51	26.51	26.51
2021-07-01	17.73	17.73	17.73	17.73	17.73
2021-06-01	nan	nan	nan	nan	nan
2021-05-01	24.86	27.89	26.37	24.75	27.99
2021-04-01	22.81	31.82	28.12	24.67	31.56
2021-03-01	20.66	32.41	26.93	23.41	30.45
2021-02-01	21.23	28.93	24.06	21.72	26.39
2021-01-01	18.09	25.84	23.65	21.61	25.68
2020-12-01	18.12	22.35	20.15	18.50	21.79
2020-11-01	19.60	23.99	21.79	19.45	24.14
2020-10-01	8.73	21.87	15.90	9.97	21.82
2020-09-01	21.93	21.93	21.93	21.93	21.93
2020-08-01	26.51	26.51	26.51	26.51	26.51
2020-07-01	17.73	17.73	17.73	17.73	17.73
2020-06-01	nan	nan	nan	nan	nan
2020-05-01	24.86	27.89	26.37	24.75	27.99
2020-04-01	22.81	31.82	28.12	24.67	31.56
2020-03-01	20.66	32.41	26.93	23.41	30.45
2020-02-01	21.23	28.93	24.06	21.72	26.39
2020-01-01	18.09	25.84	23.65	21.61	25.68
2019-12-01	18.12	22.35	20.15	18.50	21.79
2019-11-01	19.60	23.99	21.79	19.45	24.14
