Date	MIN	MAX	AVG	LOWSTD	HIGHSTD
2021-08-01	2.07	28.96	17.71	9.49	25.93
2021-07-01	0.28	14.56	5.37	-2.60	13.34
2021-06-01	6.43	23.55	19.79	15.03	24.55
2021-05-01	9.83	33.99	22.50	18.99	26.02
2021-04-01	0.00	39.98	15.58	0.49	30.67
2021-03-01	25.43	42.22	32.27	27.96	36.59
2021-02-01	24.83	40.42	30.33	26.86	33.80
2021-01-01	22.19	32.69	27.89	25.29	30.50
2020-12-01	20.32	33.26	26.83	24.08	29.58
2020-11-01	4.17	32.26	22.93	15.45	30.42
2020-10-01	5.04	31.22	22.52	15.42	29.62
2020-09-01	5.49	30.68	20.41	12.06	28.76
2020-08-01	2.07	28.96	17.71	9.49	25.93
2020-07-01	0.28	14.56	5.37	-2.60	13.34
2020-06-01	6.43	23.55	19.79	15.03	24.55
2020-05-01	9.83	33.99	22.50	18.99	26.02
2020-04-01	0.00	39.98	15.58	0.49	30.67
2020-03-01	25.43	42.22	32.27	27.96	36.59
2020-02-01	24.83	40.42	30.33	26.86	33.80
2020-01-01	22.19	32.69	27.89	25.29	30.50
2019-12-01	20.32	33.26	26.83	24.08	29.58
2019-11-01	4.17	32.26	22.93	15.45	30.42
2019-10-01	5.04	31.22	22.52	15.42	29.62
2019-09-01	5.49	30.68	20.41	12.06	28.76
2019-08-01	2.07	28.96	17.71	9.49	25.93
2019-07-01	0.28	14.56	5.37	-2.60	13.34
2019-06-01	6.43	23.55	19.79	15.03	24.55
2019-05-01	9.83	33.99	22.50	18.99	26.02
2019-04-01	0.00	39.98	15.58	0.49	30.67
2019-03-01	25.43	42.22	32.27	27.96	36.59
2019-02-01	24.83	40.42	30.33	26.86	33.80
2019-01-01	22.19	32.69	27.89	25.29	30.50
2018-12-01	20.32	33.26	26.83	24.08	29.58
2018-11-01	4.17	32.26	22.93	15.45	30.42
2018-10-01	5.04	31.22	22.52	15.42	29.62
2018-09-01	5.49	30.68	20.41	12.06	28.76
2018-08-01	2.07	28.96	17.71	9.49	25.93
2018-07-01	0.28	14.56	5.37	-2.60	13.34
2018-06-01	6.43	23.55	19.79	15.03	24.55
2018-05-01	9.83	33.99	22.50	18.99	26.02
2018-04-01	0.00	39.98	15.58	0.49	30.67
2018-03-01	25.43	42.22	32.27	27.96	36.59
2018-02-01	24.83	40.42	30.33	26.86	33.80
2018-01-01	22.19	32.69	27.89	25.29	30.50
2017-12-01	20.32	33.26	26.83	24.08	29.58
2017-11-01	4.17	32.26	22.93	15.45	30.42
2017-10-01	5.04	31.22	22.52	15.42	29.62
2017-09-01	5.49	30.68	20.41	12.06	28.76
2017-08-01	2.07	28.96	17.71	9.49	25.93
2017-07-01	0.28	14.56	5.37	-2.60	13.34
2017-06-01	6.43	23.55	19.79	15.03	24.55
2017-05-01	9.83	33.99	22.50	18.99	26.02
2017-04-01	0.00	39.98	15.58	0.49	30.67
