Date	Temperature
2000-01-28	24.35
2000-04-01	6.98
2000-04-10	33.84
2000-04-17	30.82
2000-05-03	29.87
2000-06-04	7.92
2000-08-07	13.97
2000-09-08	29.14
2000-10-10	28.80
2000-10-26	32.64
2000-11-27	26.42
2001-01-07	29.70
2001-01-14	28.61
2001-03-03	33.12
2001-05-15	29.36
2001-07-25	18.57
2001-08-10	28.54
2001-09-04	23.25
2001-09-11	20.79
2001-10-13	14.29
2001-10-29	17.88
2001-11-30	25.72
2001-12-09	31.37
2002-01-10	27.99
2002-02-18	28.56
2002-02-27	30.41
2002-03-15	21.58
2002-04-16	29.72
2002-05-25	32.48
2002-07-05	16.90
2002-09-14	28.14
2002-09-30	30.34
2002-11-17	26.76
2002-11-26	31.05
2002-12-03	28.13
2003-01-20	26.27
2003-01-29	26.95
2003-02-21	32.28
2003-05-28	15.29
2003-10-03	17.18
2003-10-28	13.41
2003-11-04	17.92
2003-11-20	22.33
2003-12-06	26.52
2003-12-22	26.16
2003-12-31	28.21
2004-01-16	29.52
2004-01-23	26.08
2004-02-24	29.38
2004-03-04	32.73
2004-03-11	31.06
2004-04-05	7.07
2004-04-12	32.54
2004-04-28	22.15
2004-08-18	22.25
2004-09-19	7.73
2004-10-21	17.44
2004-11-22	24.16
2004-12-08	26.12
2004-12-17	25.15
2004-12-24	26.71
2005-01-02	27.40
2005-01-25	28.82
2005-02-03	30.06
2005-02-10	24.96
2005-02-26	34.95
2005-03-14	32.13
2005-03-23	30.57
2005-04-15	34.36
2005-06-02	28.95
2005-09-15	16.46
2005-09-22	26.36
2005-10-01	30.28
2005-10-24	17.28
2005-12-27	26.30
2006-01-21	28.77
2006-01-28	24.64
2006-03-01	32.28
2006-03-26	33.84
2006-04-11	16.69
2006-08-08	25.74
2006-09-09	19.11
2006-10-11	10.52
2006-11-28	14.27
2006-12-07	29.22
2006-12-30	25.12
2007-01-08	28.61
2007-01-15	25.41
2007-01-24	28.85
2007-01-31	28.69
2007-02-16	27.62
2007-03-04	32.04
2007-03-13	25.64
2007-03-20	34.83
2007-03-29	35.58
2007-04-05	33.38
2007-04-30	31.77
2007-08-27	21.00
2007-09-12	4.30
2007-10-14	14.26
2007-10-30	12.40
2007-11-15	29.47
2007-11-24	25.99
2007-12-01	30.35
2007-12-17	23.97
2007-12-26	27.88
2008-01-02	26.32
2008-01-11	27.96
2008-01-18	26.05
2008-02-03	26.85
2008-02-19	30.33
2008-03-06	30.35
2008-05-25	27.44
2008-07-12	18.17
2008-08-29	25.06
2008-09-23	24.43
2008-09-30	27.05
2008-11-01	28.19
2008-11-17	27.30
2008-12-03	31.22
2008-12-12	32.71
2008-12-28	30.34
2009-01-13	26.78
2009-01-20	26.24
2009-02-05	29.45
2009-02-14	31.62
2009-03-02	39.80
2009-03-25	31.25
2009-04-03	3.12
2009-05-12	30.17
2009-05-28	25.06
2009-06-29	17.05
2009-10-19	25.50
2009-11-04	16.56
2009-11-20	23.49
2009-11-29	29.31
2009-12-31	21.17
2010-01-07	27.28
2010-01-23	27.67
2010-02-08	26.09
2010-02-24	29.73
2010-04-06	32.03
2010-04-22	32.51
2010-05-15	24.27
2011-01-19	31.22
2011-02-20	29.72
2011-03-31	32.74
2011-05-02	30.10
2011-05-18	28.41
2011-08-22	17.19
2011-09-23	25.89
2011-10-02	31.84
2011-10-09	27.46
2011-11-10	28.84
2011-12-12	22.76
2012-01-13	27.12
2012-01-29	19.82
2012-02-14	32.58
2012-03-01	29.52
2012-03-17	33.07
2012-03-26	36.12
2012-04-02	31.56
2012-04-11	32.81
2012-04-18	22.90
2012-05-04	28.28
2012-05-13	29.92
2012-06-21	13.52
2012-09-25	22.57
2012-10-04	28.16
2012-10-27	24.05
2012-11-05	36.35
2012-11-12	29.54
2012-11-28	29.60
2012-12-14	30.27
2013-01-15	29.17
2013-01-31	28.68
2013-02-25	31.13
2013-03-13	33.53
2013-08-11	13.52
2013-08-27	21.24
2013-09-28	16.60
2013-10-07	27.14
2013-10-14	29.87
2013-10-30	23.62
2013-11-08	24.12
2013-12-17	27.33
2013-12-26	29.41
2014-01-02	25.50
2014-01-11	28.88
2014-01-18	22.97
2014-02-03	26.35
2014-02-12	30.70
2014-02-19	27.81
2014-02-28	31.43
2014-03-07	27.03
2014-03-23	36.85
2014-04-08	34.09
2014-04-24	27.82
2014-05-10	32.10
2014-06-04	17.42
2014-06-27	18.28
2014-08-14	22.45
2014-08-30	14.84
2014-09-08	28.48
2014-09-15	21.58
2014-10-01	24.57
2014-10-17	6.21
2014-11-02	6.97
2014-11-11	31.42
2014-11-18	24.61
2014-12-04	25.55
2014-12-20	19.61
2015-01-05	29.13
2015-01-21	26.95
2015-01-30	24.82
2015-02-06	25.63
2015-02-22	28.00
2015-03-03	29.50
2015-03-10	31.21
2015-03-19	40.62
2015-04-11	29.79
2015-04-20	6.43
2015-04-27	29.94
2015-05-22	23.92
2015-05-29	25.70
2015-06-30	24.82
2015-07-16	0.19
2015-08-17	24.57
2015-09-18	17.38
2015-09-27	26.34
2015-10-20	7.85
2015-10-29	15.02
2015-11-21	27.03
2015-12-23	27.80
2016-01-01	27.88
2016-01-08	24.62
2016-01-24	26.69
2016-02-09	27.06
2016-02-25	35.50
2016-03-05	31.58
2016-03-21	38.90
2016-03-28	31.32
2016-04-06	23.08
2016-04-13	29.05
2016-04-29	30.37
2016-05-15	20.46
2016-05-24	27.66
2016-05-31	25.80
2016-07-02	8.64
2016-07-27	4.90
2016-08-03	15.00
2016-08-19	22.28
2016-09-20	21.91
2016-10-06	26.26
2016-10-22	20.07
2016-11-07	29.49
2016-11-23	26.07
