Date	Temperature
2000-01-28	23.05
2000-04-17	29.26
2000-05-03	26.96
2000-09-08	28.05
2000-10-10	26.92
2000-10-26	28.75
2000-11-27	20.68
2001-01-14	26.80
2001-03-03	31.37
2001-07-25	14.56
2001-09-11	15.74
2001-11-30	22.33
2002-02-18	26.98
2002-05-25	31.21
2002-09-14	27.31
2002-09-30	28.65
2002-12-03	26.69
2003-01-20	26.51
2003-02-21	31.67
2003-11-04	13.04
2003-11-20	11.13
2003-12-06	25.03
2003-12-22	23.88
2004-01-23	23.80
2004-03-11	32.91
2004-04-12	28.47
2004-04-28	22.04
2004-09-19	9.68
2004-11-22	19.59
2004-12-08	25.29
2004-12-24	22.20
2005-01-25	28.00
2005-02-10	24.51
2005-02-26	32.27
2005-03-14	30.45
2005-04-15	28.99
2005-09-22	15.09
2005-10-24	19.29
2005-12-20	30.54
2005-12-27	25.60
2006-01-28	24.55
2006-03-01	30.17
2006-08-08	28.16
2006-10-11	7.14
2006-11-05	27.15
2006-12-30	24.93
2007-01-15	25.36
2007-01-31	27.99
2007-02-16	28.28
2007-03-04	30.84
2007-03-20	33.60
2007-04-05	33.63
2007-08-27	21.39
2007-09-12	20.97
2007-10-14	0.60
2007-10-30	13.86
2007-11-15	26.27
2007-12-01	29.29
2007-12-17	23.51
2008-01-02	24.23
2008-01-18	25.15
2008-02-03	23.43
2008-02-19	28.47
2008-03-06	28.42
2008-05-25	28.17
2008-08-29	21.31
2008-09-30	26.09
2008-11-01	27.80
2008-11-17	27.08
2008-12-03	28.18
2009-01-20	25.09
2009-02-05	27.16
2009-03-25	29.71
2009-05-12	29.78
2009-10-19	26.75
2009-11-20	23.67
2010-01-07	26.34
2010-01-23	26.67
2010-02-08	25.99
2010-02-24	28.84
2011-03-31	32.68
2011-05-02	32.18
2011-05-18	19.05
2011-08-22	23.66
2011-09-23	18.12
2011-10-09	27.83
2011-11-10	27.84
2011-12-12	25.27
2012-01-13	26.84
2012-01-29	17.42
2012-02-14	31.70
2012-03-01	29.39
2012-03-17	33.47
2012-04-02	26.85
2012-04-18	22.61
2012-05-04	29.01
2012-09-25	23.65
2012-10-27	21.96
2012-11-12	28.17
2012-11-28	28.24
2012-12-14	26.00
2013-01-15	27.22
2013-01-31	28.06
2013-08-11	11.78
2013-09-28	10.46
2013-10-14	30.99
2013-10-30	24.69
2013-12-17	25.13
2014-01-02	24.91
2014-01-18	20.65
2014-02-03	25.83
2014-02-19	27.48
2014-03-07	26.46
2014-09-15	17.66
2014-10-01	25.75
2014-11-02	14.17
2014-11-11	21.70
2014-11-18	23.62
2014-12-04	24.57
2014-12-20	18.27
2015-01-05	28.32
2015-01-21	26.11
2015-02-06	23.93
2015-02-22	26.76
2015-03-10	29.03
2015-04-11	28.89
2015-04-27	29.02
2015-05-29	23.93
2015-08-17	23.98
2015-09-18	17.99
2015-10-20	6.81
2015-11-21	24.66
2015-12-23	27.09
2016-01-08	23.82
2016-01-24	26.39
2016-02-09	29.39
2016-02-25	32.74
2016-03-28	28.16
2016-04-29	26.50
2016-05-15	24.66
2016-07-02	11.78
2016-08-03	15.53
2016-10-06	26.95
2016-10-22	22.58
2016-11-07	29.30
2016-11-23	26.35
2016-12-09	24.61
2017-01-10	26.90
2017-02-11	30.21
2017-04-16	24.77
2017-05-02	31.20
2017-07-05	0.28
2017-07-30	10.58
2017-09-23	27.63
2017-10-25	29.10
2017-11-10	20.93
2017-12-12	26.60
2018-01-13	25.01
2018-01-29	24.81
2018-02-14	27.53
2018-03-02	29.82
2018-04-03	34.57
2018-09-10	26.08
2018-09-26	29.52
2018-10-28	19.77
2018-11-13	24.30
2018-12-15	26.32
2018-12-31	26.71
2019-01-16	25.61
2019-02-01	26.75
2019-02-17	28.12
2019-03-21	32.99
2019-04-06	32.45
2019-07-11	1.27
2019-08-12	13.08
2019-09-29	4.85
2019-10-15	11.96
2020-01-03	28.53
2020-01-19	25.33
2020-02-04	29.12
2020-02-20	28.26
2020-03-07	26.47
2020-04-08	24.90
2020-05-26	14.63
2020-08-30	22.23
2020-09-15	2.81
2020-10-01	18.81
2020-10-17	22.85
2020-11-02	4.17
2020-12-13	22.94
2020-12-20	23.96
2021-01-21	24.75
2021-02-06	24.87
2021-07-24	5.69
