Date	MIN	MAX	AVG	LOWSTD	HIGHSTD
2021-09-01	2.81	29.52	19.46	11.05	27.88
2021-08-01	11.78	28.16	20.12	14.65	25.60
2021-07-01	0.28	14.56	7.36	1.50	13.22
2021-06-01	nan	nan	nan	nan	nan
2021-05-01	14.63	32.18	26.43	20.93	31.94
2021-04-01	22.04	34.57	28.07	24.27	31.86
2021-03-01	26.46	33.60	30.35	28.08	32.62
2021-02-01	23.43	32.74	27.93	25.37	30.49
2021-01-01	17.42	28.53	25.47	23.17	27.78
2020-12-01	18.27	30.54	25.33	22.85	27.81
2020-11-01	4.17	29.30	22.37	15.87	28.88
2020-10-01	0.60	30.99	20.67	12.18	29.15
2020-09-01	2.81	29.52	19.46	11.05	27.88
2020-08-01	11.78	28.16	20.12	14.65	25.60
2020-07-01	0.28	14.56	7.36	1.50	13.22
2020-06-01	nan	nan	nan	nan	nan
2020-05-01	14.63	32.18	26.43	20.93	31.94
2020-04-01	22.04	34.57	28.07	24.27	31.86
2020-03-01	26.46	33.60	30.35	28.08	32.62
2020-02-01	23.43	32.74	27.93	25.37	30.49
2020-01-01	17.42	28.53	25.47	23.17	27.78
2019-12-01	18.27	30.54	25.33	22.85	27.81
2019-11-01	4.17	29.30	22.37	15.87	28.88
2019-10-01	0.60	30.99	20.67	12.18	29.15
2019-09-01	2.81	29.52	19.46	11.05	27.88
2019-08-01	11.78	28.16	20.12	14.65	25.60
2019-07-01	0.28	14.56	7.36	1.50	13.22
2019-06-01	nan	nan	nan	nan	nan
2019-05-01	14.63	32.18	26.43	20.93	31.94
2019-04-01	22.04	34.57	28.07	24.27	31.86
2019-03-01	26.46	33.60	30.35	28.08	32.62
2019-02-01	23.43	32.74	27.93	25.37	30.49
2019-01-01	17.42	28.53	25.47	23.17	27.78
2018-12-01	18.27	30.54	25.33	22.85	27.81
2018-11-01	4.17	29.30	22.37	15.87	28.88
2018-10-01	0.60	30.99	20.67	12.18	29.15
2018-09-01	2.81	29.52	19.46	11.05	27.88
2018-08-01	11.78	28.16	20.12	14.65	25.60
2018-07-01	0.28	14.56	7.36	1.50	13.22
2018-06-01	nan	nan	nan	nan	nan
