Date	MIN	MAX	AVG	LOWSTD	HIGHSTD
2023-09-01	nan	nan	nan	nan	nan
2023-08-01	nan	nan	nan	nan	nan
2023-07-01	23.38	23.38	23.38	23.38	23.38
2023-06-01	nan	nan	nan	nan	nan
2023-05-01	nan	nan	nan	nan	nan
2023-04-01	31.32	33.71	32.52	31.24	33.79
2023-03-01	27.06	36.39	31.05	27.72	34.38
2023-02-01	24.23	31.53	28.03	25.94	30.13
2023-01-01	23.88	28.31	26.20	24.73	27.66
2022-12-01	22.12	27.74	24.68	22.55	26.80
2022-11-01	16.76	25.85	22.62	18.93	26.31
2022-10-01	21.93	21.93	21.93	21.93	21.93
2022-09-01	nan	nan	nan	nan	nan
2022-08-01	nan	nan	nan	nan	nan
2022-07-01	23.38	23.38	23.38	23.38	23.38
2022-06-01	nan	nan	nan	nan	nan
2022-05-01	nan	nan	nan	nan	nan
2022-04-01	31.32	33.71	32.52	31.24	33.79
2022-03-01	27.06	36.39	31.05	27.72	34.38
2022-02-01	24.23	31.53	28.03	25.94	30.13
2022-01-01	23.88	28.31	26.20	24.73	27.66
2021-12-01	22.12	27.74	24.68	22.55	26.80
2021-11-01	16.76	25.85	22.62	18.93	26.31
2021-10-01	21.93	21.93	21.93	21.93	21.93
2021-09-01	nan	nan	nan	nan	nan
2021-08-01	nan	nan	nan	nan	nan
2021-07-01	23.38	23.38	23.38	23.38	23.38
2021-06-01	nan	nan	nan	nan	nan
2021-05-01	nan	nan	nan	nan	nan
2021-04-01	31.32	33.71	32.52	31.24	33.79
2021-03-01	27.06	36.39	31.05	27.72	34.38
2021-02-01	24.23	31.53	28.03	25.94	30.13
2021-01-01	23.88	28.31	26.20	24.73	27.66
2020-12-01	22.12	27.74	24.68	22.55	26.80
2020-11-01	16.76	25.85	22.62	18.93	26.31
2020-10-01	21.93	21.93	21.93	21.93	21.93
2020-09-01	nan	nan	nan	nan	nan
2020-08-01	nan	nan	nan	nan	nan
2020-07-01	23.38	23.38	23.38	23.38	23.38
2020-06-01	nan	nan	nan	nan	nan
2020-05-01	nan	nan	nan	nan	nan
2020-04-01	31.32	33.71	32.52	31.24	33.79
2020-03-01	27.06	36.39	31.05	27.72	34.38
2020-02-01	24.23	31.53	28.03	25.94	30.13
2020-01-01	23.88	28.31	26.20	24.73	27.66
2019-12-01	22.12	27.74	24.68	22.55	26.80
2019-11-01	16.76	25.85	22.62	18.93	26.31
2019-10-01	21.93	21.93	21.93	21.93	21.93
2019-09-01	nan	nan	nan	nan	nan
2019-08-01	nan	nan	nan	nan	nan
2019-07-01	23.38	23.38	23.38	23.38	23.38
2019-06-01	nan	nan	nan	nan	nan
2019-05-01	nan	nan	nan	nan	nan
2019-04-01	31.32	33.71	32.52	31.24	33.79
2019-03-01	27.06	36.39	31.05	27.72	34.38
2019-02-01	24.23	31.53	28.03	25.94	30.13
2019-01-01	23.88	28.31	26.20	24.73	27.66
2018-12-01	22.12	27.74	24.68	22.55	26.80
