Date	Temperature
2000-01-28	24.35
2000-04-17	30.82
2000-05-03	29.94
2000-09-08	26.48
2000-10-10	28.79
2000-10-26	31.60
2001-01-14	27.91
2001-03-03	33.12
2001-07-25	18.57
2001-09-11	24.62
2001-10-13	5.92
2001-11-30	25.99
2002-02-18	28.54
2002-05-25	30.90
2002-09-14	23.20
2002-09-30	30.00
2002-11-17	26.68
2002-12-03	28.18
2003-01-20	24.61
2003-02-21	31.56
2003-05-28	22.25
2003-10-03	17.16
2003-11-04	20.28
2003-11-20	26.48
2003-12-06	26.35
2003-12-22	26.08
2004-01-23	26.76
2004-02-24	28.58
2004-03-11	31.07
2004-04-12	32.52
2004-04-28	22.16
2004-09-19	21.92
2004-10-21	11.95
2004-11-22	25.43
2004-12-08	26.33
2004-12-24	27.39
2005-01-25	28.46
2005-02-10	24.89
2005-03-14	31.19
2005-04-15	34.54
2005-06-02	28.24
2005-09-22	29.24
2005-10-24	17.94
2005-12-27	26.38
2006-01-28	24.74
2006-03-01	32.31
2006-08-08	25.74
2006-09-09	19.11
2006-10-11	19.29
2006-12-30	25.09
2007-01-15	25.98
2007-01-31	29.32
2007-02-16	27.62
2007-03-04	32.33
2007-03-20	34.83
2007-04-05	33.66
2007-08-27	15.94
2007-10-30	15.95
2007-11-15	30.07
2007-12-01	30.58
2007-12-17	25.77
2008-01-02	27.18
2008-01-18	26.06
2008-02-03	26.03
2008-02-19	30.40
2008-03-06	31.31
2008-05-25	25.13
2008-07-12	15.35
2008-08-29	24.95
2008-09-30	27.77
2008-11-01	15.64
2008-11-17	9.74
2008-12-03	32.46
2009-01-20	26.24
2009-02-05	29.27
2009-03-25	31.25
2009-05-12	31.01
2009-05-28	23.52
2009-06-29	9.37
2009-10-19	25.50
2009-11-04	16.57
2010-01-07	27.29
2010-01-23	27.83
2010-02-08	25.98
2010-02-24	29.78
2010-05-15	24.27
2011-03-31	33.12
2011-05-02	31.89
2011-05-18	33.84
2011-09-23	27.89
2011-10-09	27.75
2011-11-10	29.03
2011-12-12	17.69
2012-01-13	26.88
2012-01-29	15.45
2012-02-14	32.53
2012-03-01	28.70
2012-03-17	32.64
2012-04-02	31.43
2012-04-18	20.50
2012-05-04	28.38
2012-06-21	13.52
2012-10-27	31.28
2012-11-12	31.16
2012-11-28	30.97
2012-12-14	30.81
2013-01-15	29.17
2013-01-31	28.67
2013-08-11	13.47
2013-08-27	20.71
2013-10-14	29.85
2013-10-30	17.83
2013-12-17	27.34
2014-01-02	25.50
2014-01-18	23.46
2014-02-03	26.35
2014-02-19	27.83
2014-03-23	36.06
2014-04-08	32.79
2014-04-24	27.67
2014-05-10	32.22
2014-06-27	18.28
2014-08-14	21.89
2014-08-30	15.88
2014-09-15	24.86
2014-10-01	27.06
2014-10-17	6.05
2014-11-18	26.93
2014-12-04	26.00
2015-01-05	29.64
2015-01-21	27.25
2015-02-06	25.48
2015-02-22	27.83
2015-03-10	31.92
2015-04-11	25.95
2015-04-27	31.14
2015-05-29	26.28
2015-06-30	24.43
2015-08-17	26.38
2015-09-18	10.48
2015-11-21	26.93
2015-12-23	27.96
2016-01-08	25.25
2016-01-24	26.66
2016-02-09	27.06
2016-03-28	32.23
2016-04-13	31.65
2016-04-29	29.94
2016-05-31	25.70
2016-08-03	18.22
2016-08-19	23.32
2016-09-20	18.71
2016-10-06	26.06
2016-10-22	7.71
2016-11-07	29.36
2016-11-23	21.44
2016-12-09	25.72
2017-01-10	28.06
2017-02-11	30.04
2017-02-27	27.59
2017-03-31	36.70
2017-04-16	30.27
2017-05-02	33.16
2017-07-05	20.26
2017-07-21	23.10
2017-09-07	23.29
2017-09-23	27.02
2017-10-09	22.25
2017-10-25	30.70
2017-11-10	26.93
2017-12-12	17.40
2018-01-29	25.64
2018-02-14	25.90
2018-03-02	30.31
2018-04-03	30.66
2018-05-05	23.18
2018-08-25	10.89
2018-09-10	24.72
2018-10-12	31.40
2018-11-13	15.69
2018-12-31	29.53
2019-01-16	26.73
2019-02-01	27.69
2019-02-17	28.31
2019-03-05	27.16
2019-03-21	35.58
2019-04-06	32.41
2019-06-25	28.70
2019-08-12	15.98
2019-09-29	23.48
2019-10-15	17.55
2019-12-18	23.52
2020-01-03	30.13
2020-01-19	12.81
2020-02-04	30.27
2020-02-20	29.47
2020-03-07	29.20
2020-04-08	21.45
2020-05-26	32.90
