Date	MIN	MAX	AVG	LOWSTD	HIGHSTD
2023-09-01	10.48	30.00	23.92	19.09	28.76
2023-08-01	10.89	28.61	22.15	16.21	28.09
2023-07-01	0.00	23.10	2.76	-4.21	9.73
2023-06-01	9.37	28.70	16.07	12.82	19.32
2023-05-01	19.55	33.84	21.39	17.40	25.39
2023-04-01	0.00	34.54	9.75	-0.67	20.17
2023-03-01	27.16	36.70	31.00	27.75	34.25
2023-02-01	24.21	32.53	27.77	26.24	29.30
2023-01-01	12.81	30.13	26.11	23.14	29.08
2022-12-01	17.40	32.46	25.33	22.18	28.49
2022-11-01	9.74	31.16	24.28	18.24	30.32
2022-10-01	5.92	31.60	21.03	14.98	27.08
2022-09-01	10.48	30.00	23.92	19.09	28.76
2022-08-01	10.89	28.61	22.15	16.21	28.09
2022-07-01	0.00	23.10	2.76	-4.21	9.73
2022-06-01	9.37	28.70	16.07	12.82	19.32
2022-05-01	19.55	33.84	21.39	17.40	25.39
2022-04-01	0.00	34.54	9.75	-0.67	20.17
2022-03-01	27.16	36.70	31.00	27.75	34.25
2022-02-01	24.21	32.53	27.77	26.24	29.30
2022-01-01	12.81	30.13	26.11	23.14	29.08
2021-12-01	17.40	32.46	25.33	22.18	28.49
2021-11-01	9.74	31.16	24.28	18.24	30.32
2021-10-01	5.92	31.60	21.03	14.98	27.08
2021-09-01	10.48	30.00	23.92	19.09	28.76
2021-08-01	10.89	28.61	22.15	16.21	28.09
2021-07-01	0.00	23.10	2.76	-4.21	9.73
2021-06-01	9.37	28.70	16.07	12.82	19.32
2021-05-01	19.55	33.84	21.39	17.40	25.39
2021-04-01	0.00	34.54	9.75	-0.67	20.17
2021-03-01	27.16	36.70	31.00	27.75	34.25
2021-02-01	24.21	32.53	27.77	26.24	29.30
2021-01-01	12.81	30.13	26.11	23.14	29.08
2020-12-01	17.40	32.46	25.33	22.18	28.49
2020-11-01	9.74	31.16	24.28	18.24	30.32
2020-10-01	5.92	31.60	21.03	14.98	27.08
2020-09-01	10.48	30.00	23.92	19.09	28.76
2020-08-01	10.89	28.61	22.15	16.21	28.09
2020-07-01	0.00	23.10	2.76	-4.21	9.73
2020-06-01	9.37	28.70	16.07	12.82	19.32
2020-05-01	19.55	33.84	21.39	17.40	25.39
2020-04-01	0.00	34.54	9.75	-0.67	20.17
2020-03-01	27.16	36.70	31.00	27.75	34.25
