Date	MIN	MAX	AVG	LOWSTD	HIGHSTD
2023-09-01	4.35	30.73	22.57	16.15	28.98
2023-08-01	1.36	28.69	18.77	11.91	25.63
2023-07-01	0.19	25.56	19.46	13.83	25.09
2023-06-01	1.36	28.95	24.05	16.26	31.85
2023-05-01	5.87	35.49	26.14	18.15	34.12
2023-04-01	9.31	36.14	29.06	22.99	35.13
2023-03-01	27.16	36.85	31.67	30.01	33.32
2023-02-01	24.21	35.90	29.32	27.32	31.33
2023-01-01	12.83	30.13	27.17	24.15	30.19
2022-12-01	17.55	32.46	25.76	22.26	29.27
2022-11-01	6.97	30.97	22.84	16.53	29.15
2022-10-01	1.36	32.65	20.10	11.49	28.71
2022-09-01	4.35	30.73	22.57	16.15	28.98
2022-08-01	1.36	28.69	18.77	11.91	25.63
2022-07-01	0.19	25.56	19.46	13.83	25.09
2022-06-01	1.36	28.95	24.05	16.26	31.85
2022-05-01	5.87	35.49	26.14	18.15	34.12
2022-04-01	9.31	36.14	29.06	22.99	35.13
2022-03-01	27.16	36.85	31.67	30.01	33.32
2022-02-01	24.21	35.90	29.32	27.32	31.33
2022-01-01	12.83	30.13	27.17	24.15	30.19
2021-12-01	17.55	32.46	25.76	22.26	29.27
2021-11-01	6.97	30.97	22.84	16.53	29.15
2021-10-01	1.36	32.65	20.10	11.49	28.71
2021-09-01	4.35	30.73	22.57	16.15	28.98
2021-08-01	1.36	28.69	18.77	11.91	25.63
2021-07-01	0.19	25.56	19.46	13.83	25.09
2021-06-01	1.36	28.95	24.05	16.26	31.85
2021-05-01	5.87	35.49	26.14	18.15	34.12
2021-04-01	9.31	36.14	29.06	22.99	35.13
2021-03-01	27.16	36.85	31.67	30.01	33.32
2021-02-01	24.21	35.90	29.32	27.32	31.33
2021-01-01	12.83	30.13	27.17	24.15	30.19
2020-12-01	17.55	32.46	25.76	22.26	29.27
2020-11-01	6.97	30.97	22.84	16.53	29.15
2020-10-01	1.36	32.65	20.10	11.49	28.71
2020-09-01	4.35	30.73	22.57	16.15	28.98
2020-08-01	1.36	28.69	18.77	11.91	25.63
2020-07-01	0.19	25.56	19.46	13.83	25.09
2020-06-01	1.36	28.95	24.05	16.26	31.85
2020-05-01	5.87	35.49	26.14	18.15	34.12
2020-04-01	9.31	36.14	29.06	22.99	35.13
2020-03-01	27.16	36.85	31.67	30.01	33.32
2020-02-01	24.21	35.90	29.32	27.32	31.33
2020-01-01	12.83	30.13	27.17	24.15	30.19
2019-12-01	17.55	32.46	25.76	22.26	29.27
2019-11-01	6.97	30.97	22.84	16.53	29.15
2019-10-01	1.36	32.65	20.10	11.49	28.71
2019-09-01	4.35	30.73	22.57	16.15	28.98
2019-08-01	1.36	28.69	18.77	11.91	25.63
2019-07-01	0.19	25.56	19.46	13.83	25.09
2019-06-01	1.36	28.95	24.05	16.26	31.85
2019-05-01	5.87	35.49	26.14	18.15	34.12
2019-04-01	9.31	36.14	29.06	22.99	35.13
2019-03-01	27.16	36.85	31.67	30.01	33.32
2019-02-01	24.21	35.90	29.32	27.32	31.33
2019-01-01	12.83	30.13	27.17	24.15	30.19
2018-12-01	17.55	32.46	25.76	22.26	29.27
2018-11-01	6.97	30.97	22.84	16.53	29.15
2018-10-01	1.36	32.65	20.10	11.49	28.71
2018-09-01	4.35	30.73	22.57	16.15	28.98
2018-08-01	1.36	28.69	18.77	11.91	25.63
2018-07-01	0.19	25.56	19.46	13.83	25.09
2018-06-01	1.36	28.95	24.05	16.26	31.85
2018-05-01	5.87	35.49	26.14	18.15	34.12
2018-04-01	9.31	36.14	29.06	22.99	35.13
2018-03-01	27.16	36.85	31.67	30.01	33.32
2018-02-01	24.21	35.90	29.32	27.32	31.33
2018-01-01	12.83	30.13	27.17	24.15	30.19
2017-12-01	17.55	32.46	25.76	22.26	29.27
2017-11-01	6.97	30.97	22.84	16.53	29.15
2017-10-01	1.36	32.65	20.10	11.49	28.71
2017-09-01	4.35	30.73	22.57	16.15	28.98
2017-08-01	1.36	28.69	18.77	11.91	25.63
2017-07-01	0.19	25.56	19.46	13.83	25.09
2017-06-01	1.36	28.95	24.05	16.26	31.85
2017-05-01	5.87	35.49	26.14	18.15	34.12
2017-04-01	9.31	36.14	29.06	22.99	35.13
2017-03-01	27.16	36.85	31.67	30.01	33.32
2017-02-01	24.21	35.90	29.32	27.32	31.33
2017-01-01	12.83	30.13	27.17	24.15	30.19
2016-12-01	17.55	32.46	25.76	22.26	29.27
2016-11-01	6.97	30.97	22.84	16.53	29.15
2016-10-01	1.36	32.65	20.10	11.49	28.71
2016-09-01	4.35	30.73	22.57	16.15	28.98
2016-08-01	1.36	28.69	18.77	11.91	25.63
2016-07-01	0.19	25.56	19.46	13.83	25.09
2016-06-01	1.36	28.95	24.05	16.26	31.85
2016-05-01	5.87	35.49	26.14	18.15	34.12
2016-04-01	9.31	36.14	29.06	22.99	35.13
2016-03-01	27.16	36.85	31.67	30.01	33.32
2016-02-01	24.21	35.90	29.32	27.32	31.33
2016-01-01	12.83	30.13	27.17	24.15	30.19
2015-12-01	17.55	32.46	25.76	22.26	29.27
2015-11-01	6.97	30.97	22.84	16.53	29.15
2015-10-01	1.36	32.65	20.10	11.49	28.71
2015-09-01	4.35	30.73	22.57	16.15	28.98
2015-08-01	1.36	28.69	18.77	11.91	25.63
2015-07-01	0.19	25.56	19.46	13.83	25.09
2015-06-01	1.36	28.95	24.05	16.26	31.85
2015-05-01	5.87	35.49	26.14	18.15	34.12
2015-04-01	9.31	36.14	29.06	22.99	35.13
2015-03-01	27.16	36.85	31.67	30.01	33.32
2015-02-01	24.21	35.90	29.32	27.32	31.33
2015-01-01	12.83	30.13	27.17	24.15	30.19
2014-12-01	17.55	32.46	25.76	22.26	29.27
2014-11-01	6.97	30.97	22.84	16.53	29.15
2014-10-01	1.36	32.65	20.10	11.49	28.71
2014-09-01	4.35	30.73	22.57	16.15	28.98
2014-08-01	1.36	28.69	18.77	11.91	25.63
2014-07-01	0.19	25.56	19.46	13.83	25.09
2014-06-01	1.36	28.95	24.05	16.26	31.85
2014-05-01	5.87	35.49	26.14	18.15	34.12
2014-04-01	9.31	36.14	29.06	22.99	35.13
2014-03-01	27.16	36.85	31.67	30.01	33.32
2014-02-01	24.21	35.90	29.32	27.32	31.33
2014-01-01	12.83	30.13	27.17	24.15	30.19
2013-12-01	17.55	32.46	25.76	22.26	29.27
2013-11-01	6.97	30.97	22.84	16.53	29.15
2013-10-01	1.36	32.65	20.10	11.49	28.71
2013-09-01	4.35	30.73	22.57	16.15	28.98
2013-08-01	1.36	28.69	18.77	11.91	25.63
2013-07-01	0.19	25.56	19.46	13.83	25.09
2013-06-01	1.36	28.95	24.05	16.26	31.85
2013-05-01	5.87	35.49	26.14	18.15	34.12
2013-04-01	9.31	36.14	29.06	22.99	35.13
2013-03-01	27.16	36.85	31.67	30.01	33.32
2013-02-01	24.21	35.90	29.32	27.32	31.33
2013-01-01	12.83	30.13	27.17	24.15	30.19
2012-12-01	17.55	32.46	25.76	22.26	29.27
2012-11-01	6.97	30.97	22.84	16.53	29.15
2012-10-01	1.36	32.65	20.10	11.49	28.71
2012-09-01	4.35	30.73	22.57	16.15	28.98
2012-08-01	1.36	28.69	18.77	11.91	25.63
2012-07-01	0.19	25.56	19.46	13.83	25.09
2012-06-01	1.36	28.95	24.05	16.26	31.85
2012-05-01	5.87	35.49	26.14	18.15	34.12
2012-04-01	9.31	36.14	29.06	22.99	35.13
2012-03-01	27.16	36.85	31.67	30.01	33.32
2012-02-01	24.21	35.90	29.32	27.32	31.33
2012-01-01	12.83	30.13	27.17	24.15	30.19
2011-12-01	17.55	32.46	25.76	22.26	29.27
2011-11-01	6.97	30.97	22.84	16.53	29.15
2011-10-01	1.36	32.65	20.10	11.49	28.71
2011-09-01	4.35	30.73	22.57	16.15	28.98
2011-08-01	1.36	28.69	18.77	11.91	25.63
2011-07-01	0.19	25.56	19.46	13.83	25.09
2011-06-01	1.36	28.95	24.05	16.26	31.85
2011-05-01	5.87	35.49	26.14	18.15	34.12
2011-04-01	9.31	36.14	29.06	22.99	35.13
2011-03-01	27.16	36.85	31.67	30.01	33.32
2011-02-01	24.21	35.90	29.32	27.32	31.33
2011-01-01	12.83	30.13	27.17	24.15	30.19
2010-12-01	17.55	32.46	25.76	22.26	29.27
2010-11-01	6.97	30.97	22.84	16.53	29.15
2010-10-01	1.36	32.65	20.10	11.49	28.71
2010-09-01	4.35	30.73	22.57	16.15	28.98
2010-08-01	1.36	28.69	18.77	11.91	25.63
2010-07-01	0.19	25.56	19.46	13.83	25.09
2010-06-01	1.36	28.95	24.05	16.26	31.85
2010-05-01	5.87	35.49	26.14	18.15	34.12
2010-04-01	9.31	36.14	29.06	22.99	35.13
2010-03-01	27.16	36.85	31.67	30.01	33.32
2010-02-01	24.21	35.90	29.32	27.32	31.33
2010-01-01	12.83	30.13	27.17	24.15	30.19
2009-12-01	17.55	32.46	25.76	22.26	29.27
2009-11-01	6.97	30.97	22.84	16.53	29.15
2009-10-01	1.36	32.65	20.10	11.49	28.71
2009-09-01	4.35	30.73	22.57	16.15	28.98
2009-08-01	1.36	28.69	18.77	11.91	25.63
2009-07-01	0.19	25.56	19.46	13.83	25.09
2009-06-01	1.36	28.95	24.05	16.26	31.85
2009-05-01	5.87	35.49	26.14	18.15	34.12
2009-04-01	9.31	36.14	29.06	22.99	35.13
2009-03-01	27.16	36.85	31.67	30.01	33.32
2009-02-01	24.21	35.90	29.32	27.32	31.33
2009-01-01	12.83	30.13	27.17	24.15	30.19
2008-12-01	17.55	32.46	25.76	22.26	29.27
2008-11-01	6.97	30.97	22.84	16.53	29.15
2008-10-01	1.36	32.65	20.10	11.49	28.71
2008-09-01	4.35	30.73	22.57	16.15	28.98
2008-08-01	1.36	28.69	18.77	11.91	25.63
2008-07-01	0.19	25.56	19.46	13.83	25.09
2008-06-01	1.36	28.95	24.05	16.26	31.85
2008-05-01	5.87	35.49	26.14	18.15	34.12
2008-04-01	9.31	36.14	29.06	22.99	35.13
2008-03-01	27.16	36.85	31.67	30.01	33.32
2008-02-01	24.21	35.90	29.32	27.32	31.33
2008-01-01	12.83	30.13	27.17	24.15	30.19
2007-12-01	17.55	32.46	25.76	22.26	29.27
2007-11-01	6.97	30.97	22.84	16.53	29.15
2007-10-01	1.36	32.65	20.10	11.49	28.71
2007-09-01	4.35	30.73	22.57	16.15	28.98
2007-08-01	1.36	28.69	18.77	11.91	25.63
2007-07-01	0.19	25.56	19.46	13.83	25.09
2007-06-01	1.36	28.95	24.05	16.26	31.85
2007-05-01	5.87	35.49	26.14	18.15	34.12
2007-04-01	9.31	36.14	29.06	22.99	35.13
2007-03-01	27.16	36.85	31.67	30.01	33.32
2007-02-01	24.21	35.90	29.32	27.32	31.33
2007-01-01	12.83	30.13	27.17	24.15	30.19
2006-12-01	17.55	32.46	25.76	22.26	29.27
2006-11-01	6.97	30.97	22.84	16.53	29.15
2006-10-01	1.36	32.65	20.10	11.49	28.71
2006-09-01	4.35	30.73	22.57	16.15	28.98
2006-08-01	1.36	28.69	18.77	11.91	25.63
2006-07-01	0.19	25.56	19.46	13.83	25.09
2006-06-01	1.36	28.95	24.05	16.26	31.85
2006-05-01	5.87	35.49	26.14	18.15	34.12
2006-04-01	9.31	36.14	29.06	22.99	35.13
2006-03-01	27.16	36.85	31.67	30.01	33.32
2006-02-01	24.21	35.90	29.32	27.32	31.33
2006-01-01	12.83	30.13	27.17	24.15	30.19
2005-12-01	17.55	32.46	25.76	22.26	29.27
2005-11-01	6.97	30.97	22.84	16.53	29.15
2005-10-01	1.36	32.65	20.10	11.49	28.71
2005-09-01	4.35	30.73	22.57	16.15	28.98
2005-08-01	1.36	28.69	18.77	11.91	25.63
2005-07-01	0.19	25.56	19.46	13.83	25.09
2005-06-01	1.36	28.95	24.05	16.26	31.85
2005-05-01	5.87	35.49	26.14	18.15	34.12
2005-04-01	9.31	36.14	29.06	22.99	35.13
2005-03-01	27.16	36.85	31.67	30.01	33.32
2005-02-01	24.21	35.90	29.32	27.32	31.33
2005-01-01	12.83	30.13	27.17	24.15	30.19
2004-12-01	17.55	32.46	25.76	22.26	29.27
2004-11-01	6.97	30.97	22.84	16.53	29.15
2004-10-01	1.36	32.65	20.10	11.49	28.71
2004-09-01	4.35	30.73	22.57	16.15	28.98
2004-08-01	1.36	28.69	18.77	11.91	25.63
2004-07-01	0.19	25.56	19.46	13.83	25.09
2004-06-01	1.36	28.95	24.05	16.26	31.85
2004-05-01	5.87	35.49	26.14	18.15	34.12
2004-04-01	9.31	36.14	29.06	22.99	35.13
2004-03-01	27.16	36.85	31.67	30.01	33.32
2004-02-01	24.21	35.90	29.32	27.32	31.33
