Date	MIN	MAX	AVG	LOWSTD	HIGHSTD
2023-09-01	23.96	23.96	23.96	23.96	23.96
2023-08-01	25.85	25.85	25.85	25.85	25.85
2023-07-01	17.41	21.45	19.43	17.27	21.59
2023-06-01	nan	nan	nan	nan	nan
2023-05-01	20.06	27.57	23.81	19.80	27.83
2023-04-01	13.95	31.69	25.03	17.71	32.35
2023-03-01	24.75	32.98	28.89	25.92	31.85
2023-02-01	17.25	29.56	24.00	20.68	27.32
2023-01-01	19.03	25.91	23.58	21.69	25.46
2022-12-01	21.31	22.05	21.68	21.37	22.00
2022-11-01	19.74	24.74	22.24	19.57	24.91
2022-10-01	-2.30	21.07	9.39	-3.11	21.88
2022-09-01	23.96	23.96	23.96	23.96	23.96
2022-08-01	25.85	25.85	25.85	25.85	25.85
2022-07-01	17.41	21.45	19.43	17.27	21.59
2022-06-01	nan	nan	nan	nan	nan
2022-05-01	20.06	27.57	23.81	19.80	27.83
2022-04-01	13.95	31.69	25.03	17.71	32.35
2022-03-01	24.75	32.98	28.89	25.92	31.85
2022-02-01	17.25	29.56	24.00	20.68	27.32
2022-01-01	19.03	25.91	23.58	21.69	25.46
2021-12-01	21.31	22.05	21.68	21.37	22.00
2021-11-01	19.74	24.74	22.24	19.57	24.91
2021-10-01	-2.30	21.07	9.39	-3.11	21.88
2021-09-01	23.96	23.96	23.96	23.96	23.96
2021-08-01	25.85	25.85	25.85	25.85	25.85
2021-07-01	17.41	21.45	19.43	17.27	21.59
2021-06-01	nan	nan	nan	nan	nan
2021-05-01	20.06	27.57	23.81	19.80	27.83
2021-04-01	13.95	31.69	25.03	17.71	32.35
2021-03-01	24.75	32.98	28.89	25.92	31.85
2021-02-01	17.25	29.56	24.00	20.68	27.32
2021-01-01	19.03	25.91	23.58	21.69	25.46
2020-12-01	21.31	22.05	21.68	21.37	22.00
2020-11-01	19.74	24.74	22.24	19.57	24.91
2020-10-01	-2.30	21.07	9.39	-3.11	21.88
2020-09-01	23.96	23.96	23.96	23.96	23.96
2020-08-01	25.85	25.85	25.85	25.85	25.85
2020-07-01	17.41	21.45	19.43	17.27	21.59
2020-06-01	nan	nan	nan	nan	nan
2020-05-01	20.06	27.57	23.81	19.80	27.83
2020-04-01	13.95	31.69	25.03	17.71	32.35
2020-03-01	24.75	32.98	28.89	25.92	31.85
2020-02-01	17.25	29.56	24.00	20.68	27.32
2020-01-01	19.03	25.91	23.58	21.69	25.46
2019-12-01	21.31	22.05	21.68	21.37	22.00
2019-11-01	19.74	24.74	22.24	19.57	24.91
2019-10-01	-2.30	21.07	9.39	-3.11	21.88
2019-09-01	23.96	23.96	23.96	23.96	23.96
2019-08-01	25.85	25.85	25.85	25.85	25.85
2019-07-01	17.41	21.45	19.43	17.27	21.59
2019-06-01	nan	nan	nan	nan	nan
2019-05-01	20.06	27.57	23.81	19.80	27.83
2019-04-01	13.95	31.69	25.03	17.71	32.35
2019-03-01	24.75	32.98	28.89	25.92	31.85
2019-02-01	17.25	29.56	24.00	20.68	27.32
2019-01-01	19.03	25.91	23.58	21.69	25.46
2018-12-01	21.31	22.05	21.68	21.37	22.00
2018-11-01	19.74	24.74	22.24	19.57	24.91
2018-10-01	-2.30	21.07	9.39	-3.11	21.88
2018-09-01	23.96	23.96	23.96	23.96	23.96
2018-08-01	25.85	25.85	25.85	25.85	25.85
2018-07-01	17.41	21.45	19.43	17.27	21.59
2018-06-01	nan	nan	nan	nan	nan
2018-05-01	20.06	27.57	23.81	19.80	27.83
2018-04-01	13.95	31.69	25.03	17.71	32.35
2018-03-01	24.75	32.98	28.89	25.92	31.85
2018-02-01	17.25	29.56	24.00	20.68	27.32
2018-01-01	19.03	25.91	23.58	21.69	25.46
2017-12-01	21.31	22.05	21.68	21.37	22.00
2017-11-01	19.74	24.74	22.24	19.57	24.91
2017-10-01	-2.30	21.07	9.39	-3.11	21.88
2017-09-01	23.96	23.96	23.96	23.96	23.96
2017-08-01	25.85	25.85	25.85	25.85	25.85
2017-07-01	17.41	21.45	19.43	17.27	21.59
