Date	MIN	MAX	AVG	LOWSTD	HIGHSTD
2023-09-01	26.52	28.08	27.30	26.47	28.13
2023-08-01	22.46	33.23	27.84	22.17	33.52
2023-07-01	22.14	22.81	22.48	22.12	22.83
2023-06-01	22.26	22.26	22.26	22.26	22.26
2023-05-01	nan	nan	nan	nan	nan
2023-04-01	28.52	36.44	32.01	29.16	34.85
2023-03-01	32.72	36.85	34.44	32.60	36.27
2023-02-01	24.51	31.30	29.76	27.53	31.98
2023-01-01	26.25	31.23	28.59	26.85	30.33
2022-12-01	21.93	30.28	26.11	21.64	30.57
2022-11-01	22.26	29.11	25.69	22.02	29.35
2022-10-01	24.92	25.52	25.22	24.90	25.54
2022-09-01	26.52	28.08	27.30	26.47	28.13
2022-08-01	22.46	33.23	27.84	22.17	33.52
2022-07-01	22.14	22.81	22.48	22.12	22.83
2022-06-01	22.26	22.26	22.26	22.26	22.26
2022-05-01	nan	nan	nan	nan	nan
2022-04-01	28.52	36.44	32.01	29.16	34.85
2022-03-01	32.72	36.85	34.44	32.60	36.27
2022-02-01	24.51	31.30	29.76	27.53	31.98
2022-01-01	26.25	31.23	28.59	26.85	30.33
2021-12-01	21.93	30.28	26.11	21.64	30.57
2021-11-01	22.26	29.11	25.69	22.02	29.35
2021-10-01	24.92	25.52	25.22	24.90	25.54
2021-09-01	26.52	28.08	27.30	26.47	28.13
2021-08-01	22.46	33.23	27.84	22.17	33.52
2021-07-01	22.14	22.81	22.48	22.12	22.83
2021-06-01	22.26	22.26	22.26	22.26	22.26
2021-05-01	nan	nan	nan	nan	nan
2021-04-01	28.52	36.44	32.01	29.16	34.85
2021-03-01	32.72	36.85	34.44	32.60	36.27
2021-02-01	24.51	31.30	29.76	27.53	31.98
2021-01-01	26.25	31.23	28.59	26.85	30.33
2020-12-01	21.93	30.28	26.11	21.64	30.57
2020-11-01	22.26	29.11	25.69	22.02	29.35
2020-10-01	24.92	25.52	25.22	24.90	25.54
2020-09-01	26.52	28.08	27.30	26.47	28.13
2020-08-01	22.46	33.23	27.84	22.17	33.52
2020-07-01	22.14	22.81	22.48	22.12	22.83
2020-06-01	22.26	22.26	22.26	22.26	22.26
2020-05-01	nan	nan	nan	nan	nan
2020-04-01	28.52	36.44	32.01	29.16	34.85
2020-03-01	32.72	36.85	34.44	32.60	36.27
2020-02-01	24.51	31.30	29.76	27.53	31.98
2020-01-01	26.25	31.23	28.59	26.85	30.33
2019-12-01	21.93	30.28	26.11	21.64	30.57
2019-11-01	22.26	29.11	25.69	22.02	29.35
2019-10-01	24.92	25.52	25.22	24.90	25.54
2019-09-01	26.52	28.08	27.30	26.47	28.13
2019-08-01	22.46	33.23	27.84	22.17	33.52
2019-07-01	22.14	22.81	22.48	22.12	22.83
2019-06-01	22.26	22.26	22.26	22.26	22.26
2019-05-01	nan	nan	nan	nan	nan
2019-04-01	28.52	36.44	32.01	29.16	34.85
2019-03-01	32.72	36.85	34.44	32.60	36.27
2019-02-01	24.51	31.30	29.76	27.53	31.98
2019-01-01	26.25	31.23	28.59	26.85	30.33
2018-12-01	21.93	30.28	26.11	21.64	30.57
2018-11-01	22.26	29.11	25.69	22.02	29.35
2018-10-01	24.92	25.52	25.22	24.90	25.54
2018-09-01	26.52	28.08	27.30	26.47	28.13
2018-08-01	22.46	33.23	27.84	22.17	33.52
2018-07-01	22.14	22.81	22.48	22.12	22.83
2018-06-01	22.26	22.26	22.26	22.26	22.26
2018-05-01	nan	nan	nan	nan	nan
2018-04-01	28.52	36.44	32.01	29.16	34.85
2018-03-01	32.72	36.85	34.44	32.60	36.27
2018-02-01	24.51	31.30	29.76	27.53	31.98
2018-01-01	26.25	31.23	28.59	26.85	30.33
2017-12-01	21.93	30.28	26.11	21.64	30.57
2017-11-01	22.26	29.11	25.69	22.02	29.35
2017-10-01	24.92	25.52	25.22	24.90	25.54
2017-09-01	26.52	28.08	27.30	26.47	28.13
2017-08-01	22.46	33.23	27.84	22.17	33.52
2017-07-01	22.14	22.81	22.48	22.12	22.83
2017-06-01	22.26	22.26	22.26	22.26	22.26
2017-05-01	nan	nan	nan	nan	nan
2017-04-01	28.52	36.44	32.01	29.16	34.85
2017-03-01	32.72	36.85	34.44	32.60	36.27
2017-02-01	24.51	31.30	29.76	27.53	31.98
2017-01-01	26.25	31.23	28.59	26.85	30.33
2016-12-01	21.93	30.28	26.11	21.64	30.57
2016-11-01	22.26	29.11	25.69	22.02	29.35
2016-10-01	24.92	25.52	25.22	24.90	25.54
2016-09-01	26.52	28.08	27.30	26.47	28.13
2016-08-01	22.46	33.23	27.84	22.17	33.52
2016-07-01	22.14	22.81	22.48	22.12	22.83
2016-06-01	22.26	22.26	22.26	22.26	22.26
2016-05-01	nan	nan	nan	nan	nan
2016-04-01	28.52	36.44	32.01	29.16	34.85
2016-03-01	32.72	36.85	34.44	32.60	36.27
2016-02-01	24.51	31.30	29.76	27.53	31.98
2016-01-01	26.25	31.23	28.59	26.85	30.33
