Date	MIN	MAX	AVG	LOWSTD	HIGHSTD
2023-09-01	4.24	30.54	19.17	12.24	26.09
2023-08-01	1.36	28.61	19.06	12.60	25.52
2023-07-01	0.19	23.10	14.37	6.54	22.21
2023-06-01	1.36	28.95	18.20	8.79	27.61
2023-05-01	5.87	34.54	26.10	21.57	30.62
2023-04-01	22.13	34.54	29.32	25.60	33.04
2023-03-01	25.04	36.85	28.75	25.61	31.89
2023-02-01	23.70	35.69	27.27	24.81	29.72
2023-01-01	18.80	30.13	26.18	24.03	28.33
2022-12-01	19.61	31.92	25.37	22.23	28.51
2022-11-01	9.87	30.97	23.45	17.44	29.46
2022-10-01	4.13	32.64	18.11	11.13	25.09
2022-09-01	4.24	30.54	19.17	12.24	26.09
2022-08-01	1.36	28.61	19.06	12.60	25.52
2022-07-01	0.19	23.10	14.37	6.54	22.21
2022-06-01	1.36	28.95	18.20	8.79	27.61
2022-05-01	5.87	34.54	26.10	21.57	30.62
2022-04-01	22.13	34.54	29.32	25.60	33.04
2022-03-01	25.04	36.85	28.75	25.61	31.89
2022-02-01	23.70	35.69	27.27	24.81	29.72
2022-01-01	18.80	30.13	26.18	24.03	28.33
2021-12-01	19.61	31.92	25.37	22.23	28.51
2021-11-01	9.87	30.97	23.45	17.44	29.46
2021-10-01	4.13	32.64	18.11	11.13	25.09
2021-09-01	4.24	30.54	19.17	12.24	26.09
2021-08-01	1.36	28.61	19.06	12.60	25.52
2021-07-01	0.19	23.10	14.37	6.54	22.21
2021-06-01	1.36	28.95	18.20	8.79	27.61
2021-05-01	5.87	34.54	26.10	21.57	30.62
2021-04-01	22.13	34.54	29.32	25.60	33.04
2021-03-01	25.04	36.85	28.75	25.61	31.89
2021-02-01	23.70	35.69	27.27	24.81	29.72
2021-01-01	18.80	30.13	26.18	24.03	28.33
2020-12-01	19.61	31.92	25.37	22.23	28.51
2020-11-01	9.87	30.97	23.45	17.44	29.46
2020-10-01	4.13	32.64	18.11	11.13	25.09
2020-09-01	4.24	30.54	19.17	12.24	26.09
2020-08-01	1.36	28.61	19.06	12.60	25.52
2020-07-01	0.19	23.10	14.37	6.54	22.21
2020-06-01	1.36	28.95	18.20	8.79	27.61
2020-05-01	5.87	34.54	26.10	21.57	30.62
2020-04-01	22.13	34.54	29.32	25.60	33.04
2020-03-01	25.04	36.85	28.75	25.61	31.89
2020-02-01	23.70	35.69	27.27	24.81	29.72
2020-01-01	18.80	30.13	26.18	24.03	28.33
2019-12-01	19.61	31.92	25.37	22.23	28.51
