Date	Temperature
2000-01-28	22.79
2000-04-17	30.09
2000-05-03	28.07
2000-09-08	29.84
2000-10-10	29.06
2000-10-26	29.07
2000-11-27	14.94
2001-01-14	27.09
2001-03-03	31.93
2001-09-11	16.89
2001-11-30	21.83
2002-02-18	26.67
2002-09-14	27.97
2002-09-30	29.85
2002-12-03	26.70
2003-01-20	27.40
2003-02-21	32.00
2003-11-04	17.15
2003-11-20	11.13
2003-12-06	25.03
2003-12-22	24.18
2004-01-23	23.80
2004-03-11	36.13
2004-04-12	28.53
2004-09-19	10.01
2004-11-22	19.35
2004-12-08	24.82
2004-12-24	21.53
2005-01-25	28.20
2005-02-10	24.18
2005-02-26	32.27
2005-03-14	30.79
2005-04-15	28.90
2005-09-22	23.59
2005-10-24	19.29
2005-12-27	25.67
2006-01-28	24.50
2006-03-01	31.28
2006-08-08	28.86
2006-12-30	24.94
2007-01-15	24.36
2007-01-31	28.06
2007-02-16	28.43
2007-03-04	31.92
2007-03-20	34.11
2007-04-05	33.63
2007-08-27	21.39
2007-09-12	20.86
2007-10-14	0.60
2007-10-30	14.37
2007-11-15	26.85
2007-12-01	29.00
2008-01-02	23.94
2008-01-18	25.16
2008-02-03	24.98
2008-02-19	28.70
2008-03-06	28.59
2008-05-25	29.18
2008-08-29	22.39
2008-09-30	26.98
2008-11-01	27.82
2008-11-17	27.53
2008-12-03	28.65
2009-01-20	24.90
2009-02-05	27.53
2009-03-25	29.72
2009-05-12	33.41
2009-10-19	27.21
2009-11-20	22.21
2010-01-07	26.25
2010-01-23	26.26
2010-02-08	26.17
2010-02-24	29.06
2011-03-31	34.11
2011-05-02	32.18
2011-05-18	28.26
2011-08-22	24.33
2011-09-23	18.24
2011-10-09	28.38
2011-11-10	28.49
2011-12-12	25.34
2012-01-13	26.59
2012-01-29	15.75
2012-02-14	32.08
2012-03-01	29.83
2012-03-17	34.37
2012-04-02	26.96
2012-05-04	29.16
2012-09-25	24.38
2012-10-27	15.86
2012-11-12	28.58
2012-11-28	28.14
2012-12-14	25.04
2013-01-15	27.21
2013-01-31	28.13
2013-08-11	11.78
2013-09-28	3.95
2013-10-14	31.25
2013-10-30	26.10
2013-12-17	25.25
2014-01-02	20.16
2014-01-18	20.65
2014-02-03	25.95
2014-02-19	28.16
2014-03-07	25.88
2014-09-15	17.70
2014-10-01	25.90
2014-11-02	14.65
2014-11-18	23.87
2014-12-04	24.56
2014-12-20	18.27
2015-01-05	28.37
2015-01-21	26.17
2015-02-06	24.06
2015-02-22	26.96
2015-03-10	32.13
2015-04-11	28.28
2015-04-27	28.70
2015-05-29	24.82
2015-08-17	24.06
2015-09-18	18.91
2015-10-20	0.53
2015-11-21	22.92
2015-12-23	26.93
2016-01-08	23.02
2016-01-24	26.62
2016-02-09	31.32
2016-02-25	33.53
2016-03-28	28.08
2016-05-15	24.66
2016-08-03	16.13
2016-10-06	27.13
2016-11-07	29.85
2016-11-23	26.90
2016-12-09	24.72
2017-01-10	27.13
2017-02-11	30.44
2017-09-23	29.40
2017-10-25	29.47
2017-11-10	18.83
2017-12-12	27.07
2018-01-13	25.01
2018-01-29	24.83
2018-02-14	27.74
2018-03-02	30.07
2018-04-03	36.19
2018-09-10	27.05
2018-09-26	30.16
2018-10-28	19.77
2018-11-13	24.30
2018-12-31	26.51
2019-01-16	25.48
2019-02-01	26.77
2019-02-17	28.38
2019-03-21	33.83
2019-04-06	33.16
2019-09-29	2.82
2019-10-15	11.96
2020-01-03	28.31
2020-01-19	24.99
2020-02-04	28.58
2020-02-20	27.79
2020-03-07	25.20
2020-04-08	25.18
2020-05-26	18.25
2020-08-30	25.57
2020-09-15	0.14
2020-10-01	19.94
2020-10-17	23.46
2020-12-20	22.63
2021-01-21	23.37
2021-02-06	23.53
2021-02-21	25.01
2021-03-09	30.75
2021-03-25	30.12
2021-04-26	30.06

2021-07-31	0.00
