Date	MIN	MAX	AVG	LOWSTD	HIGHSTD
2021-09-01	0.14	30.16	19.93	10.09	29.77
2021-08-01	11.78	28.86	21.81	16.35	27.27
2021-07-01	0.00	0.00	0.00	nan	nan
2021-06-01	nan	nan	nan	nan	nan
2021-05-01	18.25	33.41	27.55	23.03	32.08
2021-04-01	25.18	36.19	29.97	26.78	33.16
2021-03-01	25.20	36.13	30.99	28.13	33.85
2021-02-01	23.53	33.53	28.01	25.26	30.76
2021-01-01	15.75	28.37	25.15	22.38	27.92
2020-12-01	18.27	29.00	25.10	22.66	27.53
2020-11-01	11.13	29.85	22.91	17.37	28.46
2020-10-01	0.53	31.25	21.07	11.72	30.43
2020-09-01	0.14	30.16	19.93	10.09	29.77
2020-08-01	11.78	28.86	21.81	16.35	27.27
2020-07-01	0.00	0.00	0.00	nan	nan
2020-06-01	nan	nan	nan	nan	nan
2020-05-01	18.25	33.41	27.55	23.03	32.08
2020-04-01	25.18	36.19	29.97	26.78	33.16
2020-03-01	25.20	36.13	30.99	28.13	33.85
2020-02-01	23.53	33.53	28.01	25.26	30.76
2020-01-01	15.75	28.37	25.15	22.38	27.92
2019-12-01	18.27	29.00	25.10	22.66	27.53
2019-11-01	11.13	29.85	22.91	17.37	28.46
2019-10-01	0.53	31.25	21.07	11.72	30.43
2019-09-01	0.14	30.16	19.93	10.09	29.77
2019-08-01	11.78	28.86	21.81	16.35	27.27
2019-07-01	0.00	0.00	0.00	nan	nan
2019-06-01	nan	nan	nan	nan	nan
2019-05-01	18.25	33.41	27.55	23.03	32.08
2019-04-01	25.18	36.19	29.97	26.78	33.16
2019-03-01	25.20	36.13	30.99	28.13	33.85
2019-02-01	23.53	33.53	28.01	25.26	30.76
2019-01-01	15.75	28.37	25.15	22.38	27.92
2018-12-01	18.27	29.00	25.10	22.66	27.53
2018-11-01	11.13	29.85	22.91	17.37	28.46
2018-10-01	0.53	31.25	21.07	11.72	30.43
2018-09-01	0.14	30.16	19.93	10.09	29.77
2018-08-01	11.78	28.86	21.81	16.35	27.27
2018-07-01	0.00	0.00	0.00	nan	nan
2018-06-01	nan	nan	nan	nan	nan
2018-05-01	18.25	33.41	27.55	23.03	32.08
2018-04-01	25.18	36.19	29.97	26.78	33.16
2018-03-01	25.20	36.13	30.99	28.13	33.85
2018-02-01	23.53	33.53	28.01	25.26	30.76
2018-01-01	15.75	28.37	25.15	22.38	27.92
2017-12-01	18.27	29.00	25.10	22.66	27.53
2017-11-01	11.13	29.85	22.91	17.37	28.46
2017-10-01	0.53	31.25	21.07	11.72	30.43
2017-09-01	0.14	30.16	19.93	10.09	29.77
2017-08-01	11.78	28.86	21.81	16.35	27.27
2017-07-01	0.00	0.00	0.00	nan	nan
2017-06-01	nan	nan	nan	nan	nan
2017-05-01	18.25	33.41	27.55	23.03	32.08
2017-04-01	25.18	36.19	29.97	26.78	33.16
2017-03-01	25.20	36.13	30.99	28.13	33.85
2017-02-01	23.53	33.53	28.01	25.26	30.76
2017-01-01	15.75	28.37	25.15	22.38	27.92
2016-12-01	18.27	29.00	25.10	22.66	27.53
2016-11-01	11.13	29.85	22.91	17.37	28.46
2016-10-01	0.53	31.25	21.07	11.72	30.43
2016-09-01	0.14	30.16	19.93	10.09	29.77
2016-08-01	11.78	28.86	21.81	16.35	27.27
2016-07-01	0.00	0.00	0.00	nan	nan
2016-06-01	nan	nan	nan	nan	nan
