Date	MIN	MAX	AVG	LOWSTD	HIGHSTD
2023-09-01	4.35	30.57	22.30	15.66	28.95
2023-08-01	1.36	28.61	18.84	12.12	25.56
2023-07-01	0.00	25.02	6.46	-3.47	16.39
2023-06-01	1.36	28.95	24.01	16.18	31.83
2023-05-01	5.87	35.43	25.94	18.13	33.74
2023-04-01	22.16	35.63	29.95	26.36	33.53
2023-03-01	25.05	36.85	30.24	27.91	32.56
2023-02-01	24.30	35.78	28.86	26.88	30.84
2023-01-01	15.78	30.23	26.90	24.22	29.58
2022-12-01	17.56	32.46	25.82	22.75	28.89
2022-11-01	6.97	30.97	23.47	17.11	29.82
2022-10-01	1.36	32.67	21.06	13.91	28.22
2022-09-01	4.35	30.57	22.30	15.66	28.95
2022-08-01	1.36	28.61	18.84	12.12	25.56
2022-07-01	0.00	25.02	6.46	-3.47	16.39
2022-06-01	1.36	28.95	24.01	16.18	31.83
2022-05-01	5.87	35.43	25.94	18.13	33.74
2022-04-01	22.16	35.63	29.95	26.36	33.53
2022-03-01	25.05	36.85	30.24	27.91	32.56
2022-02-01	24.30	35.78	28.86	26.88	30.84
2022-01-01	15.78	30.23	26.90	24.22	29.58
2021-12-01	17.56	32.46	25.82	22.75	28.89
2021-11-01	6.97	30.97	23.47	17.11	29.82
2021-10-01	1.36	32.67	21.06	13.91	28.22
2021-09-01	4.35	30.57	22.30	15.66	28.95
2021-08-01	1.36	28.61	18.84	12.12	25.56
2021-07-01	0.00	25.02	6.46	-3.47	16.39
2021-06-01	1.36	28.95	24.01	16.18	31.83
2021-05-01	5.87	35.43	25.94	18.13	33.74
2021-04-01	22.16	35.63	29.95	26.36	33.53
2021-03-01	25.05	36.85	30.24	27.91	32.56
2021-02-01	24.30	35.78	28.86	26.88	30.84
2021-01-01	15.78	30.23	26.90	24.22	29.58
2020-12-01	17.56	32.46	25.82	22.75	28.89
2020-11-01	6.97	30.97	23.47	17.11	29.82
2020-10-01	1.36	32.67	21.06	13.91	28.22
2020-09-01	4.35	30.57	22.30	15.66	28.95
2020-08-01	1.36	28.61	18.84	12.12	25.56
2020-07-01	0.00	25.02	6.46	-3.47	16.39
2020-06-01	1.36	28.95	24.01	16.18	31.83
2020-05-01	5.87	35.43	25.94	18.13	33.74
2020-04-01	22.16	35.63	29.95	26.36	33.53
2020-03-01	25.05	36.85	30.24	27.91	32.56
2020-02-01	24.30	35.78	28.86	26.88	30.84
2020-01-01	15.78	30.23	26.90	24.22	29.58
2019-12-01	17.56	32.46	25.82	22.75	28.89
2019-11-01	6.97	30.97	23.47	17.11	29.82
2019-10-01	1.36	32.67	21.06	13.91	28.22
2019-09-01	4.35	30.57	22.30	15.66	28.95
2019-08-01	1.36	28.61	18.84	12.12	25.56
2019-07-01	0.00	25.02	6.46	-3.47	16.39
2019-06-01	1.36	28.95	24.01	16.18	31.83
2019-05-01	5.87	35.43	25.94	18.13	33.74
2019-04-01	22.16	35.63	29.95	26.36	33.53
2019-03-01	25.05	36.85	30.24	27.91	32.56
2019-02-01	24.30	35.78	28.86	26.88	30.84
2019-01-01	15.78	30.23	26.90	24.22	29.58
2018-12-01	17.56	32.46	25.82	22.75	28.89
2018-11-01	6.97	30.97	23.47	17.11	29.82
2018-10-01	1.36	32.67	21.06	13.91	28.22
2018-09-01	4.35	30.57	22.30	15.66	28.95
2018-08-01	1.36	28.61	18.84	12.12	25.56
2018-07-01	0.00	25.02	6.46	-3.47	16.39
2018-06-01	1.36	28.95	24.01	16.18	31.83
2018-05-01	5.87	35.43	25.94	18.13	33.74
2018-04-01	22.16	35.63	29.95	26.36	33.53
2018-03-01	25.05	36.85	30.24	27.91	32.56
2018-02-01	24.30	35.78	28.86	26.88	30.84
2018-01-01	15.78	30.23	26.90	24.22	29.58
2017-12-01	17.56	32.46	25.82	22.75	28.89
2017-11-01	6.97	30.97	23.47	17.11	29.82
2017-10-01	1.36	32.67	21.06	13.91	28.22
2017-09-01	4.35	30.57	22.30	15.66	28.95
2017-08-01	1.36	28.61	18.84	12.12	25.56
2017-07-01	0.00	25.02	6.46	-3.47	16.39
2017-06-01	1.36	28.95	24.01	16.18	31.83
2017-05-01	5.87	35.43	25.94	18.13	33.74
2017-04-01	22.16	35.63	29.95	26.36	33.53
2017-03-01	25.05	36.85	30.24	27.91	32.56
2017-02-01	24.30	35.78	28.86	26.88	30.84
2017-01-01	15.78	30.23	26.90	24.22	29.58
2016-12-01	17.56	32.46	25.82	22.75	28.89
2016-11-01	6.97	30.97	23.47	17.11	29.82
2016-10-01	1.36	32.67	21.06	13.91	28.22
2016-09-01	4.35	30.57	22.30	15.66	28.95
2016-08-01	1.36	28.61	18.84	12.12	25.56
2016-07-01	0.00	25.02	6.46	-3.47	16.39
2016-06-01	1.36	28.95	24.01	16.18	31.83
2016-05-01	5.87	35.43	25.94	18.13	33.74
2016-04-01	22.16	35.63	29.95	26.36	33.53
2016-03-01	25.05	36.85	30.24	27.91	32.56
2016-02-01	24.30	35.78	28.86	26.88	30.84
2016-01-01	15.78	30.23	26.90	24.22	29.58
2015-12-01	17.56	32.46	25.82	22.75	28.89
2015-11-01	6.97	30.97	23.47	17.11	29.82
2015-10-01	1.36	32.67	21.06	13.91	28.22
2015-09-01	4.35	30.57	22.30	15.66	28.95
2015-08-01	1.36	28.61	18.84	12.12	25.56
2015-07-01	0.00	25.02	6.46	-3.47	16.39
2015-06-01	1.36	28.95	24.01	16.18	31.83
2015-05-01	5.87	35.43	25.94	18.13	33.74
2015-04-01	22.16	35.63	29.95	26.36	33.53
2015-03-01	25.05	36.85	30.24	27.91	32.56
2015-02-01	24.30	35.78	28.86	26.88	30.84
2015-01-01	15.78	30.23	26.90	24.22	29.58
2014-12-01	17.56	32.46	25.82	22.75	28.89
2014-11-01	6.97	30.97	23.47	17.11	29.82
2014-10-01	1.36	32.67	21.06	13.91	28.22
2014-09-01	4.35	30.57	22.30	15.66	28.95
2014-08-01	1.36	28.61	18.84	12.12	25.56
2014-07-01	0.00	25.02	6.46	-3.47	16.39
2014-06-01	1.36	28.95	24.01	16.18	31.83
2014-05-01	5.87	35.43	25.94	18.13	33.74
2014-04-01	22.16	35.63	29.95	26.36	33.53
2014-03-01	25.05	36.85	30.24	27.91	32.56
2014-02-01	24.30	35.78	28.86	26.88	30.84
2014-01-01	15.78	30.23	26.90	24.22	29.58
2013-12-01	17.56	32.46	25.82	22.75	28.89
2013-11-01	6.97	30.97	23.47	17.11	29.82
