Date	Temperature
2000-01-28	26.94
2000-04-01	14.55
2000-04-17	30.02
2000-05-03	19.94
2000-09-08	28.48
2000-10-10	23.94
2000-10-26	31.00
2000-11-27	29.00
2001-01-07	30.87
2001-01-14	26.30
2001-03-03	32.43
2001-05-15	29.58
2001-07-25	14.56
2001-08-10	28.96
2001-09-04	25.31
2001-09-11	8.32
2001-10-29	21.57
2001-11-30	24.49
2001-12-09	33.26
2002-01-10	31.09
2002-02-18	29.69
2002-02-27	33.43
2002-04-16	30.50
2002-05-25	32.48
2002-09-14	28.49
2002-09-30	23.76
2002-11-26	31.96
2002-12-03	27.14
2003-01-20	25.62
2003-02-21	32.20
2003-11-04	16.10
2003-12-06	25.03
2003-12-22	26.60
2004-01-16	31.98
2004-03-04	35.30
2004-03-11	29.68
2004-04-12	27.29
2004-04-28	22.04
2004-08-18	23.52
2004-09-19	7.73
2004-11-22	19.83
2004-12-08	26.77
2004-12-24	26.28
2005-01-25	28.68
2005-02-03	30.25
2005-02-10	24.83
2005-02-26	40.42
2005-03-14	31.56
2005-04-15	29.08
2005-09-22	17.27
2005-10-01	31.22
2005-12-27	27.08
2006-01-21	31.03
2006-01-28	24.61
2006-03-01	28.99
2006-08-08	12.80
2006-10-11	10.58
2006-11-21	0.30
2006-11-28	11.05
2006-12-30	24.92
2007-01-15	25.31
2007-01-24	31.03
2007-01-31	31.55
2007-02-16	28.24
2007-03-04	31.71
2007-03-20	35.13
2007-03-29	36.48
2007-04-30	31.55
2007-09-12	21.08
2007-10-14	24.09
2007-10-30	10.32
2007-11-15	26.27
2007-12-01	29.57
2007-12-17	23.51
2007-12-26	29.89
2008-01-02	24.78
2008-01-18	25.14
2008-02-03	25.22
2008-02-19	29.44
2008-03-06	28.26
2008-05-25	23.20
2008-08-29	20.19
2008-09-23	25.69
2008-09-30	27.14
2008-11-01	24.01
2008-11-17	26.62
2008-12-03	27.72
2009-01-13	29.24
2009-01-20	25.28
2009-02-05	31.03
2009-02-14	35.47
2009-03-02	42.09
2009-03-18	37.17
2009-03-25	31.37
2009-05-12	26.16
2009-10-19	17.67
2009-11-20	24.78
2009-12-31	23.50
2010-01-07	26.43
2010-01-23	27.07
2010-02-08	25.80
2010-02-24	27.22
2010-04-06	31.33
2010-04-22	32.26
2011-02-20	31.38
2011-03-31	29.73
2011-05-18	9.83
2011-08-22	9.29
2011-09-23	18.12
2011-10-02	30.56
2011-10-09	27.28
2011-11-10	26.98
2011-12-12	25.20
2012-01-13	28.23
2012-01-29	22.19
2012-02-14	33.78
2012-03-01	30.80
2012-03-17	30.22
2012-04-02	26.79
2012-04-18	22.61
2012-05-04	22.49
2012-09-25	15.21
2012-10-04	29.86
2012-10-27	21.96
2012-11-12	25.33
2012-11-28	28.35
2012-12-14	30.70
2013-01-15	27.22
2013-01-31	27.98
2013-02-25	32.73
2013-08-11	24.92
2013-09-28	22.34
2013-10-07	27.20
2013-10-14	26.34
2013-10-30	22.21
2013-12-17	26.48
2014-01-02	29.45
2014-01-11	31.56
2014-02-03	26.73
2014-02-12	33.10
2014-02-19	26.43
2014-02-28	34.14
2014-03-07	27.03
2014-09-08	30.68
2014-09-15	17.63
2014-10-01	26.41
2014-10-10	12.24
2014-11-02	6.14
2014-11-18	21.68
2014-12-04	25.34
2015-01-05	28.27
2015-01-21	28.27
2015-01-30	26.22
2015-02-06	26.99
2015-02-22	29.42
2015-03-10	30.95
2015-03-19	42.22
2015-04-11	28.89
2015-04-27	29.85
2015-05-29	23.03
2015-08-17	22.78
2015-09-18	9.10
2015-09-27	27.15
2015-10-20	13.09
2015-11-21	26.40
2015-12-23	27.25
2016-01-08	24.62
2016-01-24	29.04
2016-02-09	27.46
2016-02-25	34.76
2016-03-05	35.39
2016-03-21	38.71
2016-03-28	29.59
2016-04-29	26.50
2016-08-03	2.07
2016-10-06	23.99
2016-11-07	27.63
2016-11-23	25.80
2016-12-09	20.32
2017-01-10	25.89
2017-02-11	28.66
2017-02-20	32.96
2017-03-08	32.91
2017-04-09	39.98
2017-04-16	28.05
2017-05-02	31.20
2017-05-27	13.69
2017-07-05	0.28
2017-09-23	29.78
2017-10-02	24.79
2017-10-25	28.11
2017-11-10	20.93
2017-12-12	25.89
2018-01-22	27.79
2018-01-29	26.20
2018-02-07	31.76
2018-02-14	29.02
2018-03-02	29.26
2018-04-03	29.09
2018-09-10	27.11
2018-09-26	26.61
2018-10-21	22.23
2018-11-22	24.98
2018-12-15	26.32
2018-12-31	30.25
2019-01-16	25.73
2019-01-25	30.13
2019-02-01	29.73
2019-02-17	28.58
2019-02-26	33.88
2019-03-21	32.15
2019-04-06	26.62
2019-06-18	23.55
2019-07-11	1.27
2019-08-12	13.08
2019-09-29	6.51
2019-11-16	10.84
2020-01-03	29.00
2020-01-12	32.24
2020-01-19	27.30
2020-01-28	32.69
2020-02-04	31.02
2020-02-13	35.67
2020-02-20	28.73
2020-03-07	26.47
2020-04-08	24.62
2020-05-03	33.99
2020-05-26	19.67
2020-06-20	6.43
2020-08-30	19.48
2020-09-15	5.49
2020-10-01	18.81
2020-10-17	22.25
2020-11-02	4.17
2020-11-27	26.23
2020-12-13	29.64
2020-12-20	25.29
2021-01-21	24.85
2021-02-06	26.50
