Date	MIN	MAX	AVG	LOWSTD	HIGHSTD
2021-08-01	2.07	28.96	17.71	9.49	25.93
2021-07-01	0.28	14.56	5.37	-2.60	13.34
2021-06-01	6.43	23.55	14.99	2.88	27.10
2021-05-01	9.83	33.99	23.77	16.36	31.19
2021-04-01	14.55	39.98	27.98	22.90	33.06
2021-03-01	26.47	42.22	32.62	28.39	36.86
2021-02-01	24.83	40.42	30.48	26.97	33.98
2021-01-01	22.19	32.69	27.89	25.29	30.50
2020-12-01	20.32	33.26	26.83	24.08	29.58
2020-11-01	0.30	31.96	21.24	12.68	29.81
2020-10-01	10.32	31.22	22.82	16.55	29.10
2020-09-01	5.49	30.68	20.41	12.06	28.76
2020-08-01	2.07	28.96	17.71	9.49	25.93
2020-07-01	0.28	14.56	5.37	-2.60	13.34
2020-06-01	6.43	23.55	14.99	2.88	27.10
2020-05-01	9.83	33.99	23.77	16.36	31.19
2020-04-01	14.55	39.98	27.98	22.90	33.06
2020-03-01	26.47	42.22	32.62	28.39	36.86
2020-02-01	24.83	40.42	30.48	26.97	33.98
2020-01-01	22.19	32.69	27.89	25.29	30.50
2019-12-01	20.32	33.26	26.83	24.08	29.58
2019-11-01	0.30	31.96	21.24	12.68	29.81
2019-10-01	10.32	31.22	22.82	16.55	29.10
2019-09-01	5.49	30.68	20.41	12.06	28.76
2019-08-01	2.07	28.96	17.71	9.49	25.93
2019-07-01	0.28	14.56	5.37	-2.60	13.34
2019-06-01	6.43	23.55	14.99	2.88	27.10
2019-05-01	9.83	33.99	23.77	16.36	31.19
2019-04-01	14.55	39.98	27.98	22.90	33.06
2019-03-01	26.47	42.22	32.62	28.39	36.86
2019-02-01	24.83	40.42	30.48	26.97	33.98
2019-01-01	22.19	32.69	27.89	25.29	30.50
2018-12-01	20.32	33.26	26.83	24.08	29.58
2018-11-01	0.30	31.96	21.24	12.68	29.81
2018-10-01	10.32	31.22	22.82	16.55	29.10
2018-09-01	5.49	30.68	20.41	12.06	28.76
2018-08-01	2.07	28.96	17.71	9.49	25.93
2018-07-01	0.28	14.56	5.37	-2.60	13.34
2018-06-01	6.43	23.55	14.99	2.88	27.10
2018-05-01	9.83	33.99	23.77	16.36	31.19
2018-04-01	14.55	39.98	27.98	22.90	33.06
2018-03-01	26.47	42.22	32.62	28.39	36.86
2018-02-01	24.83	40.42	30.48	26.97	33.98
2018-01-01	22.19	32.69	27.89	25.29	30.50
2017-12-01	20.32	33.26	26.83	24.08	29.58
2017-11-01	0.30	31.96	21.24	12.68	29.81
2017-10-01	10.32	31.22	22.82	16.55	29.10
2017-09-01	5.49	30.68	20.41	12.06	28.76
2017-08-01	2.07	28.96	17.71	9.49	25.93
2017-07-01	0.28	14.56	5.37	-2.60	13.34
2017-06-01	6.43	23.55	14.99	2.88	27.10
2017-05-01	9.83	33.99	23.77	16.36	31.19
2017-04-01	14.55	39.98	27.98	22.90	33.06
