Date	Temperature
2000-01-28	23.31
2000-04-10	34.03
2000-04-17	30.09
2000-05-03	26.96
2000-07-15	6.95
2000-09-08	29.48
2000-10-10	26.92
2000-10-19	25.25
2000-10-26	29.07
2000-11-27	20.68
2001-01-07	23.66
2001-01-14	26.51
2001-03-03	31.93
2001-05-15	31.09
2001-07-25	14.12
2001-09-04	27.64
2001-09-11	16.89
2001-10-29	18.25
2001-11-30	21.83
2001-12-09	27.07
2002-01-10	22.63
2002-02-18	27.30
2002-05-25	31.21
2002-09-14	27.97
2002-09-23	33.96
2002-09-30	29.85
2002-11-26	30.83
2002-12-03	26.69
2002-12-28	20.38
2003-01-20	26.51
2003-01-29	27.64
2003-02-14	28.44
2003-02-21	31.67
2003-04-03	20.13
2003-05-28	19.52
2003-11-04	13.04
2003-11-20	11.13
2003-12-06	25.03
2003-12-22	23.88
2003-12-31	24.66
2004-01-16	26.43
2004-01-23	23.80
2004-03-11	32.91
2004-04-12	28.47
2004-04-28	22.04
2004-08-27	14.85
2004-09-19	9.68
2004-11-22	19.59
2004-12-01	13.62
2004-12-08	24.82
2004-12-17	22.55
2004-12-24	22.20
2005-01-02	23.49
2005-01-25	28.00
2005-02-10	24.51
2005-02-26	32.27
2005-03-14	30.45
2005-04-15	29.08
2005-09-22	23.59
2005-10-17	28.54
2005-10-24	19.29
2005-12-20	29.55
2005-12-27	25.36
2006-01-28	24.50
2006-02-06	24.91
2006-03-01	29.39
2006-03-26	32.53
2006-04-11	29.94
2006-04-27	31.92
2006-05-13	31.09
2006-08-08	28.16
2006-10-11	11.64
2006-11-05	27.15
2006-12-07	23.47
2006-12-23	24.62
2006-12-30	24.92
2007-01-08	24.91
2007-01-15	25.17
2007-01-31	28.06
2007-02-16	28.43
2007-02-25	21.19
2007-03-04	31.92
2007-03-13	24.59
2007-03-20	33.60
2007-04-05	33.63
2007-08-27	21.57
2007-09-12	21.08
2007-10-14	0.60
2007-10-30	13.86
2007-11-08	23.21
2007-11-15	26.02
2007-11-24	19.82
2007-12-01	29.00
2007-12-17	23.47
2008-01-02	24.13
2008-01-11	25.57
2008-01-18	25.15
2008-02-03	23.43
2008-02-19	28.23
2008-02-28	20.90
2008-03-06	28.42
2008-05-25	28.17
2008-07-12	8.53
2008-08-29	21.31
2008-09-23	31.11
2008-09-30	26.98
2008-11-01	27.78
2008-11-17	26.62
2008-12-03	28.18
2008-12-12	29.75
2008-12-28	26.76
2009-01-13	25.72
2009-01-20	25.09
2009-01-29	24.16
2009-02-05	27.16
2009-02-14	32.27
2009-03-25	29.71
2009-05-12	29.78
2009-10-19	26.75
2009-11-20	23.67
2009-11-29	25.41
2009-12-31	24.92
2010-01-07	26.25
2010-01-16	26.12
2010-01-23	27.07
2010-02-08	25.85
2010-02-24	28.84
2011-01-19	27.19
2011-02-20	28.28
2011-03-31	33.00
2011-05-02	31.38
2011-05-18	28.26
2011-08-22	23.00
2011-09-23	21.02
2011-10-09	28.38
2011-11-10	27.84
2011-11-19	7.12
2011-12-05	12.83
2011-12-12	25.20
2012-01-13	26.84
2012-01-29	19.09
2012-02-14	32.08
2012-03-01	29.39
2012-03-17	33.47
2012-04-02	26.85
2012-04-18	22.61
2012-05-04	29.01
2012-09-25	23.65
2012-10-04	25.60
2012-10-27	21.96
2012-11-05	31.32
2012-11-12	28.17
2012-11-28	28.14
2012-12-14	26.95
2013-01-15	27.38
2013-01-31	28.13
2013-03-13	36.19
2013-08-11	11.78
2013-09-28	16.96
2013-10-07	25.62
2013-10-14	30.99
2013-10-30	24.69
2013-12-10	24.53
2013-12-17	25.13
2014-01-02	25.39
2014-01-18	20.73
2014-02-03	25.83
2014-02-12	33.39
2014-02-19	27.48
2014-02-28	33.71
2014-03-07	26.46
2014-06-04	31.26
2014-07-06	5.72
2014-09-15	17.66
2014-10-01	24.80
2014-10-10	14.76
2014-10-26	14.60
2014-11-02	14.17
2014-11-11	22.99
2014-11-18	23.62
2014-12-04	24.57
2014-12-20	18.27
2015-01-05	28.27
2015-01-21	26.11
2015-02-06	23.93
2015-02-22	27.02
2015-03-03	26.17
2015-03-10	29.03
2015-03-19	39.20
2015-04-11	28.89
2015-04-27	29.02
2015-05-06	5.37
2015-05-22	14.53
2015-05-29	24.82
2015-08-17	24.06
2015-09-18	17.99
2015-09-27	27.22
2015-10-20	6.81
2015-10-29	16.08
2015-11-21	24.66
2015-12-23	26.93
2016-01-01	24.93
2016-01-08	23.02
2016-01-24	26.39
2016-02-09	29.63
2016-02-25	33.53
2016-03-05	30.92
2016-03-21	43.55
2016-03-28	28.16
2016-04-29	26.50
2016-05-15	24.66
2016-07-02	11.78
2016-08-03	16.13
2016-08-12	14.84
2016-10-06	26.95
2016-10-22	22.58
2016-11-07	29.30
2016-11-23	26.35
2016-12-09	24.61
2017-01-10	26.90
2017-01-26	23.25
2017-02-11	30.21
2017-04-16	24.77
2017-05-02	31.20
2017-07-05	0.28
2017-07-30	10.58
2017-09-23	29.40
2017-10-02	22.23
2017-10-25	29.10
2017-11-03	22.11
2017-11-10	21.08
2017-11-19	16.28
2017-12-05	28.90
2017-12-12	26.60
2018-01-06	26.25
2018-01-13	25.01
2018-01-22	24.62
2018-01-29	24.83
2018-02-14	27.53
2018-02-23	30.87
2018-03-02	30.07
2018-04-03	34.57
2018-09-03	26.29
2018-09-10	26.08
2018-09-26	28.89
2018-10-28	20.07
2018-11-13	26.78
2018-12-08	20.32
2018-12-15	22.62
2018-12-31	26.51
2019-01-09	25.32
2019-01-16	25.73
2019-02-01	26.77
2019-02-17	28.38
2019-03-21	33.46
2019-03-30	35.53
2019-04-06	32.45
2019-04-15	39.10
2019-07-04	20.95
2019-07-11	1.27
2019-08-12	13.08
2019-09-29	4.85
2019-10-15	11.96
2019-11-16	8.87
2020-01-03	28.31
2020-01-12	26.60
2020-01-19	25.33
2020-01-28	27.99
2020-02-04	28.58
2020-02-20	28.26
2020-03-07	26.47
2020-04-08	24.62
2020-04-17	21.17
2020-05-26	14.63
2020-06-04	0.54
2020-08-30	24.63
2020-09-15	2.81
2020-10-01	18.81
2020-10-17	22.25
2020-11-02	10.64
2020-11-27	27.64
2020-12-13	22.94
2020-12-20	23.09
2021-01-21	24.75
2021-01-30	22.62
2021-02-06	24.87
2021-02-15	24.84
2021-03-02	26.81
2021-03-18	27.58
2021-04-03	30.78
2021-04-26	24.86
2021-08-09	0.00
