Date	MIN	MAX	AVG	LOWSTD	HIGHSTD
2021-09-01	2.81	33.96	22.65	14.40	30.91
2021-08-01	0.00	28.16	17.78	10.14	25.43
2021-07-01	0.28	20.95	8.91	2.48	15.33
2021-06-01	0.54	31.26	15.90	-5.82	37.62
2021-05-01	5.37	31.38	25.10	17.41	32.80
2021-04-01	20.13	39.10	28.43	23.59	33.28
2021-03-01	24.59	43.55	31.14	26.92	35.37
2021-02-01	20.90	33.71	27.96	24.63	31.29
2021-01-01	19.09	28.31	25.41	23.47	27.34
2020-12-01	12.83	29.75	24.35	20.65	28.05
2020-11-01	7.12	31.32	22.31	15.71	28.91
2020-10-01	0.60	30.99	20.98	13.66	28.30
2020-09-01	2.81	33.96	22.65	14.40	30.91
2020-08-01	0.00	28.16	17.78	10.14	25.43
2020-07-01	0.28	20.95	8.91	2.48	15.33
2020-06-01	0.54	31.26	15.90	-5.82	37.62
2020-05-01	5.37	31.38	25.10	17.41	32.80
2020-04-01	20.13	39.10	28.43	23.59	33.28
2020-03-01	24.59	43.55	31.14	26.92	35.37
2020-02-01	20.90	33.71	27.96	24.63	31.29
2020-01-01	19.09	28.31	25.41	23.47	27.34
2019-12-01	12.83	29.75	24.35	20.65	28.05
2019-11-01	7.12	31.32	22.31	15.71	28.91
2019-10-01	0.60	30.99	20.98	13.66	28.30
2019-09-01	2.81	33.96	22.65	14.40	30.91
2019-08-01	0.00	28.16	17.78	10.14	25.43
2019-07-01	0.28	20.95	8.91	2.48	15.33
2019-06-01	0.54	31.26	15.90	-5.82	37.62
2019-05-01	5.37	31.38	25.10	17.41	32.80
2019-04-01	20.13	39.10	28.43	23.59	33.28
2019-03-01	24.59	43.55	31.14	26.92	35.37
2019-02-01	20.90	33.71	27.96	24.63	31.29
2019-01-01	19.09	28.31	25.41	23.47	27.34
2018-12-01	12.83	29.75	24.35	20.65	28.05
2018-11-01	7.12	31.32	22.31	15.71	28.91
2018-10-01	0.60	30.99	20.98	13.66	28.30
2018-09-01	2.81	33.96	22.65	14.40	30.91
2018-08-01	0.00	28.16	17.78	10.14	25.43
2018-07-01	0.28	20.95	8.91	2.48	15.33
2018-06-01	0.54	31.26	15.90	-5.82	37.62
2018-05-01	5.37	31.38	25.10	17.41	32.80
2018-04-01	20.13	39.10	28.43	23.59	33.28
2018-03-01	24.59	43.55	31.14	26.92	35.37
2018-02-01	20.90	33.71	27.96	24.63	31.29
2018-01-01	19.09	28.31	25.41	23.47	27.34
2017-12-01	12.83	29.75	24.35	20.65	28.05
2017-11-01	7.12	31.32	22.31	15.71	28.91
2017-10-01	0.60	30.99	20.98	13.66	28.30
2017-09-01	2.81	33.96	22.65	14.40	30.91
2017-08-01	0.00	28.16	17.78	10.14	25.43
2017-07-01	0.28	20.95	8.91	2.48	15.33
2017-06-01	0.54	31.26	15.90	-5.82	37.62
2017-05-01	5.37	31.38	25.10	17.41	32.80
2017-04-01	20.13	39.10	28.43	23.59	33.28
2017-03-01	24.59	43.55	31.14	26.92	35.37
2017-02-01	20.90	33.71	27.96	24.63	31.29
2017-01-01	19.09	28.31	25.41	23.47	27.34
2016-12-01	12.83	29.75	24.35	20.65	28.05
2016-11-01	7.12	31.32	22.31	15.71	28.91
2016-10-01	0.60	30.99	20.98	13.66	28.30
