Date	MIN	MAX	AVG	LOWSTD	HIGHSTD
2023-09-01	20.56	28.13	24.43	21.20	27.66
2023-08-01	20.61	20.61	20.61	20.61	20.61
2023-07-01	nan	nan	nan	nan	nan
2023-06-01	nan	nan	nan	nan	nan
2023-05-01	24.06	30.12	27.09	23.85	30.33
2023-04-01	33.03	33.03	33.03	33.03	33.03
2023-03-01	23.77	32.44	28.84	25.50	32.18
2023-02-01	29.45	32.68	31.07	30.00	32.13
2023-01-01	21.92	28.74	27.16	24.45	29.87
2022-12-01	25.56	26.98	26.49	25.80	27.18
2022-11-01	20.96	30.34	26.55	22.46	30.64
2022-10-01	21.35	28.71	25.79	22.75	28.82
2022-09-01	20.56	28.13	24.43	21.20	27.66
2022-08-01	20.61	20.61	20.61	20.61	20.61
2022-07-01	nan	nan	nan	nan	nan
2022-06-01	nan	nan	nan	nan	nan
2022-05-01	24.06	30.12	27.09	23.85	30.33
2022-04-01	33.03	33.03	33.03	33.03	33.03
2022-03-01	23.77	32.44	28.84	25.50	32.18
2022-02-01	29.45	32.68	31.07	30.00	32.13
2022-01-01	21.92	28.74	27.16	24.45	29.87
2021-12-01	25.56	26.98	26.49	25.80	27.18
2021-11-01	20.96	30.34	26.55	22.46	30.64
2021-10-01	21.35	28.71	25.79	22.75	28.82
2021-09-01	20.56	28.13	24.43	21.20	27.66
2021-08-01	20.61	20.61	20.61	20.61	20.61
2021-07-01	nan	nan	nan	nan	nan
2021-06-01	nan	nan	nan	nan	nan
2021-05-01	24.06	30.12	27.09	23.85	30.33
2021-04-01	33.03	33.03	33.03	33.03	33.03
2021-03-01	23.77	32.44	28.84	25.50	32.18
2021-02-01	29.45	32.68	31.07	30.00	32.13
2021-01-01	21.92	28.74	27.16	24.45	29.87
2020-12-01	25.56	26.98	26.49	25.80	27.18
2020-11-01	20.96	30.34	26.55	22.46	30.64
2020-10-01	21.35	28.71	25.79	22.75	28.82
2020-09-01	20.56	28.13	24.43	21.20	27.66
2020-08-01	20.61	20.61	20.61	20.61	20.61
2020-07-01	nan	nan	nan	nan	nan
2020-06-01	nan	nan	nan	nan	nan
2020-05-01	24.06	30.12	27.09	23.85	30.33
2020-04-01	33.03	33.03	33.03	33.03	33.03
2020-03-01	23.77	32.44	28.84	25.50	32.18
2020-02-01	29.45	32.68	31.07	30.00	32.13
2020-01-01	21.92	28.74	27.16	24.45	29.87
2019-12-01	25.56	26.98	26.49	25.80	27.18
2019-11-01	20.96	30.34	26.55	22.46	30.64
2019-10-01	21.35	28.71	25.79	22.75	28.82
2019-09-01	20.56	28.13	24.43	21.20	27.66
2019-08-01	20.61	20.61	20.61	20.61	20.61
2019-07-01	nan	nan	nan	nan	nan
2019-06-01	nan	nan	nan	nan	nan
2019-05-01	24.06	30.12	27.09	23.85	30.33
2019-04-01	33.03	33.03	33.03	33.03	33.03
2019-03-01	23.77	32.44	28.84	25.50	32.18
2019-02-01	29.45	32.68	31.07	30.00	32.13
2019-01-01	21.92	28.74	27.16	24.45	29.87
2018-12-01	25.56	26.98	26.49	25.80	27.18
2018-11-01	20.96	30.34	26.55	22.46	30.64
2018-10-01	21.35	28.71	25.79	22.75	28.82
2018-09-01	20.56	28.13	24.43	21.20	27.66
2018-08-01	20.61	20.61	20.61	20.61	20.61
2018-07-01	nan	nan	nan	nan	nan
2018-06-01	nan	nan	nan	nan	nan
2018-05-01	24.06	30.12	27.09	23.85	30.33
2018-04-01	33.03	33.03	33.03	33.03	33.03
2018-03-01	23.77	32.44	28.84	25.50	32.18
2018-02-01	29.45	32.68	31.07	30.00	32.13
2018-01-01	21.92	28.74	27.16	24.45	29.87
2017-12-01	25.56	26.98	26.49	25.80	27.18
2017-11-01	20.96	30.34	26.55	22.46	30.64
2017-10-01	21.35	28.71	25.79	22.75	28.82
2017-09-01	20.56	28.13	24.43	21.20	27.66
2017-08-01	20.61	20.61	20.61	20.61	20.61
2017-07-01	nan	nan	nan	nan	nan
2017-06-01	nan	nan	nan	nan	nan
2017-05-01	24.06	30.12	27.09	23.85	30.33
2017-04-01	33.03	33.03	33.03	33.03	33.03
2017-03-01	23.77	32.44	28.84	25.50	32.18
2017-02-01	29.45	32.68	31.07	30.00	32.13
2017-01-01	21.92	28.74	27.16	24.45	29.87
2016-12-01	25.56	26.98	26.49	25.80	27.18
2016-11-01	20.96	30.34	26.55	22.46	30.64
2016-10-01	21.35	28.71	25.79	22.75	28.82
2016-09-01	20.56	28.13	24.43	21.20	27.66
2016-08-01	20.61	20.61	20.61	20.61	20.61
2016-07-01	nan	nan	nan	nan	nan
2016-06-01	nan	nan	nan	nan	nan
2016-05-01	24.06	30.12	27.09	23.85	30.33
2016-04-01	33.03	33.03	33.03	33.03	33.03
2016-03-01	23.77	32.44	28.84	25.50	32.18
2016-02-01	29.45	32.68	31.07	30.00	32.13
2016-01-01	21.92	28.74	27.16	24.45	29.87
2015-12-01	25.56	26.98	26.49	25.80	27.18
2015-11-01	20.96	30.34	26.55	22.46	30.64
2015-10-01	21.35	28.71	25.79	22.75	28.82
2015-09-01	20.56	28.13	24.43	21.20	27.66
2015-08-01	20.61	20.61	20.61	20.61	20.61
2015-07-01	nan	nan	nan	nan	nan
2015-06-01	nan	nan	nan	nan	nan
2015-05-01	24.06	30.12	27.09	23.85	30.33
2015-04-01	33.03	33.03	33.03	33.03	33.03
2015-03-01	23.77	32.44	28.84	25.50	32.18
2015-02-01	29.45	32.68	31.07	30.00	32.13
2015-01-01	21.92	28.74	27.16	24.45	29.87
2014-12-01	25.56	26.98	26.49	25.80	27.18
2014-11-01	20.96	30.34	26.55	22.46	30.64
2014-10-01	21.35	28.71	25.79	22.75	28.82
2014-09-01	20.56	28.13	24.43	21.20	27.66
2014-08-01	20.61	20.61	20.61	20.61	20.61
2014-07-01	nan	nan	nan	nan	nan
2014-06-01	nan	nan	nan	nan	nan
2014-05-01	24.06	30.12	27.09	23.85	30.33
2014-04-01	33.03	33.03	33.03	33.03	33.03
2014-03-01	23.77	32.44	28.84	25.50	32.18
2014-02-01	29.45	32.68	31.07	30.00	32.13
2014-01-01	21.92	28.74	27.16	24.45	29.87
2013-12-01	25.56	26.98	26.49	25.80	27.18
2013-11-01	20.96	30.34	26.55	22.46	30.64
2013-10-01	21.35	28.71	25.79	22.75	28.82
2013-09-01	20.56	28.13	24.43	21.20	27.66
2013-08-01	20.61	20.61	20.61	20.61	20.61
2013-07-01	nan	nan	nan	nan	nan
2013-06-01	nan	nan	nan	nan	nan
2013-05-01	24.06	30.12	27.09	23.85	30.33
2013-04-01	33.03	33.03	33.03	33.03	33.03
2013-03-01	23.77	32.44	28.84	25.50	32.18
2013-02-01	29.45	32.68	31.07	30.00	32.13
2013-01-01	21.92	28.74	27.16	24.45	29.87
2012-12-01	25.56	26.98	26.49	25.80	27.18
2012-11-01	20.96	30.34	26.55	22.46	30.64
2012-10-01	21.35	28.71	25.79	22.75	28.82
2012-09-01	20.56	28.13	24.43	21.20	27.66
2012-08-01	20.61	20.61	20.61	20.61	20.61
2012-07-01	nan	nan	nan	nan	nan
2012-06-01	nan	nan	nan	nan	nan
2012-05-01	24.06	30.12	27.09	23.85	30.33
2012-04-01	33.03	33.03	33.03	33.03	33.03
2012-03-01	23.77	32.44	28.84	25.50	32.18
2012-02-01	29.45	32.68	31.07	30.00	32.13
2012-01-01	21.92	28.74	27.16	24.45	29.87
2011-12-01	25.56	26.98	26.49	25.80	27.18
2011-11-01	20.96	30.34	26.55	22.46	30.64
2011-10-01	21.35	28.71	25.79	22.75	28.82
2011-09-01	20.56	28.13	24.43	21.20	27.66
2011-08-01	20.61	20.61	20.61	20.61	20.61
2011-07-01	nan	nan	nan	nan	nan
2011-06-01	nan	nan	nan	nan	nan
2011-05-01	24.06	30.12	27.09	23.85	30.33
2011-04-01	33.03	33.03	33.03	33.03	33.03
2011-03-01	23.77	32.44	28.84	25.50	32.18
2011-02-01	29.45	32.68	31.07	30.00	32.13
2011-01-01	21.92	28.74	27.16	24.45	29.87
2010-12-01	25.56	26.98	26.49	25.80	27.18
2010-11-01	20.96	30.34	26.55	22.46	30.64
2010-10-01	21.35	28.71	25.79	22.75	28.82
2010-09-01	20.56	28.13	24.43	21.20	27.66
2010-08-01	20.61	20.61	20.61	20.61	20.61
2010-07-01	nan	nan	nan	nan	nan
2010-06-01	nan	nan	nan	nan	nan
2010-05-01	24.06	30.12	27.09	23.85	30.33
2010-04-01	33.03	33.03	33.03	33.03	33.03
2010-03-01	23.77	32.44	28.84	25.50	32.18
2010-02-01	29.45	32.68	31.07	30.00	32.13
2010-01-01	21.92	28.74	27.16	24.45	29.87
2009-12-01	25.56	26.98	26.49	25.80	27.18
2009-11-01	20.96	30.34	26.55	22.46	30.64
2009-10-01	21.35	28.71	25.79	22.75	28.82
2009-09-01	20.56	28.13	24.43	21.20	27.66
2009-08-01	20.61	20.61	20.61	20.61	20.61
2009-07-01	nan	nan	nan	nan	nan
2009-06-01	nan	nan	nan	nan	nan
2009-05-01	24.06	30.12	27.09	23.85	30.33
2009-04-01	33.03	33.03	33.03	33.03	33.03
2009-03-01	23.77	32.44	28.84	25.50	32.18
2009-02-01	29.45	32.68	31.07	30.00	32.13
