Date	Temperature
2000-01-28	22.79
2000-04-17	29.26
2000-05-03	29.18
2000-09-08	29.99
2000-10-10	29.06
2000-10-26	29.98
2001-01-14	27.09
2001-03-03	31.93
2001-09-11	14.60
2001-11-30	21.83
2002-02-18	26.67
2002-09-14	28.47
2002-09-30	31.41
2002-12-03	26.85
2003-02-21	32.32
2003-11-04	17.15
2003-11-20	11.13
2003-12-06	25.03
2003-12-22	23.88
2004-01-23	23.89
2004-03-11	36.13
2004-04-12	28.47
2004-09-19	10.34
2004-11-22	19.35
2004-12-08	24.82
2004-12-24	21.37
2005-01-25	28.20
2005-02-10	24.18
2005-03-14	31.12
2005-09-22	23.59
2005-10-24	22.90
2005-12-27	25.12
2006-01-28	24.50
2006-03-01	31.66
2006-08-08	29.55
2006-12-30	24.94
2007-01-15	23.36
2007-01-31	28.06
2007-02-16	28.43
2007-03-04	31.92
2007-03-20	34.11
2007-04-05	33.63
2007-08-27	21.76
2007-10-30	14.37
2007-11-15	27.92
2007-12-01	29.00
2008-01-02	24.23
2008-01-18	25.16
2008-02-03	26.54
2008-02-19	28.70
2008-03-06	28.59
2008-05-25	28.17
2008-09-30	26.98
2008-11-01	28.08
2008-11-17	29.79
2008-12-03	28.65
2009-01-20	24.90
2009-02-05	27.53
2009-03-25	31.16
2009-05-12	33.41
2009-10-19	27.23
2009-11-20	24.67
2010-01-07	26.25
2010-01-23	26.26
2010-02-08	26.17
2010-02-24	29.29
2011-03-31	35.53
2011-05-02	32.18
2011-08-22	24.33
2011-10-09	28.38
2011-11-10	28.63
2011-12-12	25.34
2012-01-13	26.59
2012-01-29	15.75
2012-02-14	32.08
2012-03-01	30.07
2012-03-17	34.37
2012-04-02	26.96
2012-05-04	29.30
2012-09-25	24.38
2012-10-27	23.77
2012-11-12	28.74
2012-11-28	28.14
2012-12-14	25.04
2013-01-15	27.53
2013-10-14	31.51
2013-10-30	26.51
2013-12-17	24.97
2014-01-02	15.41
2014-01-18	20.73
2014-02-03	25.70
2014-02-19	28.16
2014-03-07	16.27
2014-09-15	17.70
2014-11-02	17.88
2014-11-18	23.87
2014-12-04	24.56
2015-01-05	28.37
2015-01-21	26.17
2015-02-06	24.06
2015-02-22	27.29
2015-03-10	29.03
2015-04-11	29.48
2015-04-27	27.75
2015-05-29	25.55
2015-08-17	23.89
2015-09-18	17.99
2015-11-21	22.92
2015-12-23	26.21
2016-01-08	23.02
2016-01-24	26.62
2016-03-28	28.08
2016-05-15	22.47
2016-11-07	29.85
2016-11-23	26.90
2016-12-09	24.83
2017-01-10	27.37
2017-02-11	30.21
2017-09-23	30.82
2017-10-25	30.32
2017-11-10	21.22
2018-01-29	24.85
2018-02-14	27.95
2018-03-02	30.32
2018-04-03	34.57
2018-09-10	23.65
2018-09-26	30.69
2018-11-13	27.96
2018-12-31	26.71
2019-01-16	25.48
2019-02-01	26.77
2019-02-17	28.38
2019-03-21	33.83
2019-04-06	33.16
2020-01-03	28.53
2020-01-19	24.95
2020-02-04	28.58
2020-02-20	27.79
2020-03-07	26.82
2020-04-08	25.18
2020-10-17	24.94
2020-12-20	21.81
2021-01-21	21.09
2021-02-06	22.53
2021-03-09	29.55
2021-03-25	32.47
2021-04-10	2.25
2021-04-26	26.61
2021-03-25	32.47
2021-04-10	2.25
2021-04-26	26.61
2021-03-25	32.47
2021-04-10	2.25
2021-04-26	26.61
2021-03-25	32.47
2021-04-10	2.25
2021-04-26	26.61
2021-03-25	32.47
2021-04-10	2.25
2021-04-26	26.61
2021-03-25	32.47
2021-04-10	2.25
2021-04-26	26.61
2021-03-25	32.47
2021-04-10	2.25
2021-04-26	26.61
2021-03-25	32.47
2021-04-10	2.25
2021-04-26	26.61
2021-03-25	32.47
2021-04-10	2.25
2021-04-26	26.61
2021-03-25	32.47
2021-04-10	2.25
2021-04-26	26.61
2021-03-25	32.47
2021-04-10	2.25
2021-04-26	26.61
2021-03-25	32.47
2021-04-10	2.25
2021-04-26	26.61
2021-03-25	32.47
2021-04-10	2.25
2021-04-26	26.61
2021-03-25	32.47
2021-04-10	2.25
2021-04-26	26.61
2021-03-25	32.47
2021-04-10	2.25
2021-04-26	26.61
2021-03-25	32.47
2021-04-10	2.25
2021-04-26	26.61
2021-03-25	32.47
2021-04-10	2.25
2021-04-26	26.61
2021-04-10	2.25
2021-04-26	26.61
2021-04-10	2.25
2021-04-26	26.61
2021-04-10	2.25
2021-04-26	26.61
2021-04-10	2.25
2021-04-26	26.61
2021-04-10	2.25
2021-04-26	26.61
2021-04-10	2.25
2021-04-26	26.61
2021-04-10	2.25
2021-04-26	26.61
2021-04-10	2.25
2021-04-26	26.61
2021-04-10	2.25
2021-04-26	26.61
2021-04-10	2.25
2021-04-26	26.61
2021-04-10	2.25
2021-04-26	26.61
2021-04-10	2.25
2021-04-26	26.61
2021-04-10	2.25
2021-04-26	26.61
2021-04-10	2.25
2021-04-26	26.61
2021-04-10	2.25
2021-04-26	26.61
2021-04-10	2.25
2021-04-26	26.61
2021-06-29	25.08
2021-07-31	0.00
2021-06-29	25.08
2021-07-31	0.00
2021-06-29	25.08
2021-07-31	0.00
2021-06-29	25.08
2021-07-31	0.00
2021-06-29	25.08
2021-07-31	0.00
2021-06-29	25.08
2021-07-31	0.00
2021-06-29	25.08
2021-07-31	0.00
2021-06-29	25.08
2021-07-31	0.00
2021-06-29	25.08
2021-07-31	0.00
2021-06-29	25.08
2021-07-31	0.00
2021-06-29	25.08
2021-07-31	0.00
2021-06-29	25.08
2021-07-31	0.00
