Date	MIN	MAX	AVG	LOWSTD	HIGHSTD
2021-09-01	10.34	31.41	23.89	17.05	30.74
2021-08-01	21.76	29.55	24.88	21.57	28.19
2021-07-01	0.00	0.00	0.00	0.00	0.00
2021-06-01	25.08	25.08	25.08	25.08	25.08
2021-05-01	22.47	33.41	28.61	24.87	32.35
2021-04-01	2.25	34.57	16.28	3.67	28.88
2021-03-01	16.27	36.13	31.50	28.24	34.76
2021-02-01	22.53	32.32	27.59	25.20	29.98
2021-01-01	15.41	28.53	24.71	21.36	28.06
2020-12-01	21.37	29.00	25.24	23.29	27.20
2020-11-01	11.13	29.85	24.22	18.97	29.48
2020-10-01	14.37	31.51	26.27	21.46	31.08
2020-09-01	10.34	31.41	23.89	17.05	30.74
2020-08-01	21.76	29.55	24.88	21.57	28.19
2020-07-01	0.00	0.00	0.00	0.00	0.00
2020-06-01	25.08	25.08	25.08	25.08	25.08
2020-05-01	22.47	33.41	28.61	24.87	32.35
2020-04-01	2.25	34.57	16.28	3.67	28.88
2020-03-01	16.27	36.13	31.50	28.24	34.76
2020-02-01	22.53	32.32	27.59	25.20	29.98
2020-01-01	15.41	28.53	24.71	21.36	28.06
2019-12-01	21.37	29.00	25.24	23.29	27.20
2019-11-01	11.13	29.85	24.22	18.97	29.48
2019-10-01	14.37	31.51	26.27	21.46	31.08
2019-09-01	10.34	31.41	23.89	17.05	30.74
2019-08-01	21.76	29.55	24.88	21.57	28.19
2019-07-01	0.00	0.00	0.00	0.00	0.00
2019-06-01	25.08	25.08	25.08	25.08	25.08
2019-05-01	22.47	33.41	28.61	24.87	32.35
2019-04-01	2.25	34.57	16.28	3.67	28.88
2019-03-01	16.27	36.13	31.50	28.24	34.76
2019-02-01	22.53	32.32	27.59	25.20	29.98
2019-01-01	15.41	28.53	24.71	21.36	28.06
2018-12-01	21.37	29.00	25.24	23.29	27.20
2018-11-01	11.13	29.85	24.22	18.97	29.48
2018-10-01	14.37	31.51	26.27	21.46	31.08
2018-09-01	10.34	31.41	23.89	17.05	30.74
2018-08-01	21.76	29.55	24.88	21.57	28.19
2018-07-01	0.00	0.00	0.00	0.00	0.00
2018-06-01	25.08	25.08	25.08	25.08	25.08
2018-05-01	22.47	33.41	28.61	24.87	32.35
2018-04-01	2.25	34.57	16.28	3.67	28.88
2018-03-01	16.27	36.13	31.50	28.24	34.76
2018-02-01	22.53	32.32	27.59	25.20	29.98
2018-01-01	15.41	28.53	24.71	21.36	28.06
2017-12-01	21.37	29.00	25.24	23.29	27.20
2017-11-01	11.13	29.85	24.22	18.97	29.48
2017-10-01	14.37	31.51	26.27	21.46	31.08
2017-09-01	10.34	31.41	23.89	17.05	30.74
2017-08-01	21.76	29.55	24.88	21.57	28.19
2017-07-01	0.00	0.00	0.00	0.00	0.00
2017-06-01	25.08	25.08	25.08	25.08	25.08
2017-05-01	22.47	33.41	28.61	24.87	32.35
2017-04-01	2.25	34.57	16.28	3.67	28.88
2017-03-01	16.27	36.13	31.50	28.24	34.76
2017-02-01	22.53	32.32	27.59	25.20	29.98
2017-01-01	15.41	28.53	24.71	21.36	28.06
2016-12-01	21.37	29.00	25.24	23.29	27.20
2016-11-01	11.13	29.85	24.22	18.97	29.48
2016-10-01	14.37	31.51	26.27	21.46	31.08
2016-09-01	10.34	31.41	23.89	17.05	30.74
2016-08-01	21.76	29.55	24.88	21.57	28.19
2016-07-01	0.00	0.00	0.00	0.00	0.00
2016-06-01	25.08	25.08	25.08	25.08	25.08
2016-05-01	22.47	33.41	28.61	24.87	32.35
2016-04-01	2.25	34.57	16.28	3.67	28.88
2016-03-01	16.27	36.13	31.50	28.24	34.76
2016-02-01	22.53	32.32	27.59	25.20	29.98
2016-01-01	15.41	28.53	24.71	21.36	28.06
2015-12-01	21.37	29.00	25.24	23.29	27.20
2015-11-01	11.13	29.85	24.22	18.97	29.48
2015-10-01	14.37	31.51	26.27	21.46	31.08
2015-09-01	10.34	31.41	23.89	17.05	30.74
2015-08-01	21.76	29.55	24.88	21.57	28.19
2015-07-01	0.00	0.00	0.00	0.00	0.00
2015-06-01	25.08	25.08	25.08	25.08	25.08
2015-05-01	22.47	33.41	28.61	24.87	32.35
2015-04-01	2.25	34.57	16.28	3.67	28.88
2015-03-01	16.27	36.13	31.50	28.24	34.76
2015-02-01	22.53	32.32	27.59	25.20	29.98
2015-01-01	15.41	28.53	24.71	21.36	28.06
2014-12-01	21.37	29.00	25.24	23.29	27.20
2014-11-01	11.13	29.85	24.22	18.97	29.48
2014-10-01	14.37	31.51	26.27	21.46	31.08
2014-09-01	10.34	31.41	23.89	17.05	30.74
