Date	MIN	MAX	AVG	LOWSTD	HIGHSTD
2023-09-01	18.28	23.79	21.64	19.13	24.16
2023-08-01	-1.46	26.50	14.97	2.86	27.08
2023-07-01	15.49	22.79	20.42	17.44	23.40
2023-06-01	20.70	24.64	22.67	20.56	24.78
2023-05-01	26.30	26.53	26.42	26.29	26.54
2023-04-01	19.04	31.76	26.63	21.20	32.06
2023-03-01	26.32	31.76	29.18	27.52	30.85
2023-02-01	23.03	31.02	26.69	24.47	28.91
2023-01-01	20.24	27.01	24.65	22.93	26.37
2022-12-01	16.82	24.97	21.02	18.78	23.25
2022-11-01	19.51	25.32	21.61	18.86	24.36
2022-10-01	13.00	19.97	16.48	12.76	20.21
2022-09-01	18.28	23.79	21.64	19.13	24.16
2022-08-01	-1.46	26.50	14.97	2.86	27.08
2022-07-01	15.49	22.79	20.42	17.44	23.40
2022-06-01	20.70	24.64	22.67	20.56	24.78
2022-05-01	26.30	26.53	26.42	26.29	26.54
2022-04-01	19.04	31.76	26.63	21.20	32.06
2022-03-01	26.32	31.76	29.18	27.52	30.85
2022-02-01	23.03	31.02	26.69	24.47	28.91
2022-01-01	20.24	27.01	24.65	22.93	26.37
2021-12-01	16.82	24.97	21.02	18.78	23.25
2021-11-01	19.51	25.32	21.61	18.86	24.36
2021-10-01	13.00	19.97	16.48	12.76	20.21
2021-09-01	18.28	23.79	21.64	19.13	24.16
2021-08-01	-1.46	26.50	14.97	2.86	27.08
2021-07-01	15.49	22.79	20.42	17.44	23.40
2021-06-01	20.70	24.64	22.67	20.56	24.78
2021-05-01	26.30	26.53	26.42	26.29	26.54
2021-04-01	19.04	31.76	26.63	21.20	32.06
2021-03-01	26.32	31.76	29.18	27.52	30.85
2021-02-01	23.03	31.02	26.69	24.47	28.91
2021-01-01	20.24	27.01	24.65	22.93	26.37
2020-12-01	16.82	24.97	21.02	18.78	23.25
2020-11-01	19.51	25.32	21.61	18.86	24.36
2020-10-01	13.00	19.97	16.48	12.76	20.21
2020-09-01	18.28	23.79	21.64	19.13	24.16
2020-08-01	-1.46	26.50	14.97	2.86	27.08
2020-07-01	15.49	22.79	20.42	17.44	23.40
2020-06-01	20.70	24.64	22.67	20.56	24.78
2020-05-01	26.30	26.53	26.42	26.29	26.54
2020-04-01	19.04	31.76	26.63	21.20	32.06
2020-03-01	26.32	31.76	29.18	27.52	30.85
2020-02-01	23.03	31.02	26.69	24.47	28.91
2020-01-01	20.24	27.01	24.65	22.93	26.37
2019-12-01	16.82	24.97	21.02	18.78	23.25
2019-11-01	19.51	25.32	21.61	18.86	24.36
2019-10-01	13.00	19.97	16.48	12.76	20.21
2019-09-01	18.28	23.79	21.64	19.13	24.16
2019-08-01	-1.46	26.50	14.97	2.86	27.08
2019-07-01	15.49	22.79	20.42	17.44	23.40
2019-06-01	20.70	24.64	22.67	20.56	24.78
2019-05-01	26.30	26.53	26.42	26.29	26.54
2019-04-01	19.04	31.76	26.63	21.20	32.06
2019-03-01	26.32	31.76	29.18	27.52	30.85
2019-02-01	23.03	31.02	26.69	24.47	28.91
2019-01-01	20.24	27.01	24.65	22.93	26.37
2018-12-01	16.82	24.97	21.02	18.78	23.25
2018-11-01	19.51	25.32	21.61	18.86	24.36
2018-10-01	13.00	19.97	16.48	12.76	20.21
2018-09-01	18.28	23.79	21.64	19.13	24.16
2018-08-01	-1.46	26.50	14.97	2.86	27.08
2018-07-01	15.49	22.79	20.42	17.44	23.40
2018-06-01	20.70	24.64	22.67	20.56	24.78
2018-05-01	26.30	26.53	26.42	26.29	26.54
2018-04-01	19.04	31.76	26.63	21.20	32.06
2018-03-01	26.32	31.76	29.18	27.52	30.85
2018-02-01	23.03	31.02	26.69	24.47	28.91
2018-01-01	20.24	27.01	24.65	22.93	26.37
2017-12-01	16.82	24.97	21.02	18.78	23.25
2017-11-01	19.51	25.32	21.61	18.86	24.36
2017-10-01	13.00	19.97	16.48	12.76	20.21
2017-09-01	18.28	23.79	21.64	19.13	24.16
2017-08-01	-1.46	26.50	14.97	2.86	27.08
2017-07-01	15.49	22.79	20.42	17.44	23.40
2017-06-01	20.70	24.64	22.67	20.56	24.78
2017-05-01	26.30	26.53	26.42	26.29	26.54
2017-04-01	19.04	31.76	26.63	21.20	32.06
2017-03-01	26.32	31.76	29.18	27.52	30.85
2017-02-01	23.03	31.02	26.69	24.47	28.91
2017-01-01	20.24	27.01	24.65	22.93	26.37
2016-12-01	16.82	24.97	21.02	18.78	23.25
2016-11-01	19.51	25.32	21.61	18.86	24.36
2016-10-01	13.00	19.97	16.48	12.76	20.21
2016-09-01	18.28	23.79	21.64	19.13	24.16
2016-08-01	-1.46	26.50	14.97	2.86	27.08
2016-07-01	15.49	22.79	20.42	17.44	23.40
2016-06-01	20.70	24.64	22.67	20.56	24.78
2016-05-01	26.30	26.53	26.42	26.29	26.54
2016-04-01	19.04	31.76	26.63	21.20	32.06
2016-03-01	26.32	31.76	29.18	27.52	30.85
2016-02-01	23.03	31.02	26.69	24.47	28.91
2016-01-01	20.24	27.01	24.65	22.93	26.37
2015-12-01	16.82	24.97	21.02	18.78	23.25
2015-11-01	19.51	25.32	21.61	18.86	24.36
2015-10-01	13.00	19.97	16.48	12.76	20.21
2015-09-01	18.28	23.79	21.64	19.13	24.16
2015-08-01	-1.46	26.50	14.97	2.86	27.08
2015-07-01	15.49	22.79	20.42	17.44	23.40
2015-06-01	20.70	24.64	22.67	20.56	24.78
2015-05-01	26.30	26.53	26.42	26.29	26.54
2015-04-01	19.04	31.76	26.63	21.20	32.06
2015-03-01	26.32	31.76	29.18	27.52	30.85
2015-02-01	23.03	31.02	26.69	24.47	28.91
2015-01-01	20.24	27.01	24.65	22.93	26.37
2014-12-01	16.82	24.97	21.02	18.78	23.25
2014-11-01	19.51	25.32	21.61	18.86	24.36
2014-10-01	13.00	19.97	16.48	12.76	20.21
2014-09-01	18.28	23.79	21.64	19.13	24.16
2014-08-01	-1.46	26.50	14.97	2.86	27.08
2014-07-01	15.49	22.79	20.42	17.44	23.40
2014-06-01	20.70	24.64	22.67	20.56	24.78
2014-05-01	26.30	26.53	26.42	26.29	26.54
2014-04-01	19.04	31.76	26.63	21.20	32.06
2014-03-01	26.32	31.76	29.18	27.52	30.85
2014-02-01	23.03	31.02	26.69	24.47	28.91
2014-01-01	20.24	27.01	24.65	22.93	26.37
2013-12-01	16.82	24.97	21.02	18.78	23.25
2013-11-01	19.51	25.32	21.61	18.86	24.36
2013-10-01	13.00	19.97	16.48	12.76	20.21
2013-09-01	18.28	23.79	21.64	19.13	24.16
2013-08-01	-1.46	26.50	14.97	2.86	27.08
2013-07-01	15.49	22.79	20.42	17.44	23.40
2013-06-01	20.70	24.64	22.67	20.56	24.78
2013-05-01	26.30	26.53	26.42	26.29	26.54
2013-04-01	19.04	31.76	26.63	21.20	32.06
2013-03-01	26.32	31.76	29.18	27.52	30.85
2013-02-01	23.03	31.02	26.69	24.47	28.91
2013-01-01	20.24	27.01	24.65	22.93	26.37
2012-12-01	16.82	24.97	21.02	18.78	23.25
2012-11-01	19.51	25.32	21.61	18.86	24.36
2012-10-01	13.00	19.97	16.48	12.76	20.21
2012-09-01	18.28	23.79	21.64	19.13	24.16
2012-08-01	-1.46	26.50	14.97	2.86	27.08
2012-07-01	15.49	22.79	20.42	17.44	23.40
2012-06-01	20.70	24.64	22.67	20.56	24.78
2012-05-01	26.30	26.53	26.42	26.29	26.54
2012-04-01	19.04	31.76	26.63	21.20	32.06
2012-03-01	26.32	31.76	29.18	27.52	30.85
2012-02-01	23.03	31.02	26.69	24.47	28.91
2012-01-01	20.24	27.01	24.65	22.93	26.37
2011-12-01	16.82	24.97	21.02	18.78	23.25
2011-11-01	19.51	25.32	21.61	18.86	24.36
2011-10-01	13.00	19.97	16.48	12.76	20.21
2011-09-01	18.28	23.79	21.64	19.13	24.16
2011-08-01	-1.46	26.50	14.97	2.86	27.08
2011-07-01	15.49	22.79	20.42	17.44	23.40
2011-06-01	20.70	24.64	22.67	20.56	24.78
2011-05-01	26.30	26.53	26.42	26.29	26.54
2011-04-01	19.04	31.76	26.63	21.20	32.06
2011-03-01	26.32	31.76	29.18	27.52	30.85
2011-02-01	23.03	31.02	26.69	24.47	28.91
2011-01-01	20.24	27.01	24.65	22.93	26.37
