Date	MIN	MAX	AVG	LOWSTD	HIGHSTD
2023-08-01	13.97	28.61	21.73	16.58	26.89
2023-07-01	0.00	25.02	6.66	-0.29	13.61
2023-06-01	1.36	29.72	16.99	6.25	27.72
2023-05-01	5.87	35.43	26.24	22.47	30.01
2023-04-01	19.25	35.63	24.13	18.29	29.96
2023-03-01	11.43	36.85	24.43	16.14	32.72
2023-02-01	22.89	35.90	27.96	25.77	30.14
2023-01-01	12.81	30.03	26.31	23.30	29.32
2022-12-01	17.32	32.45	25.10	21.89	28.31
2022-11-01	6.97	30.97	22.24	15.46	29.02
2022-10-01	1.36	32.64	20.64	14.50	26.77
2022-09-01	4.35	30.54	22.80	16.32	29.28
2022-08-01	13.97	28.61	21.73	16.58	26.89
2022-07-01	0.00	25.02	6.66	-0.29	13.61
2022-06-01	1.36	29.72	16.99	6.25	27.72
2022-05-01	5.87	35.43	26.24	22.47	30.01
2022-04-01	19.25	35.63	24.13	18.29	29.96
2022-03-01	11.43	36.85	24.43	16.14	32.72
2022-02-01	22.89	35.90	27.96	25.77	30.14
2022-01-01	12.81	30.03	26.31	23.30	29.32
2021-12-01	17.32	32.45	25.10	21.89	28.31
2021-11-01	6.97	30.97	22.24	15.46	29.02
2021-10-01	1.36	32.64	20.64	14.50	26.77
2021-09-01	4.35	30.54	22.80	16.32	29.28
2021-08-01	13.97	28.61	21.73	16.58	26.89
2021-07-01	0.00	25.02	6.66	-0.29	13.61
2021-06-01	1.36	29.72	16.99	6.25	27.72
2021-05-01	5.87	35.43	26.24	22.47	30.01
2021-04-01	19.25	35.63	24.13	18.29	29.96
2021-03-01	11.43	36.85	24.43	16.14	32.72
2021-02-01	22.89	35.90	27.96	25.77	30.14
2021-01-01	12.81	30.03	26.31	23.30	29.32
2020-12-01	17.32	32.45	25.10	21.89	28.31
2020-11-01	6.97	30.97	22.24	15.46	29.02
2020-10-01	1.36	32.64	20.64	14.50	26.77
2020-09-01	4.35	30.54	22.80	16.32	29.28
2020-08-01	13.97	28.61	21.73	16.58	26.89
2020-07-01	0.00	25.02	6.66	-0.29	13.61
2020-06-01	1.36	29.72	16.99	6.25	27.72
2020-05-01	5.87	35.43	26.24	22.47	30.01
2020-04-01	19.25	35.63	24.13	18.29	29.96
2020-03-01	11.43	36.85	24.43	16.14	32.72
2020-02-01	22.89	35.90	27.96	25.77	30.14
2020-01-01	12.81	30.03	26.31	23.30	29.32
2019-12-01	17.32	32.45	25.10	21.89	28.31
2019-11-01	6.97	30.97	22.24	15.46	29.02
2019-10-01	1.36	32.64	20.64	14.50	26.77
2019-09-01	4.35	30.54	22.80	16.32	29.28
2019-08-01	13.97	28.61	21.73	16.58	26.89
2019-07-01	0.00	25.02	6.66	-0.29	13.61
2019-06-01	1.36	29.72	16.99	6.25	27.72
2019-05-01	5.87	35.43	26.24	22.47	30.01
2019-04-01	19.25	35.63	24.13	18.29	29.96
2019-03-01	11.43	36.85	24.43	16.14	32.72
2019-02-01	22.89	35.90	27.96	25.77	30.14
2019-01-01	12.81	30.03	26.31	23.30	29.32
2018-12-01	17.32	32.45	25.10	21.89	28.31
2018-11-01	6.97	30.97	22.24	15.46	29.02
2018-10-01	1.36	32.64	20.64	14.50	26.77
2018-09-01	4.35	30.54	22.80	16.32	29.28
2018-08-01	13.97	28.61	21.73	16.58	26.89
2018-07-01	0.00	25.02	6.66	-0.29	13.61
2018-06-01	1.36	29.72	16.99	6.25	27.72
2018-05-01	5.87	35.43	26.24	22.47	30.01
2018-04-01	19.25	35.63	24.13	18.29	29.96
2018-03-01	11.43	36.85	24.43	16.14	32.72
2018-02-01	22.89	35.90	27.96	25.77	30.14
2018-01-01	12.81	30.03	26.31	23.30	29.32
2017-12-01	17.32	32.45	25.10	21.89	28.31
2017-11-01	6.97	30.97	22.24	15.46	29.02
2017-10-01	1.36	32.64	20.64	14.50	26.77
2017-09-01	4.35	30.54	22.80	16.32	29.28
2017-08-01	13.97	28.61	21.73	16.58	26.89
2017-07-01	0.00	25.02	6.66	-0.29	13.61
2017-06-01	1.36	29.72	16.99	6.25	27.72
2017-05-01	5.87	35.43	26.24	22.47	30.01
2017-04-01	19.25	35.63	24.13	18.29	29.96
2017-03-01	11.43	36.85	24.43	16.14	32.72
2017-02-01	22.89	35.90	27.96	25.77	30.14
2017-01-01	12.81	30.03	26.31	23.30	29.32
2016-12-01	17.32	32.45	25.10	21.89	28.31
2016-11-01	6.97	30.97	22.24	15.46	29.02
2016-10-01	1.36	32.64	20.64	14.50	26.77
2016-09-01	4.35	30.54	22.80	16.32	29.28
2016-08-01	13.97	28.61	21.73	16.58	26.89
2016-07-01	0.00	25.02	6.66	-0.29	13.61
2016-06-01	1.36	29.72	16.99	6.25	27.72
2016-05-01	5.87	35.43	26.24	22.47	30.01
2016-04-01	19.25	35.63	24.13	18.29	29.96
2016-03-01	11.43	36.85	24.43	16.14	32.72
2016-02-01	22.89	35.90	27.96	25.77	30.14
2016-01-01	12.81	30.03	26.31	23.30	29.32
2015-12-01	17.32	32.45	25.10	21.89	28.31
2015-11-01	6.97	30.97	22.24	15.46	29.02
2015-10-01	1.36	32.64	20.64	14.50	26.77
2015-09-01	4.35	30.54	22.80	16.32	29.28
2015-08-01	13.97	28.61	21.73	16.58	26.89
2015-07-01	0.00	25.02	6.66	-0.29	13.61
2015-06-01	1.36	29.72	16.99	6.25	27.72
2015-05-01	5.87	35.43	26.24	22.47	30.01
2015-04-01	19.25	35.63	24.13	18.29	29.96
2015-03-01	11.43	36.85	24.43	16.14	32.72
2015-02-01	22.89	35.90	27.96	25.77	30.14
2015-01-01	12.81	30.03	26.31	23.30	29.32
2014-12-01	17.32	32.45	25.10	21.89	28.31
2014-11-01	6.97	30.97	22.24	15.46	29.02
2014-10-01	1.36	32.64	20.64	14.50	26.77
2014-09-01	4.35	30.54	22.80	16.32	29.28
2014-08-01	13.97	28.61	21.73	16.58	26.89
2014-07-01	0.00	25.02	6.66	-0.29	13.61
2014-06-01	1.36	29.72	16.99	6.25	27.72
2014-05-01	5.87	35.43	26.24	22.47	30.01
2014-04-01	19.25	35.63	24.13	18.29	29.96
2014-03-01	11.43	36.85	24.43	16.14	32.72
2014-02-01	22.89	35.90	27.96	25.77	30.14
2014-01-01	12.81	30.03	26.31	23.30	29.32
2013-12-01	17.32	32.45	25.10	21.89	28.31
2013-11-01	6.97	30.97	22.24	15.46	29.02
2013-10-01	1.36	32.64	20.64	14.50	26.77
2013-09-01	4.35	30.54	22.80	16.32	29.28
2013-08-01	13.97	28.61	21.73	16.58	26.89
2013-07-01	0.00	25.02	6.66	-0.29	13.61
2013-06-01	1.36	29.72	16.99	6.25	27.72
