Date	MIN	MAX	AVG	LOWSTD	HIGHSTD
2021-08-01	2.07	22.78	14.24	7.03	21.45
2021-07-01	0.28	14.56	5.37	-2.60	13.34
2021-06-01	12.58	12.58	12.58	nan	nan
2021-05-01	9.83	31.21	22.01	14.41	29.61
2021-04-01	0.00	29.09	9.18	-0.90	19.27
2021-03-01	26.47	32.15	29.37	27.94	30.80
2021-02-01	22.87	31.96	27.07	24.92	29.22
2021-01-01	22.19	29.00	25.94	24.44	27.43
2020-12-01	20.32	29.57	25.49	23.49	27.50
2020-11-01	4.17	28.35	21.78	14.29	29.27
2020-10-01	5.04	28.43	19.88	12.89	26.86
2020-09-01	5.49	26.61	17.10	9.24	24.95
2020-08-01	2.07	22.78	14.24	7.03	21.45
2020-07-01	0.28	14.56	5.37	-2.60	13.34
2020-06-01	12.58	12.58	12.58	nan	nan
2020-05-01	9.83	31.21	22.01	14.41	29.61
2020-04-01	0.00	29.09	9.18	-0.90	19.27
2020-03-01	26.47	32.15	29.37	27.94	30.80
2020-02-01	22.87	31.96	27.07	24.92	29.22
2020-01-01	22.19	29.00	25.94	24.44	27.43
2019-12-01	20.32	29.57	25.49	23.49	27.50
2019-11-01	4.17	28.35	21.78	14.29	29.27
2019-10-01	5.04	28.43	19.88	12.89	26.86
2019-09-01	5.49	26.61	17.10	9.24	24.95
2019-08-01	2.07	22.78	14.24	7.03	21.45
2019-07-01	0.28	14.56	5.37	-2.60	13.34
2019-06-01	12.58	12.58	12.58	nan	nan
2019-05-01	9.83	31.21	22.01	14.41	29.61
2019-04-01	0.00	29.09	9.18	-0.90	19.27
2019-03-01	26.47	32.15	29.37	27.94	30.80
2019-02-01	22.87	31.96	27.07	24.92	29.22
2019-01-01	22.19	29.00	25.94	24.44	27.43
2018-12-01	20.32	29.57	25.49	23.49	27.50
2018-11-01	4.17	28.35	21.78	14.29	29.27
2018-10-01	5.04	28.43	19.88	12.89	26.86
2018-09-01	5.49	26.61	17.10	9.24	24.95
