Date	MIN	MAX	AVG	LOWSTD	HIGHSTD
2023-09-01	4.30	30.34	20.26	12.38	28.15
2023-08-01	1.36	27.76	18.11	11.20	25.02
2023-07-01	0.19	23.10	13.04	5.35	20.73
2023-06-01	1.36	28.95	8.03	-1.60	17.65
2023-05-01	5.87	33.17	24.72	19.97	29.47
2023-04-01	8.51	34.36	23.04	16.73	29.35
2023-03-01	22.46	36.85	27.70	23.95	31.45
2023-02-01	22.86	35.59	26.75	24.03	29.48
2023-01-01	18.83	30.03	25.75	23.63	27.88
2022-12-01	19.61	31.22	26.20	23.53	28.87
2022-11-01	6.97	30.28	23.03	16.91	29.15
2022-10-01	4.13	32.12	19.21	13.58	24.85
2022-09-01	4.30	30.34	20.26	12.38	28.15
2022-08-01	1.36	27.76	18.11	11.20	25.02
2022-07-01	0.19	23.10	13.04	5.35	20.73
2022-06-01	1.36	28.95	8.03	-1.60	17.65
2022-05-01	5.87	33.17	24.72	19.97	29.47
2022-04-01	8.51	34.36	23.04	16.73	29.35
2022-03-01	22.46	36.85	27.70	23.95	31.45
2022-02-01	22.86	35.59	26.75	24.03	29.48
2022-01-01	18.83	30.03	25.75	23.63	27.88
2021-12-01	19.61	31.22	26.20	23.53	28.87
2021-11-01	6.97	30.28	23.03	16.91	29.15
2021-10-01	4.13	32.12	19.21	13.58	24.85
2021-09-01	4.30	30.34	20.26	12.38	28.15
2021-08-01	1.36	27.76	18.11	11.20	25.02
2021-07-01	0.19	23.10	13.04	5.35	20.73
2021-06-01	1.36	28.95	8.03	-1.60	17.65
2021-05-01	5.87	33.17	24.72	19.97	29.47
2021-04-01	8.51	34.36	23.04	16.73	29.35
2021-03-01	22.46	36.85	27.70	23.95	31.45
2021-02-01	22.86	35.59	26.75	24.03	29.48
2021-01-01	18.83	30.03	25.75	23.63	27.88
2020-12-01	19.61	31.22	26.20	23.53	28.87
2020-11-01	6.97	30.28	23.03	16.91	29.15
2020-10-01	4.13	32.12	19.21	13.58	24.85
2020-09-01	4.30	30.34	20.26	12.38	28.15
2020-08-01	1.36	27.76	18.11	11.20	25.02
2020-07-01	0.19	23.10	13.04	5.35	20.73
2020-06-01	1.36	28.95	8.03	-1.60	17.65
2020-05-01	5.87	33.17	24.72	19.97	29.47
2020-04-01	8.51	34.36	23.04	16.73	29.35
2020-03-01	22.46	36.85	27.70	23.95	31.45
2020-02-01	22.86	35.59	26.75	24.03	29.48
2020-01-01	18.83	30.03	25.75	23.63	27.88
2019-12-01	19.61	31.22	26.20	23.53	28.87
2019-11-01	6.97	30.28	23.03	16.91	29.15
2019-10-01	4.13	32.12	19.21	13.58	24.85
2019-09-01	4.30	30.34	20.26	12.38	28.15
2019-08-01	1.36	27.76	18.11	11.20	25.02
2019-07-01	0.19	23.10	13.04	5.35	20.73
2019-06-01	1.36	28.95	8.03	-1.60	17.65
2019-05-01	5.87	33.17	24.72	19.97	29.47
2019-04-01	8.51	34.36	23.04	16.73	29.35
2019-03-01	22.46	36.85	27.70	23.95	31.45
2019-02-01	22.86	35.59	26.75	24.03	29.48
2019-01-01	18.83	30.03	25.75	23.63	27.88
2018-12-01	19.61	31.22	26.20	23.53	28.87
2018-11-01	6.97	30.28	23.03	16.91	29.15
2018-10-01	4.13	32.12	19.21	13.58	24.85
2018-09-01	4.30	30.34	20.26	12.38	28.15
2018-08-01	1.36	27.76	18.11	11.20	25.02
2018-07-01	0.19	23.10	13.04	5.35	20.73
2018-06-01	1.36	28.95	8.03	-1.60	17.65
2018-05-01	5.87	33.17	24.72	19.97	29.47
2018-04-01	8.51	34.36	23.04	16.73	29.35
2018-03-01	22.46	36.85	27.70	23.95	31.45
2018-02-01	22.86	35.59	26.75	24.03	29.48
2018-01-01	18.83	30.03	25.75	23.63	27.88
2017-12-01	19.61	31.22	26.20	23.53	28.87
2017-11-01	6.97	30.28	23.03	16.91	29.15
2017-10-01	4.13	32.12	19.21	13.58	24.85
2017-09-01	4.30	30.34	20.26	12.38	28.15
2017-08-01	1.36	27.76	18.11	11.20	25.02
2017-07-01	0.19	23.10	13.04	5.35	20.73
2017-06-01	1.36	28.95	8.03	-1.60	17.65
2017-05-01	5.87	33.17	24.72	19.97	29.47
2017-04-01	8.51	34.36	23.04	16.73	29.35
2017-03-01	22.46	36.85	27.70	23.95	31.45
2017-02-01	22.86	35.59	26.75	24.03	29.48
2017-01-01	18.83	30.03	25.75	23.63	27.88
2016-12-01	19.61	31.22	26.20	23.53	28.87
2016-11-01	6.97	30.28	23.03	16.91	29.15
2016-10-01	4.13	32.12	19.21	13.58	24.85
2016-09-01	4.30	30.34	20.26	12.38	28.15
2016-08-01	1.36	27.76	18.11	11.20	25.02
2016-07-01	0.19	23.10	13.04	5.35	20.73
2016-06-01	1.36	28.95	8.03	-1.60	17.65
2016-05-01	5.87	33.17	24.72	19.97	29.47
2016-04-01	8.51	34.36	23.04	16.73	29.35
2016-03-01	22.46	36.85	27.70	23.95	31.45
2016-02-01	22.86	35.59	26.75	24.03	29.48
2016-01-01	18.83	30.03	25.75	23.63	27.88
2015-12-01	19.61	31.22	26.20	23.53	28.87
2015-11-01	6.97	30.28	23.03	16.91	29.15
2015-10-01	4.13	32.12	19.21	13.58	24.85
2015-09-01	4.30	30.34	20.26	12.38	28.15
2015-08-01	1.36	27.76	18.11	11.20	25.02
2015-07-01	0.19	23.10	13.04	5.35	20.73
2015-06-01	1.36	28.95	8.03	-1.60	17.65
2015-05-01	5.87	33.17	24.72	19.97	29.47
2015-04-01	8.51	34.36	23.04	16.73	29.35
