Date	MIN	MAX	AVG	LOWSTD	HIGHSTD
2023-09-01	24.08	26.31	25.28	24.32	26.24
2023-08-01	33.74	33.74	33.74	33.74	33.74
2023-07-01	24.19	24.19	24.19	24.19	24.19
2023-06-01	nan	nan	nan	nan	nan
2023-05-01	nan	nan	nan	nan	nan
2023-04-01	25.66	33.87	30.13	26.85	33.41
2023-03-01	28.31	34.66	30.84	28.70	32.98
2023-02-01	22.20	30.64	26.21	24.01	28.41
2023-01-01	21.47	27.37	26.01	24.57	27.45
2022-12-01	20.36	27.71	23.83	21.48	26.18
2022-11-01	22.54	26.53	24.54	22.40	26.67
2022-10-01	12.35	25.19	19.86	14.68	25.05
2022-09-01	24.08	26.31	25.28	24.32	26.24
2022-08-01	33.74	33.74	33.74	33.74	33.74
2022-07-01	24.19	24.19	24.19	24.19	24.19
2022-06-01	nan	nan	nan	nan	nan
2022-05-01	nan	nan	nan	nan	nan
2022-04-01	25.66	33.87	30.13	26.85	33.41
2022-03-01	28.31	34.66	30.84	28.70	32.98
2022-02-01	22.20	30.64	26.21	24.01	28.41
2022-01-01	21.47	27.37	26.01	24.57	27.45
2021-12-01	20.36	27.71	23.83	21.48	26.18
2021-11-01	22.54	26.53	24.54	22.40	26.67
2021-10-01	12.35	25.19	19.86	14.68	25.05
2021-09-01	24.08	26.31	25.28	24.32	26.24
2021-08-01	33.74	33.74	33.74	33.74	33.74
2021-07-01	24.19	24.19	24.19	24.19	24.19
2021-06-01	nan	nan	nan	nan	nan
2021-05-01	nan	nan	nan	nan	nan
2021-04-01	25.66	33.87	30.13	26.85	33.41
2021-03-01	28.31	34.66	30.84	28.70	32.98
2021-02-01	22.20	30.64	26.21	24.01	28.41
2021-01-01	21.47	27.37	26.01	24.57	27.45
2020-12-01	20.36	27.71	23.83	21.48	26.18
2020-11-01	22.54	26.53	24.54	22.40	26.67
2020-10-01	12.35	25.19	19.86	14.68	25.05
2020-09-01	24.08	26.31	25.28	24.32	26.24
2020-08-01	33.74	33.74	33.74	33.74	33.74
2020-07-01	24.19	24.19	24.19	24.19	24.19
2020-06-01	nan	nan	nan	nan	nan
2020-05-01	nan	nan	nan	nan	nan
2020-04-01	25.66	33.87	30.13	26.85	33.41
