Date	MIN	MAX	AVG	LOWSTD	HIGHSTD
2023-08-01	1.36	28.61	20.61	13.46	27.76
2023-07-01	0.00	25.02	6.55	-3.12	16.22
2023-06-01	1.36	28.95	22.51	15.25	29.77
2023-05-01	5.87	33.36	25.50	17.99	33.02
2023-04-01	22.15	34.73	29.85	26.49	33.20
2023-03-01	25.61	36.85	28.36	24.89	31.83
2023-02-01	22.95	35.69	27.05	24.39	29.71
2023-01-01	18.73	30.23	25.86	23.51	28.20
2022-12-01	18.79	32.45	26.42	23.15	29.68
2022-11-01	9.87	30.97	23.95	18.08	29.81
2022-10-01	1.36	32.65	19.01	12.36	25.65
2022-09-01	4.30	30.56	21.68	14.37	28.99
2022-08-01	1.36	28.61	20.61	13.46	27.76
2022-07-01	0.00	25.02	6.55	-3.12	16.22
2022-06-01	1.36	28.95	22.51	15.25	29.77
2022-05-01	5.87	33.36	25.50	17.99	33.02
2022-04-01	22.15	34.73	29.85	26.49	33.20
2022-03-01	25.61	36.85	28.36	24.89	31.83
2022-02-01	22.95	35.69	27.05	24.39	29.71
2022-01-01	18.73	30.23	25.86	23.51	28.20
2021-12-01	18.79	32.45	26.42	23.15	29.68
2021-11-01	9.87	30.97	23.95	18.08	29.81
2021-10-01	1.36	32.65	19.01	12.36	25.65
2021-09-01	4.30	30.56	21.68	14.37	28.99
2021-08-01	1.36	28.61	20.61	13.46	27.76
2021-07-01	0.00	25.02	6.55	-3.12	16.22
2021-06-01	1.36	28.95	22.51	15.25	29.77
2021-05-01	5.87	33.36	25.50	17.99	33.02
2021-04-01	22.15	34.73	29.85	26.49	33.20
2021-03-01	25.61	36.85	28.36	24.89	31.83
2021-02-01	22.95	35.69	27.05	24.39	29.71
2021-01-01	18.73	30.23	25.86	23.51	28.20
2020-12-01	18.79	32.45	26.42	23.15	29.68
2020-11-01	9.87	30.97	23.95	18.08	29.81
2020-10-01	1.36	32.65	19.01	12.36	25.65
2020-09-01	4.30	30.56	21.68	14.37	28.99
2020-08-01	1.36	28.61	20.61	13.46	27.76
2020-07-01	0.00	25.02	6.55	-3.12	16.22
2020-06-01	1.36	28.95	22.51	15.25	29.77
2020-05-01	5.87	33.36	25.50	17.99	33.02
2020-04-01	22.15	34.73	29.85	26.49	33.20
2020-03-01	25.61	36.85	28.36	24.89	31.83
2020-02-01	22.95	35.69	27.05	24.39	29.71
2020-01-01	18.73	30.23	25.86	23.51	28.20
2019-12-01	18.79	32.45	26.42	23.15	29.68
2019-11-01	9.87	30.97	23.95	18.08	29.81
