Date	Temperature
2000-01-28	22.13
2000-04-17	29.26
2000-05-03	28.07
2000-09-08	29.92
2000-10-10	26.92
2000-10-26	28.87
2001-01-14	26.80
2001-03-03	31.13
2001-09-11	15.74
2001-11-30	21.56
2002-02-18	26.56
2002-09-14	28.22
2002-09-30	30.63
2002-12-03	26.67
2003-02-21	32.00
2003-11-04	17.15
2003-11-20	11.13
2003-12-06	24.97
2003-12-22	24.18
2004-01-23	23.80
2004-03-11	36.13
2004-04-12	28.53
2004-09-19	10.01
2004-11-22	19.90
2004-12-08	24.80
2004-12-24	21.45
2005-01-25	28.00
2005-02-10	24.10
2005-02-26	32.27
2005-03-14	30.79
2005-04-15	28.90
2005-09-22	24.96
2005-10-24	21.09
2005-12-27	25.12
2006-01-28	24.46
2006-03-01	30.36
2006-08-08	28.86
2006-12-30	24.77
2007-01-15	23.36
2007-01-31	27.50
2007-02-16	28.28
2007-03-04	30.84
2007-03-20	33.60
2007-04-05	33.07
2007-08-27	21.57
2007-10-30	13.86
2007-11-15	26.85
2007-12-01	28.42
2008-01-02	23.94
2008-01-18	25.06
2008-02-03	26.54
2008-02-19	28.10
2008-03-06	28.23
2008-05-25	28.17
2008-08-29	21.31
2008-09-30	26.09
2008-11-01	27.93
2008-11-17	28.20
2008-12-03	27.98
2009-01-20	24.79
2009-02-05	27.16
2009-03-25	30.43
2009-05-12	33.41
2009-10-19	26.76
2009-11-20	24.67
2010-01-07	25.92
2010-01-23	26.16
2010-02-08	25.88
2010-02-24	29.06
2011-03-31	35.53
2011-05-02	32.18
2011-05-18	28.26
2011-08-22	23.66
2011-09-23	12.56
2011-10-09	27.27
2011-11-10	27.91
2011-12-12	24.59
2012-01-13	26.32
2012-01-29	15.44
2012-02-14	31.70
2012-03-01	29.51
2012-03-17	33.47
2012-04-02	24.26
2012-05-04	29.16
2012-09-25	23.65
2012-10-27	23.77
2012-11-12	28.26
2012-11-28	26.72
2012-12-14	24.46
2013-01-15	27.21
2013-01-31	28.13
2013-08-11	11.78
2013-09-28	3.95
2013-10-14	31.51
2013-10-30	25.60
2013-12-17	25.11
2014-01-02	15.41
2014-01-18	20.65
2014-02-03	25.83
2014-02-19	27.48
2014-03-07	21.07
2014-09-15	17.70
2014-10-01	25.75
2014-11-02	16.27
2014-11-18	23.62
2014-12-04	24.34
2014-12-20	18.27
2015-01-05	27.62
2015-01-21	25.93
2015-02-06	23.75
2015-02-22	26.96
2015-03-10	29.03
2015-04-11	28.28
2015-04-27	28.70
2015-05-29	25.18
2015-08-17	23.99
2015-09-18	18.91
2015-11-21	19.48
2015-12-23	26.57
2016-01-08	22.91
2016-01-24	26.39
2016-02-25	33.53
2016-03-28	26.57
2016-05-15	24.66
2016-08-03	15.53
2016-10-06	26.95
2016-11-07	29.30
2016-11-23	26.34
2016-12-09	24.72
2017-01-10	27.13
2017-02-11	30.44
2017-09-23	30.11
2017-10-25	29.53
2017-11-10	18.83
2017-12-12	26.60
2018-01-29	24.83
2018-02-14	27.74
2018-03-02	30.07
2018-04-03	36.19
2018-09-10	25.35
2018-09-26	29.79
2018-10-28	11.66
2018-11-13	24.30
2018-12-31	26.51
2019-01-16	25.43
2019-02-01	26.63
2019-02-17	28.12
2019-03-21	32.40
2019-04-06	32.45
2019-09-29	0.79
2019-10-15	11.96
2020-01-03	28.53
2020-01-19	24.97
2020-02-04	28.34
2020-02-20	27.77
2020-03-07	25.20
2020-04-08	22.32
2020-05-26	18.25
2020-08-30	22.23
2020-09-15	0.14
2020-10-01	16.52
2020-10-17	24.20
2020-12-20	22.22
2021-01-21	21.09
2021-02-06	23.03
2021-02-21	23.29
2021-03-09	28.13
2021-03-25	29.92
2021-04-10	1.13
2021-04-26	26.10

2021-06-29	26.46
2021-07-31	0.00
2021-06-29	26.46
2021-07-31	0.00
2021-06-29	26.46
2021-07-31	0.00
2021-06-29	26.46
2021-07-31	0.00
2021-06-29	26.46
2021-07-31	0.00
2021-06-29	26.46
2021-07-31	0.00
2021-06-29	26.46
2021-07-31	0.00
2021-06-29	26.46
2021-07-31	0.00
2021-06-29	26.46
2021-07-31	0.00
2021-06-29	26.46
2021-07-31	0.00
2021-06-29	26.46
2021-07-31	0.00
2021-06-29	26.46
2021-07-31	0.00
