Date	MIN	MAX	AVG	LOWSTD	HIGHSTD
2021-09-01	0.14	30.63	19.32	8.80	29.85
2021-08-01	11.78	28.86	21.12	15.84	26.39
2021-07-01	0.00	0.00	0.00	0.00	0.00
2021-06-01	26.46	26.46	26.46	26.46	26.46
2021-05-01	18.25	33.41	27.48	23.01	31.95
2021-04-01	1.13	36.19	26.60	17.74	35.46
2021-03-01	21.07	36.13	30.13	26.60	33.65
2021-02-01	23.03	33.53	27.69	24.88	30.50
2021-01-01	15.41	28.53	24.64	21.33	27.95
2020-12-01	18.27	28.42	24.83	22.50	27.16
2020-11-01	11.13	29.30	23.25	18.11	28.38
2020-10-01	11.66	31.51	23.26	16.90	29.63
2020-09-01	0.14	30.63	19.32	8.80	29.85
2020-08-01	11.78	28.86	21.12	15.84	26.39
2020-07-01	0.00	0.00	0.00	0.00	0.00
2020-06-01	26.46	26.46	26.46	26.46	26.46
2020-05-01	18.25	33.41	27.48	23.01	31.95
2020-04-01	1.13	36.19	26.60	17.74	35.46
2020-03-01	21.07	36.13	30.13	26.60	33.65
2020-02-01	23.03	33.53	27.69	24.88	30.50
2020-01-01	15.41	28.53	24.64	21.33	27.95
2019-12-01	18.27	28.42	24.83	22.50	27.16
2019-11-01	11.13	29.30	23.25	18.11	28.38
2019-10-01	11.66	31.51	23.26	16.90	29.63
2019-09-01	0.14	30.63	19.32	8.80	29.85
2019-08-01	11.78	28.86	21.12	15.84	26.39
2019-07-01	0.00	0.00	0.00	0.00	0.00
2019-06-01	26.46	26.46	26.46	26.46	26.46
2019-05-01	18.25	33.41	27.48	23.01	31.95
2019-04-01	1.13	36.19	26.60	17.74	35.46
2019-03-01	21.07	36.13	30.13	26.60	33.65
2019-02-01	23.03	33.53	27.69	24.88	30.50
2019-01-01	15.41	28.53	24.64	21.33	27.95
2018-12-01	18.27	28.42	24.83	22.50	27.16
2018-11-01	11.13	29.30	23.25	18.11	28.38
2018-10-01	11.66	31.51	23.26	16.90	29.63
2018-09-01	0.14	30.63	19.32	8.80	29.85
2018-08-01	11.78	28.86	21.12	15.84	26.39
2018-07-01	0.00	0.00	0.00	0.00	0.00
2018-06-01	26.46	26.46	26.46	26.46	26.46
2018-05-01	18.25	33.41	27.48	23.01	31.95
2018-04-01	1.13	36.19	26.60	17.74	35.46
2018-03-01	21.07	36.13	30.13	26.60	33.65
2018-02-01	23.03	33.53	27.69	24.88	30.50
2018-01-01	15.41	28.53	24.64	21.33	27.95
2017-12-01	18.27	28.42	24.83	22.50	27.16
2017-11-01	11.13	29.30	23.25	18.11	28.38
2017-10-01	11.66	31.51	23.26	16.90	29.63
2017-09-01	0.14	30.63	19.32	8.80	29.85
2017-08-01	11.78	28.86	21.12	15.84	26.39
2017-07-01	0.00	0.00	0.00	0.00	0.00
2017-06-01	26.46	26.46	26.46	26.46	26.46
2017-05-01	18.25	33.41	27.48	23.01	31.95
2017-04-01	1.13	36.19	26.60	17.74	35.46
2017-03-01	21.07	36.13	30.13	26.60	33.65
2017-02-01	23.03	33.53	27.69	24.88	30.50
2017-01-01	15.41	28.53	24.64	21.33	27.95
2016-12-01	18.27	28.42	24.83	22.50	27.16
2016-11-01	11.13	29.30	23.25	18.11	28.38
2016-10-01	11.66	31.51	23.26	16.90	29.63
2016-09-01	0.14	30.63	19.32	8.80	29.85
2016-08-01	11.78	28.86	21.12	15.84	26.39
2016-07-01	0.00	0.00	0.00	0.00	0.00
2016-06-01	26.46	26.46	26.46	26.46	26.46
2016-05-01	18.25	33.41	27.48	23.01	31.95
2016-04-01	1.13	36.19	26.60	17.74	35.46
2016-03-01	21.07	36.13	30.13	26.60	33.65
2016-02-01	23.03	33.53	27.69	24.88	30.50
2016-01-01	15.41	28.53	24.64	21.33	27.95
2015-12-01	18.27	28.42	24.83	22.50	27.16
2015-11-01	11.13	29.30	23.25	18.11	28.38
2015-10-01	11.66	31.51	23.26	16.90	29.63
2015-09-01	0.14	30.63	19.32	8.80	29.85
2015-08-01	11.78	28.86	21.12	15.84	26.39
2015-07-01	0.00	0.00	0.00	0.00	0.00
2015-06-01	26.46	26.46	26.46	26.46	26.46
2015-05-01	18.25	33.41	27.48	23.01	31.95
2015-04-01	1.13	36.19	26.60	17.74	35.46
2015-03-01	21.07	36.13	30.13	26.60	33.65
2015-02-01	23.03	33.53	27.69	24.88	30.50
2015-01-01	15.41	28.53	24.64	21.33	27.95
2014-12-01	18.27	28.42	24.83	22.50	27.16
2014-11-01	11.13	29.30	23.25	18.11	28.38
2014-10-01	11.66	31.51	23.26	16.90	29.63
2014-09-01	0.14	30.63	19.32	8.80	29.85
2014-08-01	11.78	28.86	21.12	15.84	26.39
2014-07-01	0.00	0.00	0.00	0.00	0.00
2014-06-01	26.46	26.46	26.46	26.46	26.46
2014-05-01	18.25	33.41	27.48	23.01	31.95
2014-04-01	1.13	36.19	26.60	17.74	35.46
2014-03-01	21.07	36.13	30.13	26.60	33.65
2014-02-01	23.03	33.53	27.69	24.88	30.50
2014-01-01	15.41	28.53	24.64	21.33	27.95
2013-12-01	18.27	28.42	24.83	22.50	27.16
2013-11-01	11.13	29.30	23.25	18.11	28.38
2013-10-01	11.66	31.51	23.26	16.90	29.63
2013-09-01	0.14	30.63	19.32	8.80	29.85
2013-08-01	11.78	28.86	21.12	15.84	26.39
2013-07-01	0.00	0.00	0.00	0.00	0.00
2013-06-01	26.46	26.46	26.46	26.46	26.46
2013-05-01	18.25	33.41	27.48	23.01	31.95
2013-04-01	1.13	36.19	26.60	17.74	35.46
2013-03-01	21.07	36.13	30.13	26.60	33.65
2013-02-01	23.03	33.53	27.69	24.88	30.50
2013-01-01	15.41	28.53	24.64	21.33	27.95
2012-12-01	18.27	28.42	24.83	22.50	27.16
2012-11-01	11.13	29.30	23.25	18.11	28.38
2012-10-01	11.66	31.51	23.26	16.90	29.63
2012-09-01	0.14	30.63	19.32	8.80	29.85
2012-08-01	11.78	28.86	21.12	15.84	26.39
2012-07-01	0.00	0.00	0.00	0.00	0.00
2012-06-01	26.46	26.46	26.46	26.46	26.46
2012-05-01	18.25	33.41	27.48	23.01	31.95
2012-04-01	1.13	36.19	26.60	17.74	35.46
2012-03-01	21.07	36.13	30.13	26.60	33.65
2012-02-01	23.03	33.53	27.69	24.88	30.50
2012-01-01	15.41	28.53	24.64	21.33	27.95
2011-12-01	18.27	28.42	24.83	22.50	27.16
2011-11-01	11.13	29.30	23.25	18.11	28.38
2011-10-01	11.66	31.51	23.26	16.90	29.63
2011-09-01	0.14	30.63	19.32	8.80	29.85
2011-08-01	11.78	28.86	21.12	15.84	26.39
2011-07-01	0.00	0.00	0.00	0.00	0.00
2011-06-01	26.46	26.46	26.46	26.46	26.46
2011-05-01	18.25	33.41	27.48	23.01	31.95
2011-04-01	1.13	36.19	26.60	17.74	35.46
2011-03-01	21.07	36.13	30.13	26.60	33.65
2011-02-01	23.03	33.53	27.69	24.88	30.50
2011-01-01	15.41	28.53	24.64	21.33	27.95
2010-12-01	18.27	28.42	24.83	22.50	27.16
2010-11-01	11.13	29.30	23.25	18.11	28.38
2010-10-01	11.66	31.51	23.26	16.90	29.63
2010-09-01	0.14	30.63	19.32	8.80	29.85
2010-08-01	11.78	28.86	21.12	15.84	26.39
2010-07-01	0.00	0.00	0.00	0.00	0.00
2010-06-01	26.46	26.46	26.46	26.46	26.46
2010-05-01	18.25	33.41	27.48	23.01	31.95
2010-04-01	1.13	36.19	26.60	17.74	35.46
2010-03-01	21.07	36.13	30.13	26.60	33.65
2010-02-01	23.03	33.53	27.69	24.88	30.50
2010-01-01	15.41	28.53	24.64	21.33	27.95
2009-12-01	18.27	28.42	24.83	22.50	27.16
2009-11-01	11.13	29.30	23.25	18.11	28.38
2009-10-01	11.66	31.51	23.26	16.90	29.63
2009-09-01	0.14	30.63	19.32	8.80	29.85
2009-08-01	11.78	28.86	21.12	15.84	26.39
2009-07-01	0.00	0.00	0.00	0.00	0.00
2009-06-01	26.46	26.46	26.46	26.46	26.46
2009-05-01	18.25	33.41	27.48	23.01	31.95
2009-04-01	1.13	36.19	26.60	17.74	35.46
2009-03-01	21.07	36.13	30.13	26.60	33.65
2009-02-01	23.03	33.53	27.69	24.88	30.50
2009-01-01	15.41	28.53	24.64	21.33	27.95
2008-12-01	18.27	28.42	24.83	22.50	27.16
2008-11-01	11.13	29.30	23.25	18.11	28.38
2008-10-01	11.66	31.51	23.26	16.90	29.63
2008-09-01	0.14	30.63	19.32	8.80	29.85
2008-08-01	11.78	28.86	21.12	15.84	26.39
2008-07-01	0.00	0.00	0.00	0.00	0.00
2008-06-01	26.46	26.46	26.46	26.46	26.46
2008-05-01	18.25	33.41	27.48	23.01	31.95
2008-04-01	1.13	36.19	26.60	17.74	35.46
2008-03-01	21.07	36.13	30.13	26.60	33.65
2008-02-01	23.03	33.53	27.69	24.88	30.50
2008-01-01	15.41	28.53	24.64	21.33	27.95
2007-12-01	18.27	28.42	24.83	22.50	27.16
2007-11-01	11.13	29.30	23.25	18.11	28.38
2007-10-01	11.66	31.51	23.26	16.90	29.63
2007-09-01	0.14	30.63	19.32	8.80	29.85
2007-08-01	11.78	28.86	21.12	15.84	26.39
2007-07-01	0.00	0.00	0.00	0.00	0.00
2007-06-01	26.46	26.46	26.46	26.46	26.46
2007-05-01	18.25	33.41	27.48	23.01	31.95
2007-04-01	1.13	36.19	26.60	17.74	35.46
