Date	MIN	MAX	AVG	LOWSTD	HIGHSTD
2023-08-01	13.97	29.48	22.17	16.68	27.66
2023-07-01	0.00	25.02	3.74	-4.35	11.83
2023-06-01	1.36	29.72	16.62	11.97	21.27
2023-05-01	5.87	34.05	27.00	20.00	34.00
2023-04-01	22.16	35.60	29.87	25.96	33.78
2023-03-01	23.91	36.85	29.13	26.14	32.11
2023-02-01	22.89	35.90	28.03	25.95	30.11
2023-01-01	12.81	29.51	25.61	21.98	29.25
2022-12-01	17.15	31.83	25.42	21.57	29.28
2022-11-01	6.97	31.01	21.68	14.91	28.46
2022-10-01	1.35	32.12	20.73	12.20	29.25
2022-09-01	4.30	30.34	23.00	17.79	28.20
2022-08-01	13.97	29.48	22.17	16.68	27.66
2022-07-01	0.00	25.02	3.74	-4.35	11.83
2022-06-01	1.36	29.72	16.62	11.97	21.27
2022-05-01	5.87	34.05	27.00	20.00	34.00
2022-04-01	22.16	35.60	29.87	25.96	33.78
2022-03-01	23.91	36.85	29.13	26.14	32.11
2022-02-01	22.89	35.90	28.03	25.95	30.11
2022-01-01	12.81	29.51	25.61	21.98	29.25
2021-12-01	17.15	31.83	25.42	21.57	29.28
2021-11-01	6.97	31.01	21.68	14.91	28.46
2021-10-01	1.35	32.12	20.73	12.20	29.25
2021-09-01	4.30	30.34	23.00	17.79	28.20
2021-08-01	13.97	29.48	22.17	16.68	27.66
2021-07-01	0.00	25.02	3.74	-4.35	11.83
2021-06-01	1.36	29.72	16.62	11.97	21.27
2021-05-01	5.87	34.05	27.00	20.00	34.00
2021-04-01	22.16	35.60	29.87	25.96	33.78
2021-03-01	23.91	36.85	29.13	26.14	32.11
2021-02-01	22.89	35.90	28.03	25.95	30.11
2021-01-01	12.81	29.51	25.61	21.98	29.25
2020-12-01	17.15	31.83	25.42	21.57	29.28
2020-11-01	6.97	31.01	21.68	14.91	28.46
2020-10-01	1.35	32.12	20.73	12.20	29.25
2020-09-01	4.30	30.34	23.00	17.79	28.20
2020-08-01	13.97	29.48	22.17	16.68	27.66
2020-07-01	0.00	25.02	3.74	-4.35	11.83
2020-06-01	1.36	29.72	16.62	11.97	21.27
2020-05-01	5.87	34.05	27.00	20.00	34.00
2020-04-01	22.16	35.60	29.87	25.96	33.78
2020-03-01	23.91	36.85	29.13	26.14	32.11
2020-02-01	22.89	35.90	28.03	25.95	30.11
2020-01-01	12.81	29.51	25.61	21.98	29.25
2019-12-01	17.15	31.83	25.42	21.57	29.28
2019-11-01	6.97	31.01	21.68	14.91	28.46
2019-10-01	1.35	32.12	20.73	12.20	29.25
2019-09-01	4.30	30.34	23.00	17.79	28.20
2019-08-01	13.97	29.48	22.17	16.68	27.66
2019-07-01	0.00	25.02	3.74	-4.35	11.83
2019-06-01	1.36	29.72	16.62	11.97	21.27
2019-05-01	5.87	34.05	27.00	20.00	34.00
2019-04-01	22.16	35.60	29.87	25.96	33.78
2019-03-01	23.91	36.85	29.13	26.14	32.11
2019-02-01	22.89	35.90	28.03	25.95	30.11
2019-01-01	12.81	29.51	25.61	21.98	29.25
2018-12-01	17.15	31.83	25.42	21.57	29.28
2018-11-01	6.97	31.01	21.68	14.91	28.46
2018-10-01	1.35	32.12	20.73	12.20	29.25
2018-09-01	4.30	30.34	23.00	17.79	28.20
2018-08-01	13.97	29.48	22.17	16.68	27.66
2018-07-01	0.00	25.02	3.74	-4.35	11.83
2018-06-01	1.36	29.72	16.62	11.97	21.27
2018-05-01	5.87	34.05	27.00	20.00	34.00
2018-04-01	22.16	35.60	29.87	25.96	33.78
2018-03-01	23.91	36.85	29.13	26.14	32.11
2018-02-01	22.89	35.90	28.03	25.95	30.11
2018-01-01	12.81	29.51	25.61	21.98	29.25
2017-12-01	17.15	31.83	25.42	21.57	29.28
2017-11-01	6.97	31.01	21.68	14.91	28.46
2017-10-01	1.35	32.12	20.73	12.20	29.25
2017-09-01	4.30	30.34	23.00	17.79	28.20
2017-08-01	13.97	29.48	22.17	16.68	27.66
2017-07-01	0.00	25.02	3.74	-4.35	11.83
2017-06-01	1.36	29.72	16.62	11.97	21.27
2017-05-01	5.87	34.05	27.00	20.00	34.00
2017-04-01	22.16	35.60	29.87	25.96	33.78
2017-03-01	23.91	36.85	29.13	26.14	32.11
2017-02-01	22.89	35.90	28.03	25.95	30.11
2017-01-01	12.81	29.51	25.61	21.98	29.25
2016-12-01	17.15	31.83	25.42	21.57	29.28
2016-11-01	6.97	31.01	21.68	14.91	28.46
2016-10-01	1.35	32.12	20.73	12.20	29.25
2016-09-01	4.30	30.34	23.00	17.79	28.20
2016-08-01	13.97	29.48	22.17	16.68	27.66
2016-07-01	0.00	25.02	3.74	-4.35	11.83
2016-06-01	1.36	29.72	16.62	11.97	21.27
2016-05-01	5.87	34.05	27.00	20.00	34.00
2016-04-01	22.16	35.60	29.87	25.96	33.78
2016-03-01	23.91	36.85	29.13	26.14	32.11
2016-02-01	22.89	35.90	28.03	25.95	30.11
2016-01-01	12.81	29.51	25.61	21.98	29.25
2015-12-01	17.15	31.83	25.42	21.57	29.28
2015-11-01	6.97	31.01	21.68	14.91	28.46
2015-10-01	1.35	32.12	20.73	12.20	29.25
2015-09-01	4.30	30.34	23.00	17.79	28.20
2015-08-01	13.97	29.48	22.17	16.68	27.66
2015-07-01	0.00	25.02	3.74	-4.35	11.83
2015-06-01	1.36	29.72	16.62	11.97	21.27
2015-05-01	5.87	34.05	27.00	20.00	34.00
2015-04-01	22.16	35.60	29.87	25.96	33.78
2015-03-01	23.91	36.85	29.13	26.14	32.11
2015-02-01	22.89	35.90	28.03	25.95	30.11
2015-01-01	12.81	29.51	25.61	21.98	29.25
2014-12-01	17.15	31.83	25.42	21.57	29.28
2014-11-01	6.97	31.01	21.68	14.91	28.46
2014-10-01	1.35	32.12	20.73	12.20	29.25
2014-09-01	4.30	30.34	23.00	17.79	28.20
2014-08-01	13.97	29.48	22.17	16.68	27.66
2014-07-01	0.00	25.02	3.74	-4.35	11.83
2014-06-01	1.36	29.72	16.62	11.97	21.27
2014-05-01	5.87	34.05	27.00	20.00	34.00
2014-04-01	22.16	35.60	29.87	25.96	33.78
2014-03-01	23.91	36.85	29.13	26.14	32.11
2014-02-01	22.89	35.90	28.03	25.95	30.11
2014-01-01	12.81	29.51	25.61	21.98	29.25
2013-12-01	17.15	31.83	25.42	21.57	29.28
2013-11-01	6.97	31.01	21.68	14.91	28.46
2013-10-01	1.35	32.12	20.73	12.20	29.25
2013-09-01	4.30	30.34	23.00	17.79	28.20
2013-08-01	13.97	29.48	22.17	16.68	27.66
2013-07-01	0.00	25.02	3.74	-4.35	11.83
2013-06-01	1.36	29.72	16.62	11.97	21.27
2013-05-01	5.87	34.05	27.00	20.00	34.00
2013-04-01	22.16	35.60	29.87	25.96	33.78
2013-03-01	23.91	36.85	29.13	26.14	32.11
2013-02-01	22.89	35.90	28.03	25.95	30.11
2013-01-01	12.81	29.51	25.61	21.98	29.25
2012-12-01	17.15	31.83	25.42	21.57	29.28
2012-11-01	6.97	31.01	21.68	14.91	28.46
2012-10-01	1.35	32.12	20.73	12.20	29.25
2012-09-01	4.30	30.34	23.00	17.79	28.20
2012-08-01	13.97	29.48	22.17	16.68	27.66
2012-07-01	0.00	25.02	3.74	-4.35	11.83
2012-06-01	1.36	29.72	16.62	11.97	21.27
2012-05-01	5.87	34.05	27.00	20.00	34.00
2012-04-01	22.16	35.60	29.87	25.96	33.78
2012-03-01	23.91	36.85	29.13	26.14	32.11
2012-02-01	22.89	35.90	28.03	25.95	30.11
2012-01-01	12.81	29.51	25.61	21.98	29.25
2011-12-01	17.15	31.83	25.42	21.57	29.28
2011-11-01	6.97	31.01	21.68	14.91	28.46
2011-10-01	1.35	32.12	20.73	12.20	29.25
2011-09-01	4.30	30.34	23.00	17.79	28.20
2011-08-01	13.97	29.48	22.17	16.68	27.66
2011-07-01	0.00	25.02	3.74	-4.35	11.83
2011-06-01	1.36	29.72	16.62	11.97	21.27
2011-05-01	5.87	34.05	27.00	20.00	34.00
2011-04-01	22.16	35.60	29.87	25.96	33.78
2011-03-01	23.91	36.85	29.13	26.14	32.11
2011-02-01	22.89	35.90	28.03	25.95	30.11
2011-01-01	12.81	29.51	25.61	21.98	29.25
2010-12-01	17.15	31.83	25.42	21.57	29.28
2010-11-01	6.97	31.01	21.68	14.91	28.46
2010-10-01	1.35	32.12	20.73	12.20	29.25
2010-09-01	4.30	30.34	23.00	17.79	28.20
2010-08-01	13.97	29.48	22.17	16.68	27.66
2010-07-01	0.00	25.02	3.74	-4.35	11.83
2010-06-01	1.36	29.72	16.62	11.97	21.27
2010-05-01	5.87	34.05	27.00	20.00	34.00
2010-04-01	22.16	35.60	29.87	25.96	33.78
2010-03-01	23.91	36.85	29.13	26.14	32.11
2010-02-01	22.89	35.90	28.03	25.95	30.11
2010-01-01	12.81	29.51	25.61	21.98	29.25
2009-12-01	17.15	31.83	25.42	21.57	29.28
2009-11-01	6.97	31.01	21.68	14.91	28.46
2009-10-01	1.35	32.12	20.73	12.20	29.25
2009-09-01	4.30	30.34	23.00	17.79	28.20
2009-08-01	13.97	29.48	22.17	16.68	27.66
2009-07-01	0.00	25.02	3.74	-4.35	11.83
2009-06-01	1.36	29.72	16.62	11.97	21.27
2009-05-01	5.87	34.05	27.00	20.00	34.00
2009-04-01	22.16	35.60	29.87	25.96	33.78
2009-03-01	23.91	36.85	29.13	26.14	32.11
2009-02-01	22.89	35.90	28.03	25.95	30.11
2009-01-01	12.81	29.51	25.61	21.98	29.25
2008-12-01	17.15	31.83	25.42	21.57	29.28
2008-11-01	6.97	31.01	21.68	14.91	28.46
2008-10-01	1.35	32.12	20.73	12.20	29.25
2008-09-01	4.30	30.34	23.00	17.79	28.20
2008-08-01	13.97	29.48	22.17	16.68	27.66
2008-07-01	0.00	25.02	3.74	-4.35	11.83
2008-06-01	1.36	29.72	16.62	11.97	21.27
2008-05-01	5.87	34.05	27.00	20.00	34.00
2008-04-01	22.16	35.60	29.87	25.96	33.78
2008-03-01	23.91	36.85	29.13	26.14	32.11
2008-02-01	22.89	35.90	28.03	25.95	30.11
2008-01-01	12.81	29.51	25.61	21.98	29.25
2007-12-01	17.15	31.83	25.42	21.57	29.28
2007-11-01	6.97	31.01	21.68	14.91	28.46
2007-10-01	1.35	32.12	20.73	12.20	29.25
2007-09-01	4.30	30.34	23.00	17.79	28.20
2007-08-01	13.97	29.48	22.17	16.68	27.66
2007-07-01	0.00	25.02	3.74	-4.35	11.83
2007-06-01	1.36	29.72	16.62	11.97	21.27
2007-05-01	5.87	34.05	27.00	20.00	34.00
2007-04-01	22.16	35.60	29.87	25.96	33.78
2007-03-01	23.91	36.85	29.13	26.14	32.11
2007-02-01	22.89	35.90	28.03	25.95	30.11
2007-01-01	12.81	29.51	25.61	21.98	29.25
2006-12-01	17.15	31.83	25.42	21.57	29.28
2006-11-01	6.97	31.01	21.68	14.91	28.46
2006-10-01	1.35	32.12	20.73	12.20	29.25
2006-09-01	4.30	30.34	23.00	17.79	28.20
2006-08-01	13.97	29.48	22.17	16.68	27.66
2006-07-01	0.00	25.02	3.74	-4.35	11.83
2006-06-01	1.36	29.72	16.62	11.97	21.27
2006-05-01	5.87	34.05	27.00	20.00	34.00
2006-04-01	22.16	35.60	29.87	25.96	33.78
2006-03-01	23.91	36.85	29.13	26.14	32.11
2006-02-01	22.89	35.90	28.03	25.95	30.11
2006-01-01	12.81	29.51	25.61	21.98	29.25
2005-12-01	17.15	31.83	25.42	21.57	29.28
2005-11-01	6.97	31.01	21.68	14.91	28.46
2005-10-01	1.35	32.12	20.73	12.20	29.25
2005-09-01	4.30	30.34	23.00	17.79	28.20
2005-08-01	13.97	29.48	22.17	16.68	27.66
2005-07-01	0.00	25.02	3.74	-4.35	11.83
2005-06-01	1.36	29.72	16.62	11.97	21.27
2005-05-01	5.87	34.05	27.00	20.00	34.00
2005-04-01	22.16	35.60	29.87	25.96	33.78
2005-03-01	23.91	36.85	29.13	26.14	32.11
2005-02-01	22.89	35.90	28.03	25.95	30.11
2005-01-01	12.81	29.51	25.61	21.98	29.25
2004-12-01	17.15	31.83	25.42	21.57	29.28
2004-11-01	6.97	31.01	21.68	14.91	28.46
2004-10-01	1.35	32.12	20.73	12.20	29.25
2004-09-01	4.30	30.34	23.00	17.79	28.20
2004-08-01	13.97	29.48	22.17	16.68	27.66
2004-07-01	0.00	25.02	3.74	-4.35	11.83
2004-06-01	1.36	29.72	16.62	11.97	21.27
2004-05-01	5.87	34.05	27.00	20.00	34.00
2004-04-01	22.16	35.60	29.87	25.96	33.78
2004-03-01	23.91	36.85	29.13	26.14	32.11
2004-02-01	22.89	35.90	28.03	25.95	30.11
2004-01-01	12.81	29.51	25.61	21.98	29.25
2003-12-01	17.15	31.83	25.42	21.57	29.28
2003-11-01	6.97	31.01	21.68	14.91	28.46
2003-10-01	1.35	32.12	20.73	12.20	29.25
2003-09-01	4.30	30.34	23.00	17.79	28.20
2003-08-01	13.97	29.48	22.17	16.68	27.66
2003-07-01	0.00	25.02	3.74	-4.35	11.83
2003-06-01	1.36	29.72	16.62	11.97	21.27
2003-05-01	5.87	34.05	27.00	20.00	34.00
2003-04-01	22.16	35.60	29.87	25.96	33.78
2003-03-01	23.91	36.85	29.13	26.14	32.11
2003-02-01	22.89	35.90	28.03	25.95	30.11
2003-01-01	12.81	29.51	25.61	21.98	29.25
2002-12-01	17.15	31.83	25.42	21.57	29.28
2002-11-01	6.97	31.01	21.68	14.91	28.46
2002-10-01	1.35	32.12	20.73	12.20	29.25
2002-09-01	4.30	30.34	23.00	17.79	28.20
2002-08-01	13.97	29.48	22.17	16.68	27.66
2002-07-01	0.00	25.02	3.74	-4.35	11.83
2002-06-01	1.36	29.72	16.62	11.97	21.27
2002-05-01	5.87	34.05	27.00	20.00	34.00
2002-04-01	22.16	35.60	29.87	25.96	33.78
2002-03-01	23.91	36.85	29.13	26.14	32.11
2002-02-01	22.89	35.90	28.03	25.95	30.11
2002-01-01	12.81	29.51	25.61	21.98	29.25
2001-12-01	17.15	31.83	25.42	21.57	29.28
2001-11-01	6.97	31.01	21.68	14.91	28.46
2001-10-01	1.35	32.12	20.73	12.20	29.25
2001-09-01	4.30	30.34	23.00	17.79	28.20
2001-08-01	13.97	29.48	22.17	16.68	27.66
2001-07-01	0.00	25.02	3.74	-4.35	11.83
2001-06-01	1.36	29.72	16.62	11.97	21.27
2001-05-01	5.87	34.05	27.00	20.00	34.00
2001-04-01	22.16	35.60	29.87	25.96	33.78
2001-03-01	23.91	36.85	29.13	26.14	32.11
2001-02-01	22.89	35.90	28.03	25.95	30.11
2001-01-01	12.81	29.51	25.61	21.98	29.25
2000-12-01	17.15	31.83	25.42	21.57	29.28
2000-11-01	6.97	31.01	21.68	14.91	28.46
2000-10-01	1.35	32.12	20.73	12.20	29.25
2000-09-01	4.30	30.34	23.00	17.79	28.20
2000-08-01	13.97	29.48	22.17	16.68	27.66
2000-07-01	0.00	25.02	3.74	-4.35	11.83
2000-06-01	1.36	29.72	16.62	11.97	21.27
2000-05-01	5.87	34.05	27.00	20.00	34.00
2000-04-01	22.16	35.60	29.87	25.96	33.78
2000-03-01	23.91	36.85	29.13	26.14	32.11
2000-02-01	22.89	35.90	28.03	25.95	30.11
2000-01-01	12.81	29.51	25.61	21.98	29.25
