Date	MIN	MAX	AVG	LOWSTD	HIGHSTD
2023-09-01	25.49	26.72	26.11	25.45	26.76
2023-08-01	nan	nan	nan	nan	nan
2023-07-01	nan	nan	nan	nan	nan
2023-06-01	nan	nan	nan	nan	nan
2023-05-01	27.35	30.91	29.13	27.23	31.03
2023-04-01	33.62	35.31	34.47	33.56	35.37
2023-03-01	28.95	35.85	32.03	29.34	34.73
2023-02-01	26.48	33.89	30.41	28.13	32.68
2023-01-01	28.10	29.28	28.69	28.17	29.20
2022-12-01	23.15	27.85	26.05	24.24	27.87
2022-11-01	27.90	32.03	30.37	28.51	32.22
2022-10-01	28.49	31.45	29.88	28.61	31.15
2022-09-01	25.49	26.72	26.11	25.45	26.76
2022-08-01	nan	nan	nan	nan	nan
2022-07-01	nan	nan	nan	nan	nan
2022-06-01	nan	nan	nan	nan	nan
2022-05-01	27.35	30.91	29.13	27.23	31.03
2022-04-01	33.62	35.31	34.47	33.56	35.37
2022-03-01	28.95	35.85	32.03	29.34	34.73
2022-02-01	26.48	33.89	30.41	28.13	32.68
2022-01-01	28.10	29.28	28.69	28.17	29.20
2021-12-01	23.15	27.85	26.05	24.24	27.87
2021-11-01	27.90	32.03	30.37	28.51	32.22
2021-10-01	28.49	31.45	29.88	28.61	31.15
2021-09-01	25.49	26.72	26.11	25.45	26.76
2021-08-01	nan	nan	nan	nan	nan
2021-07-01	nan	nan	nan	nan	nan
2021-06-01	nan	nan	nan	nan	nan
2021-05-01	27.35	30.91	29.13	27.23	31.03
2021-04-01	33.62	35.31	34.47	33.56	35.37
2021-03-01	28.95	35.85	32.03	29.34	34.73
2021-02-01	26.48	33.89	30.41	28.13	32.68
2021-01-01	28.10	29.28	28.69	28.17	29.20
2020-12-01	23.15	27.85	26.05	24.24	27.87
2020-11-01	27.90	32.03	30.37	28.51	32.22
2020-10-01	28.49	31.45	29.88	28.61	31.15
2020-09-01	25.49	26.72	26.11	25.45	26.76
2020-08-01	nan	nan	nan	nan	nan
2020-07-01	nan	nan	nan	nan	nan
2020-06-01	nan	nan	nan	nan	nan
2020-05-01	27.35	30.91	29.13	27.23	31.03
2020-04-01	33.62	35.31	34.47	33.56	35.37
2020-03-01	28.95	35.85	32.03	29.34	34.73
2020-02-01	26.48	33.89	30.41	28.13	32.68
2020-01-01	28.10	29.28	28.69	28.17	29.20
2019-12-01	23.15	27.85	26.05	24.24	27.87
2019-11-01	27.90	32.03	30.37	28.51	32.22
2019-10-01	28.49	31.45	29.88	28.61	31.15
2019-09-01	25.49	26.72	26.11	25.45	26.76
2019-08-01	nan	nan	nan	nan	nan
2019-07-01	nan	nan	nan	nan	nan
2019-06-01	nan	nan	nan	nan	nan
2019-05-01	27.35	30.91	29.13	27.23	31.03
2019-04-01	33.62	35.31	34.47	33.56	35.37
2019-03-01	28.95	35.85	32.03	29.34	34.73
2019-02-01	26.48	33.89	30.41	28.13	32.68
2019-01-01	28.10	29.28	28.69	28.17	29.20
2018-12-01	23.15	27.85	26.05	24.24	27.87
2018-11-01	27.90	32.03	30.37	28.51	32.22
2018-10-01	28.49	31.45	29.88	28.61	31.15
2018-09-01	25.49	26.72	26.11	25.45	26.76
2018-08-01	nan	nan	nan	nan	nan
2018-07-01	nan	nan	nan	nan	nan
2018-06-01	nan	nan	nan	nan	nan
2018-05-01	27.35	30.91	29.13	27.23	31.03
2018-04-01	33.62	35.31	34.47	33.56	35.37
2018-03-01	28.95	35.85	32.03	29.34	34.73
2018-02-01	26.48	33.89	30.41	28.13	32.68
2018-01-01	28.10	29.28	28.69	28.17	29.20
2017-12-01	23.15	27.85	26.05	24.24	27.87
2017-11-01	27.90	32.03	30.37	28.51	32.22
2017-10-01	28.49	31.45	29.88	28.61	31.15
2017-09-01	25.49	26.72	26.11	25.45	26.76
2017-08-01	nan	nan	nan	nan	nan
2017-07-01	nan	nan	nan	nan	nan
2017-06-01	nan	nan	nan	nan	nan
2017-05-01	27.35	30.91	29.13	27.23	31.03
2017-04-01	33.62	35.31	34.47	33.56	35.37
2017-03-01	28.95	35.85	32.03	29.34	34.73
2017-02-01	26.48	33.89	30.41	28.13	32.68
2017-01-01	28.10	29.28	28.69	28.17	29.20
2016-12-01	23.15	27.85	26.05	24.24	27.87
2016-11-01	27.90	32.03	30.37	28.51	32.22
2016-10-01	28.49	31.45	29.88	28.61	31.15
2016-09-01	25.49	26.72	26.11	25.45	26.76
2016-08-01	nan	nan	nan	nan	nan
2016-07-01	nan	nan	nan	nan	nan
2016-06-01	nan	nan	nan	nan	nan
2016-05-01	27.35	30.91	29.13	27.23	31.03
2016-04-01	33.62	35.31	34.47	33.56	35.37
2016-03-01	28.95	35.85	32.03	29.34	34.73
2016-02-01	26.48	33.89	30.41	28.13	32.68
2016-01-01	28.10	29.28	28.69	28.17	29.20
2015-12-01	23.15	27.85	26.05	24.24	27.87
2015-11-01	27.90	32.03	30.37	28.51	32.22
2015-10-01	28.49	31.45	29.88	28.61	31.15
2015-09-01	25.49	26.72	26.11	25.45	26.76
2015-08-01	nan	nan	nan	nan	nan
2015-07-01	nan	nan	nan	nan	nan
2015-06-01	nan	nan	nan	nan	nan
2015-05-01	27.35	30.91	29.13	27.23	31.03
2015-04-01	33.62	35.31	34.47	33.56	35.37
2015-03-01	28.95	35.85	32.03	29.34	34.73
2015-02-01	26.48	33.89	30.41	28.13	32.68
2015-01-01	28.10	29.28	28.69	28.17	29.20
2014-12-01	23.15	27.85	26.05	24.24	27.87
2014-11-01	27.90	32.03	30.37	28.51	32.22
2014-10-01	28.49	31.45	29.88	28.61	31.15
2014-09-01	25.49	26.72	26.11	25.45	26.76
2014-08-01	nan	nan	nan	nan	nan
2014-07-01	nan	nan	nan	nan	nan
2014-06-01	nan	nan	nan	nan	nan
2014-05-01	27.35	30.91	29.13	27.23	31.03
2014-04-01	33.62	35.31	34.47	33.56	35.37
2014-03-01	28.95	35.85	32.03	29.34	34.73
2014-02-01	26.48	33.89	30.41	28.13	32.68
2014-01-01	28.10	29.28	28.69	28.17	29.20
2013-12-01	23.15	27.85	26.05	24.24	27.87
2013-11-01	27.90	32.03	30.37	28.51	32.22
2013-10-01	28.49	31.45	29.88	28.61	31.15
2013-09-01	25.49	26.72	26.11	25.45	26.76
2013-08-01	nan	nan	nan	nan	nan
2013-07-01	nan	nan	nan	nan	nan
2013-06-01	nan	nan	nan	nan	nan
2013-05-01	27.35	30.91	29.13	27.23	31.03
2013-04-01	33.62	35.31	34.47	33.56	35.37
2013-03-01	28.95	35.85	32.03	29.34	34.73
2013-02-01	26.48	33.89	30.41	28.13	32.68
2013-01-01	28.10	29.28	28.69	28.17	29.20
2012-12-01	23.15	27.85	26.05	24.24	27.87
2012-11-01	27.90	32.03	30.37	28.51	32.22
2012-10-01	28.49	31.45	29.88	28.61	31.15
2012-09-01	25.49	26.72	26.11	25.45	26.76
2012-08-01	nan	nan	nan	nan	nan
2012-07-01	nan	nan	nan	nan	nan
2012-06-01	nan	nan	nan	nan	nan
2012-05-01	27.35	30.91	29.13	27.23	31.03
2012-04-01	33.62	35.31	34.47	33.56	35.37
2012-03-01	28.95	35.85	32.03	29.34	34.73
2012-02-01	26.48	33.89	30.41	28.13	32.68
2012-01-01	28.10	29.28	28.69	28.17	29.20
2011-12-01	23.15	27.85	26.05	24.24	27.87
2011-11-01	27.90	32.03	30.37	28.51	32.22
2011-10-01	28.49	31.45	29.88	28.61	31.15
2011-09-01	25.49	26.72	26.11	25.45	26.76
2011-08-01	nan	nan	nan	nan	nan
2011-07-01	nan	nan	nan	nan	nan
2011-06-01	nan	nan	nan	nan	nan
2011-05-01	27.35	30.91	29.13	27.23	31.03
2011-04-01	33.62	35.31	34.47	33.56	35.37
2011-03-01	28.95	35.85	32.03	29.34	34.73
2011-02-01	26.48	33.89	30.41	28.13	32.68
2011-01-01	28.10	29.28	28.69	28.17	29.20
2010-12-01	23.15	27.85	26.05	24.24	27.87
2010-11-01	27.90	32.03	30.37	28.51	32.22
2010-10-01	28.49	31.45	29.88	28.61	31.15
2010-09-01	25.49	26.72	26.11	25.45	26.76
2010-08-01	nan	nan	nan	nan	nan
2010-07-01	nan	nan	nan	nan	nan
2010-06-01	nan	nan	nan	nan	nan
2010-05-01	27.35	30.91	29.13	27.23	31.03
2010-04-01	33.62	35.31	34.47	33.56	35.37
2010-03-01	28.95	35.85	32.03	29.34	34.73
2010-02-01	26.48	33.89	30.41	28.13	32.68
2010-01-01	28.10	29.28	28.69	28.17	29.20
2009-12-01	23.15	27.85	26.05	24.24	27.87
2009-11-01	27.90	32.03	30.37	28.51	32.22
2009-10-01	28.49	31.45	29.88	28.61	31.15
2009-09-01	25.49	26.72	26.11	25.45	26.76
2009-08-01	nan	nan	nan	nan	nan
2009-07-01	nan	nan	nan	nan	nan
2009-06-01	nan	nan	nan	nan	nan
2009-05-01	27.35	30.91	29.13	27.23	31.03
2009-04-01	33.62	35.31	34.47	33.56	35.37
2009-03-01	28.95	35.85	32.03	29.34	34.73
2009-02-01	26.48	33.89	30.41	28.13	32.68
2009-01-01	28.10	29.28	28.69	28.17	29.20
2008-12-01	23.15	27.85	26.05	24.24	27.87
2008-11-01	27.90	32.03	30.37	28.51	32.22
2008-10-01	28.49	31.45	29.88	28.61	31.15
2008-09-01	25.49	26.72	26.11	25.45	26.76
2008-08-01	nan	nan	nan	nan	nan
2008-07-01	nan	nan	nan	nan	nan
2008-06-01	nan	nan	nan	nan	nan
2008-05-01	27.35	30.91	29.13	27.23	31.03
2008-04-01	33.62	35.31	34.47	33.56	35.37
2008-03-01	28.95	35.85	32.03	29.34	34.73
2008-02-01	26.48	33.89	30.41	28.13	32.68
2008-01-01	28.10	29.28	28.69	28.17	29.20
2007-12-01	23.15	27.85	26.05	24.24	27.87
2007-11-01	27.90	32.03	30.37	28.51	32.22
2007-10-01	28.49	31.45	29.88	28.61	31.15
2007-09-01	25.49	26.72	26.11	25.45	26.76
2007-08-01	nan	nan	nan	nan	nan
2007-07-01	nan	nan	nan	nan	nan
2007-06-01	nan	nan	nan	nan	nan
2007-05-01	27.35	30.91	29.13	27.23	31.03
2007-04-01	33.62	35.31	34.47	33.56	35.37
2007-03-01	28.95	35.85	32.03	29.34	34.73
2007-02-01	26.48	33.89	30.41	28.13	32.68
2007-01-01	28.10	29.28	28.69	28.17	29.20
2006-12-01	23.15	27.85	26.05	24.24	27.87
2006-11-01	27.90	32.03	30.37	28.51	32.22
2006-10-01	28.49	31.45	29.88	28.61	31.15
2006-09-01	25.49	26.72	26.11	25.45	26.76
2006-08-01	nan	nan	nan	nan	nan
2006-07-01	nan	nan	nan	nan	nan
2006-06-01	nan	nan	nan	nan	nan
2006-05-01	27.35	30.91	29.13	27.23	31.03
2006-04-01	33.62	35.31	34.47	33.56	35.37
2006-03-01	28.95	35.85	32.03	29.34	34.73
2006-02-01	26.48	33.89	30.41	28.13	32.68
2006-01-01	28.10	29.28	28.69	28.17	29.20
2005-12-01	23.15	27.85	26.05	24.24	27.87
2005-11-01	27.90	32.03	30.37	28.51	32.22
2005-10-01	28.49	31.45	29.88	28.61	31.15
2005-09-01	25.49	26.72	26.11	25.45	26.76
2005-08-01	nan	nan	nan	nan	nan
2005-07-01	nan	nan	nan	nan	nan
2005-06-01	nan	nan	nan	nan	nan
2005-05-01	27.35	30.91	29.13	27.23	31.03
2005-04-01	33.62	35.31	34.47	33.56	35.37
2005-03-01	28.95	35.85	32.03	29.34	34.73
2005-02-01	26.48	33.89	30.41	28.13	32.68
2005-01-01	28.10	29.28	28.69	28.17	29.20
2004-12-01	23.15	27.85	26.05	24.24	27.87
2004-11-01	27.90	32.03	30.37	28.51	32.22
2004-10-01	28.49	31.45	29.88	28.61	31.15
2004-09-01	25.49	26.72	26.11	25.45	26.76
2004-08-01	nan	nan	nan	nan	nan
2004-07-01	nan	nan	nan	nan	nan
2004-06-01	nan	nan	nan	nan	nan
2004-05-01	27.35	30.91	29.13	27.23	31.03
2004-04-01	33.62	35.31	34.47	33.56	35.37
2004-03-01	28.95	35.85	32.03	29.34	34.73
2004-02-01	26.48	33.89	30.41	28.13	32.68
2004-01-01	28.10	29.28	28.69	28.17	29.20
2003-12-01	23.15	27.85	26.05	24.24	27.87
2003-11-01	27.90	32.03	30.37	28.51	32.22
2003-10-01	28.49	31.45	29.88	28.61	31.15
2003-09-01	25.49	26.72	26.11	25.45	26.76
2003-08-01	nan	nan	nan	nan	nan
2003-07-01	nan	nan	nan	nan	nan
2003-06-01	nan	nan	nan	nan	nan
2003-05-01	27.35	30.91	29.13	27.23	31.03
2003-04-01	33.62	35.31	34.47	33.56	35.37
2003-03-01	28.95	35.85	32.03	29.34	34.73
2003-02-01	26.48	33.89	30.41	28.13	32.68
2003-01-01	28.10	29.28	28.69	28.17	29.20
2002-12-01	23.15	27.85	26.05	24.24	27.87
2002-11-01	27.90	32.03	30.37	28.51	32.22
2002-10-01	28.49	31.45	29.88	28.61	31.15
2002-09-01	25.49	26.72	26.11	25.45	26.76
2002-08-01	nan	nan	nan	nan	nan
2002-07-01	nan	nan	nan	nan	nan
2002-06-01	nan	nan	nan	nan	nan
2002-05-01	27.35	30.91	29.13	27.23	31.03
2002-04-01	33.62	35.31	34.47	33.56	35.37
2002-03-01	28.95	35.85	32.03	29.34	34.73
2002-02-01	26.48	33.89	30.41	28.13	32.68
2002-01-01	28.10	29.28	28.69	28.17	29.20
2001-12-01	23.15	27.85	26.05	24.24	27.87
2001-11-01	27.90	32.03	30.37	28.51	32.22
2001-10-01	28.49	31.45	29.88	28.61	31.15
2001-09-01	25.49	26.72	26.11	25.45	26.76
2001-08-01	nan	nan	nan	nan	nan
2001-07-01	nan	nan	nan	nan	nan
2001-06-01	nan	nan	nan	nan	nan
2001-05-01	27.35	30.91	29.13	27.23	31.03
2001-04-01	33.62	35.31	34.47	33.56	35.37
2001-03-01	28.95	35.85	32.03	29.34	34.73
2001-02-01	26.48	33.89	30.41	28.13	32.68
2001-01-01	28.10	29.28	28.69	28.17	29.20
2000-12-01	23.15	27.85	26.05	24.24	27.87
2000-11-01	27.90	32.03	30.37	28.51	32.22
2000-10-01	28.49	31.45	29.88	28.61	31.15
2000-09-01	25.49	26.72	26.11	25.45	26.76
2000-08-01	nan	nan	nan	nan	nan
2000-07-01	nan	nan	nan	nan	nan
2000-06-01	nan	nan	nan	nan	nan
2000-05-01	27.35	30.91	29.13	27.23	31.03
2000-04-01	33.62	35.31	34.47	33.56	35.37
2000-03-01	28.95	35.85	32.03	29.34	34.73
2000-02-01	26.48	33.89	30.41	28.13	32.68
2000-01-01	28.10	29.28	28.69	28.17	29.20
