Date,Temperature
1/28/00,24.35
4/17/00,30.82
5/3/00,29.94
9/8/00,26.48
10/10/00,28.79
10/26/00,31.6
1/14/01,27.91
3/3/01,33.12
7/25/01,18.57
9/11/01,24.62
10/13/01,5.92
11/30/01,25.99
2/18/02,28.54
5/25/02,30.9
9/14/02,23.2
9/30/02,30
11/17/02,26.68
12/3/02,28.18
1/20/03,24.61
2/21/03,31.56
5/28/03,22.25
10/3/03,17.16
11/4/03,20.28
11/20/03,26.48
12/6/03,26.35
12/22/03,26.08
1/23/04,26.76
2/24/04,28.58
3/11/04,31.07
4/12/04,32.52
4/28/04,22.16
9/19/04,21.92
10/21/04,11.95
11/22/04,25.43
12/8/04,26.33
12/24/04,27.39
1/25/05,28.46
2/10/05,24.89
3/14/05,31.19
4/15/05,34.54
6/2/05,28.24
9/22/05,29.24
10/24/05,17.94
12/27/05,26.38
1/28/06,24.74
3/1/06,32.31
8/8/06,25.74
9/9/06,19.11
10/11/06,19.29
12/30/06,25.09
1/15/07,25.98
1/31/07,29.32
2/16/07,27.62
3/4/07,32.33
3/20/07,34.83
4/5/07,33.66
8/27/07,15.94
10/30/07,15.95
11/15/07,30.07
12/1/07,30.58
12/17/07,25.77
1/2/08,27.18
1/18/08,26.06
2/3/08,26.03
2/19/08,30.4
3/6/08,31.31
5/25/08,25.13
7/12/08,15.35
8/29/08,24.95
9/30/08,27.77
11/1/08,15.64
11/17/08,9.74
12/3/08,32.46
1/20/09,26.24
2/5/09,29.27
3/25/09,31.25
5/12/09,31.01
5/28/09,23.52
6/29/09,9.37
10/19/09,25.5
11/4/09,16.57
1/7/10,27.29
1/23/10,27.83
2/8/10,25.98
2/24/10,29.78
5/15/10,24.27
3/31/11,33.12
5/2/11,31.89
5/18/11,33.84
9/23/11,27.89
10/9/11,27.75
11/10/11,29.03
12/12/11,17.69
1/13/12,26.88
1/29/12,15.45
2/14/12,32.53
3/1/12,28.7
3/17/12,32.64
4/2/12,31.43
4/18/12,20.5
5/4/12,28.38
6/21/12,13.52
10/27/12,31.28
11/12/12,31.16
11/28/12,30.97
12/14/12,30.81
1/15/13,29.17
1/31/13,28.67
8/11/13,13.47
8/27/13,20.71
10/14/13,29.85
10/30/13,17.83
12/17/13,27.34
1/2/14,25.5
1/18/14,23.46
2/3/14,26.35
2/19/14,27.83
3/23/14,36.06
4/8/14,32.79
4/24/14,27.67
5/10/14,32.22
6/27/14,18.28
8/14/14,21.89
8/30/14,15.88
9/15/14,24.86
10/1/14,27.06
10/17/14,6.05
11/18/14,26.93
12/4/14,26
1/5/15,29.64
1/21/15,27.25
2/6/15,25.48
2/22/15,27.83
3/10/15,31.92
4/11/15,25.95
4/27/15,31.14
5/29/15,26.28
6/30/15,24.43
8/17/15,26.38
9/18/15,10.48
11/21/15,26.93
12/23/15,27.96
1/8/16,25.25
1/24/16,26.66
2/9/16,27.06
3/28/16,32.23
4/13/16,31.65
4/29/16,29.94
5/31/16,25.7
8/3/16,18.22
8/19/16,23.32
9/20/16,18.71
10/6/16,26.06
10/22/16,7.71
11/7/16,29.36
11/23/16,21.44
12/9/16,25.72
1/10/17,28.06
2/11/17,30.04
2/27/17,27.59
3/31/17,36.7
4/16/17,30.27
5/2/17,33.16
7/5/17,20.26
7/21/17,23.1
9/7/17,23.29
9/23/17,27.02
10/9/17,22.25
10/25/17,30.7
11/10/17,26.93
12/12/17,17.4
1/29/18,25.64
2/14/18,25.9
3/2/18,30.31
4/3/18,30.66
5/5/18,23.18
8/25/18,10.89
9/10/18,24.72
10/12/18,31.4
11/13/18,15.69
12/31/18,29.53
1/16/19,26.73
2/1/19,27.69
2/17/19,28.31
3/5/19,27.16
3/21/19,35.58
4/6/19,32.41
6/25/19,28.7
8/12/19,15.98
9/29/19,23.48
10/15/19,17.55
12/18/19,23.52
1/3/20,30.13
1/19/20,12.81
2/4/20,30.27
2/20/20,29.47
3/7/20,29.2
4/8/20,21.45
5/26/20,32.9
8/30/20,28.61
10/1/20,22.37
10/17/20,25.14
11/2/20,26.03
12/20/20,27.46
1/21/21,26.54
2/5/21,24.21
2/21/21,26.78
3/9/21,32.39
3/25/21,33.96
3/25/21,34.23
3/25/21,33.96
3/25/21,34.23
3/25/21,34.23
3/25/21,33.96
3/25/21,33.96
3/25/21,34.23
3/25/21,33.96
3/25/21,33.96
3/25/21,34.23
3/25/21,34.23
3/25/21,34.23
3/25/21,34.23
3/25/21,33.96
3/25/21,34.23
3/25/21,33.96
3/25/21,34.23
3/25/21,33.96
3/25/21,34.23
3/25/21,34.23
3/25/21,33.96
3/25/21,33.96
3/25/21,33.96
3/25/21,33.96
3/25/21,33.96
3/25/21,34.23
4/10/21,0
4/10/21,0
4/10/21,0
4/10/21,0
4/10/21,0
4/10/21,0
4/10/21,0
4/10/21,0
4/10/21,0
4/10/21,0
4/10/21,0
4/10/21,0
4/10/21,0
4/10/21,0
4/10/21,0
4/10/21,0
4/10/21,0
4/10/21,0
4/10/21,0
4/10/21,0
4/10/21,0
4/10/21,0
4/10/21,0
4/10/21,0
4/10/21,0
4/10/21,0
4/10/21,0
4/10/21,0
4/10/21,0
4/10/21,0
4/10/21,0
4/10/21,0
4/10/21,0
4/10/21,0
4/10/21,0
4/10/21,0
4/10/21,0
4/10/21,0
4/10/21,0
4/10/21,0
4/10/21,0
4/10/21,0
4/26/21,10.63
4/26/21,10.63
4/26/21,10.63
4/26/21,10.63
4/26/21,10.63
4/26/21,10.63
4/26/21,10.63
4/26/21,10.63
4/26/21,10.63
4/26/21,10.63
4/26/21,10.63
4/26/21,10.63
4/26/21,10.63
4/26/21,10.63
4/26/21,10.63
4/26/21,10.63
4/26/21,10.63
4/26/21,10.63
4/26/21,10.63
4/26/21,10.63
4/26/21,10.63
4/26/21,10.63
4/26/21,10.63
4/26/21,10.63
4/26/21,10.63
4/26/21,10.63
4/26/21,10.63
4/26/21,10.63
4/26/21,10.63
4/26/21,10.63
4/26/21,10.63
4/26/21,10.63
4/26/21,10.63
4/26/21,10.63
4/26/21,10.63
4/26/21,10.63
4/26/21,10.63
4/26/21,10.63
4/26/21,10.63
4/26/21,10.63
4/26/21,10.63
4/26/21,10.63
4/26/21,10.63
4/26/21,10.63
4/26/21,10.63
4/26/21,10.63
5/28/21,19.55
5/28/21,19.55
5/28/21,19.55
5/28/21,19.55
5/28/21,19.55
5/28/21,19.55
5/28/21,19.55
5/28/21,19.55
5/28/21,19.55
5/28/21,19.55
5/28/21,19.55
5/28/21,19.55
