Date,Temperature
1/28/00,25.06
4/17/00,30.99
5/3/00,30.83
6/4/00,10.19
8/7/00,13.97
9/8/00,28.94
10/10/00,29.4
10/26/00,32.67
11/27/00,17.37
1/14/01,29.41
3/3/01,33.13
7/25/01,20.72
9/11/01,24.59
10/13/01,14.29
10/29/01,21.03
11/30/01,26.06
2/18/02,28.56
5/25/02,35.43
9/14/02,27.17
9/30/02,30.57
11/17/02,26.76
12/3/02,28.19
1/20/03,26.99
2/21/03,33.15
5/28/03,18.77
10/3/03,17.18
11/4/03,19.05
11/20/03,22.33
12/6/03,26.86
12/22/03,26.43
1/23/04,26.76
2/24/04,29.38
3/11/04,31.14
4/12/04,34.26
4/28/04,22.16
9/19/04,21.11
10/21/04,17.44
11/22/04,25.19
12/8/04,26.39
12/24/04,27.48
1/25/05,29.75
2/10/05,25.03
2/26/05,33.56
3/14/05,32.13
4/15/05,35.63
6/2/05,28.95
9/22/05,29.25
10/24/05,17.94
12/27/05,26.46
1/28/06,24.81
3/1/06,32.34
8/8/06,25.74
9/9/06,19.11
10/11/06,14.79
11/28/06,14.27
12/30/06,25.09
1/15/07,25.97
1/31/07,29.45
2/16/07,27.62
3/4/07,32.34
3/20/07,34.83
4/5/07,33.76
8/27/07,15.94
9/12/07,4.35
10/14/07,4.13
10/30/07,15.95
11/15/07,30.07
12/1/07,30.69
12/17/07,24.97
1/2/08,27.12
1/18/08,26.07
2/3/08,27.37
2/19/08,30.37
3/6/08,31.32
5/25/08,27.82
7/12/08,17.16
8/29/08,25.41
9/30/08,27.77
11/1/08,24.56
11/17/08,29.6
12/3/08,32.46
1/20/09,26.25
2/5/09,29.45
3/25/09,31.25
5/12/09,31.01
5/28/09,25.06
6/29/09,17.05
10/19/09,25.51
11/4/09,16.57
11/20/09,23.49
1/7/10,27.3
1/23/10,27.92
2/8/10,25.99
2/24/10,29.76
5/15/10,24.27
3/31/11,33.11
5/2/11,31.89
5/18/11,33.84
8/22/11,18.91
9/23/11,27.89
10/9/11,27.34
11/10/11,29.03
12/12/11,20.2
1/13/12,26.88
1/29/12,18.83
2/14/12,34.05
3/1/12,29.67
3/17/12,33.55
4/2/12,31.74
4/18/12,25.24
5/4/12,28.4
6/21/12,13.52
9/25/12,23.3
10/27/12,24.15
11/12/12,30.87
11/28/12,30.97
12/14/12,30.72
1/15/13,29.17
1/31/13,28.7
8/11/13,17.62
8/27/13,21.24
9/28/13,16.24
10/14/13,29.88
10/30/13,17.74
12/17/13,27.34
1/2/14,25.5
1/18/14,23.22
2/3/14,26.48
2/19/14,27.86
3/7/14,29.63
3/23/14,36.85
4/8/14,34.09
4/24/14,27.82
5/10/14,32.1
6/27/14,18.17
8/14/14,22.45
8/30/14,14.84
9/15/14,25.41
10/1/14,27
10/17/14,6.21
11/2/14,6.97
11/18/14,26.82
12/4/14,26
12/20/14,20.01
1/5/15,29.64
1/21/15,27.26
2/6/15,25.78
2/22/15,28.14
3/10/15,31.54
4/11/15,30.02
4/27/15,31.14
5/29/15,26.28
6/30/15,24.82
7/16/15,0.19
8/17/15,26.06
9/18/15,21.17
10/20/15,1.36
11/21/15,27.04
12/23/15,27.96
1/8/16,25.25
1/24/16,26.76
2/9/16,26.77
2/25/16,35.78
3/28/16,32.25
4/13/16,29.05
4/29/16,29.94
5/15/16,9.31
5/31/16,25.8
7/2/16,8.59
8/3/16,17.71
8/19/16,22.8
9/20/16,22.31
10/6/16,26.06
10/22/16,14.02
11/7/16,29.37
11/23/16,24.8
12/9/16,25.71
1/10/17,28.62
2/11/17,30.05
2/27/17,27.59
3/31/17,35.79
4/16/17,30.37
5/2/17,33.36
7/5/17,20.26
7/21/17,24.33
9/7/17,19.09
9/23/17,27.02
10/9/17,21.98
10/25/17,30.79
11/10/17,25.67
12/12/17,17.56
1/29/18,25.66
2/14/18,29.3
3/2/18,31.05
4/3/18,31.09
5/5/18,23.16
5/21/18,5.87
6/22/18,1.36
8/25/18,9.88
9/10/18,25.15
9/26/18,26.36
10/12/18,31.66
10/28/18,13.94
11/13/18,17.62
11/29/18,12.74
12/15/18,31.92
12/31/18,29.53
1/16/19,26.73
2/1/19,27.72
2/17/19,28.75
3/5/19,27.16
3/21/19,35.59
4/6/19,30.73
6/25/19,28.86
7/11/19,25.02
8/12/19,16.24
9/13/19,9.89
9/29/19,20.72
10/15/19,14.85
12/18/19,23.21
1/3/20,30.23
1/19/20,15.78
2/4/20,30.28
2/20/20,29.47
3/7/20,29.4
4/8/20,25.21
5/10/20,21.07
5/26/20,32.17
8/14/20,1.36
8/30/20,28.61
9/15/20,13.29
10/1/20,25.68
10/17/20,25.4
11/2/20,25.95
12/20/20,27.46
1/5/21,26.55
1/21/21,26.31
2/6/21,24.3
2/21/21,27.5
3/9/21,33.32
3/25/21,25.05
6/29/21,28.45
6/29/21,28.45
6/29/21,28.45
6/29/21,28.45
6/29/21,28.45
6/29/21,28.45
6/29/21,28.45
6/29/21,28.45
6/29/21,28.45
6/29/21,28.45
6/29/21,28.45
7/31/21,0
7/31/21,0
7/31/21,0
7/31/21,0
7/31/21,0
7/31/21,0
7/31/21,0
7/31/21,0
7/31/21,0
7/31/21,0
7/31/21,0
8/24/21,21.5
10/27/21,21.16
12/14/21,24.69
12/30/21,24.6
1/15/22,20.36
1/31/22,28.5
3/4/22,29.58
3/20/22,28.6
4/5/22,25.79
5/7/22,22.32
6/8/22,24.24
10/30/22,23.08
10/30/22,23.08
10/30/22,23.08
10/30/22,23.08
10/30/22,23.08
10/30/22,23.08
10/30/22,23.08
10/30/22,23.08
10/30/22,23.08
10/30/22,23.08
12/1/22,24.71
12/1/22,24.71
12/1/22,24.71
12/1/22,24.71
12/1/22,24.71
12/1/22,24.71
12/1/22,24.71
12/1/22,24.71
12/1/22,24.71
12/1/22,24.71
12/1/22,24.71
1/18/23,28.03
1/18/23,28.03
1/18/23,28.03
1/18/23,28.03
1/18/23,28.03
1/18/23,28.03
1/18/23,28.03
1/18/23,28.03
1/18/23,28.03
1/18/23,28.03
1/18/23,28.03
1/18/23,28.03
1/18/23,28.03
1/18/23,28.03
1/18/23,28.03
1/18/23,28.03
2/19/23,28.83
2/19/23,28.83
2/19/23,28.83
2/19/23,28.83
2/19/23,28.83
2/19/23,28.83
2/19/23,28.83
2/19/23,28.83
2/19/23,28.83
2/19/23,28.83
2/19/23,28.83
2/19/23,28.83
2/19/23,28.83
2/19/23,28.83
2/19/23,28.83
2/19/23,28.83
2/19/23,28.83
2/19/23,28.83
2/19/23,28.83
2/19/23,28.83
2/19/23,28.83
2/19/23,28.83
2/19/23,28.83
2/19/23,28.83
3/7/23,28.94
3/7/23,28.94
3/7/23,28.94
3/7/23,28.94
3/7/23,28.94
3/7/23,28.94
3/7/23,28.94
3/7/23,28.94
3/7/23,28.94
3/7/23,28.94
3/7/23,28.94
3/7/23,28.94
3/7/23,28.94
3/7/23,28.94
3/7/23,28.94
3/7/23,28.94
3/7/23,28.94
3/7/23,28.94
3/7/23,28.94
3/7/23,28.94
3/7/23,28.94
3/7/23,28.94
3/7/23,28.94
3/7/23,28.94
3/7/23,28.94
3/7/23,28.94
3/7/23,28.94
