Date,Temperature
1/28/00,24.7
4/17/00,30.99
5/3/00,30.83
6/4/00,10.19
8/7/00,13.97
9/8/00,29.04
10/10/00,29.41
10/26/00,32.65
11/27/00,17.37
1/14/01,29.35
3/3/01,33.12
7/25/01,21.25
9/11/01,24.25
10/13/01,14.29
10/29/01,21.03
11/30/01,25.99
2/18/02,28.56
5/25/02,35.49
9/14/02,27.09
9/30/02,30.73
11/17/02,26.76
12/3/02,28.18
1/20/03,26.96
2/21/03,33.16
5/28/03,18.77
10/3/03,18.94
11/4/03,17.92
11/20/03,19.92
12/6/03,26.75
12/22/03,26.29
1/23/04,26.42
2/24/04,29.38
3/11/04,31.07
4/12/04,35.52
4/28/04,22.15
9/19/04,21.21
10/21/04,17.44
11/22/04,24.98
12/8/04,26.33
12/24/04,27.39
1/25/05,29.75
2/10/05,25.02
2/26/05,33.56
3/14/05,32.13
4/15/05,36.14
6/2/05,28.95
9/22/05,29.53
10/24/05,17.96
12/27/05,26.38
1/28/06,24.74
3/1/06,32.31
8/8/06,25.74
9/9/06,19.11
10/11/06,14.79
11/28/06,14.27
12/30/06,25.09
1/15/07,25.98
1/31/07,29.32
2/16/07,27.62
3/4/07,32.33
3/20/07,34.83
4/5/07,33.66
8/27/07,15.94
9/12/07,4.35
10/14/07,4.13
10/30/07,15.95
11/15/07,30.03
12/1/07,30.58
12/17/07,24.59
1/2/08,26.96
1/18/08,26.06
2/3/08,27.36
2/19/08,30.35
3/6/08,31.31
5/25/08,27.71
7/12/08,15.36
8/29/08,25.67
9/30/08,27.87
11/1/08,24.54
11/17/08,22.4
12/3/08,32.46
1/20/09,26.24
2/5/09,29.45
3/25/09,31.25
5/12/09,31.01
5/28/09,25.06
6/29/09,17.05
10/19/09,26.06
11/4/09,16.59
11/20/09,24.04
1/7/10,27.29
1/23/10,27.83
2/8/10,25.99
2/24/10,29.78
5/15/10,24.27
3/31/11,33.12
5/2/11,31.89
5/18/11,33.84
8/22/11,18.91
9/23/11,28.16
10/9/11,27.04
11/10/11,29.03
12/12/11,17.81
1/13/12,26.85
1/29/12,18.82
2/14/12,32.53
3/1/12,29.73
3/17/12,33.45
4/2/12,31.71
4/18/12,25.67
5/4/12,28.61
6/21/12,13.52
9/25/12,21.92
10/27/12,24.1
11/12/12,30.87
11/28/12,30.97
12/14/12,27.5
1/15/13,29.17
1/31/13,28.69
8/11/13,17.62
8/27/13,21.24
10/14/13,29.88
10/30/13,10.11
12/17/13,27.34
1/2/14,25.5
1/18/14,23.09
2/3/14,26.48
2/19/14,27.83
3/7/14,30.99
3/23/14,36.85
4/8/14,34.09
4/24/14,27.82
5/10/14,32.1
6/27/14,18.17
8/14/14,22.45
8/30/14,14.84
9/15/14,25.41
10/1/14,27.06
10/17/14,6.21
11/2/14,6.97
11/18/14,26.72
12/4/14,26
12/20/14,20.01
1/5/15,29.62
1/21/15,27.25
2/6/15,25.77
2/22/15,28.07
3/10/15,31.68
4/11/15,29.98
4/27/15,31.13
5/29/15,26.29
6/30/15,24.82
7/16/15,0.19
8/17/15,26.2
9/18/15,21.17
10/20/15,1.36
11/21/15,26.93
12/23/15,27.95
1/8/16,25.25
1/24/16,26.72
2/9/16,26.77
2/25/16,35.9
3/28/16,32.25
4/13/16,29.05
4/29/16,29.94
5/15/16,9.31
5/31/16,25.8
7/2/16,8.59
8/3/16,17.81
8/19/16,22.8
9/20/16,24.32
10/6/16,26.06
10/22/16,14.02
11/7/16,29.36
11/23/16,21.45
12/9/16,25.72
1/10/17,28.62
2/11/17,30.04
2/27/17,27.59
3/31/17,35.79
4/16/17,30.64
5/2/17,33.36
7/5/17,20.85
7/21/17,25.56
9/7/17,19.09
9/23/17,27.02
10/9/17,21.98
10/25/17,30.75
11/10/17,25.67
12/12/17,17.55
1/29/18,25.65
2/14/18,27.66
3/2/18,30.97
4/3/18,30.95
5/5/18,23.16
5/21/18,5.87
6/22/18,1.36
8/25/18,10.89
9/10/18,24.72
9/26/18,19.23
10/12/18,31.66
10/28/18,13.94
11/13/18,16.68
11/29/18,12.74
12/15/18,24.62
12/31/18,29.53
1/16/19,26.73
2/1/19,27.66
2/17/19,28.74
3/5/19,27.16
3/21/19,35.99
4/6/19,29.14
6/25/19,28.86
7/11/19,25.02
8/12/19,16.24
9/13/19,9.89
9/29/19,20.72
10/15/19,14.85
12/18/19,22.72
1/3/20,30.13
1/19/20,12.83
2/4/20,30.27
2/20/20,29.45
3/7/20,29.2
4/8/20,25.21
5/10/20,21.02
5/26/20,32.18
8/14/20,1.36
8/30/20,28.69
9/15/20,19.1
10/1/20,25.68
10/17/20,25.39
11/2/20,25.95
12/20/20,27.46
1/5/21,24.9
1/21/21,26.16
2/6/21,24.21
2/21/21,28.39
3/9/21,34.8
4/26/21,9.31
6/29/21,28.18
6/29/21,28.18
6/29/21,28.18
6/29/21,28.18
6/29/21,28.18
6/29/21,28.18
6/29/21,28.18
6/29/21,28.18
6/29/21,28.18
6/29/21,28.18
6/29/21,28.18
6/29/21,28.18
7/31/21,12.84
7/31/21,12.84
7/31/21,12.84
7/31/21,12.84
7/31/21,12.84
7/31/21,12.84
7/31/21,12.84
7/31/21,12.84
7/31/21,12.84
7/31/21,12.84
7/31/21,12.84
7/31/21,12.84
12/14/21,25.14
12/30/21,24.96
3/4/22,30.67
1/18/23,28.88
1/18/23,28.88
1/18/23,28.88
1/18/23,28.88
1/18/23,28.88
1/18/23,28.88
1/18/23,28.88
1/18/23,28.88
1/18/23,28.88
1/18/23,28.88
1/18/23,28.88
1/18/23,28.88
1/18/23,28.88
1/18/23,28.88
1/18/23,28.88
1/18/23,28.88
2/19/23,29.91
2/19/23,29.91
2/19/23,29.91
2/19/23,29.91
2/19/23,29.91
2/19/23,29.91
2/19/23,29.91
