Date,Temperature
1/28/00,25.08
4/17/00,30.82
5/3/00,30.39
6/4/00,10.19
8/7/00,13.97
9/8/00,29.04
10/10/00,29.41
10/26/00,32.85
11/27/00,23.14
1/14/01,29.43
3/3/01,33.86
7/25/01,19.75
9/11/01,24.62
10/13/01,14.29
10/29/01,23.23
11/30/01,25.99
2/18/02,29.19
5/25/02,34.98
9/14/02,27.77
9/30/02,30.56
11/17/02,26.76
12/3/02,28.84
1/20/03,27.27
2/21/03,32.97
5/28/03,15.29
10/3/03,17.18
11/4/03,20.17
11/20/03,24.12
12/6/03,26.93
12/22/03,26.49
1/23/04,27.95
2/24/04,29.38
3/11/04,32.23
4/12/04,34.01
4/28/04,22.17
9/19/04,21.01
10/21/04,17.44
11/22/04,24.98
12/8/04,27
12/24/04,27.39
1/25/05,29.76
2/10/05,25.05
2/26/05,33.56
3/14/05,32.58
4/15/05,35.27
6/2/05,28.95
9/22/05,29.24
10/24/05,17.93
12/27/05,27.04
1/28/06,25.84
3/1/06,32.98
8/8/06,25.74
9/9/06,19.11
10/11/06,13.63
11/28/06,14.27
12/30/06,25.8
1/15/07,25.98
1/31/07,29.6
2/16/07,28.85
3/4/07,33.23
3/20/07,34.86
4/5/07,33.66
8/27/07,18.62
9/12/07,4.35
10/14/07,4.13
10/30/07,15.95
11/15/07,30.07
12/1/07,30.93
12/17/07,25.37
1/2/08,27.18
1/18/08,26.84
2/3/08,27.38
2/19/08,30.42
3/6/08,31.56
5/25/08,27.71
7/12/08,18.17
8/29/08,25.24
9/30/08,27.77
11/1/08,26.99
11/17/08,30.36
12/3/08,32.47
1/20/09,26.51
2/5/09,29.67
3/25/09,31.99
5/12/09,29.83
5/28/09,25.06
6/29/09,17.05
10/19/09,25.5
11/4/09,16.59
11/20/09,23.42
1/7/10,27.78
1/23/10,28.23
2/8/10,26.49
2/24/10,29.78
5/15/10,24.27
3/31/11,33.12
5/2/11,31.08
5/18/11,33.84
8/22/11,11.51
9/23/11,27.47
10/9/11,27.64
11/10/11,29.21
12/12/11,20.95
1/13/12,26.9
1/29/12,18.83
2/14/12,35.58
3/1/12,29.81
3/17/12,33.45
4/2/12,31.78
4/18/12,24.21
5/4/12,28.55
6/21/12,13.52
9/25/12,21.63
10/27/12,24.1
11/12/12,30.86
11/28/12,31.54
12/14/12,30.81
1/15/13,29.26
1/31/13,29.27
8/11/13,13.52
8/27/13,21.24
9/28/13,16.24
10/14/13,29.88
10/30/13,10.14
12/17/13,27.55
1/2/14,26.57
1/18/14,23.28
2/3/14,26.6
2/19/14,28.29
3/7/14,29.61
3/23/14,36.85
4/8/14,34.09
4/24/14,27.82
5/10/14,32.1
6/27/14,18.17
8/14/14,22.45
8/30/14,14.84
9/15/14,24.87
10/1/14,26.34
10/17/14,6.21
11/2/14,6.97
11/18/14,26.92
12/4/14,26.02
12/20/14,20.01
1/5/15,29.66
1/21/15,27.41
2/6/15,25.8
2/22/15,28.33
3/10/15,31.44
4/11/15,30.34
4/27/15,31.14
5/29/15,26.27
6/30/15,24.82
7/16/15,0.19
8/17/15,25.93
9/18/15,16.04
10/20/15,1.36
11/21/15,27.72
12/23/15,27.96
1/8/16,25.77
1/24/16,26.93
2/9/16,26.77
2/25/16,35.69
3/28/16,32.23
4/13/16,29.05
4/29/16,29.93
5/15/16,9.31
5/31/16,25.8
7/2/16,8.59
8/3/16,15.08
8/19/16,22.28
9/20/16,22.11
10/6/16,26.06
10/22/16,14.02
11/7/16,30.29
11/23/16,21.45
12/9/16,25.72
1/10/17,28.67
2/11/17,30.77
2/27/17,27.59
3/31/17,35.79
4/16/17,30.47
5/2/17,33.37
7/5/17,16.52
7/21/17,23.1
9/7/17,19.09
9/23/17,27.9
10/9/17,21.98
10/25/17,30.79
11/10/17,24.42
12/12/17,22.78
1/29/18,25.66
2/14/18,29.33
3/2/18,31.65
4/3/18,31.27
5/5/18,23.16
5/21/18,5.87
6/22/18,1.36
8/25/18,8.87
9/10/18,25.58
9/26/18,27.1
10/12/18,31.66
10/28/18,13.95
11/13/18,17.8
11/29/18,12.74
