Date,Temperature
1/28/00,24.35
4/17/00,30.82
5/3/00,29.93
6/4/00,7.92
8/7/00,13.97
9/8/00,29.14
10/10/00,28.8
10/26/00,32.64
11/27/00,17.37
1/14/01,29.3
3/3/01,33.12
7/25/01,18.77
9/11/01,23.92
10/13/01,14.29
10/29/01,21.03
11/30/01,25.92
2/18/02,28.56
5/25/02,34.54
9/14/02,28.14
9/30/02,30.54
11/17/02,26.76
12/3/02,28.16
1/20/03,26.92
2/21/03,32.28
5/28/03,15.29
10/3/03,17.18
11/4/03,17.92
11/20/03,22.33
12/6/03,26.63
12/22/03,26.16
1/23/04,26.08
2/24/04,29.38
3/11/04,31.12
4/12/04,32.56
4/28/04,22.16
9/19/04,12.39
10/21/04,17.44
11/22/04,24.55
12/8/04,26.27
12/24/04,26.71
1/25/05,29.28
2/10/05,25.01
2/26/05,33.56
3/14/05,32.13
4/15/05,34.54
6/2/05,28.95
9/22/05,26.36
10/24/05,17.28
12/27/05,26.3
1/28/06,24.67
3/1/06,32.28
8/8/06,25.75
9/9/06,19.11
10/11/06,12.07
11/28/06,14.27
12/30/06,25.15
1/15/07,25.41
1/31/07,29.19
2/16/07,27.65
3/4/07,32.31
3/20/07,34.83
4/5/07,33.38
8/27/07,20.71
9/12/07,4.24
10/14/07,4.13
10/30/07,12.41
11/15/07,30
12/1/07,30.47
12/17/07,24.2
1/2/08,26.81
1/18/08,26.05
2/3/08,27.03
2/19/08,30.33
3/6/08,31.3
5/25/08,27.58
7/12/08,18.17
8/29/08,25.24
9/30/08,27.05
11/1/08,28.61
11/17/08,27.44
12/3/08,31.83
1/20/09,26.24
2/5/09,29.45
3/25/09,31.25
5/12/09,30.17
5/28/09,25.06
6/29/09,17.05
10/19/09,25.51
11/4/09,16.56
11/20/09,23.36
1/7/10,27.28
1/23/10,27.74
2/8/10,26.09
2/24/10,29.73
5/15/10,24.27
3/31/11,32.79
5/2/11,30.1
5/18/11,30.82
8/22/11,18.91
9/23/11,25.89
10/9/11,27.75
11/10/11,29.03
12/12/11,22.68
1/13/12,27.02
1/29/12,18.83
2/14/12,32.58
3/1/12,29.52
3/17/12,33.09
4/2/12,31.71
4/18/12,24.21
5/4/12,28.36
6/21/12,13.52
9/25/12,22.82
10/27/12,24.05
11/12/12,29.66
11/28/12,30.97
12/14/12,30.27
1/15/13,29.17
1/31/13,28.68
8/11/13,13.47
8/27/13,21.24
9/28/13,10.6
10/14/13,29.87
10/30/13,17.92
12/17/13,27.33
1/2/14,25.49
1/18/14,23.09
2/3/14,26.48
2/19/14,27.81
3/7/14,27.76
3/23/14,36.85
4/8/14,34.09
4/24/14,27.82
5/10/14,32.1
6/27/14,18.17
8/14/14,22.45
8/30/14,14.84
9/15/14,24.86
10/1/14,24.57
10/17/14,6.21
11/2/14,9.87
11/18/14,25.66
12/4/14,26
12/20/14,19.61
1/5/15,29.13
1/21/15,27.24
2/6/15,25.63
2/22/15,28
3/10/15,31.21
4/11/15,29.94
4/27/15,30.65
5/29/15,25.7
6/30/15,24.82
7/16/15,0.19
8/17/15,24.57
9/18/15,17.38
10/20/15,4.6
11/21/15,27.04
12/23/15,27.88
1/8/16,25.25
1/24/16,26.69
2/9/16,26.91
2/25/16,35.69
3/28/16,31.67
4/13/16,29.05
4/29/16,30.37
5/15/16,20.46
5/31/16,25.8
7/2/16,8.59
8/3/16,17.55
8/19/16,22.28
9/20/16,22.11
10/6/16,26.46
10/22/16,14.02
11/7/16,29.49
11/23/16,26.33
12/9/16,25.51
1/10/17,28.62
2/11/17,30.04
2/27/17,27.59
3/31/17,35.79
4/16/17,30.17
5/2/17,33.27
7/5/17,12.78
7/21/17,23.1
9/7/17,19.09
9/23/17,28.78
10/9/17,21.98
10/25/17,30.72
11/10/17,23.21
12/12/17,25.98
1/29/18,25.64
2/14/18,28.81
3/2/18,30.88
4/3/18,31
5/5/18,23.16
5/21/18,5.87
6/22/18,1.36
8/25/18,8.87
9/10/18,27.34
9/26/18,27.84
10/12/18,31.66
10/28/18,13.95
11/13/18,17.8
11/29/18,12.74
12/15/18,31.92
12/31/18,29.52
1/16/19,26.73
2/1/19,27.61
2/17/19,28.74
3/5/19,27.16
3/21/19,35.09
4/6/19,30.73
6/25/19,28.7
7/11/19,19.02
8/12/19,15.98
9/13/19,8.66
9/29/19,16.54
10/15/19,13.46
12/18/19,23.35
1/3/20,30.13
1/19/20,18.8
2/4/20,30.25
2/20/20,28.95
3/7/20,28.99
4/8/20,26.39
5/10/20,21.07
5/26/20,31.2
8/14/20,1.36
8/30/20,28.61
9/15/20,11.14
10/1/20,24.02
10/17/20,25.39
11/2/20,25.87
12/20/20,27.46
1/5/21,26.95
1/21/21,25.76
2/6/21,24.46
3/9/21,30.36
3/25/21,30.78
4/26/21,22.13
8/8/21,10.35
10/27/21,16.94
1/15/22,23.29
1/31/22,26.54
2/16/22,23.7
3/4/22,26.43
3/20/22,25.04
4/5/22,25.39
5/23/22,24.84
6/8/22,23.34
9/28/22,14.94
9/28/22,14.94
9/28/22,14.94
9/28/22,14.94
9/28/22,14.94
9/28/22,14.94
9/28/22,14.94
9/28/22,14.94
9/28/22,14.94
9/28/22,14.94
10/14/22,20.13
10/14/22,20.13
10/14/22,20.13
10/14/22,20.13
10/14/22,20.13
10/14/22,20.13
10/14/22,20.13
10/14/22,20.13
10/14/22,20.13
10/14/22,20.13
10/14/22,20.13
10/14/22,20.13
10/14/22,20.13
10/14/22,20.13
10/14/22,20.13
10/14/22,20.13
10/14/22,20.13
10/14/22,20.13
10/30/22,9.55
10/30/22,9.55
10/30/22,9.55
10/30/22,9.55
10/30/22,9.55
10/30/22,9.55
10/30/22,9.55
10/30/22,9.55
10/30/22,9.55
10/30/22,9.55
12/1/22,22.53
12/1/22,22.53
12/1/22,22.53
12/1/22,22.53
12/1/22,22.53
12/1/22,22.53
12/1/22,22.53
12/1/22,22.53
12/1/22,22.53
12/1/22,22.53
12/1/22,22.53
1/18/23,25.9
1/18/23,25.9
1/18/23,25.9
1/18/23,25.9
1/18/23,25.9
1/18/23,25.9
1/18/23,25.9
1/18/23,25.9
1/18/23,25.9
1/18/23,25.9
1/18/23,25.9
1/18/23,25.9
1/18/23,25.9
1/18/23,25.9
1/18/23,25.9
1/18/23,25.9
2/19/23,25.76
2/19/23,25.76
2/19/23,25.76
2/19/23,25.76
2/19/23,25.76
2/19/23,25.76
2/19/23,25.76
2/19/23,25.76
2/19/23,25.76
2/19/23,25.76
2/19/23,25.76
