Date,Temperature
1/28/00,24.35
4/17/00,30.66
5/3/00,29.87
6/4/00,7.92
8/7/00,13.97
9/8/00,29.14
10/10/00,28.79
10/26/00,32.12
11/27/00,21.9
1/14/01,28.61
3/3/01,32.94
7/25/01,18.57
9/11/01,20.79
10/13/01,14.29
10/29/01,21.03
11/30/01,25.82
2/18/02,28.55
5/25/02,32.88
9/14/02,27.89
9/30/02,30.34
11/17/02,26.76
12/3/02,27.75
1/20/03,26.27
2/21/03,31.92
5/28/03,15.29
10/3/03,17.18
11/4/03,17.79
11/20/03,22.33
12/6/03,26.52
12/22/03,26.15
1/23/04,26.08
2/24/04,29.38
3/11/04,31.06
4/12/04,32.54
4/28/04,22.15
9/19/04,7.73
10/21/04,17.44
11/22/04,24.16
12/8/04,26.2
12/24/04,26.28
1/25/05,28.82
2/10/05,24.96
2/26/05,33.56
3/14/05,31.66
4/15/05,34.36
6/2/05,28.95
9/22/05,26.13
10/24/05,17.28
12/27/05,26.21
1/28/06,24.64
3/1/06,31.48
8/8/06,25.74
9/9/06,19.11
10/11/06,10.52
11/28/06,14.27
12/30/06,25.12
1/15/07,25.41
1/31/07,28.69
2/16/07,27.63
3/4/07,32.04
3/20/07,34.79
4/5/07,33.38
8/27/07,20.71
9/12/07,4.3
10/14/07,4.13
10/30/07,12.4
11/15/07,29.47
12/1/07,30.35
12/17/07,23.97
1/2/08,26.32
1/18/08,25.87
2/3/08,26.7
2/19/08,30.15
3/6/08,30.82
5/25/08,27.44
7/12/08,18.17
8/29/08,25.06
9/30/08,26.54
11/1/08,28.19
11/17/08,27.3
12/3/08,31.22
1/20/09,26.08
2/5/09,29.36
3/25/09,31.04
5/12/09,29.92
5/28/09,25.06
6/29/09,17.05
10/19/09,25.5
11/4/09,16.56
11/20/09,23.42
1/7/10,27.05
1/23/10,27.67
2/8/10,26.04
2/24/10,29.73
5/15/10,24.27
3/31/11,32.74
5/2/11,30.1
5/18/11,29
8/22/11,17.19
9/23/11,24.36
10/9/11,27.64
11/10/11,28.93
12/12/11,22.76
1/13/12,27.09
1/29/12,18.83
2/14/12,32.53
3/1/12,29.3
3/17/12,33.07
4/2/12,31.69
4/18/12,23.19
5/4/12,28.28
6/21/12,13.52
9/25/12,22.57
10/27/12,24.05
11/12/12,29.54
11/28/12,30.28
12/14/12,28.61
1/15/13,28.97
1/31/13,28.68
8/11/13,13.47
8/27/13,21.24
9/28/13,16.24
10/14/13,29.86
10/30/13,20.77
12/17/13,26.9
1/2/14,25.5
1/18/14,23.09
2/3/14,26.42
2/19/14,27.79
3/7/14,27.03
3/23/14,36.85
4/8/14,34.09
4/24/14,27.82
5/10/14,32.1
6/27/14,18.17
8/14/14,22.45
8/30/14,14.84
9/15/14,21.58
10/1/14,24.43
10/17/14,6.21
11/2/14,6.97
11/18/14,24.61
12/4/14,25.5
12/20/14,19.61
1/5/15,28.64
1/21/15,26.95
2/6/15,25.49
2/22/15,27.96
3/10/15,31.14
4/11/15,29.79
4/27/15,30.16
5/29/15,25.32
6/30/15,24.82
7/16/15,0.19
8/17/15,23.83
9/18/15,14.15
10/20/15,7.85
11/21/15,27.03
12/23/15,27.81
1/8/16,24.94
1/24/16,26.62
2/9/16,27.06
2/25/16,35.59
3/28/16,31.49
4/13/16,29.05
4/29/16,29.95
5/15/16,20.46
5/31/16,25.8
7/2/16,8.59
8/3/16,15
8/19/16,22.28
9/20/16,22.11
10/6/16,26.26
10/22/16,14.02
11/7/16,29.43
11/23/16,26.07
12/9/16,25.16
1/10/17,28.34
2/11/17,29.87
2/27/17,27.59
3/31/17,35.79
4/16/17,30
5/2/17,33.17
7/5/17,9.64
7/21/17,23.1
9/7/17,19.09
9/23/17,28.68
10/9/17,21.98
10/25/17,30.71
11/10/17,22
12/12/17,25.93
1/29/18,25.64
2/14/18,28.54
3/2/18,30.65
4/3/18,30.9
5/5/18,23.16
5/21/18,5.87
6/22/18,1.36
