latitude,longitude,dam_name
11.962,75.616,Pazhassi,9999
11.671,75.96,Banasurasagar,9999
11.616,76.173,Karapuzha,9999
11.596,75.823,Peruvannamuzhi,9999
10.986,76.541,Kanjirapuzha,9999
10.834,76.686,Malampuzha,5024
10.515,76.534,Mangalam,5027
10.39,76.791,Parambikulam,5035
10.319,76.738,Sholayar,5037
10.529,76.37,Peechi,5026
10.438,76.462,Chimmini,5031
10.222,76.706,Idamalayaar,9999
10.015,77.206,Anayirankal,9999
9.959,77.056,Ponmudi,9999
9.845,76.968,Idukki,5040
9.528,77.148,Mullaperiyar,9999
9.341,77.15,Kakki,9999
8.954,77.074,Thenmala,9999
8.536,77.146,Neyyar,9999
