elevation,area
1181,0.001
1182,0.002
1183,0.005
1184,0.007
1185,0.011
1186,0.014
1187,0.019
1188,0.025
1189,0.028
1190,0.034
1191,0.044
1192,0.052
1193,0.059
1194,0.065
1195,0.073
1196,0.076
1197,0.084
1198,0.097
1199,0.128
1200,0.182
1201,2.75
1202,3.103
1203,3.3
1204,3.538
1205,3.778
1206,4.085
1207,4.364
1208,4.642
1209,4.946
1210,5.245
1211,5.559
1212,5.82
1213,6.126
1214,6.422
1215,6.722
1216,7.018
1217,7.312
1218,7.622
1219,7.909
1220,8.247
1221,8.534
1222,8.863
1223,9.16
1224,9.45
1225,9.746
1226,10.06
1227,10.391
1228,10.664
1229,10.983
1230,11.261
1231,11.561
1232,11.852
1233,12.143
1234,12.427
1235,12.699
1236,12.936
1237,13.165
1238,13.371
1239,13.584
1240,13.824
1241,14.056
1242,14.282
1243,14.46
1244,14.644
1245,14.812
1246,15.006
1247,15.18
1248,15.347
1249,15.495
1250,15.637
1251,15.793
1252,15.938
1253,16.07
1254,16.201
1255,16.351
1256,16.484
1257,16.613
1258,16.724
1259,16.828
1260,16.934
1261,17.018
1262,17.11
1263,17.201
1264,17.285
1265,17.365
1266,17.451
1267,17.532
1268,17.603
1269,17.664
1270,17.721
1271,17.79
1272,17.851
1273,17.923
1274,17.98
1275,18.025
1276,18.075
1277,18.111
1278,18.166
1279,18.219
1280,18.253
1281,18.285
1282,18.328
1283,18.361
1284,18.42
1285,18.463
1286,18.496
1287,18.525
1288,18.57
1289,18.615
1290,18.653
1291,18.691
1292,18.73
1293,18.776
1294,18.821
1295,18.859
1296,18.887
1297,18.912
1298,18.956
1299,18.991
1300,19.027
1301,19.06
1302,19.081
1303,19.114
1304,19.141
1305,19.165
1306,19.204
1307,19.229
1308,19.263
1309,19.289
1310,19.324
1311,19.341
1312,19.367
1313,19.396
1314,19.421
1315,19.443
1316,19.469
1317,19.487
1318,19.504
1319,19.519
1320,19.543
1321,19.573
1322,19.594
1323,19.613
1324,19.632
1325,19.648
1326,19.668
1327,19.691
1328,19.708
1329,19.721
1330,19.738
1331,19.757
1332,19.769
1333,19.781
1334,19.788
1335,19.797
1336,19.81
1337,19.818
1338,19.831
1339,19.845
1340,19.852
1341,19.864
1342,19.872
1343,19.872
1344,19.879
1345,19.888
1346,19.895
1347,19.902
1348,19.912
1349,19.914
1350,19.919
1351,19.923
1352,19.934
1353,19.943
1354,19.952
1355,19.959
1356,19.962
1357,19.966
1358,19.971
1359,19.974
1360,19.977
1361,19.98
1362,19.983
1363,19.99
1364,19.996
1365,19.999
1366,20.003
1367,20.008
1368,20.011
1369,20.014
1370,20.019
1371,20.023
1372,20.028
1373,20.032
1374,20.033
1375,20.035
1376,20.038
1377,20.042
1378,20.051
1379,20.053
1380,20.057
1381,20.061
1382,20.065
1383,20.068
1384,20.068
1385,20.072
1386,20.076
1387,20.082
1388,20.084
1389,20.086
1390,20.087
1391,20.087
1392,20.089
1393,20.091
1394,20.092
1395,20.096
1396,20.096
1397,20.1
1398,20.103
1399,20.104
1400,20.106
1401,20.108
1402,20.109
1403,20.112
1404,20.114
1405,20.114
1406,20.117
1407,20.117
1408,20.12
1409,20.121
1410,20.122
1411,20.123
1412,20.123
1413,20.123
1414,20.124
1415,20.125
1416,20.125
1417,20.125
1418,20.126
