elevation,area
62,0.001
63,0.001
64,0.001
65,0.001
66,0.001
67,0.002
68,0.002
69,0.005
70,0.007
71,0.007
72,0.009
73,0.011
74,0.018
75,0.02
76,0.023
77,0.023
78,0.025
79,0.027
80,0.032
81,0.033
82,0.036
83,0.038
84,0.04
85,0.042
86,0.046
87,0.047
88,0.05
89,0.053
90,0.054
91,0.055
92,0.057
93,0.059
94,0.061
95,0.066
96,0.07
97,0.075
98,0.078
99,0.079
100,0.083
101,0.084
102,0.084
103,0.087
104,0.093
105,0.094
106,0.094
107,0.096
108,0.098
109,0.104
110,0.106
111,0.108
112,0.111
113,0.113
114,0.114
115,0.115
116,0.115
117,0.117
118,0.121
119,0.122
120,0.125
121,0.126
122,0.13
123,0.132
124,0.132
125,0.133
126,0.137
127,0.137
128,0.14
129,0.14
130,0.142
131,0.145
132,0.15
133,0.15
134,0.153
135,0.157
136,0.162
137,0.162
138,0.162
139,0.163
140,0.163
141,0.165
142,0.168
143,0.171
144,0.173
145,0.177
146,0.182
147,0.185
148,0.192
149,0.202
150,0.216
151,0.235
152,0.263
153,0.286
154,0.326
155,0.367
156,27.055
157,27.634
158,27.844
159,28.08
160,28.333
161,28.578
162,28.86
163,29.101
164,29.38
165,29.637
166,29.904
167,30.159
168,30.414
169,30.666
170,30.925
171,31.161
172,31.411
173,31.642
174,31.856
175,32.101
176,32.343
177,32.545
178,32.785
179,32.999
180,33.187
181,33.38
182,33.599
183,33.8
184,34.035
185,34.223
186,34.419
187,34.613
188,34.817
189,35.014
190,35.235
191,35.465
192,35.686
193,35.854
194,36.056
195,36.253
196,36.477
197,36.696
198,36.918
199,37.137
200,37.35
201,37.558
202,37.747
203,37.944
204,38.129
205,38.328
206,38.512
207,38.688
208,38.884
209,39.054
210,39.268
211,39.452
212,39.647
213,39.85
214,40.035
215,40.23
216,40.412
217,40.6
218,40.82
219,41.047
220,41.258
221,41.457
222,41.675
223,41.881
224,42.071
225,42.267
226,42.508
227,42.72
228,42.917
229,43.131
230,43.331
231,43.556
232,43.786
233,43.998
234,44.203
235,44.44
236,44.642
237,44.85
238,45.078
239,45.307
240,45.531
241,45.747
242,45.954
243,46.142
244,46.353
245,46.543
246,46.732
247,46.921
248,47.087
249,47.262
250,47.453
251,47.639
252,47.816
253,48.005
254,48.194
255,48.372
256,48.559
257,48.739
258,48.894
259,49.061
260,49.243
261,49.422
262,49.598
263,49.793
264,50.004
265,50.162
266,50.324
267,50.496
268,50.684
269,50.845
270,51.009
271,51.172
272,51.343
273,51.512
274,51.67
275,51.817
276,51.963
277,52.132
278,52.274
279,52.438
280,52.599
281,52.74
282,52.916
283,53.051
284,53.214
285,53.36
286,53.485
287,53.637
288,53.784
289,53.927
290,54.054
291,54.218
292,54.35
293,54.487
294,54.621
295,54.764
296,54.916
297,55.046
298,55.19
299,55.324
300,55.448
301,55.567
302,55.681
303,55.826
304,55.956
305,56.074
306,56.196
307,56.319
308,56.434
309,56.558
310,56.681
311,56.809
312,56.935
313,57.048
314,57.187
315,57.297
316,57.404
317,57.507
318,57.618
319,57.705
320,57.819
321,57.943
322,58.062
323,58.198
324,58.312
325,58.405
326,58.523
327,58.634
328,58.733
329,58.835
330,58.94
331,59.065
332,59.176
333,59.28
334,59.388
335,59.511
336,59.621
337,59.735
338,59.825
339,59.935
340,60.037
341,60.151
342,60.259
343,60.347
344,60.471
345,60.573
346,60.686
347,60.796
348,60.913
349,61.019
350,61.109
351,61.209
352,61.32
353,61.418
354,61.517
355,61.623
356,61.704
357,61.787
358,61.859
359,61.945
360,62.037
361,62.128
362,62.219
363,62.301
364,62.382
365,62.45
366,62.53
367,62.588
368,62.65
369,62.732
370,62.788
371,62.854
372,62.907
373,62.976
374,63.04
375,63.097
376,63.15
377,63.205
378,63.266
379,63.321
380,63.386
381,63.448
382,63.507
383,63.541
384,63.589
385,63.644
386,63.707
387,63.75
388,63.794
389,63.849
390,63.901
391,63.94
392,63.993
393,64.051
394,64.093
395,64.138
396,64.19
397,64.239
398,64.279
399,64.322
400,64.36
401,64.392
402,64.448
403,64.488
404,64.519
405,64.559
406,64.598
407,64.638
408,64.666
409,64.697
410,64.741
411,64.784
412,64.815
413,64.857
414,64.889
415,64.925
416,64.968
417,64.997
418,65.028
419,65.058
420,65.093
421,65.128
422,65.161
423,65.195
424,65.218
425,65.246
426,65.272
427,65.306
428,65.341
429,65.377
430,65.407
431,65.432
432,65.462
433,65.49
434,65.515
435,65.534
436,65.565
437,65.586
438,65.607
439,65.631
440,65.652
441,65.673
442,65.692
443,65.713
444,65.732
445,65.753
446,65.774
447,65.792
448,65.814
449,65.842
450,65.859
451,65.881
452,65.893
453,65.907
454,65.925
455,65.945
456,65.962
457,65.978
458,66.009
459,66.025
460,66.041
461,66.053
462,66.07
463,66.084
464,66.1
465,66.121
466,66.137
467,66.154
468,66.169
469,66.185
470,66.193
471,66.209
472,66.221
473,66.235
474,66.255
475,66.278
476,66.293
477,66.301
478,66.32
479,66.331
480,66.343
481,66.351
482,66.36
483,66.37
484,66.38
485,66.396
486,66.405
487,66.41
488,66.421
489,66.426
490,66.435
491,66.445
492,66.456
493,66.461
494,66.469
495,66.479
496,66.487
497,66.499
498,66.503
499,66.51
500,66.522
501,66.527
502,66.534
503,66.544
504,66.551
505,66.559
506,66.568
507,66.576
508,66.586
509,66.596
510,66.603
511,66.612
512,66.62
513,66.627
514,66.635
515,66.637
516,66.644
517,66.651
518,66.658
519,66.663
520,66.673
521,66.676
522,66.685
523,66.691
524,66.699
