elevation,area
761,0.001
762,0.001
763,0.003
764,0.004
765,0.005
766,0.005
767,0.006
768,0.006
769,0.006
770,0.006
771,0.006
772,0.006
773,0.007
774,0.007
775,0.009
776,0.009
777,0.009
778,0.01
779,0.011
780,0.011
781,0.011
782,0.011
783,0.012
784,0.012
785,0.012
786,0.013
787,0.013
788,0.016
789,0.016
790,0.019
791,0.02
792,0.02
793,0.021
794,0.021
795,0.022
796,0.023
797,0.023
798,0.023
799,0.024
800,0.024
801,0.025
802,0.026
803,0.026
804,0.028
805,0.029
806,0.029
807,0.031
808,0.031
809,0.032
810,0.034
811,0.035
812,0.036
813,0.039
814,0.039
815,0.04
816,0.041
817,0.042
818,0.043
819,0.043
820,0.045
821,0.046
822,0.047
823,0.048
824,0.048
825,0.048
826,0.05
827,0.051
828,0.054
829,0.055
830,0.056
831,0.06
832,0.062
833,0.063
834,0.067
835,0.07
836,0.073
837,0.073
838,0.073
839,0.077
840,0.079
841,0.079
842,0.08
843,0.08
844,0.083
845,0.085
846,0.086
847,0.087
848,0.088
849,0.089
850,0.091
851,0.094
852,0.096
853,0.101
854,0.101
855,0.102
856,0.104
857,0.106
858,0.107
859,0.11
860,0.11
861,0.114
862,0.115
863,0.116
864,0.117
865,0.117
866,0.119
867,0.122
868,0.123
869,0.127
870,0.128
871,0.13
872,0.131
873,0.131
874,0.134
875,0.137
876,0.138
877,0.141
878,0.142
879,0.145
880,0.148
881,0.152
882,0.159
883,0.161
884,0.166
885,0.168
886,0.17
887,0.172
888,0.175
889,0.178
890,0.179
891,0.182
892,0.185
893,0.187
894,0.193
895,0.196
896,0.198
897,0.2
898,0.204
899,0.208
900,0.214
901,0.22
902,0.222
903,0.229
904,0.236
905,0.246
906,0.25
907,0.251
908,0.256
909,0.261
910,0.262
911,0.266
912,0.272
913,0.278
914,0.283
915,0.289
916,0.29
917,0.294
918,0.298
919,0.303
920,0.306
921,0.313
922,0.318
923,0.32
924,0.322
925,0.325
926,0.329
927,0.335
928,0.337
929,0.34
930,0.348
931,0.354
932,0.357
933,0.362
934,0.368
935,0.372
936,0.376
937,0.379
938,0.385
939,0.393
940,0.398
941,0.405
942,0.414
943,0.421
944,0.426
945,0.43
946,0.439
947,0.442
948,0.449
949,0.451
950,0.455
951,0.463
952,0.466
953,0.475
954,0.481
955,0.487
956,0.495
957,0.51
958,0.519
959,0.527
960,0.539
961,0.549
962,0.565
963,0.579
964,0.595
965,0.617
966,0.635
967,0.666
968,0.704
969,0.755
970,0.815
971,0.89
972,1.017
973,1.156
974,1.337
975,1.534
976,1.773
977,2.048
978,9.312
979,10.177
980,10.628
981,11.067
982,11.557
983,12.057
984,12.56
985,13.074
986,13.594
987,14.101
988,14.631
989,15.118
990,15.63
991,16.09
992,16.557
993,16.977
994,17.488
995,17.956
996,18.419
997,18.896
998,19.368
999,19.784
1000,20.207
1001,20.647
1002,21.064
1003,21.452
1004,21.873
1005,22.284
1006,22.736
1007,23.16
1008,23.596
1009,24.034
1010,24.435
1011,24.871
1012,25.291
1013,25.734
1014,26.19
1015,26.626
1016,27.093
1017,27.559
1018,28.002
1019,28.467
1020,28.945
1021,29.428
1022,29.945
1023,30.447
1024,30.97
1025,31.487
1026,32.056
1027,32.574
1028,33.127
1029,33.687
1030,34.267
1031,34.868
1032,35.463
1033,36.091
1034,36.644
1035,37.205
1036,37.832
1037,38.486
1038,39.041
1039,39.727
1040,40.348
1041,40.997
1042,41.652
1043,42.263
1044,42.908
1045,43.552
1046,44.185
1047,44.846
1048,45.496
1049,46.134
1050,46.726
1051,47.36
1052,47.93
1053,48.565
1054,49.184
1055,49.847
1056,50.443
1057,51.075
1058,51.687
1059,52.236
1060,52.809
1061,53.363
1062,53.904
1063,54.442
1064,55.036
1065,55.644
1066,56.196
1067,56.756
1068,57.308
1069,57.82
1070,58.35
1071,58.826
1072,59.315
1073,59.797
1074,60.292
1075,60.719
1076,61.155
1077,61.565
1078,62.015
1079,62.39
1080,62.783
1081,63.151
1082,63.515
1083,63.878
1084,64.205
1085,64.522
1086,64.839
1087,65.192
1088,65.499
1089,65.807
1090,66.099
1091,66.4
1092,66.687
1093,66.979
1094,67.26
1095,67.534
1096,67.789
1097,68.051
1098,68.329
1099,68.587
1100,68.852
1101,69.044
1102,69.287
1103,69.466
1104,69.649
1105,69.891
1106,70.091
1107,70.284
1108,70.485
1109,70.672
1110,70.837
1111,71.004
1112,71.176
1113,71.341
1114,71.497
1115,71.644
1116,71.782
1117,71.928
1118,72.084
1119,72.223
1120,72.365
1121,72.508
1122,72.647
1123,72.772
1124,72.904
1125,73.038
1126,73.178
1127,73.307
1128,73.445
1129,73.56
1130,73.688
1131,73.812
1132,73.923
1133,74.036
1134,74.145
1135,74.237
1136,74.346
1137,74.44
1138,74.539
1139,74.639
1140,74.723
1141,74.808
1142,74.89
1143,74.963
1144,75.048
1145,75.11
1146,75.188
1147,75.26
1148,75.328
1149,75.392
1150,75.456
1151,75.5
1152,75.553
1153,75.604
1154,75.649
1155,75.691
1156,75.733
1157,75.776
1158,75.825
1159,75.871
1160,75.909
1161,75.947
1162,75.985
1163,76.019
1164,76.056
1165,76.085
1166,76.122
1167,76.152
1168,76.183
1169,76.213
1170,76.239
1171,76.269
1172,76.297
1173,76.328
1174,76.354
1175,76.375
1176,76.399
1177,76.417
1178,76.438
1179,76.459
1180,76.481
1181,76.5
1182,76.521
1183,76.547
1184,76.564
1185,76.575
1186,76.585
1187,76.599
1188,76.61
1189,76.621
1190,76.629
1191,76.643
1192,76.654
1193,76.674
1194,76.687
1195,76.696
1196,76.704
1197,76.716
1198,76.728
1199,76.737
1200,76.744
1201,76.75
1202,76.753
1203,76.762
1204,76.769
1205,76.771
1206,76.781
1207,76.786
1208,76.793
1209,76.8
1210,76.805
1211,76.807
1212,76.815
1213,76.817
1214,76.827
1215,76.832
1216,76.836
1217,76.845
1218,76.848
1219,76.852
1220,76.86
1221,76.863
1222,76.868
1223,76.874
1224,76.882
1225,76.885
1226,76.891
1227,76.897
1228,76.899
1229,76.902
1230,76.905
1231,76.907
1232,76.907
1233,76.908
1234,76.91
1235,76.912
1236,76.914
1237,76.915
1238,76.916
1239,76.916
1240,76.916
1241,76.918
1242,76.918
1243,76.921
1244,76.922
1245,76.922
1246,76.922
1247,76.923
1248,76.925
1249,76.925
1250,76.926
1251,76.927
1252,76.928
