elevation,area
56,0.001
57,0.001
58,0.001
59,0.001
60,0.001
61,0.001
62,0.001
63,0.001
64,0.001
65,0.001
66,0.001
67,0.001
68,0.001
69,0.001
70,0.001
71,0.015
72,0.028
73,0.04
74,0.063
75,0.084
76,0.102
77,0.114
78,0.129
79,0.151
80,0.191
81,0.224
82,0.269
83,0.304
84,0.337
85,0.37
86,0.411
87,0.457
88,0.497
89,0.545
90,4.341
91,4.521
92,4.649
93,4.819
94,4.988
95,5.172
96,5.346
97,5.541
98,5.71
99,5.868
100,5.996
101,6.11
102,6.225
103,6.345
104,6.451
105,6.567
106,6.688
107,6.814
108,6.946
109,7.068
110,7.169
111,7.281
112,7.385
113,7.489
114,7.595
115,7.717
116,7.815
117,7.94
118,8.051
119,8.134
120,8.213
121,8.298
122,8.405
123,8.498
124,8.57
125,8.635
126,8.705
127,8.781
128,8.85
129,8.915
130,8.981
131,9.042
132,9.102
133,9.162
134,9.23
135,9.278
136,9.341
137,9.38
138,9.426
139,9.473
140,9.519
141,9.562
142,9.61
143,9.647
144,9.686
145,9.725
146,9.764
147,9.806
148,9.833
149,9.876
150,9.918
151,9.958
152,9.989
153,10.022
154,10.047
155,10.082
156,10.128
157,10.155
158,10.186
159,10.213
160,10.245
161,10.279
162,10.312
163,10.34
164,10.375
165,10.408
166,10.427
167,10.459
168,10.483
169,10.507
170,10.539
171,10.561
172,10.591
173,10.614
174,10.638
175,10.666
176,10.693
177,10.708
178,10.731
179,10.757
180,10.781
181,10.801
182,10.833
183,10.864
184,10.882
185,10.907
186,10.92
187,10.936
188,10.954
189,10.977
190,10.997
191,11.02
192,11.051
193,11.077
194,11.087
195,11.111
196,11.128
197,11.153
198,11.171
199,11.187
200,11.204
201,11.225
202,11.249
203,11.273
204,11.289
205,11.3
206,11.316
207,11.33
208,11.354
209,11.372
210,11.392
211,11.415
212,11.427
213,11.436
214,11.451
215,11.467
216,11.483
217,11.499
218,11.513
219,11.532
220,11.549
221,11.568
222,11.58
223,11.592
224,11.601
225,11.615
226,11.628
227,11.646
228,11.652
229,11.663
230,11.681
231,11.691
232,11.704
233,11.714
234,11.724
235,11.735
236,11.745
237,11.759
238,11.767
239,11.777
240,11.79
241,11.804
242,11.814
243,11.821
244,11.831
245,11.839
246,11.848
247,11.853
248,11.859
249,11.869
250,11.875
251,11.884
252,11.894
253,11.904
254,11.91
255,11.921
256,11.933
257,11.944
258,11.95
259,11.956
260,11.961
261,11.965
262,11.971
263,11.979
264,11.992
265,11.995
266,12.0
267,12.012
268,12.019
269,12.024
270,12.032
271,12.038
272,12.042
273,12.051
274,12.058
275,12.066
276,12.068
277,12.08
278,12.084
279,12.088
280,12.089
281,12.095
282,12.101
283,12.109
284,12.118
285,12.123
286,12.129
287,12.133
288,12.134
289,12.138
290,12.141
291,12.144
292,12.146
293,12.152
294,12.16
295,12.165
296,12.167
297,12.17
298,12.174
299,12.176
300,12.181
301,12.183
302,12.187
303,12.194
304,12.2
305,12.202
306,12.207
307,12.207
308,12.211
309,12.212
310,12.215
311,12.217
312,12.218
313,12.218
314,12.223
315,12.227
316,12.23
317,12.233
318,12.233
319,12.236
320,12.239
321,12.242
322,12.246
323,12.25
324,12.253
325,12.255
326,12.255
327,12.255
328,12.256
329,12.258
330,12.259
331,12.26
332,12.26
333,12.262
334,12.263
335,12.263
336,12.264
337,12.265
338,12.266
339,12.267
340,12.268
341,12.269
342,12.269
343,12.269
344,12.269
345,12.269
346,12.271
347,12.272
348,12.272
349,12.272
350,12.272
351,12.274
352,12.274
353,12.274
354,12.274
355,12.274
356,12.274
357,12.276
358,12.276
359,12.276
360,12.276
361,12.276
362,12.277
363,12.277
364,12.278
365,12.278
366,12.278
367,12.278
368,12.278
369,12.278
370,12.278
371,12.278
372,12.278
373,12.279
374,12.279
375,12.279
376,12.279
377,12.279
378,12.279
379,12.279
380,12.279
381,12.279
382,12.279
383,12.279
384,12.28
385,12.281
386,12.281
387,12.281
388,12.281
389,12.281
390,12.281
391,12.281
392,12.282
393,12.282
394,12.282
395,12.282
396,12.282
397,12.282
398,12.282
399,12.282
400,12.282
401,12.282
402,12.282
403,12.282
404,12.282
405,12.282
406,12.282
407,12.282
408,12.282
409,12.282
410,12.282
411,12.282
412,12.282
413,12.282
