elevation,area
741,0.002
742,0.003
743,0.019
744,0.059
745,0.161
746,0.286
747,0.486
748,0.725
749,1.025
750,1.358
751,1.709
752,2.088
753,2.504
754,2.943
755,3.396
756,3.848
757,4.357
758,4.867
759,5.398
760,5.901
761,6.456
762,6.986
763,7.471
764,7.944
765,8.442
766,8.935
767,9.415
768,9.86
769,10.29
770,10.75
771,11.17
772,11.627
773,12.057
774,12.472
775,12.876
776,13.248
777,13.644
778,14.029
779,14.403
780,14.759
781,15.137
782,15.528
783,15.881
784,16.222
785,16.561
786,16.936
787,17.241
788,17.576
789,17.893
790,18.177
791,18.486
792,18.737
793,19.019
794,19.255
795,19.465
796,19.708
797,19.913
798,20.104
799,20.276
800,20.444
801,20.601
802,20.76
803,20.914
804,21.025
805,21.138
806,21.234
807,21.336
808,21.421
809,21.495
810,21.553
811,21.609
812,21.665
813,21.712
814,21.762
815,21.799
816,21.841
817,21.87
818,21.91
819,21.948
820,21.978
821,22.003
822,22.022
823,22.045
824,22.061
825,22.076
826,22.088
827,22.106
828,22.115
829,22.12
830,22.132
831,22.138
832,22.147
833,22.154
834,22.161
835,22.166
836,22.169
837,22.175
838,22.178
839,22.182
840,22.188
841,22.191
842,22.194
843,22.199
844,22.2
845,22.201
846,22.206
847,22.206
848,22.209
849,22.21
850,22.214
851,22.214
852,22.217
853,22.218
854,22.218
855,22.221
856,22.222
857,22.223
858,22.225
859,22.226
860,22.229
861,22.23
862,22.231
863,22.233
864,22.234
865,22.235
866,22.237
867,22.239
868,22.24
869,22.24
870,22.241
871,22.243
872,22.244
873,22.244
874,22.245
875,22.246
876,22.25
877,22.25
878,22.251
879,22.252
880,22.254
881,22.256
882,22.256
883,22.257
884,22.258
885,22.259
886,22.26
