elevation,area
49,0.004
50,0.014
51,0.019
52,0.027
53,0.044
54,0.061
55,0.084
56,0.118
57,0.152
58,0.182
59,0.233
60,0.274
61,0.323
62,0.366
63,0.423
64,0.462
65,0.508
66,0.565
67,0.614
68,0.657
69,0.714
70,0.778
71,0.818
72,0.873
73,0.926
74,0.972
75,1.025
76,1.083
77,1.146
78,1.207
79,1.287
80,1.353
81,1.425
82,1.51
83,1.612
84,1.72
85,1.88
86,6.41
87,6.99
88,7.303
89,7.697
90,8.164
91,8.721
92,9.379
93,10.099
94,10.838
95,11.661
96,12.412
97,13.142
98,13.93
99,14.688
100,15.406
101,16.134
102,16.857
103,17.513
104,18.152
105,18.758
106,19.394
107,20.007
108,20.555
109,21.137
110,21.646
111,22.157
112,22.646
113,23.091
114,23.552
115,24.009
116,24.462
117,24.932
118,25.369
119,25.793
120,26.21
121,26.645
122,27.021
123,27.394
124,27.75
125,28.083
126,28.433
127,28.769
128,29.088
129,29.42
130,29.703
131,30.012
132,30.292
133,30.593
134,30.859
135,31.132
136,31.379
137,31.626
138,31.875
139,32.107
140,32.347
141,32.561
142,32.758
143,33.019
144,33.239
145,33.45
146,33.642
147,33.834
148,34.034
149,34.228
150,34.409
151,34.568
152,34.749
153,34.902
154,35.076
155,35.229
156,35.368
157,35.517
158,35.676
159,35.816
160,35.945
161,36.056
162,36.174
163,36.296
164,36.424
165,36.532
166,36.636
167,36.744
168,36.851
169,36.95
170,37.058
171,37.152
172,37.25
173,37.344
174,37.436
175,37.517
176,37.593
177,37.657
178,37.718
179,37.785
180,37.874
181,37.934
182,38.012
183,38.076
184,38.132
185,38.205
186,38.277
187,38.342
188,38.398
189,38.461
190,38.499
191,38.545
192,38.582
193,38.635
194,38.673
195,38.735
196,38.784
197,38.829
198,38.871
199,38.914
200,38.957
201,39.002
202,39.05
203,39.087
204,39.123
205,39.16
206,39.189
207,39.232
208,39.27
209,39.31
210,39.343
211,39.376
212,39.416
213,39.443
214,39.477
215,39.504
216,39.537
217,39.567
218,39.598
219,39.632
220,39.656
221,39.679
222,39.712
223,39.741
224,39.771
225,39.801
226,39.823
227,39.852
228,39.885
229,39.91
230,39.931
231,39.962
232,39.986
233,40.006
234,40.028
235,40.055
236,40.081
237,40.108
238,40.127
239,40.153
240,40.174
241,40.197
242,40.219
243,40.243
244,40.267
245,40.292
246,40.308
247,40.324
248,40.337
249,40.357
250,40.379
251,40.401
252,40.415
253,40.431
254,40.452
255,40.47
256,40.487
257,40.496
258,40.513
259,40.53
260,40.547
261,40.557
262,40.572
263,40.592
264,40.606
265,40.622
266,40.638
267,40.645
268,40.659
269,40.677
270,40.688
271,40.701
272,40.722
273,40.73
274,40.745
275,40.759
276,40.775
277,40.78
278,40.79
279,40.805
280,40.816
281,40.824
282,40.834
283,40.85
284,40.863
285,40.869
286,40.884
287,40.9
288,40.907
289,40.917
290,40.929
291,40.937
292,40.943
293,40.95
294,40.956
295,40.965
296,40.974
297,40.982
298,40.993
299,41.003
300,41.01
301,41.02
302,41.029
303,41.037
304,41.045
305,41.051
306,41.057
307,41.065
308,41.068
309,41.077
310,41.085
311,41.094
312,41.1
313,41.108
314,41.112
315,41.117
316,41.122
317,41.125
318,41.127
319,41.13
320,41.135
321,41.14
322,41.143
323,41.146
324,41.148
325,41.151
326,41.153
327,41.153
328,41.158
329,41.16
330,41.165
331,41.167
332,41.169
333,41.172
334,41.174
335,41.176
336,41.18
337,41.182
338,41.183
339,41.187
340,41.191
341,41.193
342,41.193
343,41.197
344,41.198
345,41.199
346,41.199
347,41.203
348,41.204
349,41.205
350,41.206
351,41.207
352,41.207
353,41.208
354,41.208
355,41.209
356,41.211
357,41.211
358,41.211
359,41.212
360,41.212
361,41.213
362,41.213
363,41.213
364,41.213
365,41.214
366,41.214
367,41.214
368,41.214
369,41.215
370,41.215
371,41.215
372,41.216
373,41.217
374,41.219
375,41.219
376,41.219
377,41.219
378,41.219
379,41.219
380,41.219
381,41.219
382,41.22
383,41.22
384,41.22
385,41.22
386,41.22
387,41.22
388,41.22
389,41.221
390,41.221
391,41.221
392,41.221
393,41.221
394,41.222
395,41.222
396,41.222
397,41.222
398,41.223
399,41.223
400,41.225
401,41.225
402,41.225
403,41.225
404,41.225
405,41.227
406,41.227
407,41.227
408,41.227
409,41.227
410,41.227
411,41.227
412,41.227
413,41.227
414,41.227
415,41.227
416,41.227
417,41.227
418,41.227
419,41.227
420,41.227
421,41.227
422,41.227
423,41.228
424,41.228
425,41.228
426,41.228
427,41.228
428,41.228
429,41.228
430,41.228
431,41.228
432,41.228
433,41.228
434,41.228
435,41.228
436,41.228
437,41.228
438,41.228
439,41.228
440,41.229
441,41.229
442,41.229
443,41.23
444,41.23
445,41.23
446,41.231
447,41.231
448,41.231
449,41.231
450,41.231
451,41.231
452,41.231
453,41.231
454,41.231
455,41.233
456,41.233
457,41.233
458,41.233
459,41.233
460,41.233
461,41.233
462,41.233
463,41.235
464,41.235
465,41.235
466,41.235
467,41.237
468,41.237
469,41.238
470,41.239
