elevation,area
10,0.001
11,0.002
12,0.006
13,0.016
14,0.026
15,0.037
16,0.04
17,0.05
18,0.056
19,0.065
20,0.076
21,0.084
22,0.094
23,0.102
24,0.111
25,0.115
26,0.126
27,0.142
28,0.161
29,0.209
30,0.277
31,3.835
32,4.332
33,4.609
34,4.923
35,5.315
36,5.738
37,6.222
38,6.65
39,7.087
40,7.484
41,7.853
42,8.151
43,8.509
44,8.838
45,9.174
46,9.512
47,9.828
48,10.173
49,10.484
50,10.783
51,11.064
52,11.328
53,11.635
54,11.939
55,12.246
56,12.505
57,12.767
58,13.039
59,13.314
60,13.587
61,13.812
62,14.076
63,14.276
64,14.482
65,14.696
66,14.894
67,15.107
68,15.276
69,15.465
70,15.644
71,15.811
72,15.983
73,16.159
74,16.303
75,16.42
76,16.572
77,16.686
78,16.845
79,16.94
80,17.047
81,17.154
82,17.268
83,17.369
84,17.455
85,17.557
86,17.632
87,17.723
88,17.797
89,17.875
90,17.944
91,18.015
92,18.083
93,18.155
94,18.214
95,18.269
96,18.33
97,18.4
98,18.455
99,18.529
100,18.594
101,18.658
102,18.716
103,18.794
104,18.838
105,18.899
106,18.939
107,18.982
108,19.024
109,19.065
110,19.11
111,19.142
112,19.166
113,19.202
114,19.229
115,19.264
116,19.294
117,19.333
118,19.36
119,19.389
120,19.415
121,19.441
122,19.466
123,19.488
124,19.504
125,19.521
126,19.535
127,19.543
128,19.547
129,19.554
130,19.558
131,19.563
132,19.565
133,19.571
134,19.575
135,19.581
136,19.584
137,19.588
138,19.594
139,19.597
140,19.601
141,19.604
142,19.607
143,19.608
144,19.613
145,19.615
146,19.617
147,19.617
148,19.619
149,19.619
150,19.621
151,19.622
152,19.625
153,19.629
154,19.632
155,19.634
156,19.635
157,19.636
158,19.638
159,19.638
160,19.64
161,19.642
162,19.644
163,19.647
164,19.648
165,19.649
166,19.651
167,19.656
168,19.66
169,19.662
170,19.663
171,19.664
172,19.664
173,19.664
174,19.666
175,19.668
176,19.669
177,19.669
178,19.67
179,19.67
180,19.671
