elevation,area
66,0.001
67,0.003
68,0.004
69,0.009
70,0.011
71,0.017
72,0.028
73,0.035
74,0.04
75,0.05
76,0.054
77,0.059
78,0.065
79,0.073
80,0.082
81,0.083
82,0.089
83,0.1
84,0.108
85,0.117
86,0.12
87,0.127
88,0.131
89,0.141
90,0.149
91,0.159
92,0.169
93,0.176
94,0.186
95,0.194
96,0.207
97,0.219
98,0.227
99,0.237
100,0.248
101,0.255
102,0.272
103,0.285
104,0.316
105,0.339
106,0.356
107,0.4
108,16.087
109,16.346
110,16.456
111,16.581
112,16.749
113,16.972
114,17.209
115,17.491
116,17.825
117,18.177
118,18.575
119,18.957
120,19.361
121,19.771
122,20.215
123,20.66
124,21.064
125,21.485
126,21.926
127,22.338
128,22.746
129,23.149
130,23.504
131,23.885
132,24.264
133,24.638
134,24.966
135,25.308
136,25.648
137,25.964
138,26.262
139,26.596
140,26.915
141,27.248
142,27.566
143,27.875
144,28.23
145,28.531
146,28.864
147,29.188
148,29.512
149,29.815
150,30.132
151,30.421
152,30.73
153,31.048
154,31.335
155,31.609
156,31.874
157,32.131
158,32.389
159,32.656
160,32.911
161,33.159
162,33.423
163,33.707
164,33.948
165,34.207
166,34.466
167,34.723
168,34.969
169,35.199
170,35.458
171,35.697
172,35.93
173,36.162
174,36.413
175,36.648
176,36.875
177,37.099
178,37.312
179,37.519
180,37.712
181,37.924
182,38.125
183,38.321
184,38.513
185,38.695
186,38.877
187,39.061
188,39.24
189,39.399
190,39.572
191,39.749
192,39.904
193,40.077
194,40.241
195,40.388
196,40.541
197,40.697
198,40.853
199,41.001
200,41.15
201,41.267
202,41.404
203,41.542
204,41.675
205,41.812
206,41.942
207,42.051
208,42.163
209,42.269
210,42.371
211,42.484
212,42.61
213,42.732
214,42.836
215,42.938
216,43.052
217,43.16
218,43.281
219,43.38
220,43.472
221,43.568
222,43.662
223,43.771
224,43.863
225,43.973
226,44.06
227,44.158
228,44.25
229,44.349
230,44.436
231,44.523
232,44.613
233,44.678
234,44.777
235,44.86
236,44.939
237,45.009
238,45.119
239,45.205
240,45.29
241,45.384
242,45.459
243,45.544
244,45.62
245,45.702
246,45.762
247,45.839
248,45.916
249,45.991
250,46.049
251,46.121
252,46.193
253,46.248
254,46.311
255,46.373
256,46.437
257,46.508
258,46.559
259,46.616
260,46.671
261,46.729
262,46.783
263,46.852
264,46.899
265,46.949
266,47.004
267,47.04
268,47.094
269,47.154
270,47.201
271,47.252
272,47.308
273,47.365
274,47.424
275,47.466
276,47.515
277,47.574
278,47.619
279,47.688
280,47.742
281,47.802
282,47.862
283,47.911
284,47.944
285,47.992
286,48.038
287,48.093
288,48.142
289,48.182
290,48.231
291,48.287
292,48.338
293,48.391
294,48.436
295,48.473
296,48.525
297,48.57
298,48.621
299,48.657
300,48.698
301,48.748
302,48.778
303,48.818
304,48.86
305,48.905
306,48.953
307,49.003
308,49.04
309,49.087
310,49.124
311,49.182
312,49.225
313,49.261
314,49.287
315,49.33
316,49.369
317,49.411
318,49.445
319,49.485
320,49.523
321,49.562
322,49.592
323,49.625
324,49.659
325,49.698
326,49.725
327,49.753
328,49.789
329,49.812
330,49.843
331,49.867
332,49.893
333,49.916
334,49.94
335,49.953
336,49.973
337,49.992
338,50.006
339,50.033
340,50.056
341,50.07
342,50.089
343,50.101
344,50.12
345,50.144
346,50.166
347,50.188
348,50.205
349,50.218
350,50.232
351,50.254
352,50.266
353,50.283
354,50.293
355,50.306
356,50.318
357,50.325
358,50.338
359,50.349
360,50.36
361,50.375
362,50.383
363,50.388
364,50.398
365,50.408
366,50.414
367,50.425
368,50.431
369,50.439
370,50.446
371,50.453
372,50.46
373,50.467
374,50.473
375,50.476
376,50.482
377,50.483
378,50.497
379,50.504
380,50.508
381,50.511
382,50.512
383,50.516
384,50.521
385,50.526
386,50.529
387,50.534
388,50.537
389,50.54
390,50.543
391,50.546
392,50.549
393,50.55
394,50.551
395,50.555
396,50.559
397,50.562
398,50.563
399,50.564
400,50.568
401,50.57
402,50.57
403,50.573
404,50.573
405,50.574
406,50.575
407,50.577
408,50.577
409,50.579
410,50.58
