date,dS (m3)
2017-07-29,
2017-08-02,-665252.0151866
2017-08-14,217275.9637847
2017-08-17,264679.809147
2017-08-30,172997.8297006
2017-09-06,144422.1583827
2017-09-11,168174.9017831
2017-09-15,910930.9157555
2017-09-26,1255837.8394310002
2017-10-01,1629596.3037842
2017-10-16,-1303838.4125652
2017-10-17,2613998.3020827
2017-10-21,-2291133.1607542
2017-11-02,2032482.6954257
2017-11-05,-149047.0282878
2017-11-10,1029377.5011398
2017-11-18,434694.2766922
2017-11-25,615793.6645114999
2017-11-30,-2156482.4866413
2017-12-04,-2727268.8512992
2017-12-05,5774223.4896761
2017-12-15,-1215947.1051472998
2017-12-20,2486670.1616822
2017-12-25,165150.4890344
2018-01-04,1794771.1961636
2018-01-05,972223.1206667
2018-01-14,1402126.9599629
2018-01-21,192823.5193863
2018-01-24,-110740.706556
2018-01-29,-1327933.9456861
2018-02-03,4141015.7544788
2018-02-06,-1886430.6190829
2018-02-08,2271867.492047
2018-02-13,-947127.1885936
2018-02-18,436443.1495053
2018-02-22,1094118.420196
2018-02-23,-879972.8827361
2018-02-28,72646.53682313599
2018-03-05,-964155.593635
2018-03-10,-1661460.6011692
2018-03-15,-917994.9875812
2018-03-20,-1032946.7708333
2018-03-25,-1014409.7291666
2018-03-26,-568310.9374125
2018-03-30,-1411660.285629
2018-04-04,-349971.3902127
2018-04-09,-2285557.990656
2018-04-11,-3198218.1029676
2018-04-14,-1603352.9886581
2018-04-19,-1102871.2285219
2018-04-24,-283471.8355891
2018-04-27,-127469.86502759998
2018-04-29,-116870.1419758
2018-05-09,-117411.4302256
2018-05-13,-112552.3581341
2018-05-14,-109911.8694562
2018-05-19,-105943.8055945
2018-05-24,-102210.0552727
2018-05-29,-97931.08885266572
2018-06-03,-93354.91692877866
2018-06-08,42095.71492938698
2018-06-13,98750.23722836057
2018-06-14,71780.99541243764
2018-06-18,91410.18584356197
2018-06-23,84826.37258107537
2018-06-28,92404.63226396136
2018-06-30,92040.3601255208
2018-07-03,95790.41775234956
2018-07-08,97159.36423530772
2018-07-13,99656.78390851464
2018-07-18,101420.4296607
2018-07-23,108794.9979376
2018-07-28,765583.4958318999
2018-08-01,778802.6631720001
2018-08-02,825540.0241519001
2018-08-07,1098251.1040367
2018-08-12,1542887.7466858
2018-08-17,1495241.0992267
2018-08-22,1318078.0634538
2018-08-27,1338046.9850522
2018-09-01,4136108.9922398
2018-09-02,1780890.2076544
2018-09-06,-17269.55618862433
2018-09-11,1030843.2337431
2018-09-21,-537083.2360927
2018-09-26,-545533.0473246
2018-10-01,111282.0684042
2018-10-04,111528.6156346
2018-10-06,111775.1628667
2018-10-11,65493.03653447757
2018-10-16,88787.9694856525
2018-10-20,182523.7659669
2018-10-21,30635.743846174144
2018-10-26,-8105.191963092523
2018-10-31,-103761.4209747
2018-11-05,-315521.6499936
2018-11-10,50367.04507511933
2018-11-15,-132007.6806097
2018-11-20,-213900.71817
2018-11-21,-98128.43773653291
2018-11-25,-56889.33413134183
2018-11-30,-138789.5275193
2018-12-07,-97550.42391416756
2018-12-10,-56604.01156401879
2018-12-15,465032.0734534
2018-12-20,-11122.967637525007
2018-12-23,422907.4138917
2018-12-25,207150.867263
2018-12-30,207989.9633551
2019-01-04,122335.3139267
2019-01-08,165686.3692587
2019-01-09,340982.7834271
2019-01-14,57598.56323559243
2019-01-19,365933.2282955
2019-01-24,46656.35740382488
2019-01-29,208431.0029224
2019-02-03,-70429.34862673837
2019-02-08,-421154.1626427
2019-02-09,48715.61572695542
2019-02-13,-346310.2945066
2019-02-18,-148171.8552978
2019-02-23,-85358.79136461603
2019-02-25,-3371761.755819
2019-02-28,943629.9396217
2019-03-05,-5689884.7497024005
2019-03-10,2209234.0328149
2019-03-13,-2667360.7712274003
2019-03-15,-394820.9728056
2019-03-20,-1408938.7638696998
2019-03-25,-1858901.682618
2019-03-29,-1350630.9594426
2019-03-30,-893794.4923513
2019-04-04,-495290.2757041
2019-04-09,-674962.5838122
2019-04-14,-491252.603526
2019-04-19,-84011.23912829667
2019-04-24,-79954.5210457688
2019-04-29,-80073.48828008716
2019-04-30,-57649.157102810925
2019-05-04,-47730.30375404552
2019-05-09,-51678.60831364381
2019-05-14,-48905.17797267856
2019-05-16,-49356.642813562416
2019-05-19,-45904.298794252696
2019-05-24,-134949.6485519
2019-05-29,149868.8988311
2019-06-01,0.0
2019-06-03,-149868.8988311
2019-06-08,322116.0228774
2019-06-13,2199.282178762243
2019-06-17,2201.475762835832
2019-06-18,54443.67531100853
2019-06-23,55752.46053076743
2019-06-28,-161010.20788149998
2019-07-03,165049.9042102
2019-07-08,-13345.51406564305
2019-07-13,80638.62066360957
2019-07-18,28831.173890078448
2019-07-19,54769.67360706713
2019-07-23,39847.49077307038
2019-07-28,46604.768556987896
2019-08-02,208761.2625387
2019-08-04,317774.2345792
2019-08-07,306974.38598270004
2019-08-12,308156.42696260003
2019-08-17,303637.90114860004
2019-08-20,302500.998057
2019-08-22,299988.0111203
2019-08-27,298504.6142586
2019-09-01,296769.409065
2019-09-05,295407.6285846
2019-09-06,524452.2119761
2019-09-11,524857.1095729
2019-09-16,522918.3727682
2019-09-21,521179.9066436
2019-09-26,519583.2361601
2019-10-01,518134.3857935
2019-10-06,440488.3044725
2019-10-07,426779.8619872
2019-10-11,425867.2212991
2019-10-16,425034.978054
2019-10-21,424275.8145928
2019-10-23,423584.1038754
2019-10-26,422954.3573219
2019-10-31,422381.8546811
2019-11-05,419025.2859752
2019-11-08,417880.0347357
2019-11-10,417458.4302213
2019-11-15,62363.12371861927
2019-11-20,-121616.5477083
2019-11-24,-29828.451937285063
2019-11-25,-7248.136192770955
2019-11-30,49657.827757610336
2019-12-05,21170.14351050119
2019-12-10,35428.54817922645
2019-12-15,28287.90848233744
2019-12-20,31859.477581609583
