date,dS (m3)
2017-02-03,
2017-02-19,877228.3610608
2017-02-23,-1157860.582284
2017-03-07,212946.8958783
2017-03-15,-457973.4839753
2017-03-23,865916.8398958
2017-04-04,-800597.1025846
2017-04-08,-89791.66111165262
2017-04-24,-546544.5219897
2017-05-10,-318510.5694329
2017-05-14,-424418.1742923
2017-05-26,-491777.1101437
2017-06-03,-570245.5242889
2017-06-11,-521497.0159479
2017-06-23,-235251.4521984
2017-06-27,-83699.1669201984
2017-07-08,-157808.102106
2017-07-13,342443.7044656
2017-07-28,558195.8291905001
2017-07-29,455750.7085458
2017-08-02,518455.4927276
2017-08-14,1489957.1093195998
2017-08-17,42597.43611975098
2017-08-30,10286265.5812635
2017-09-06,-8952734.718853
2017-09-11,116448437.4011801
2017-09-15,-85913337.48979579
2017-09-26,119031604.5797643
2017-10-01,13977583.3417935
2017-10-16,64107237.7672663
2017-10-17,8021546.4301051
2017-10-21,4192302.4582446
2017-11-02,99654779.4818065
2017-11-05,-42445127.6106719
2017-11-10,29795654.4955365
2017-11-18,-17337474.9436883
2017-11-25,17252587.1698975
2017-12-04,-7642157.624593699
2017-12-05,-2783415.9805226
2017-12-15,-5203966.7295069005
2017-12-20,-3991792.1913585
2017-12-25,-4592667.3486913
2018-01-04,-4288704.6871933
2018-01-05,-4436319.0830884
2018-01-09,-4358562.345023
2018-01-14,-7697590.7549802
2018-01-21,-9137129.5100482
2018-01-24,-8310944.444473301
2018-01-29,-8705783.380176999
2018-02-03,-8820714.900063101
2018-02-06,-5735706.6226691
2018-02-08,-4097880.6029823
2018-02-13,-4910306.5738902
2018-02-18,-4500143.180830199
2018-02-22,-4447596.6815583
2018-02-23,-4233123.4173642
2018-02-28,-15498644.8491705
2018-03-05,-23293926.7103718
2018-03-10,-96648321.3269606
2018-03-15,18086393.4033518
2018-03-20,-40806380.9983554
2018-03-25,-12195800.6099462
2018-03-26,-24708967.609495003
2018-03-30,-7756182.6568167005
2018-04-04,-9237285.3497773
2018-04-09,-8574499.3925121
2018-04-11,252358.8112283
2018-04-14,-599699.4487092
2018-04-24,-744576.102065
2018-04-27,-42674.1337610399
2018-04-29,-384013.9257657
2018-05-04,-213746.8068057
2018-05-09,-294732.486305
