date,dS (m3)
2017-07-21,
2017-07-29,67133.33772393767
2017-08-02,73894.14910431499
2017-08-14,73592.36726940786
2017-08-15,356451.1165612
2017-08-17,364270.5370135
2017-08-30,44959.67619386676
2017-09-06,231616.7071743
2017-09-11,137610.1992482
2017-09-15,196074.1019925
2017-09-19,347078.64774750004
2017-09-24,112781.4744109
2017-09-26,-111813.8914288
2017-10-01,195785.2792413
2017-10-09,-172499.2729188
2017-10-14,83408.01542292105
2017-10-17,-107661.6047274
2017-10-21,56321.75054171676
2017-10-29,-25470.33688700728
2017-11-02,15514.47483613174
2017-11-03,-12373.521525643691
2017-11-05,25420.684931547148
2017-11-08,88108.94494200822
2017-11-18,-116453.503688
2017-11-23,60700.61938656596
2017-11-25,-137380.6148163
2017-11-28,-243151.6839695
2017-11-30,-87170.72661244533
2017-12-04,-157112.88375490002
2017-12-05,325909.8572013
2017-12-08,-81693.16663996002
2017-12-13,246162.8679298
2017-12-18,-34636.53575960075
2017-12-20,99612.168246889
2017-12-25,193994.4777548
2017-12-28,-1413.5026400278723
2018-01-02,604730.8095568999
2018-01-04,2607797.850315
2018-01-05,0.0
2018-01-09,2483898.0852655
2018-01-14,90695.47039988366
2018-01-17,138081.2619202
2018-01-21,1058730.6280433
2018-01-22,-742063.5588111
2018-01-24,-2514425.8976316
2018-01-27,576191.1126971
2018-01-29,-710421.1492296
2018-02-06,-68388.46397244328
2018-02-08,-90908.5890208609
2018-02-11,216563.775891
2018-02-13,62714.53849841159
2018-02-16,139853.0147666
2018-02-18,101314.1938933
2018-02-21,120700.6695436
2018-02-22,111079.7799322
2018-02-23,115984.4500314
2018-02-28,-569631.2579177
2018-03-03,-907929.3689052
2018-03-05,-736282.7014493999
2018-03-08,-816882.3371419
2018-03-10,-1232815.8049923
2018-03-13,-9173.079503351051
2018-03-15,-120704.8186131
2018-03-18,6206.727057662335
2018-03-20,-56180.95018938527
2018-03-23,-63936.18782717114
2018-03-25,-113872.7489462
2018-03-26,98386.30005268668
2018-03-28,-26649.75632240329
2018-03-30,-15729.038457610175
2018-04-02,-28060.238083535743
2018-04-04,-17074.654899873585
2018-04-07,-17005.51896731308
2018-04-09,-16936.383034808976
2018-04-11,-16867.247102192072
2018-04-12,-47241.78324529705
2018-04-14,-46690.84878103135
2018-04-17,-46139.91431665549
2018-04-19,-45588.97985233473
2018-04-22,-108291.0426271
2018-04-24,18765.886315351847
