date,dS (m3)
2017-07-11,
2017-07-13,143940.763274
2017-07-16,-3174190.1880528
2017-07-20,3174190.1880528
2017-07-21,16614354.373417
2017-07-29,-160737.4950303
2017-07-31,-160325.2485088
2017-08-05,-100160.65835
2017-08-14,-129979.2108018
2017-08-15,-114938.0913757
2017-08-20,-54211.29011145639
2017-08-21,-36167.2503547742
2017-08-30,-25571.407151561463
2017-09-06,-51668.652490466426
2017-09-09,-38583.499006219885
2017-09-14,-24293.59068422505
2017-09-15,-52800.34569736556
2017-09-19,-38510.43737600071
2017-09-22,-118678.6878723
2017-09-24,-29392.25972861278
2017-10-01,-207269.4500133
2017-10-04,2811.947438482276
2017-10-08,2812.078894163993
2017-10-09,2812.2103504710426
2017-10-14,2812.3308698079086
2017-10-17,2812.473262573923
2017-10-19,2812.604718880972
2017-10-24,1777.6079865247534
2017-10-29,2295.188422436316
2017-11-02,2036.441393361003
2017-11-03,5142.495636897824
2017-11-08,613.015439945529
2017-11-09,5013.629076759723
2017-11-13,-4161479.8145025
2017-11-18,4167098.7523584
2017-11-23,-2151231.5269029
2017-11-25,332759.7568676
2017-11-28,-2779407.4576273
2017-12-03,4486472.9407468
2017-12-04,-2344935.4462353
2017-12-08,1105096.1658131
2017-12-11,1157886.0973597
2017-12-13,-3367064.5957118003
2017-12-18,1605379.0397445
2017-12-20,-835787.6716801
2017-12-23,388948.9849937
2017-12-27,2071880.188741
2017-12-28,-1095443.2945602
2018-01-02,506921.8678067
2018-01-05,-2115101.8182448
2018-01-12,2777575.8076541
2018-01-17,157104.57256509998
2018-01-21,100083.9559233
2018-01-22,-155624.0578622
2018-01-27,-750112.9919977
2018-01-28,-121112.5124254
2018-02-06,-120860.8971173
2018-02-11,-72343.19944395278
2018-02-13,-93206.01312949628
2018-02-16,-82640.5578249623
2018-02-21,-87808.58543896474
2018-02-22,-85128.41189789308
2018-02-26,-86362.86774986656
2018-03-01,-29583.67600550216
2018-03-03,-1959.3284099958664
2018-03-08,-15764.87815374494
2018-03-10,-8862.37301757912
2018-03-13,-12310.769274619064
2018-03-17,-95898.62089567188
2018-03-18,31215.99043357468
2018-03-23,-2545828.2057408
2018-03-26,723098.3850344999
2018-03-28,-694436.9685305001
2018-04-02,2492954.7775639
2018-04-07,-1758745.6855932
2018-04-11,2428432.362393
2018-04-12,-4906041.8291519
2018-04-17,4869102.3940674
2018-04-18,-2512880.1694249003
2018-04-22,2476315.7626453
2018-04-27,-1272610.8643935
2018-05-02,612268.2284128
2018-05-04,-2354115.2665618
2018-05-07,1144137.3520816
2018-05-12,-928156.4198781
2018-05-13,2688930.1906781
2018-05-17,-18236.440677928786
2018-05-20,-390607.627119
2018-05-22,-3231760.6144063
2018-05-29,3585913.6652542
2018-06-01,214520.1483049
2018-06-05,226444.0150201
2018-06-06,228240.2460238
2018-06-11,229129.5551689
2018-06-14,230018.8643141
2018-06-16,147164.7780588
2018-06-21,189162.6572954
2018-06-26,359065.01245870005
2018-06-30,233576.1008946
2018-07-01,148874.6128153
2018-07-06,191795.4932071
2018-07-07,170625.11600819998
2018-07-11,181636.0412783
2018-07-16,176486.1567357
2018-07-21,179449.98045170002
2018-07-23,249688.1283236
2018-07-26,161935.52626800002
2018-07-31,80753.59272261657
2018-08-01,121586.0200201
2018-08-05,101254.8009704
2018-08-08,111580.9024076
2018-08-10,106539.6626056
2018-08-15,109200.9322547
2018-08-17,108001.1653968
2018-08-20,108736.4752691
2018-08-24,108501.6377663
2018-08-25,108752.834583
2018-08-30,108760.2089781
2018-09-02,108889.5779347
2018-09-04,108957.5877713
2018-09-09,-59246.329499463005
2018-09-14,-143559.73359790002
2018-09-18,363793.6873598
2018-09-19,-114678.6083498
2018-09-24,-126036.9383693
2018-09-25,-125800.7355867
2018-09-29,-78104.95148638725
2018-10-04,-172787.91133650002
2018-10-09,-125092.1272368
2018-10-11,-124855.9244528
2018-10-14,-124619.7216702
2018-10-19,-124383.5188869
2018-10-20,-124147.3161029
2018-10-24,-77302.657878771
2018-10-27,-26061.343683085848
2018-10-29,22761.042915732687
2018-11-03,-1651.7865000038626
2018-11-05,125596.225873
2018-11-08,8671.761869356118
2018-11-12,5431.166386716703
2018-11-18,11915.804857088267
2018-11-21,3810.801801911967
2018-11-23,13540.781298504524
2018-11-28,8677.515297886754
2018-12-03,5433.955989975475
2018-12-07,11924.544892867334
2018-12-08,-31700.885003024014
2018-12-13,-31685.50028854056
2018-12-14,-19808.8049446862
2018-12-18,-43516.05286451003
2018-12-23,-31639.34613955973
2018-12-28,-19786.441544078967
2018-12-30,-43446.09659094017
2019-01-02,-31593.19199610936
2019-01-07,-31577.818630190388
2019-01-08,-19756.64331425709
2019-01-12,-43352.81709383467
2019-01-15,-305392.54473150003
2019-01-17,-303943.2405565
2019-01-22,-188227.1259601
2019-01-24,-27128.732065197488
2019-01-27,26967.070749182963
2019-01-31,-358396.81908600003
2019-02-01,-221773.6754937
2019-02-06,-288775.93696160003
2019-02-09,-254625.6628099
2019-02-11,-270722.9052233
2019-02-16,-1552578.0414208
2019-02-21,741693.9620735
2019-02-25,-247203.510497
2019-02-26,48424.809956903
2019-03-03,-99104.7200243031
2019-03-04,-869182.1291638
2019-03-08,-1132441.779661
2019-03-13,495822.7511518
2019-03-18,-315101.0109061
2019-03-20,1467980.6326358002
2019-03-23,-807573.4885875001
2019-03-28,332823.8697654
2019-03-29,-235588.1592132
2019-04-02,-1412420.5270492
2019-04-05,2573062.9574328
2019-04-07,-3146377.4661433
2019-04-12,1477454.4373673
2019-04-14,-810052.2493961001
2019-04-17,333644.0049667
2019-04-21,1803338.9165587
2019-04-22,-68698.43868329382
2019-04-27,-2406381.2470847
2019-04-30,1114892.6129334
2019-05-02,-299668.799374
2019-05-07,75685.36712255105
2019-05-12,1173280.2243448
2019-05-16,-2298396.0999421
2019-05-17,2162126.1688222
2019-05-22,-68004.93947384648
2019-05-23,-43161.20495816367
2019-05-27,-55527.37064028871
2019-06-01,-5232.717309462513
2019-06-06,-17992.372881319116
2019-06-08,-17986.271186403872
2019-06-11,-11454.612796609785
2019-06-16,-14716.516941309445
2019-06-17,197287.0619415
2019-06-21,0.0
2019-06-24,0.0
2019-06-26,-17941657.946287
2019-07-01,60259.05792708146
2019-07-03,60582.13820957037
2019-07-06,60553.07216788845
2019-07-11,60700.38674528469
2019-07-16,60758.85712836636
2019-07-19,60861.59403201712
2019-07-21,75509.7951794213
2019-07-26,82978.25823818686
2019-07-31,79454.07350403079
2019-08-04,81451.65099246328
2019-08-05,80674.48099100005
2019-08-10,81290.53239268552
2019-08-15,81205.97187093947
2019-08-20,81472.65583745447
2019-08-25,81562.19759452115
2019-08-30,81900.6278616558
2019-09-04,82053.93409753237
2019-09-09,82209.00180924422
2019-09-14,82352.3395932456
2019-09-19,82500.89123115336
2019-09-21,-7971.825995676179
2019-09-24,-53470.33964680884
2019-09-29,-30718.07195995948
2019-10-04,-42022.1322057459
2019-10-07,-36334.30833886601
2019-10-09,-39124.65118142456
2019-10-14,-37684.80734555742
2019-10-19,-38355.53597966197
2019-10-23,-37973.14449105211
2019-10-24,-38116.127016744285
2019-10-29,-37996.911363696
2019-11-03,-37929.21538780274
2019-11-08,38156.188360698456
2019-11-13,-76025.04073402482
2019-11-18,-18987.287395234147
2019-11-23,-47769.87605780595
2019-11-24,-33739.67034743176
2019-11-28,-40689.37997540432
2019-12-03,-37172.26346941336
2019-12-08,-38877.07437826732
