date,dS (m3)
2017-07-29,
2017-08-02,10919059.3230777
2017-08-14,-10919059.3230777
2017-08-17,44999204.7734424
2017-08-30,-44999204.7734424
2017-09-06,29562349.1713928
2017-09-11,-8152526.138684699
2017-09-15,13244430.5060594
2017-09-26,2444884.326531
2017-10-01,7532044.8747617
2017-10-16,4715934.5146931
2017-10-17,1761431.1963052
2017-10-21,-1064932.1139285
2017-11-02,348419.0871263
2017-11-05,-357806.8347095
2017-11-18,-4759.974734556864
2017-11-25,-181185.1852932
2017-11-30,-49448038.239847004
2017-12-04,3517531.8566979
2017-12-05,-5999795.1198755
2017-12-15,5739895.1916409
2017-12-20,-2119153.5935027
2017-12-25,25076280.8327309
2018-01-04,4014191.0264896
2018-01-05,3097531.0011256
2018-01-09,-33254519.8606844
2018-01-14,15206371.3252951
2018-01-21,-11521376.1370061
2018-01-24,-238940.3669665
2018-01-29,-1665425.5485784
2018-02-03,-952639.8692244
2018-02-06,-109497.3525978
2018-02-08,19465452.2462211
2018-02-13,-4366813.6525425
2018-02-18,3316747.1562673
2018-02-22,-527993.6667332001
2018-02-23,1400852.0406309
2018-02-28,-431335.0660402
2018-03-05,-382843.3322381
2018-03-10,-406821.8514215
2018-03-15,-18526482.9229447
2018-03-20,6667790.9553838
2018-03-25,-3984042.3536685
2018-03-26,1351639.9221023
2018-03-30,-999633.2863719
2018-04-04,-4889534.9570512
2018-04-09,-310266.56252010004
2018-04-11,-4941858.663926699
2018-04-14,-2634481.6723789
2018-04-24,7858018.012106401
2018-04-27,-4900728.9853369
2018-04-29,7905378.5019381
2018-05-04,-4953759.2479563
2018-05-09,1479406.8233628
2018-05-13,-1717002.9770365
2018-05-14,-121996.5909618
2018-05-19,-914770.411216
2018-05-24,-518551.470783
2018-05-29,-714609.1819911
2018-06-03,6019340.6737697
2018-06-08,0.0
2018-06-14,-373609.3359378
2018-06-18,373609.3359378
2018-06-23,0.0
2018-06-28,345344.7656246
2018-06-30,4996537.1699431
2018-07-03,7005907.1989525
2018-07-08,5524683.4997941
2018-07-13,6362660.9088479
2018-07-18,5872525.8619895
2018-07-23,6121143.3540722
2018-07-28,5838433.6320511
2018-08-01,5541579.110120299
2018-08-02,1596654.8815942002
2018-08-07,-407559.7010425
2018-08-12,595779.8551198
2018-08-17,93901.72629046052
2018-08-22,345162.9658985
2018-08-27,219541.3396508
2018-09-01,282505.9151533
2018-09-02,-66810.30774989403
2018-09-06,-210162.0905018
2018-09-11,-4681372.2632405
2018-09-21,-7130723.8343239
2018-09-26,-6398316.3424332
2018-10-01,28593638.3175775
2018-10-04,-16474823.935175
2018-10-06,13263759.3947735
2018-10-11,-1676878.1767094
2018-10-16,5866407.9412944
2018-10-20,2072081.7151963
2018-10-21,3988311.6536648
2018-10-26,-10712.332305742584
2018-10-31,-1071103.6906917
2018-11-05,-541168.353594
2018-11-10,-804835.7986645
2018-11-15,-672530.8104286
2018-11-20,-737808.9021750999
2018-11-21,-704498.196635
2018-11-25,5771988.4838933
2018-11-30,-3979132.3099632994
2018-12-07,894621.7764404999
2018-12-10,-1534553.0042985
2018-12-15,-1350646.3521196
2018-12-20,-2463040.1788747
2018-12-23,-1903754.2826897
2018-12-25,-2201144.660697
2018-12-30,8574589.121653302
2019-01-04,-7484124.7559656
2019-01-08,522579.9415771
2019-01-09,-3481634.1965013
2019-01-14,-1484039.7107889
2019-01-19,-2469371.6604898004
2019-01-24,-1972922.4905503
2019-01-29,-2212662.1800805004
2019-02-03,-307642.91530520003
2019-02-08,514172.204722
2019-02-09,103108.4385011
2019-02-13,308893.4560257
2019-02-18,-29056268.0757351
2019-02-23,15097717.6408518
2019-02-25,-7182403.7001643
2019-02-28,-8280209.419206701
2019-03-05,-17240300.6430754
2019-03-10,4198941.1354789
2019-03-13,-3933849.9478045
2019-03-15,119083.4034336
2019-03-20,-1886463.9455631
2019-03-25,-885785.4777718
2019-03-29,-1378139.1454474
2019-03-30,-1129348.9915773
2019-04-04,-1248503.7521384
2019-04-09,-1184990.6341104
2019-04-14,-1212133.1019931
2019-04-19,-1194256.1650836002
2019-04-24,-1020386.638027
2019-04-29,-81906.79267135588
2019-04-30,-38617.17463292676
2019-05-04,-17130.917996066582
2019-05-09,-27821.51884849975
2019-05-14,-22460.651836352063
2019-05-16,-25107.650546328805
2019-05-19,-23759.75671845076
2019-05-24,-24404.758322400507
2019-05-29,4723.23178643371
2019-06-01,0.0
2019-06-03,-36384.5009780424
2019-06-08,-18202.60301271646
2019-06-13,-27244.10149670398
2019-06-17,-22705.68782950091
2019-06-18,-24941.76597712252
2019-06-23,-23798.39382746854
2019-06-28,40227.368553469125
2019-07-03,58705.12753000173
2019-07-08,58691.91027754034
2019-07-12,58818.6709923938
2019-07-13,58874.66215857368
2019-07-18,58965.896968477406
2019-07-23,59039.05055393105
2019-07-28,459299.2525988
2019-08-02,861551.9303721
2019-08-07,862704.3761251
2019-08-12,863836.9440778
2019-08-13,864974.5774403
2019-08-17,866104.5615202001
2019-08-22,867233.5342882
2019-08-27,868358.0257711001
2019-08-29,869479.8629028001
2019-09-01,870598.3660253
2019-09-06,871713.7910109999
2019-09-11,872825.7552047999
2019-09-14,873934.8234207
2019-09-16,875040.7626479
2019-09-21,876143.4917465
2019-09-26,877243.0846933
2019-09-30,878339.773802
2019-10-01,879433.3027766
2019-10-06,880523.7325318
2019-10-11,1470543.7299179998
2019-10-16,1532000.9310243
2019-10-21,1533878.1983204
2019-10-26,1535749.8770974
2019-10-31,1537616.8978183002
2019-11-01,1539479.0446127
2019-11-05,1541335.5123178
2019-11-10,1543187.5082918
2019-11-15,1545034.2137371
2019-11-17,1546876.2508943002
2019-11-20,1548713.3662345998
2019-11-25,1519349.0656546
2019-11-30,-1477056.7623617
2019-12-03,-3045307.7281886
2019-12-05,-2275427.6651831
2019-12-10,-2649777.3905894
2019-12-15,-2456693.9823548
2019-12-19,-2544963.3050061003
2019-12-20,-2493695.8208501
2019-12-25,-2027068.8967336
2019-12-30,-1437631.8690896
2020-01-04,-1437944.8224694
2020-01-09,-1433389.1371477002
2020-01-14,-1431226.4036026
2020-01-19,-1427857.2225258
2020-01-20,-1425065.2273943
2020-01-24,-358495.5009055
2020-01-29,166005.6272517
2020-02-03,-96184.75434757095
2020-02-05,34914.585763756484
2020-02-08,-30628.42994087237
2020-02-13,2142.161273242625
2020-02-18,-14241.93352846573
2020-02-21,-6049.984023924161
2020-02-23,-10145.585265255328
2020-02-28,-8097.868228996291
2020-03-04,-9121.469979214453
2020-03-08,-8609.544691734276
2020-03-09,-8865.277774162514
2020-03-14,-8737.116355913953
2020-03-19,-8801.131404099404
2020-03-24,-8768.904264520266
2020-03-29,-646602.7368699
2020-04-03,-964451.7071782
2020-04-08,-804739.5864061
2020-04-09,-882490.3499694
2020-04-13,-842171.0850411999
2020-04-18,-860551.3340733
2020-04-23,-849742.9444262
2020-04-25,-725009.3527978
2020-04-28,-58399.03472472541
2020-05-03,-58403.42746518583
2020-05-08,-58285.14010497382
2020-05-11,-58227.48654555861
2020-05-13,-58139.34189506475
2020-05-18,-58066.00546495471
2020-05-23,-57984.98091905315
2020-05-27,-87773.91825723532
2020-05-28,-102353.2055952
2020-06-02,-94799.89507339464
