date,dS (m3)
2017-07-22,
2017-07-28,0.0
2017-08-02,-130339.8178808
2017-08-07,8538509.5952224
2017-08-17,-8145132.5583893
2017-08-23,5420647.937565
2017-09-06,-1072519.6786151
2017-09-08,2280089.2316809
2017-09-11,11025377.3469277
2017-09-24,7131785.405928301
2017-09-26,2407386.2955032
2017-10-01,1502383.5488906
2017-10-10,802616.5800384
2017-10-16,747118.2682611
2017-10-21,-918799.4890869
2017-10-26,-92810.58478529926
2017-11-11,-60344.75508745703
2017-11-25,-81263.36468063339
2017-11-27,-70783.05483484498
2017-11-30,-75989.99230429178
2017-12-05,212617.0710621
2017-12-13,298826.8284421
2017-12-15,280162.175394
2017-12-20,280814.6389803
2017-12-25,166972.861692
2017-12-29,396613.8218433
2018-01-04,109996.5230256
2018-01-09,253955.1596943
2018-01-14,486321.8122773
2018-01-24,284729.4355191
2018-01-29,285381.8841867
2018-01-30,169216.0711725
2018-02-03,-121639.765379
2018-02-08,-325703.3203438
2018-02-13,-223574.2228004
2018-02-15,-3869253.2026558
2018-02-18,1677787.9828014
2018-02-23,-1278812.6989826
2018-02-28,197900.1752201
2018-03-03,-540236.2083217
2018-03-05,-171703.93991989997
2018-03-15,432681.3754303
2018-03-19,-408812.0376873
2018-03-20,-240162.1834084
2018-03-25,-323737.0080532
2018-03-30,-281607.34932890005
2018-04-04,-302129.2613982
2018-04-09,-692544.6997382999
2018-04-14,-309400.6316916
2018-04-19,-308692.89635979995
2018-04-20,-307985.1610277
2018-04-24,-181892.0471772
2018-04-29,-244494.4001679
2018-05-04,-493322.6237468
2018-05-06,-305154.2197002
2018-05-09,-304446.4843682
2018-05-14,-303738.7490363
2018-05-19,-303031.0137045
2018-05-22,-302323.2783725
2018-05-24,-301615.5430407
2018-05-29,-300907.8077087
2018-06-03,-178412.5697033
2018-06-07,245233.14096570003
2018-06-08,517975.6375196999
2018-06-13,382012.4995868
2018-06-18,451402.331545
2018-06-23,417596.805799
2018-06-28,435639.7961899
2018-07-03,427627.0561662
2018-07-09,432702.5651361
2018-07-13,431198.6275189
2018-07-18,432997.0188229
2018-07-23,433132.9067498
2018-07-25,434100.7534837
2018-07-28,434647.3295148001
2018-08-02,435402.301931
2018-08-07,99985.1771678652
2018-08-10,-69008.58427578243
2018-08-12,15486.15219264459
2018-08-17,-26752.439933493115
2018-08-22,238762.3908382
2018-08-27,-138474.0646484
2018-09-01,50161.78070545808
2018-09-06,5403.410744894594
2018-09-11,77345.23936417983
2018-09-21,41370.521404109386
2018-09-26,1057762.4914448
2018-09-27,-449221.4215753
2018-10-01,2033126.78882
2018-10-06,78139.26032317874
2018-10-11,-1646030.3045513
2018-10-13,0.0
2018-10-16,1880817.7206371
2018-10-21,-1582203.625223
2018-10-26,884504.4306317001
2018-10-29,932800.8267541
2018-10-31,78489.61723520754
2018-11-05,78539.66822264023
2018-11-10,46403.26172357056
2018-11-14,110826.2276838
2018-11-15,78689.82118493831
2018-11-20,78739.87217237098
2018-11-25,46501.71423651715
2018-11-30,62652.1570781299
2018-12-10,127366.051127
2018-12-15,78940.07612210173
2018-12-16,78990.127109416
2018-12-20,-6871413.8718623
2018-12-25,3726493.4959661
2018-12-30,-10758683.6280393
2019-01-01,6217130.7237035
2019-01-04,-2783565.9325657
2019-01-09,1473586.8510277
2019-01-14,-650589.8823415
2019-01-17,413710.9621096
2019-01-19,-118419.2735073
2019-01-24,147940.3173567
2019-01-29,14712.25789587658
2019-02-02,-147561.3178661
2019-02-03,-295177.55013640004
2019-02-08,-6010153.0593426
2019-02-13,2631023.1271616
2019-02-18,-1732176.529101
2019-02-23,449076.6660505
2019-02-28,1203261.1648228
2019-03-05,-2378047.4115174
2019-03-06,1432657.631819
2019-03-10,-1093995.4276699
2019-03-15,-1093952.9641965
2019-03-20,-1092275.2902906
2019-03-22,-1199833.1979101
2019-03-25,-1372383.7891845
2019-03-30,-1371163.9637586
2019-04-04,-1753125.2370914
2019-04-07,-1937240.0923854
2019-04-09,-1080623.147509
2019-04-14,-1018127.5228013
2019-04-19,-1005457.884653
2019-04-23,-1010348.7456714
2019-04-24,-1006851.5139899
2019-04-29,-1007642.4172922
2019-05-04,-787940.7704701
2019-05-09,-128888.0868277
2019-05-14,-128864.4389319
2019-05-19,-128900.2323875
2019-05-24,-128955.7268893
2019-05-25,-129057.5249304
2019-05-29,25931.13559618313
