date,dS (m3)
2017-07-29,
2017-08-02,-219088.2509944
2017-08-14,-644438.666489
2017-08-17,2233678.2713805
2017-08-30,-1214683.7060846
2017-09-06,1557004.2825173
2017-09-11,-609619.1161228
2017-09-15,569219.8065129999
2017-09-26,-93398.00457978965
2017-10-01,124531.1474593
2017-10-16,9266.16673018918
2017-10-17,109990.6266763
2017-10-21,-20559.14467078598
2017-11-02,44900.31953226995
2017-11-05,-130961.1082375
2017-11-10,-3370.693300309063
2017-11-18,-209421.4825954
2017-11-25,137997.418238
2017-12-04,-1029503.7565965
2017-12-05,433426.7365166
2017-12-15,-289407.3464249
2017-12-20,71861.53917753413
2017-12-25,-107540.9310404
2018-01-04,-18047.640985489747
2018-01-05,-631879.5791969
2018-01-14,243825.616982
2018-01-21,-196529.8205115
2018-01-24,16544.741925472186
2018-01-29,-89143.32235039359
2018-02-03,-36408.37448051173
2018-02-06,-731370.1854987
2018-02-08,0.0
2018-02-13,5332.064740169818
2018-02-18,2665.758344193558
2018-02-22,4000.1939792789935
2018-02-23,3333.431003510005
2018-02-28,-40084.08838406681
2018-03-05,-62025.36886479319
2018-03-10,-50950.483261453046
2018-03-15,-56280.87716487949
2018-03-20,-53459.81917534058
2018-03-25,-54688.01443003789
2018-03-26,-53903.75179060633
2018-03-30,-54118.52138569183
2018-04-04,-53836.25112127374
2018-04-09,47751.25400684055
2018-04-11,98419.65625237272
2018-04-14,73244.40037629177
2018-04-24,-70933.73632579313
2018-04-27,-156257.97099469998
2018-04-29,-113239.2800715
2018-05-04,-133413.42292820002
2018-05-09,-122478.5297577
2018-05-13,-126841.66395329998
2018-05-14,-123668.1911298
2018-05-19,-124189.8781333
2018-05-24,-122882.9849575
2018-05-29,-122462.767249
2018-06-03,-121594.35648
2018-06-08,112754.0339025
2018-06-13,228780.2822801
2018-06-14,171811.1444362
2018-06-18,203621.9426138
2018-06-23,189806.2938413
2018-06-28,199351.4745602
2018-06-30,196879.9913011
2018-07-03,200526.378066
2018-07-08,201003.1023312
2018-07-13,203066.305743
2018-07-18,204283.7540904
2018-07-23,205900.5532572
2018-07-28,207281.4388783
2018-08-01,208752.0716924
2018-08-02,56375.09748366764
2018-08-07,-22458.18376233576
2018-08-12,16990.350625965504
2018-08-17,-2736.330137082899
2018-08-22,7132.401522648119
2018-08-27,2197.1768028909296
2018-09-01,4666.478901486422
2018-09-02,2636.8756977954795
2018-09-06,2856.933502607792
2018-09-11,-2993.4007378284145
2018-09-21,-5808.984498221241
2018-09-26,-4400.683231471918
2018-10-01,-5103.368033798698
2018-10-04,-4171.472710937896
2018-10-06,-4057.024466080604
2018-10-11,-4113.416382064493
2018-10-16,-4084.4274246327054
2018-10-20,-4098.108369558292
2018-10-21,-4090.463677692985
2018-10-26,239.92769228375911
2018-10-31,2407.4375999728663
2018-11-05,1323.6517149378742
2018-11-10,1865.7801568514667
2018-11-15,1594.808901760483
2018-11-20,1730.4482423204815
2018-11-21,1662.751398056071
2018-11-25,1696.7422576843276
2018-11-30,1679.888058064627
2018-12-07,1688.450398145872
2018-12-10,1684.3030503359464
2018-12-15,-2098.153888718177
2018-12-20,-3991.586766309
2018-12-23,-3044.621276222694
2018-12-25,-3517.3991926411404
2018-12-30,-3280.5468322102315
2019-01-04,-3398.389725136185
2019-01-08,-3338.944737858901
2019-01-09,-3368.106865839096
2019-01-14,-3352.996360853955
2019-01-19,-3360.004016887479
2019-01-24,-3355.945953731613
2019-01-29,-3357.440894512445
2019-02-03,12264.47728594812
2019-02-08,998287.3745396
2019-02-09,-478834.9613491001
2019-02-13,266431.65769110003
2019-02-18,-345909.6661188
2019-02-23,-40260.21654572547
2019-02-25,-22186.189538182432
2019-02-28,-58037.37678187242
2019-03-05,-39963.35860794591
2019-03-10,-22037.76638799935
2019-03-13,-30938.4885758963
2019-03-15,-26461.071678952707
2019-03-20,-57162.79652457556
2019-03-25,-70126.32367422743
2019-03-29,-318244.06871130003
2019-03-30,22307.10260086665
2019-04-04,-184302.9940362
2019-04-09,-81349.72932994345
2019-04-14,-131493.5678586
2019-04-19,-105989.859064
2019-04-24,-117867.5759279
2019-04-29,-111271.1029289
2019-04-30,-113795.5743113
2019-05-04,-111808.7807348
2019-05-09,-107430.9485442
2019-05-14,-104343.1569148
2019-05-16,-105191.106877
2019-05-19,-104089.2599208
2019-05-24,-103944.762537
2019-05-29,-103321.6605146
2019-06-01,-155708.8765161
2019-06-03,-180332.53995
2019-06-08,-166252.7729924
2019-06-13,-171070.2592561
2019-06-17,-166619.4587897
2019-06-18,-166662.9159721
2019-06-23,29321.6137547168
2019-06-28,123568.05094390002
2019-07-03,76512.08016070795
2019-07-08,101025.2753581
2019-07-13,89265.51594573772
2019-07-18,95872.68557052764
2019-07-19,93171.43607061332
2019-07-23,95178.31996786574
2019-07-28,94796.02064067274
2019-08-02,95617.95774079916
2019-08-04,95825.22516294678
2019-08-07,96338.51681597234
2019-08-12,96692.01136802134
2019-08-17,97121.5197076058
2019-08-20,97507.82518092038
2019-08-22,97911.32351004852
2019-08-27,98301.54591935468
2019-09-01,98694.01285680516
2019-09-05,99080.9326261078
2019-09-06,99466.33276566293
2019-09-11,99848.27024416954
2019-09-16,100227.776559
2019-09-21,100604.4257259
2019-09-26,100978.4893033
2019-10-01,101349.9130892
2019-10-06,101718.787281
2019-10-07,102085.1306266
2019-10-11,102448.9995353
2019-10-16,102810.4205721
2019-10-21,103169.4504957
2019-10-23,103526.1250189
2019-10-26,103880.4670079
2019-10-31,104232.5217166
2019-11-05,104582.3489342
2019-11-08,104929.942632
2019-11-10,105275.3645585
2019-11-15,24103.34692503564
2019-11-20,-17100.855113508314
2019-11-24,3499.901467909403
2019-11-25,-2927.274049037664
2019-11-30,4154.997162528376
2019-12-05,613.5820595111478
2019-12-10,2384.7472281278488
2019-12-15,1499.1820192860123
2019-12-20,-37311.011865753
2019-12-25,21331.05837398729
2019-12-26,-56320.00623587827
2019-12-30,30813.62672658032
2020-01-04,-14677.61696619292
2020-01-09,6135.79366862609
2020-01-11,-4269.082332649512
2020-01-14,933.2930532288188
2020-01-19,-1667.6155488980398
2020-01-24,-367.21705065135694
2020-01-27,-33406.80254277513
2020-01-29,-49216.5319654702
2020-02-03,-41251.2170474052
2020-02-08,-45127.61764441357
2020-02-12,-43106.0503242132
2020-02-13,-44021.75459877125
2020-02-18,-34203.45947012818
2020-02-23,-29800.410692382902
2020-02-28,-31948.47264329726
2020-03-04,-30830.22353369672
2020-03-09,-31340.413716624167
2020-03-14,-31038.601233205944
2020-03-15,-31141.54845736749
2020-03-19,-31042.59895387184
2020-03-24,-31044.212142720065
2020-03-29,-64869.287614228335
2020-03-31,-81564.54925873675
2020-04-03,-72985.2450062348
2020-04-08,-119537.6757254
2020-04-13,-277042.1785859
2020-04-16,-57138.743433959215
2020-04-18,-164613.8483363
2020-04-23,-110638.5319742
2020-04-28,-136333.7311404
2020-05-02,-122727.2776661
2020-05-03,-128496.57123139998
2020-05-08,-124703.3319464
2020-05-13,-125615.3151729
2020-05-18,-124198.7763334
2020-05-23,-123920.1388138
2020-05-28,-86658.01364770345
2020-06-02,-68611.854958719
2020-06-03,-77181.95801715125
2020-06-07,-72565.0898630454
2020-06-12,-74478.22401840318
2020-06-17,-73154.65771647886
2020-06-19,-73431.68254829022
2020-06-22,-72913.59582236651
2020-06-27,-72786.71348732755
2020-07-02,-72463.57597311633
2020-07-05,-72235.00073159621
2020-07-07,-71956.96247624478
2020-07-12,32694.586944005405
2020-07-17,84502.75916036243
2020-07-21,58705.78014452547
2020-07-22,252379.5091163
2020-07-27,341333.8276161
2020-08-01,549184.1457146
2020-08-06,212492.894165
2020-08-11,394168.333274
2020-08-16,306516.6279384
2020-08-21,358165.5334427
2020-08-22,337578.208488
2020-08-26,354187.7909615
2020-08-31,87645.77485779693
2020-09-05,-45882.436976824334
2020-09-07,20917.69811387804
2020-09-10,-12467.474996343672
2020-09-15,4225.979476021504
2020-09-20,-4119.014690741355
2020-09-23,8890.051240601048
2020-09-25,11223.75248324926
2020-09-30,10060.883299427443
2020-10-05,10647.862819739814
2020-10-09,10359.12960042504
2020-10-10,10508.648448320231
2020-10-15,-4469.578996157503
2020-10-20,-11892.536931350092
2020-10-25,-8179.869308442145
2020-10-30,-10030.591207216085
2020-11-04,-9101.907273084464
2020-11-09,-9561.791636274049
2020-11-10,-9327.96134546212
2020-11-14,-9440.704689507877
2020-11-19,-9380.300864142846
2020-11-24,15058.818036192992
2020-11-26,27310.393785931657
2020-11-29,21197.468372926985
2020-12-04,1635.9768014161757
2020-12-09,-11249.679280772883
2020-12-12,-4808.099784980398
2020-12-14,-8024.634639484581
2020-12-19,-6415.085561863362
2020-12-24,-7217.152056659967
2020-12-28,-6814.127560771776
2020-12-29,-7013.292300700938
2021-01-03,-6911.542224387457
2021-01-08,-6960.158419630282
2021-01-13,-6933.637890500623
2021-01-18,-6944.663318080099
2021-01-23,-27480.9245119342
2021-01-28,-37712.52336224401
2021-01-29,-32557.07324290148
2021-02-02,-35072.10099872264
2021-02-07,-33763.381307157884
2021-02-12,-34360.665345868
2021-02-14,-34007.72667795858
2021-02-17,-34128.331400134324
2021-02-22,-34012.77292547693
2021-02-27,-34014.82926310664
2021-03-02,-33958.14555851996
2021-03-04,-33930.6159925588
2021-03-09,-42981.03355293377
2021-03-14,-47444.324930987146
2021-03-18,-45118.51923630002
2021-03-19,-72737.7971352992
2021-03-24,-85177.80116482606
2021-03-29,-78675.4303263401
2021-04-03,-81570.55010917396
2021-04-08,-79801.40496457584
2021-04-13,-80344.58600443006
2021-04-18,-79738.85646404511
2021-04-19,-79701.24817547992
2021-04-23,-79380.00726928853
2021-04-28,-119969.5496963
2021-05-03,-139487.5148771
2021-05-05,-128875.3769749
2021-05-08,-133110.4269283
2021-05-13,-130017.0358655
2021-05-18,-130525.67871469998
2021-05-21,-58657.72388449848
