date,dS (m3)
2017-07-16,
2017-07-20,
2017-07-21,242168.2707095
2017-07-31,179437.15396710002
2017-08-05,-380540.2507864
2017-08-15,-41065.17389026888
2017-08-20,0.0
2017-08-21,0.0
2017-08-30,81494.96067807882
2017-09-06,-86040.06291504741
2017-09-09,4545.102236968682
2017-09-14,939275.0515553
2017-09-19,-391992.5069905
2017-09-22,0.0
2017-09-24,1075291.5623907
2017-09-29,-1622574.1069556
2017-10-04,0.0
2017-10-08,-39875.44215310798
2017-10-09,1222261.6882209
2017-10-14,-1182386.2460678
2017-10-19,144516.41471510002
2017-10-24,1056213.3869276
2017-10-29,0.0
2017-11-03,-1200729.8016428
2017-11-08,1508744.9711639
2017-11-09,3174827.3837712
2017-11-13,-4024996.4734528
2017-11-18,-540349.6268787
2017-11-23,1858053.4367354
2017-11-25,0.0
2017-11-28,-926092.8040894
2017-12-03,370936.7537574
2017-12-08,153369.9327158
2017-12-11,-1456267.3191191
2017-12-13,9667990.0436564
2017-12-18,-9191518.940658
2017-12-23,14372.191541420148
2017-12-27,41972846.789516896
2017-12-28,-42080699.2415911
2018-01-02,-484177.9246766
2018-01-07,17561446.0613347
2018-01-12,-12561359.2070798
2018-01-17,-6776207.7211404005
2018-01-22,9181025.6552053
2018-01-27,-799660.9591463
2018-01-28,-790791.7554877
2018-02-06,-781922.5518292
2018-02-11,-438311.3083079
2018-02-13,-1098926.1843749
2018-02-16,-755314.9408536
2018-02-21,-746445.7371950999
2018-02-26,-737576.5335365001
2018-03-01,-728707.329878
2018-03-03,-556502.0378997
2018-03-08,-70077.94886536579
2018-03-13,-95983.36550392697
2018-03-17,-82612.89647890684
2018-03-18,-88612.86748275875
2018-03-23,-85054.80775855134
2018-03-28,-86204.164082358
2018-04-02,-77731.79600077361
2018-04-07,4898.57951766303
2018-04-12,4901.320097829422
2018-04-17,4904.060678096457
2018-04-18,4906.801258313171
2018-04-22,4909.541838529885
2018-04-27,4912.282418746599
2018-05-02,2914.289088572461
2018-05-04,3915.005251863509
2018-05-07,3415.4383158199544
2018-05-12,3666.465478467298
2018-05-17,3541.965258331087
2018-05-20,3605.343122201683
2018-05-22,3574.724452012827
2018-06-01,23958.2518433416
2018-06-05,14151.21835547036
2018-06-06,8410.378848141505
2018-06-11,19959.397784544413
2018-06-16,14218.560780445734
2018-06-21,14241.006999217729
2018-06-26,14263.454471636718
2018-07-01,8465.504662349242
2018-07-06,11378.55580528972
2018-07-07,9928.494448764068
2018-07-11,10663.692666226318
2018-07-16,10304.374400854307
2018-07-23,10493.23613256126
2018-07-26,10407.529744848249
2018-07-31,10459.331316644792
2018-08-05,47280.51115553029
2018-08-08,14487.93048060227
2018-08-10,14510.376675554236
2018-08-15,-470029.5220202
2018-08-20,499117.6190736999
2018-08-24,14577.719094638362
2018-08-25,8619.941680193911
2018-08-30,20602.84021746725
2018-09-04,14645.061513775028
2018-09-09,8653.052344131736
2018-09-14,11663.112729300336
2018-09-19,23753.70560114637
2018-09-24,4093.1695648377727
2018-09-25,8210.268985318946
2018-09-29,-18.727566234089263
2018-10-04,4098.37185424707
2018-10-09,4100.105950716836
2018-10-11,4101.840047186602
2018-10-14,4103.5741436563685
2018-10-19,2413.867596035148
2018-10-24,3259.8054029168643
2018-10-27,2837.328476782773
2018-10-29,7920.636063588361
2018-11-03,4112.2446260051975
2018-11-08,4113.978722474964
2018-11-12,4115.712818944729
2018-11-18,2419.8422143150087
2018-11-23,5816.785712983764
2018-11-28,4120.915108354028
2018-12-03,4122.649204823793
2018-12-08,4124.38330129356
2018-12-13,4126.117397763324
2018-12-14,-467810.9402307
2018-12-18,476068.3773156
2018-12-23,-236788.7729628
2018-12-28,245053.1464336
2018-12-30,-118923.3439083
2019-01-02,127194.653765
2019-01-07,4138.256073051688
2019-01-12,4139.990169521453
2019-01-15,4141.724265991219
2019-01-17,4143.458362460986
