date,inflow (m3/d)
2015-10-24,54630.46935746786
2015-10-25,1312835.9797261164
2015-10-26,1846764.367349946
2015-10-27,1114358.284385844
2015-10-28,830315.7721787306
2015-10-29,500710.0076755178
2015-10-30,413591.4440545777
2015-10-31,334531.9150762463
2015-11-01,682080.3780205053
2015-11-02,1213340.8116721066
2015-11-03,1100850.449461753
2015-11-04,1199615.1850363885
2015-11-05,1726044.2900447408
2015-11-06,1941670.713778852
2015-11-07,1529602.069743851
2015-11-08,937996.5313369924
2015-11-09,870911.4705032413
2015-11-10,831258.3252075358
2015-11-11,587171.8296735771
2015-11-12,437991.86895484367
2015-11-13,375739.63162202114
2015-11-14,331178.8881359111
2015-11-15,239887.28446434275
2015-11-16,220664.5533375053
2015-11-17,191791.78069115267
2015-11-18,157470.67750582943
2015-11-19,586237.1546181417
2015-11-20,1208295.4957422586
2015-11-21,1111191.4296143297
2015-11-22,676188.3047287181
2015-11-23,416938.1270244319
2015-11-24,448025.5323021404
2015-11-25,451265.1457848521
2015-11-26,265870.44730536715
2015-11-27,189084.4241298801
2015-11-28,109688.2661688928
2015-11-29,75796.1516623459
2015-11-30,51562.59496025335
2015-12-01,37289.76600684569
2015-12-02,52718.16276186461
2015-12-03,92494.61987067843
2015-12-04,154415.48199724726
2015-12-05,196719.034425116
2015-12-06,176813.03834952612
2015-12-07,132646.82597171247
2015-12-08,111033.48883966428
2015-12-09,93034.9414392045
2015-12-10,114873.21183700029
2015-12-11,128285.24204189533
2015-12-12,100697.56013168932
2015-12-13,79733.17986368148
2015-12-14,201049.5957765685
2015-12-15,300320.6242339492
2015-12-16,222922.21144702515
2015-12-17,142150.43333696263
2015-12-18,78022.6890858204
2015-12-19,38261.516957947584
2015-12-20,22100.423515717084
2015-12-21,17379.970325981627
2015-12-22,16750.912341907155
2015-12-23,16405.732186144283
2015-12-24,15912.588692981204
2015-12-25,9141.042332725268
2015-12-26,6119.717143086465
2015-12-27,5768.41751461788
2015-12-28,5921.994617551264
2015-12-29,6545.30354046296
2015-12-30,7374.426621725503
2015-12-31,8309.634981705956
2016-01-01,8361.821319611628
2016-01-02,7883.224381947796
2016-01-03,7169.281503932981
2016-01-04,6276.899103877866
2016-01-05,5791.816954924741
2016-01-06,5567.552705269725
2016-01-07,6059.862650132423
2016-01-08,6879.310968452501
2016-01-09,7922.365016144258
2016-01-10,8053.940285071318
2016-01-11,7059.848037601245
2016-01-12,6343.820995246413
2016-01-13,6309.859565828454
2016-01-14,6176.7665148083415
2016-01-15,5554.996977252084
2016-01-16,5141.402837071211
2016-01-17,5011.63172190896
2016-01-18,5721.676373187861
2016-01-19,6070.164470396257
2016-01-20,5574.126580458068
2016-01-21,5414.5075612648725
2016-01-22,5372.771208240205
2016-01-23,5152.344559178207
2016-01-24,4958.594929865644
2016-01-25,4835.408821810614
2016-01-26,4577.369498399629
2016-01-27,4368.731502513425
2016-01-28,4229.13107422925
2016-01-29,4110.563293500839
2016-01-30,4053.977645714548
2016-01-31,4021.1434759954464
2016-02-01,3985.675371937564
2016-02-02,3970.403455710119
2016-02-03,4385.969756000916
2016-02-04,4543.784327840248
2016-02-05,4246.513969265084
2016-02-06,4321.263581341367
2016-02-07,4731.4645903149785
2016-02-08,5446.349815846252
2016-02-09,5788.012016115732
2016-02-10,6027.04741690832
2016-02-11,6013.346667053106
2016-02-12,5382.971544548943
2016-02-13,4966.219951786516
2016-02-14,5311.79557202626
2016-02-15,5515.631771883054
2016-02-16,5661.658522382291
2016-02-17,5713.324547059193
2016-02-18,5266.712205744034
2016-02-19,5344.462640633201
2016-02-20,5052.286052417264
2016-02-21,5016.9217565612735
2016-02-22,4955.890142698044
2016-02-23,4554.784351843324
2016-02-24,4374.214914499647
2016-02-25,4029.942389345744
2016-02-26,4308.926283591583
2016-02-27,4605.027399230924
2016-02-28,4970.197545434271
2016-02-29,6582.387999144053
2016-03-01,7679.847844711126
2016-03-02,8109.709877572629
2016-03-03,7934.619179255811
2016-03-04,7954.151268610595
2016-03-05,8130.6996855899615
2016-03-06,8923.942855192865
2016-03-07,9633.127681949656
2016-03-08,18256.05155992821
2016-03-09,23567.303502860428
2016-03-10,19277.438587481884
2016-03-11,22905.406358052656
2016-03-12,192654.35027107075
2016-03-13,907182.57981195
2016-03-14,1581352.2810864907
2016-03-15,1354946.8276283632
2016-03-16,960054.088548753
2016-03-17,772419.7801031499
2016-03-18,477133.533159627
2016-03-19,265711.7306077139
2016-03-20,163595.59066166857
2016-03-21,106693.7347251244
2016-03-22,84420.79151950532
2016-03-23,73757.84104186516
2016-03-24,46027.04302319689
2016-03-25,21769.719943391865
2016-03-26,19335.164021434
2016-03-27,11938.284661822616
2016-03-28,6479.78683977925
2016-03-29,6752.514155223818
2016-03-30,7760.349160251829
2016-03-31,8691.21245093229
2016-04-01,8081.495234002169
2016-04-02,6671.404449733438
2016-04-03,5832.502185682639
2016-04-04,5309.04995151222
2016-04-05,4988.768350777601
2016-04-06,4888.329817431692
2016-04-07,5015.539319029338
2016-04-08,4991.663310265095
2016-04-09,5277.786923699599
2016-04-10,6414.726890290726
2016-04-11,6957.9398707697
2016-04-12,6204.803267868319
2016-04-13,5370.894709235481
2016-04-14,4844.379533698201
2016-04-15,6338.397377567379
2016-04-16,7400.987037682768
2016-04-17,6259.259269474548
2016-04-18,5383.738007746892
2016-04-19,4627.155525468736
2016-04-20,4385.002331084752
2016-04-21,4450.491899245273
2016-04-22,4336.977911831087
2016-04-23,4130.275940133485
2016-04-24,4082.440494377684
2016-04-25,4722.32354783546
2016-04-26,4860.066756130491
2016-04-27,4345.253624993435
2016-04-28,4177.608541210167
2016-04-29,3970.303415234623
2016-04-30,3985.539733787363
2016-05-01,4163.523678988768
2016-05-02,4091.95718407188
2016-05-03,3912.711857898281
2016-05-04,3799.924381102827
2016-05-05,3790.35868649974
2016-05-06,5557.38679227941
2016-05-07,6977.78813108679
2016-05-08,7820.019939845509
2016-05-09,9831.814427386998
2016-05-10,10075.27597699433
2016-05-11,25474.948173160228
2016-05-12,52362.306875691895
2016-05-13,186219.2472962471
2016-05-14,234397.5901613425
2016-05-15,145235.877082738
2016-05-16,242050.9784134761
2016-05-17,819782.1608977993
2016-05-18,1506977.0684713337
2016-05-19,1559896.808999136
2016-05-20,1114984.4878523252
2016-05-21,636051.1142406537
2016-05-22,319525.0999924329
2016-05-23,147515.11276559267
2016-05-24,83007.98904872587
2016-05-25,70777.30449973405
2016-05-26,70107.34353967498
2016-05-27,65112.90659560545
2016-05-28,45178.12778159533
2016-05-29,24465.219151646343
2016-05-30,12513.797210790535
2016-05-31,10123.78978476142
2016-06-01,9366.80919570475
2016-06-02,8529.063623657037
2016-06-03,8261.371996867405
2016-06-04,8090.556346857462
2016-06-05,10878.071409500371
2016-06-06,13955.205263452512
2016-06-07,11908.560383255775
2016-06-08,9837.42819292017
2016-06-09,12551.887309898351
2016-06-10,15947.687584318186
2016-06-11,14167.388616478614
2016-06-12,10674.593388308607
2016-06-13,8024.780676148528
2016-06-14,6079.718470368055
2016-06-15,5188.5406173343945
2016-06-16,4723.100531308414
2016-06-17,5446.75929920121
2016-06-18,15497.27147855029
2016-06-19,24501.396053115743
2016-06-20,20472.00656538549
2016-06-21,15297.262946189658
2016-06-22,11744.731027679833
2016-06-23,14516.451267496406
2016-06-24,24243.53139073547
2016-06-25,144523.08270069808
2016-06-26,195336.95605048013
2016-06-27,115874.804893749
2016-06-28,78637.74424135269
2016-06-29,38943.03431776257
2016-06-30,20902.61700571717
2016-07-01,14086.691305768132
2016-07-02,12800.338479142434
2016-07-03,12117.324377784393
2016-07-04,11527.632724503705
2016-07-05,11019.7945112242
2016-07-06,5566.27407593969
2016-07-07,7014.19244175642
2016-07-08,8079.289156800963
2016-07-09,16410.019516260567
2016-07-10,37578.7513552713
2016-07-11,41659.756615016006
2016-07-12,32760.000067768306
2016-07-13,26870.28649812884
2016-07-14,17708.794487877192
2016-07-15,12904.130142184857
2016-07-16,36231.42169360962
2016-07-17,196462.45323628536
2016-07-18,256278.28809423032
2016-07-19,170327.25749743695
2016-07-20,233573.6030783338
2016-07-21,224995.7304920316
2016-07-22,126570.66792938986
2016-07-23,82327.22547884734
2016-07-24,46918.67058128806
2016-07-25,47300.66347904801
2016-07-26,384849.48270946136
2016-07-27,822680.3033801232
2016-07-28,1160815.371051208
2016-07-29,1408218.2315904235
2016-07-30,1109489.696843075
2016-07-31,654345.1066830452
2016-08-01,394658.4819143244
2016-08-02,212482.2482289156
2016-08-03,121543.40234486204
2016-08-04,89391.88226075264
2016-08-05,77775.26812062187
2016-08-06,60173.17483686504
2016-08-07,46711.740686609344
2016-08-08,27750.74250280296
2016-08-09,12705.417756635412
2016-08-10,10936.688155402328
2016-08-11,9232.256126241036
2016-08-12,7394.735131840857
2016-08-13,7985.589887152659
2016-08-14,9577.326014842478
2016-08-15,9238.623510450358
2016-08-16,7603.990839129706
2016-08-17,6280.587952675572
2016-08-18,5900.17478430239
2016-08-19,6371.999478429785
2016-08-20,6331.884740165822
2016-08-21,5997.981120378183
2016-08-22,6383.172181737357
2016-08-23,13097.240456832396
2016-08-24,20893.720376138168
2016-08-25,21156.375115450825
2016-08-26,17879.830060566102
2016-08-27,20963.206474441435
2016-08-28,23601.60674335277
2016-08-29,18810.30950800369
2016-08-30,17682.645903987453
2016-08-31,32634.966599423737
2016-09-01,38838.69447499552
2016-09-02,29484.418743470625
2016-09-03,24984.23116919244
2016-09-04,19688.235166349128
2016-09-05,19851.106736516704
2016-09-06,24445.328320914155
2016-09-07,28997.22505299673
2016-09-08,34956.22417513912
2016-09-09,34484.94766073635
2016-09-10,25670.94701280149
2016-09-11,17762.372609233516
2016-09-12,13726.9809376309
2016-09-13,11445.732652771949
2016-09-14,10949.877937947487
2016-09-15,11485.497995577209
2016-09-16,10276.468603004552
2016-09-17,8708.462056530478
2016-09-18,8103.733872058967
2016-09-19,8405.824400446156
2016-09-20,8594.586147190625
2016-09-21,7930.785664444014
2016-09-22,7860.999151125184
2016-09-23,7542.188651821542
2016-09-24,6507.580941473128
2016-09-25,6032.879930764163
2016-09-26,5501.002962512776
2016-09-27,5275.617006885471
2016-09-28,6403.665579569346
2016-09-29,8627.078774958647
2016-09-30,10940.627827128585
2016-10-01,10477.809393631956
2016-10-02,9528.9382057178
2016-10-03,9697.164522461808
2016-10-04,8683.858680846053
2016-10-05,8113.234830272179
2016-10-06,11016.554829237371
2016-10-07,12068.461737270996
2016-10-08,9226.491847378136
2016-10-09,7579.348954345639
2016-10-10,7086.155869095538
2016-10-11,7032.988405450448
2016-10-12,6377.5829308915045
2016-10-13,13960.93103321577
2016-10-14,190451.7190715689
2016-10-15,334416.07461564656
2016-10-16,253957.18514209168
2016-10-17,161276.5592250742
2016-10-18,88656.371424445
2016-10-19,42435.38982290344
2016-10-20,24665.553200888
2016-10-21,29358.40297503036
2016-10-22,96281.22893544304
2016-10-23,192791.9552233797
2016-10-24,185869.803150699
2016-10-25,114027.88033930949
2016-10-26,69626.31888952808
2016-10-27,37163.96969623502
2016-10-28,21979.32154753632
2016-10-29,16893.67372137595
2016-10-30,23544.62445673333
2016-10-31,203103.7210616036
2016-11-01,546677.7865644483
2016-11-02,629273.5298297275
2016-11-03,498890.6068517048
2016-11-04,466210.6643640641
2016-11-05,360451.7441491831
2016-11-06,203849.87132113945
2016-11-07,127945.26149535133
2016-11-08,75676.62470166104
2016-11-09,51327.57739927682
2016-11-10,43177.96563551576
2016-11-11,34481.14690557158
2016-11-12,22268.58453335884
2016-11-13,18297.59600356433
2016-11-14,16049.00135561237
2016-11-15,11244.34050852311
2016-11-16,10429.299084467944
2016-11-17,11396.65417536081
2016-11-18,11664.191227505236
2016-11-19,12428.249123607518
2016-11-20,13345.307807299354
2016-11-21,12423.952447572508
2016-11-22,11306.522428827157
2016-11-23,9888.832898859291
2016-11-24,8976.678082330092
2016-11-25,7883.730113586106
2016-11-26,8367.538917812448
2016-11-27,8705.964910232422
2016-11-28,7866.046509945641
2016-11-29,7119.525227222944
2016-11-30,6566.252490668094
2016-12-01,45718.94845153988
2016-12-02,862033.2244931576
2016-12-03,1832558.7274784264
2016-12-04,1598424.4023057432
2016-12-05,968210.3354254888
2016-12-06,544301.4325959685
2016-12-07,232469.0116362089
2016-12-08,105288.47308960008
2016-12-09,73441.54750612179
2016-12-10,72834.00553954055
2016-12-11,72703.7782358955
2016-12-12,71467.94244865669
2016-12-13,36944.16714413792
2016-12-14,7696.22424301877
2016-12-15,6558.698052452724
2016-12-16,6166.37311922052
2016-12-17,5838.631004307075
2016-12-18,5737.447292970764
2016-12-19,5992.081545885668
2016-12-20,6246.963098660272
2016-12-21,5959.522982905739
2016-12-22,5569.255375079429
2016-12-23,5291.331924553332
2016-12-24,5145.915325538197
2016-12-25,5094.2370435176335
2016-12-26,6051.961727883305
2016-12-27,6551.255031289306
2016-12-28,5815.727387007416
2016-12-29,5351.843249653551
2016-12-30,4902.260105007893
2016-12-31,4651.476884385952
2017-01-01,4537.24338355922
2017-01-02,4486.160377843215
2017-01-03,4442.075336726738
2017-01-04,4395.04253902173
2017-01-05,4352.95940837424
2017-01-06,4265.816838953697
2017-01-07,4226.254488524371
2017-01-08,4297.591127665445
2017-01-09,4308.696476747271
2017-01-10,4206.821828001192
2017-01-11,4142.491887734461
2017-01-12,4081.972097482736
2017-01-13,4197.63324855814
2017-01-14,4234.338561421475
2017-01-15,4107.260881316117
2017-01-16,4039.840573570253
2017-01-17,3969.2193375947695
2017-01-18,3927.704644317715
2017-01-19,3897.549034475991
2017-01-20,3882.327273047944
2017-01-21,4057.372513990466
2017-01-22,7267.063349787215
2017-01-23,9399.483824230228
2017-01-24,8738.684482351318
2017-01-25,11215.175052284674
2017-01-26,22089.874958305933
2017-01-27,25764.82236249436
2017-01-28,28602.422864125943
2017-01-29,95185.95185121192
2017-01-30,336829.462398693
2017-01-31,387768.11770885
2017-02-01,222470.38471917465
2017-02-02,141884.93902863367
2017-02-03,63623.39199214755
2017-02-04,30178.143536803545
2017-02-05,19567.23235787665
2017-02-06,18797.86986999736
2017-02-07,18602.253674776937
2017-02-08,18123.73490520292
2017-02-09,15468.412847355456
2017-02-10,5437.438017498654
2017-02-11,5232.007066281028
2017-02-12,5145.344833044263
2017-02-13,4991.424744680208
2017-02-14,4872.220854300789
2017-02-15,4767.7140572161015
2017-02-16,4754.406716714281
2017-02-17,4717.076401653077
2017-02-18,4611.370880396822
2017-02-19,4528.655022503405
2017-02-20,4457.738362526528
2017-02-21,4712.353630014925
2017-02-22,4879.242159231344
2017-02-23,4658.641656508576
2017-02-24,4457.158842168703
2017-02-25,4359.087370697219
2017-02-26,4493.995976524334
2017-02-27,4639.692879703763
2017-02-28,4951.270322960328
2017-03-01,5214.611620312474
2017-03-02,5008.341297944584
2017-03-03,5709.166151476024
2017-03-04,30257.18652203781
2017-03-05,259151.88408375203
2017-03-06,634888.9761603202
2017-03-07,1273433.3319644022
2017-03-08,1684573.1604924838
2017-03-09,1475742.017250475
2017-03-10,1683177.3989099392
2017-03-11,2554805.478740524
2017-03-12,3141100.795799948
2017-03-13,2512246.366813787
2017-03-14,1468055.8505126822
2017-03-15,827701.8752939595
2017-03-16,395099.7805381356
2017-03-17,219359.99422083204
2017-03-18,148537.47162189853
2017-03-19,128249.73953898477
2017-03-20,118937.19602577182
2017-03-21,90999.0526838912
2017-03-22,44767.02087908141
2017-03-23,7595.674023497592
2017-03-24,6253.443661455963
2017-03-25,5933.6853098408
2017-03-26,5561.978011548581
2017-03-27,5297.713914818874
2017-03-28,5127.85022736742
2017-03-29,5076.263545136602
2017-03-30,5126.961264130132
2017-03-31,5097.437653692436
2017-04-01,4914.290871303169
2017-04-02,4718.442814114954
2017-04-03,4566.941385904319
2017-04-04,4616.943518994477
2017-04-05,4663.675632560605
2017-04-06,4552.935278950864
2017-04-07,5428.509900491931
2017-04-08,5741.76787204919
2017-04-09,4985.582909371398
2017-04-10,4618.114523464715
2017-04-11,4341.710592100345
2017-04-12,4948.636682210622
2017-04-13,7074.916667863676
2017-04-14,9257.817874511968
2017-04-15,8594.251896034779
2017-04-16,6652.010004720837
2017-04-17,6167.572993282611
2017-04-18,5562.411422412723
2017-04-19,4987.381827464453
2017-04-20,4888.948996779684
2017-04-21,5093.338171649248
2017-04-22,5090.244305567035
2017-04-23,4639.883614736048
2017-04-24,5064.716368970634
2017-04-25,5272.687624079555
2017-04-26,5340.9155464246405
2017-04-27,11725.194852543827
2017-04-28,15009.984402286482
2017-04-29,11837.18785285093
2017-04-30,9740.777374491188
2017-05-01,8413.871725778032
2017-05-02,41653.26560534259
2017-05-03,84831.17056578393
2017-05-04,165600.419406011
2017-05-05,181802.0947845784
2017-05-06,112139.32142958126
2017-05-07,95900.8182381112
2017-05-08,392514.5917712298
2017-05-09,656979.6086273575
2017-05-10,819577.8082258377
2017-05-11,1299607.9865635328
2017-05-12,1745307.3392692043
2017-05-13,2437924.014910629
2017-05-14,2883432.373247009
2017-05-15,2203278.8398635234
2017-05-16,1277215.0405382784
2017-05-17,699027.141600149
2017-05-18,338844.2222826329
2017-05-19,240496.6885195985
2017-05-20,230625.1017522001
2017-05-21,255528.0505855292
2017-05-22,682808.3492448457
2017-05-23,798028.3362580928
2017-05-24,448861.2776273905
2017-05-25,281021.7375703779
2017-05-26,173240.7789092041
2017-05-27,120320.71200821888
2017-05-28,73471.62301507899
2017-05-29,57887.48508762821
2017-05-30,41416.68003407633
2017-05-31,34385.6871535326
2017-06-01,29150.084648709533
2017-06-02,9163.713207289924
2017-06-03,9110.72133437427
2017-06-04,10111.072484892422
2017-06-05,10121.595377725733
2017-06-06,9603.21677859751
2017-06-07,12061.23687725211
2017-06-08,68945.45721196877
2017-06-09,94457.87028631294
2017-06-10,58429.808688952064
2017-06-11,56300.56717248995
2017-06-12,157247.1534676163
2017-06-13,193279.95628379524
2017-06-14,120898.05711569409
