date,inflow (m3/d)
2015-10-24,87197.79083331561
2015-10-25,2103551.019597809
2015-10-26,3138282.7077172035
2015-10-27,1961528.8313489552
2015-10-28,1336916.7717596286
2015-10-29,1548708.623761289
2015-10-30,2527728.00350002
2015-10-31,2887101.64944007
2015-11-01,3032494.002891202
2015-11-02,3053967.841421442
2015-11-03,2402634.880303059
2015-11-04,1693209.344761178
2015-11-05,2796724.976225027
2015-11-06,4230083.183582281
2015-11-07,3784757.447433553
2015-11-08,3816729.884301587
2015-11-09,3985207.3175632055
2015-11-10,3037251.858423184
2015-11-11,1989256.93666654
2015-11-12,1166896.7163230767
2015-11-13,951148.1424099432
2015-11-14,1367173.730994795
2015-11-15,1562709.835117004
2015-11-16,1204334.147356362
2015-11-17,791644.3764992106
2015-11-18,535076.5239521144
2015-11-19,1644195.4055672858
2015-11-20,3261313.6294831377
2015-11-21,3131497.2771383896
2015-11-22,2120348.0821108143
2015-11-23,1238053.8526603605
2015-11-24,605112.9990048858
2015-11-25,282613.0221336128
2015-11-26,176949.70993325097
2015-11-27,151977.28740575686
2015-11-28,143210.6372922977
2015-11-29,151423.88106170954
2015-11-30,243937.35326518345
2015-12-01,396270.9905207227
2015-12-02,393511.94809304527
2015-12-03,307520.076565424
2015-12-04,491821.8701603609
2015-12-05,556743.2553942956
2015-12-06,363093.118524302
2015-12-07,307415.62246757734
2015-12-08,231193.4967968856
2015-12-09,164730.62631169072
2015-12-10,213302.96888886645
2015-12-11,209713.0887218964
2015-12-12,143583.6563954848
2015-12-13,304016.3209967068
2015-12-14,522844.39470024215
2015-12-15,466318.215826596
2015-12-16,698915.1447097866
2015-12-17,926931.6902070512
2015-12-18,659141.8652133372
2015-12-19,401385.74271212926
2015-12-20,221542.0367528488
2015-12-21,108693.70090049993
2015-12-22,63596.19096484022
2015-12-23,53341.967605646525
2015-12-24,43439.34406974518
2015-12-25,34627.093212665706
2015-12-26,33644.833485471594
2015-12-27,16071.773738597873
2015-12-28,10912.712986929786
2015-12-29,20061.345331079378
2015-12-30,24001.87110793375
2015-12-31,19936.01320925365
2016-01-01,16282.664467881612
2016-01-02,12524.728437088284
2016-01-03,10165.380884593853
2016-01-04,8881.091793402067
2016-01-05,8286.598955735859
2016-01-06,7939.630964867331
2016-01-07,7716.794071871903
2016-01-08,7461.251601169899
2016-01-09,7016.313940839797
2016-01-10,6805.629702535079
2016-01-11,6651.616864490752
2016-01-12,6543.985252142758
2016-01-13,6481.822586388526
2016-01-14,6450.781805501659
2016-01-15,6396.586559920835
2016-01-16,6332.2691461210825
2016-01-17,6280.17788214248
2016-01-18,6237.01943259571
2016-01-19,6223.654670965007
2016-01-20,6227.456086705187
2016-01-21,6222.625127494856
2016-01-22,6191.509652655509
2016-01-23,6144.457624866437
2016-01-24,6107.93896125416
2016-01-25,6078.571099817936
2016-01-26,6058.371119795344
2016-01-27,6043.039409260702
2016-01-28,6030.145955949894
2016-01-29,6018.367774117582
2016-01-30,6006.901090288222
2016-01-31,6132.008053763246
2016-02-01,9248.1355271852
2016-02-02,10770.515053817244
2016-02-03,11124.0656786147
2016-02-04,11203.427207989573
2016-02-05,8744.598075721919
2016-02-06,7587.213104563787
2016-02-07,6835.723193822818
2016-02-08,7050.649843116152
2016-02-09,7120.417689063303
2016-02-10,7948.443016328498
2016-02-11,16202.30781835501
2016-02-12,19281.57542873419
2016-02-13,14326.573662095285
2016-02-14,11672.739024337929
2016-02-15,8887.801600329678
2016-02-16,7479.398341567809
2016-02-17,6910.033865774147
2016-02-18,7099.651889506146
2016-02-19,9782.699226876395
2016-02-20,10829.298607242305
2016-02-21,9026.343933606666
2016-02-22,7788.975635889804
2016-02-23,6881.999436960975
2016-02-24,6432.712621549661
2016-02-25,6269.467752879969
2016-02-26,6238.832956744982
2016-02-27,6194.861950516321
2016-02-28,6177.167851066617
2016-02-29,6363.7118259786
2016-03-01,6354.837949552505
2016-03-02,6233.250091461397
2016-03-03,6157.645645877174
2016-03-04,6103.2894156231405
2016-03-05,6134.903600428873
2016-03-06,6228.385883288916
2016-03-07,6268.599781261169
2016-03-08,6181.665733477377
2016-03-09,6130.658278015319
2016-03-10,6141.12516873358
2016-03-11,13815.321913168184
2016-03-12,228648.682643502
2016-03-13,1208073.3735918533
2016-03-14,2451740.6688374057
2016-03-15,2375126.4358808454
2016-03-16,2698802.8192612394
2016-03-17,3527298.378353064
2016-03-18,2748496.806156996
2016-03-19,1642299.3975688866
2016-03-20,927124.6198176264
2016-03-21,455080.8642058771
2016-03-22,255473.37696102503
2016-03-23,195446.33804086165
2016-03-24,153785.41465395116
2016-03-25,109502.98846810416
2016-03-26,105635.72388014
2016-03-27,53106.9593416572
2016-03-28,11419.12208201528
2016-03-29,25395.650744065573
2016-03-30,63726.29691833647
2016-03-31,72973.41166079209
2016-04-01,57253.20425186686
2016-04-02,42969.59813302576
2016-04-03,25788.14091901252
2016-04-04,16985.753724976108
2016-04-05,16255.790254140366
2016-04-06,16917.085419026476
2016-04-07,16417.854527763546
2016-04-08,16641.658552086064
2016-04-09,33651.800354095474
2016-04-10,78376.28164492329
2016-04-11,106992.31431969012
2016-04-12,87730.73940167142
2016-04-13,54807.02526096851
2016-04-14,33692.35209968968
2016-04-15,34231.831312243296
2016-04-16,38872.73637228432
2016-04-17,29896.507946080223
2016-04-18,23272.578439190747
2016-04-19,19462.138749638907
2016-04-20,17763.90203702635
2016-04-21,16408.346572344173
2016-04-22,14296.687248964708
2016-04-23,11526.98876134508
2016-04-24,9605.713337717423
2016-04-25,9506.627785133458
2016-04-26,35318.10206244639
2016-04-27,60230.60966656967
2016-04-28,50758.61768494725
2016-04-29,46237.73428317352
2016-04-30,41065.0567236584
2016-05-01,57266.58286111535
2016-05-02,81519.12303245443
2016-05-03,66111.23322929624
2016-05-04,44388.99926280421
2016-05-05,31384.33343375713
2016-05-06,22817.23104014796
2016-05-07,17039.467166427807
2016-05-08,15301.70776237607
2016-05-09,14343.638942689216
2016-05-10,17885.289814166455
2016-05-11,121020.03872565916
2016-05-12,496052.1950656106
2016-05-13,1007282.0765001732
2016-05-14,1089267.443196403
2016-05-15,921267.4885182844
2016-05-16,1564447.106845145
2016-05-17,2495003.269106646
2016-05-18,3982576.759498729
2016-05-19,5201622.775019761
2016-05-20,4132687.554149237
2016-05-21,2458104.676772427
2016-05-22,1341173.490322244
2016-05-23,617938.4815529159
2016-05-24,313382.0814433231
2016-05-25,237164.6030429472
2016-05-26,236764.1262666744
2016-05-27,208147.095144413
2016-05-28,172283.77885159396
2016-05-29,88010.41039220334
2016-05-30,25651.06075716563
2016-05-31,21475.13719702372
2016-06-01,26340.87054025417
2016-06-02,30433.546699491977
2016-06-03,28374.992867998146
2016-06-04,23697.712758331425
2016-06-05,18837.256066984864
2016-06-06,27134.97588309176
2016-06-07,112621.82552398182
2016-06-08,379926.1677175256
2016-06-09,1006961.1714141176
2016-06-10,1875472.8057164543
2016-06-11,2363078.2744331965
2016-06-12,2369658.373709816
2016-06-13,1807120.404052396
2016-06-14,1011700.440311412
2016-06-15,543865.7317370861
2016-06-16,265824.99482422706
2016-06-17,162138.2886509377
2016-06-18,133526.4374184961
2016-06-19,137033.842054692
2016-06-20,134287.38040796615
