date,inflow (m3/d)
2015-10-24,18375.12128010279
2015-10-25,456721.7457492859
2015-10-26,992049.5892847868
2015-10-27,1064771.5235580674
2015-10-28,1119345.2861867235
2015-10-29,1379022.6898120802
2015-10-30,1592664.1089144654
2015-10-31,1557414.6944614495
2015-11-01,1345002.9854103643
2015-11-02,1658231.40722776
2015-11-03,2022841.204439536
2015-11-04,2061279.497737444
2015-11-05,2162470.277230605
2015-11-06,2009818.53523942
2015-11-07,1695014.4110986637
2015-11-08,1274835.2148790497
2015-11-09,893350.7815823274
2015-11-10,1650613.6345103283
2015-11-11,2397072.2946844646
2015-11-12,2227285.713509013
2015-11-13,1998735.325220018
2015-11-14,1516053.6192185434
2015-11-15,1037876.440527112
2015-11-16,741332.186439122
2015-11-17,812542.0366938693
2015-11-18,856751.7504087975
2015-11-19,663398.7354636386
2015-11-20,466276.1445129087
2015-11-21,265914.5345973332
2015-11-22,158290.4273645898
2015-11-23,118836.53093952712
2015-11-24,151893.79483351382
2015-11-25,276244.9308639472
2015-11-26,399771.3306699291
2015-11-27,376903.3746559356
2015-11-28,255853.6946884849
2015-11-29,147446.99178306625
2015-11-30,74401.28699440975
2015-12-01,38238.674749695005
2015-12-02,24268.23101470324
2015-12-03,21395.97980991531
2015-12-04,20216.31654171021
2015-12-05,16574.60948771883
2015-12-06,10373.143911655096
2015-12-07,4602.905312969405
2015-12-08,3088.0875153479647
2015-12-09,5043.759809915442
2015-12-10,5748.41118105252
2015-12-11,5495.015286833594
2015-12-12,5557.924598523578
2015-12-13,14276.837227113205
2015-12-14,113084.98209868948
2015-12-15,280482.8523863753
2015-12-16,341693.04669439903
2015-12-17,275177.57556818955
2015-12-18,178015.51361077535
2015-12-19,97190.72456897348
2015-12-20,47035.81310941187
2015-12-21,24850.95910223708
2015-12-22,17773.84978887212
2015-12-23,16144.034082349475
2015-12-24,15555.947700704615
2015-12-25,11515.797390665826
2015-12-26,5687.828122356267
2015-12-27,2621.6709765419205
2015-12-28,1774.680380105933
2015-12-29,1560.9795581484434
2015-12-30,1680.4269659817303
2015-12-31,2035.8797665946229
2016-01-01,2046.3997455564163
2016-01-02,1777.854163579488
2016-01-03,1609.2447375652848
2016-01-04,1462.1917929578642
2016-01-05,1384.0851024120786
2016-01-06,1344.1489935244242
2016-01-07,1320.4245011858984
2016-01-08,1298.7350263771173
2016-01-09,1278.2668576325214
2016-01-10,1251.7672733305055
2016-01-11,1219.549946479707
2016-01-12,1202.6845119655238
2016-01-13,1220.2203130819978
2016-01-14,1216.9715004751015
2016-01-15,1177.8802406204345
2016-01-16,1152.705205425534
2016-01-17,1126.01174224161
2016-01-18,1105.1713490415782
2016-01-19,1087.1498684202538
2016-01-20,1080.86478701347
2016-01-21,1293.967788227787
2016-01-22,1382.105059435636
2016-01-23,1227.4666173358444
