date,inflow (m3/d)
2015-10-24,34563.862445410174
2015-10-25,830447.3294408609
2015-10-26,1162738.9274906467
2015-10-27,656768.1633327869
2015-10-28,439589.6320502164
2015-10-29,199570.92121553648
2015-10-30,161877.41421127797
2015-10-31,151683.87815936605
2015-11-01,116789.0133658207
2015-11-02,371607.563638672
2015-11-03,606778.7793479804
2015-11-04,529587.3356009442
2015-11-05,1174871.4566506243
2015-11-06,1839465.7039320944
2015-11-07,1690420.512829229
2015-11-08,1525407.4697352322
2015-11-09,1091659.8148952106
2015-11-10,999789.0644579092
2015-11-11,1299777.3238457823
2015-11-12,1194677.161232061
2015-11-13,832024.2232465298
2015-11-14,511316.74954713456
2015-11-15,449668.8408485254
2015-11-16,503240.6157877916
2015-11-17,409188.9438394048
2015-11-18,263837.9913402513
2015-11-19,244076.0222332124
2015-11-20,210033.67550846896
2015-11-21,141133.62771791007
2015-11-22,103560.50617770774
2015-11-23,58536.53541085574
2015-11-24,40066.95884478442
2015-11-25,28229.11433104759
2015-11-26,17891.4367374502
2015-11-27,9884.72407089738
2015-11-28,9405.455743962668
2015-11-29,8906.859494405395
2015-11-30,5422.651134880099
2015-12-01,5074.185203646463
2015-12-02,3924.831263626849
2015-12-03,3761.7806285925153
2015-12-04,3652.678501991677
2015-12-05,3578.231066465373
2015-12-06,3534.991806527179
2015-12-07,3939.076841398148
2015-12-08,4351.269289497264
2015-12-09,5067.921064926658
2015-12-10,5138.178886565366
2015-12-11,4291.5218097591305
2015-12-12,3939.758726478276
2015-12-13,4947.61707183732
2015-12-14,8883.96402420242
2015-12-15,51299.62038011502
2015-12-16,85417.17679547275
2015-12-17,65155.31088822943
2015-12-18,41347.69565502741
2015-12-19,23426.54168514806
2015-12-20,12024.878048422524
2015-12-21,7624.923470675714
2015-12-22,6686.517999123538
2015-12-23,6583.8789178372335
2015-12-24,6433.922404242859
2015-12-25,6278.240732529111
2015-12-26,4401.834306231298
2015-12-27,3518.695044254687
2015-12-28,3467.884146674783
2015-12-29,3424.6029034996154
2015-12-30,3386.495042253074
2015-12-31,3367.035836384849
2016-01-01,3340.3167844669324
2016-01-02,3298.3896964099795
2016-01-03,3265.6750908395124
2016-01-04,3236.064284448116
2016-01-05,3212.003950679612
2016-01-06,3191.479921721347
2016-01-07,3173.210412160789
2016-01-08,3156.421007429358
2016-01-09,3141.472846548519
2016-01-10,3128.587540334386
2016-01-11,3117.026369756092
2016-01-12,3108.284902000425
2016-01-13,3101.3289451036367
2016-01-14,3095.6402164946685
2016-01-15,3090.7412914147
2016-01-16,3086.2658441020094
2016-01-17,3082.1453459745844
2016-01-18,3078.327317986204
2016-01-19,3074.60025367793
2016-01-20,3071.069184539428
2016-01-21,3067.849906992945
2016-01-22,3064.894859609188
2016-01-23,3062.096148405044
2016-01-24,3059.284886268163
2016-01-25,3056.567254578769
2016-01-26,3053.867115904773
2016-01-27,3050.991973679484
2016-01-28,3048.147193457154
2016-01-29,3045.394551271196
2016-01-30,3042.703758515924
2016-01-31,3040.056686066273
2016-02-01,3037.329145745772
2016-02-02,3034.65990732137
2016-02-03,3032.0038070078285
2016-02-04,3029.369872669048
2016-02-05,3026.746752194338
2016-02-06,3024.1376016661984
2016-02-07,3021.634926107332
2016-02-08,3019.073018953651
2016-02-09,3016.615238056688
2016-02-10,3014.171769626876
2016-02-11,3011.553591234837
2016-02-12,3009.0742315412544
2016-02-13,3006.721164079158
2016-02-14,3004.352927848451
2016-02-15,3002.000153975421
2016-02-16,2999.642707143029
2016-02-17,2997.267473706163
2016-02-18,2994.896032461452
2016-02-19,2992.637158159208
2016-02-20,2990.421759505044
2016-02-21,2988.2483440878354
2016-02-22,2986.095063987665
2016-02-23,2983.8420370010563
2016-02-24,2981.6476299653705
2016-02-25,2979.466042985729
2016-02-26,2977.3069155699145
2016-02-27,2975.161807032186
2016-02-28,2973.02222775526
2016-02-29,2970.883235656483
2016-03-01,2968.644496671268
2016-03-02,2966.573739565437
2016-03-03,2964.5528681356964
2016-03-04,2962.483578975214
2016-03-05,2960.400882580546
2016-03-06,2958.285206347044
2016-03-07,2956.1599395372705
2016-03-08,2954.025595932097
2016-03-09,2951.895362573894
2016-03-10,2949.761018968713
2016-03-11,2947.626699829289
2016-03-12,2945.392633803436
2016-03-13,2943.2081353988565
2016-03-14,2941.0356007488645
2016-03-15,2938.880852703337
2016-03-16,2936.740979837344
2016-03-17,2934.6066606979207
2016-03-18,2932.58578926818
2016-03-19,2930.603402472333
2016-03-20,2928.5539550398053
2016-03-21,2927.6037295499805
2016-03-22,2951.5829838037344
2016-03-23,2960.881243230081
2016-03-24,2942.254142182636
2016-03-25,2932.526288550059
2016-03-26,2922.1503859776444
2016-03-27,2916.24934353978
2016-03-28,2912.826780028281
2016-03-29,2910.6379022534065
2016-03-30,2908.503289524917
2016-03-31,2906.368676796428
2016-04-01,2904.239006150607
2016-04-02,2901.085639350264
2016-04-03,2899.054272111284
2016-04-04,2897.005093802072
2016-04-05,2894.927633079149
2016-04-06,2892.816654270768
2016-04-07,2890.6919501733764
2016-04-08,2914.973356511367
2016-04-09,3538.463374947551
2016-04-10,4191.843329583152
2016-04-11,3957.930568741642
2016-04-12,3525.2310219872866
2016-04-13,3228.6422549031754
2016-04-14,3020.4741238572583
2016-04-15,2950.632782779669
2016-04-16,2936.225633157003
2016-04-17,2925.794609236754
2016-04-18,2919.87693008494
2016-04-19,2913.5824538279244
2016-04-20,2883.135163245451
2016-04-21,2863.316946876497
2016-04-22,2887.2157087936425
2016-04-23,2896.509295260628
2016-04-24,2877.886842706785
2016-04-25,2868.168334992932
2016-04-26,2857.431073207225
2016-04-27,2851.70385996438
2016-04-28,2848.400004300068
2016-04-29,2846.289001025929
2016-04-30,2844.183551478359
2016-05-01,2842.0632267512547
2016-05-02,2839.9341432835754
2016-05-03,2836.676356637449
2016-05-04,2840.971271138036
2016-05-05,3083.868444690383
2016-05-06,5743.697461744009
2016-05-07,16312.95339162674
2016-05-08,34891.43249266302
2016-05-09,35062.72238688354
2016-05-10,24691.181324754445
2016-05-11,103878.18105002408
2016-05-12,425485.4247557008
2016-05-13,516516.2095248751
2016-05-14,314757.0862786397
2016-05-15,205235.3841985756
2016-05-16,111467.05065751632
2016-05-17,217751.25578740376
2016-05-18,329214.26592534845
2016-05-19,251929.4706404514
2016-05-20,162013.17126505077
2016-05-21,95041.07665490702
